Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.73,11.74,11.33,11.52,8.058235,121700
2016-01-05,11.57,11.68,11.31,11.52,8.058235,80400
2016-01-06,11.32,11.56,10.93,11.55,8.079219,59000
2016-01-07,11.32,11.56,11.29,11.47,8.023263,69400
2016-01-08,11.49,11.77,11.06,11.11,7.771441,131800
2016-01-11,11.13,11.34,10.89,11.17,7.813413,62400
2016-01-12,11.25,11.27,10.96,11.12,7.778435,82100
2016-01-13,11.19,11.29,10.89,11.04,7.722475,103800
2016-01-14,11.02,11.06,10.3,10.31,7.211841,106500
2016-01-15,10.16,10.22,9.43,9.62,6.729185,197200
2016-01-19,9.5,10.17,9.5,10.12,7.078935,106300
2016-01-20,9.98,10.48,9.86,10.05,7.02997,112900
2016-01-21,10.01,10.44,9.54,9.76,6.827113,59200
2016-01-22,9.83,9.83,9.66,9.74,6.813125,92500
2016-01-25,9.74,9.79,9.57,9.66,6.757166,99700
2016-01-26,9.74,10.04,9.54,9.92,6.939038,84000
2016-01-27,9.87,9.93,9.55,9.58,6.701206,66000
2016-01-28,9.64,10.04,9.6,9.68,6.771157,32600
2016-01-29,9.69,9.86,9.67,9.81,6.862089,142800
2016-02-01,9.84,9.84,9.57,9.76,6.827113,77500
2016-02-02,9.59,9.62,9.43,9.48,6.631256,61000
2016-02-03,9.51,9.51,9.17,9.33,6.52633,128400
2016-02-04,9.26,9.45,9.26,9.38,6.561306,43600
2016-02-05,9.32,9.41,9.16,9.19,6.4284,73100
2016-02-08,9.05,9.32,8.84,9.26,6.541428,75800
2016-02-09,9.16,9.6,9.12,9.3,6.569685,43800
2016-02-10,9.48,9.58,9.11,9.13,6.449595,130100
2016-02-11,9.0,9.18,8.95,9.07,6.407208,44000
2016-02-12,9.19,9.37,9.12,9.35,6.605005,51200
2016-02-16,9.45,9.47,9.29,9.37,6.619133,126600
2016-02-17,9.41,9.49,9.28,9.3,6.569685,57100
2016-02-18,9.34,9.35,9.02,9.05,6.393082,34200
2016-02-19,9.05,9.21,9.02,9.04,6.386016,26600
2016-02-22,9.08,9.2,9.03,9.11,6.435466,50500
2016-02-23,9.1,9.14,9.1,9.1,6.428402,56000
2016-02-24,9.03,9.17,9.0,9.14,6.456657,36800
2016-02-25,9.19,9.43,9.16,9.41,6.647392,29500
2016-02-26,9.45,9.62,9.3,9.42,6.654456,24100
2016-02-29,9.47,9.49,9.25,9.33,6.590877,90000
2016-03-01,9.37,9.63,9.37,9.57,6.760417,31200
2016-03-02,9.55,9.64,9.47,9.53,6.732161,35900
2016-03-03,9.57,9.71,9.55,9.6,6.78161,34800
2016-03-04,9.62,9.74,9.5,9.59,6.774547,20700
2016-03-07,9.57,9.85,9.49,9.81,6.929956,48100
2016-03-08,9.78,9.85,9.73,9.83,6.944087,45800
2016-03-09,9.85,10.04,9.77,9.97,7.042986,34800
2016-03-10,9.99,10.15,9.77,9.82,6.937019,28300
2016-03-11,9.94,9.94,9.64,9.86,6.965278,34800
2016-03-14,9.78,9.89,9.67,9.74,6.880508,12100
2016-03-15,9.72,9.72,9.4,9.6,6.78161,46400
2016-03-16,9.53,9.63,9.35,9.39,6.633264,42300
2016-03-17,9.39,9.97,9.31,9.95,7.028858,81500
2016-03-18,9.98,10.32,9.98,10.18,7.191333,97800
2016-03-21,10.23,10.28,9.86,9.88,6.979405,33400
2016-03-22,9.87,9.87,9.59,9.7,6.852252,63400
2016-03-23,9.7,9.76,9.58,9.61,6.788674,69500
2016-03-24,9.55,9.67,9.55,9.66,6.823995,53900
2016-03-28,9.57,9.77,9.57,9.71,6.859315,54900
2016-03-29,9.71,9.91,9.63,9.83,6.944087,40900
2016-03-30,9.86,10.1,9.77,10.07,7.113627,35400
2016-03-31,10.03,10.13,9.96,10.01,7.071241,125000
2016-04-01,9.94,10.14,9.87,10.09,7.127757,21100
2016-04-04,10.06,10.08,9.92,9.95,7.028858,46500
2016-04-05,9.9,10.15,9.79,9.89,6.98647,48500
2016-04-06,9.87,9.97,9.82,9.95,7.028858,39100
2016-04-07,9.86,10.06,9.76,9.8,6.922894,47500
2016-04-08,9.9,9.97,9.83,9.86,6.965278,20700
2016-04-11,9.87,10.13,9.87,9.9,6.993535,27300
2016-04-12,9.9,10.11,9.87,10.06,7.106564,70500
2016-04-13,10.26,10.38,10.22,10.25,7.240781,46100
2016-04-14,10.26,10.54,10.26,10.34,7.304359,19600
2016-04-15,10.29,10.53,10.26,10.46,7.389129,16800
2016-04-18,10.39,10.55,10.32,10.46,7.389129,26200
