Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.82,19.0,18.41,18.790001,16.687738,623800
2016-01-05,18.6,18.799999,18.290001,18.360001,16.305853,317600
2016-01-06,18.030001,18.389999,18.02,18.120001,16.092707,261000
2016-01-07,17.690001,17.879999,17.49,17.51,15.55095,340500
2016-01-08,17.6,17.93,17.209999,17.26,15.328918,562100
2016-01-11,17.299999,17.59,17.23,17.51,15.55095,355500
2016-01-12,17.709999,17.77,17.26,17.690001,15.710814,552100
2016-01-13,17.690001,17.77,16.48,16.52,14.671712,292300
2016-01-14,16.58,16.68,16.15,16.200001,14.387515,593700
2016-01-15,15.77,15.77,14.93,15.39,13.668139,940000
2016-01-19,15.62,15.64,15.22,15.32,13.605971,387700
2016-01-20,15.02,15.33,14.38,15.11,13.419466,541100
2016-01-21,15.09,15.2,14.58,14.61,12.97541,555700
2016-01-22,14.84,15.2,14.72,15.04,13.357301,410300
2016-01-25,14.95,14.96,14.28,14.31,12.708971,335500
2016-01-26,14.32,14.88,14.28,14.83,13.170793,410300
2016-01-27,15.0,15.39,14.67,14.93,13.259605,639400
2016-01-28,15.14,15.45,15.08,15.34,13.623734,389500
2016-01-29,15.42,15.98,15.38,15.97,14.18325,513900
2016-02-01,15.9,15.93,15.5,15.8,14.032269,302400
2016-02-02,15.59,15.66,15.21,15.41,13.685902,350400
2016-02-03,15.51,15.55,14.83,15.53,13.792479,470700
2016-02-04,15.54,16.01,15.49,15.71,13.952337,236600
2016-02-05,15.71,15.86,15.41,15.42,13.694785,464800
2016-02-08,15.15,15.26,14.34,14.61,12.97541,799200
2016-02-09,14.28,15.36,14.28,15.2,13.499399,518700
2016-02-10,15.35,15.78,15.07,15.09,13.401704,460700
2016-02-11,14.68,15.05,14.38,14.95,13.277367,321500
2016-02-12,15.05,15.55,15.0,15.39,13.668139,395900
2016-02-16,15.65,16.08,15.46,15.98,14.192127,375200
2016-02-17,16.1,16.32,15.89,16.07,14.27206,395400
2016-02-18,16.1,16.1,15.71,15.75,13.987864,230200
2016-02-19,15.69,15.9,15.51,15.75,13.987864,352500
2016-02-22,15.96,16.33,15.82,16.32,14.494089,325600
2016-02-23,16.24,16.27,15.57,15.93,14.147726,399800
2016-02-24,15.72,15.72,14.99,15.53,13.792479,513700
2016-02-25,15.08,16.34,15.0,16.26,14.440804,933900
2016-02-26,16.370001,17.07,16.27,16.77,14.893744,341300
2016-02-29,16.57,17.1,16.57,16.68,14.813808,487000
2016-03-01,16.85,18.280001,16.85,18.129999,16.101583,501600
2016-03-02,18.030001,18.17,17.84,18.059999,16.039417,358100
2016-03-03,18.07,18.540001,17.98,18.52,16.447947,463200
2016-03-04,18.620001,19.0,18.51,18.84,16.732149,342200
2016-03-07,18.690001,18.83,18.540001,18.719999,16.62557,333200
2016-03-08,18.440001,18.52,18.02,18.040001,16.021656,297000
2016-03-09,18.200001,18.25,17.959999,18.07,16.048294,233100
2016-03-10,18.15,18.27,17.690001,18.129999,16.101583,338500
2016-03-11,18.32,18.66,18.25,18.639999,16.554523,226300
2016-03-14,18.629999,18.629999,18.18,18.379999,16.323612,191500
2016-03-15,18.190001,18.379999,17.92,18.059999,16.039417,181000
2016-03-16,17.99,18.59,17.93,18.15,16.119343,208000
2016-03-17,18.1,18.77,18.030001,18.68,16.590052,148500
2016-03-18,18.889999,19.07,18.74,18.959999,16.838722,565000
2016-03-21,18.969999,19.209999,18.629999,18.809999,16.705503,215600
2016-03-22,18.690001,18.799999,18.379999,18.690001,16.59893,240100
2016-03-23,18.610001,18.73,18.35,18.440001,16.376902,202000
2016-03-24,18.24,18.549999,18.02,18.540001,16.465715,164700
2016-03-28,18.540001,18.540001,18.09,18.370001,16.314735,284300
2016-03-29,18.280001,18.77,17.91,18.76,16.661098,234500
2016-03-30,18.889999,19.01,18.66,18.84,16.732149,155400
2016-03-31,18.73,18.99,18.65,18.879999,16.76767,361500
2016-04-01,18.709999,18.959999,18.469999,18.68,16.590052,257400
2016-04-04,18.700001,18.76,18.459999,18.58,16.501238,209200
2016-04-05,18.379999,18.66,18.280001,18.48,16.412428,196900
2016-04-06,18.450001,18.5,18.26,18.42,16.359138,268400
2016-04-07,18.26,18.4,17.91,18.15,16.119343,1290700
2016-04-08,18.33,18.780001,18.26,18.4,16.341381,238800
2016-04-11,18.52,18.940001,18.48,18.629999,16.545645,324800
2016-04-12,18.709999,19.129999,18.610001,19.1,16.963058,171800
2016-04-13,19.34,19.93,19.34,19.780001,17.566978,377700
2016-04-14,19.49,20.049999,19.389999,19.82,17.602503,444200
2016-04-15,19.82,20.0,19.66,19.860001,17.638023,332400
2016-04-18,19.77,19.969999,19.66,19.9,17.673553,413500
2016-04-19,19.99,20.049999,19.860001,20.0,17.762365,309300
2016-04-20,20.02,20.120001,19.93,20.09,17.842295,449700
2016-04-21,20.059999,20.32,19.99,20.040001,17.797894,269400
2016-04-22,20.0,20.15,19.83,19.950001,17.717964,629300
2016-04-25,19.879999,20.030001,19.74,20.030001,17.789013,291700
2016-04-26,20.129999,20.49,20.040001,20.33,18.055445,312700
2016-04-27,20.299999,20.469999,19.98,20.209999,17.948874,238000
2016-04-28,20.040001,20.32,19.93,20.25,17.984392,510200
