Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.28,11.35,10.67,11.11,8.745417,3447900
2016-01-05,11.1,11.24,10.62,10.65,8.383318,2986500
2016-01-06,10.36,10.36,9.97,10.14,7.981864,6600100
2016-01-07,9.95,10.0,9.32,9.35,7.360003,6788900
2016-01-08,9.52,9.78,9.23,9.49,7.470206,5117100
2016-01-11,9.52,9.57,8.83,9.01,7.092367,5435600
2016-01-12,9.25,9.34,8.56,8.97,7.060879,5823200
2016-01-13,9.04,9.28,8.77,8.86,6.974293,6866100
2016-01-14,8.9,9.34,8.57,9.16,7.210441,5941300
2016-01-15,8.78,8.87,8.32,8.62,6.785372,6400700
2016-01-19,8.69,8.77,7.88,8.05,6.336687,7329400
2016-01-20,7.88,8.23,7.46,8.14,6.407532,7306900
2016-01-21,8.14,8.58,7.99,8.34,6.564966,5575000
2016-01-22,8.7,8.99,8.24,8.5,6.690912,5723800
2016-01-25,8.38,8.47,7.89,7.91,6.226484,3832200
2016-01-26,8.03,8.23,7.84,8.16,6.423275,4433000
2016-01-27,8.08,8.83,8.05,8.71,6.856215,6737900
2016-01-28,8.93,8.97,8.3,8.37,6.58858,4614200
2016-01-29,8.51,8.82,8.12,8.63,6.793244,5528700
2016-02-01,8.49,8.94,8.34,8.83,6.950677,4301900
2016-02-02,8.78,8.78,8.22,8.27,6.509864,3860700
2016-02-03,8.4,8.87,8.07,8.86,6.974293,3454800
2016-02-04,8.93,9.8,8.85,9.41,7.407234,4891900
2016-02-05,9.27,9.46,8.92,8.94,7.037265,4260000
2016-02-08,8.77,8.9,8.28,8.54,6.7224,3267100
2016-02-09,8.32,8.69,8.2,8.37,6.58858,3065700
2016-02-10,8.39,8.6,7.99,8.34,6.564966,7402900
2016-02-11,8.23,8.97,7.66,8.09,6.368175,7321600
2016-02-12,7.98,8.86,7.75,8.8,6.927063,6245300
2016-02-16,8.96,9.26,8.73,9.19,7.234056,4376800
2016-02-17,9.36,9.94,9.3,9.76,7.682742,4798700
2016-02-18,9.9,9.96,9.49,9.93,7.816558,4530600
2016-02-19,9.77,9.84,9.41,9.56,7.525308,3509400
2016-02-22,9.8,10.07,9.36,9.53,7.501693,5035100
2016-02-23,9.39,9.41,9.04,9.24,7.273414,4077400
2016-02-24,9.0,9.75,8.86,9.73,7.659126,3733800
2016-02-25,9.71,9.76,9.21,9.65,7.596151,2477800
2016-02-26,9.86,10.56,9.86,10.48,8.249497,4893600
2016-02-29,10.52,11.02,10.33,10.86,8.548624,5074200
2016-03-01,10.87,11.36,10.84,11.2,8.816259,5578000
2016-03-02,11.27,11.82,11.14,11.79,9.280688,3774900
2016-03-03,11.72,12.07,11.59,11.78,9.272816,3609900
2016-03-04,11.87,12.53,11.79,12.0,9.445992,6130500
2016-03-07,12.08,12.9,12.03,12.87,10.130831,5048100
2016-03-08,12.66,12.79,11.68,11.78,9.272816,5781000
2016-03-09,11.98,12.24,11.58,11.93,9.390892,3498500
