Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,25.15,25.25,24.91,25.0,19.775684,163800
2020-06-18,24.98,25.0,24.85,24.99,19.767778,127500
2020-06-19,25.0,25.040001,24.9,24.985001,19.763819,156700
2020-06-22,24.98,25.1,24.92,25.075001,19.835011,127500
2020-06-23,25.1,25.24,25.1,25.16,19.90225,211200
2020-06-24,25.15,25.190001,24.84,24.985001,19.763819,139300
2020-06-25,25.0,25.129999,24.950001,25.1,19.85479,102500
2020-06-26,25.052999,25.17,24.950001,25.0,19.775684,60100
2020-06-29,25.139999,25.139999,24.945,25.0,19.775684,206200
2020-06-30,25.0,25.135,25.0,25.040001,19.807327,501500
2020-07-01,25.049999,25.129999,24.950001,24.988001,19.766193,68000
2020-07-02,25.139999,25.18,25.049999,25.07,19.831055,53100
2020-07-06,25.15,25.299999,25.09,25.280001,19.997171,69000
2020-07-07,25.280001,25.280001,25.110001,25.200001,19.933891,46800
2020-07-08,25.280001,25.280001,25.08,25.200001,19.933891,34600
2020-07-09,25.25,25.25,25.120001,25.120001,19.870607,38400
2020-07-10,25.200001,25.25,25.129999,25.184999,19.922024,41600
2020-07-13,25.290001,25.290001,25.15,25.209999,19.941797,44400
2020-07-14,25.370001,25.370001,25.01,25.139999,19.886431,35900
2020-07-15,25.219999,25.34,25.15,25.280001,19.997171,13000
2020-07-16,25.34,25.5,25.110001,25.4,20.092094,45500
2020-07-17,25.5,25.65,25.26,25.556999,20.216286,37900
2020-07-20,25.33,25.65,25.309999,25.65,20.289852,41300
2020-07-21,25.65,25.799999,25.450001,25.700001,20.329405,45400
2020-07-22,25.52,25.799999,25.5,25.780001,20.392685,33200
2020-07-23,25.780001,25.85,25.546,25.84,20.440147,15500
2020-07-24,25.84,25.9,25.775,25.825001,20.428282,19300
2020-07-27,25.813,25.950001,25.799999,25.799999,20.408506,18500
2020-07-28,25.799999,25.799999,25.549999,25.790001,20.400599,231600
2020-07-29,25.75,25.99,25.709999,25.879999,20.471788,30000
2020-07-30,25.74,25.99,25.719999,25.860001,20.455969,25400
2020-07-31,25.92,26.16,25.84,26.02,20.582535,28200
2020-08-03,26.16,26.336,26.075001,26.25,20.764469,73100
2020-08-04,26.26,26.309999,25.931,26.309999,20.81193,49100
2020-08-05,26.309999,26.4,26.25,26.25,20.764469,25400
2020-08-06,26.370001,26.379999,26.121,26.26,20.772377,24100
2020-08-07,26.33,26.4,26.264999,26.35,20.843569,9200
2020-08-10,26.389999,26.440001,26.25,26.295,20.800066,16900
2020-08-11,26.25,26.312,26.209999,26.245001,20.760513,49500
2020-08-12,26.35,26.35,26.25,26.299999,20.80402,15900
2020-08-13,26.23,26.33,26.1,26.323,20.822214,43600
2020-08-14,26.290001,26.440001,26.290001,26.4,20.883125,10200
2020-08-17,26.450001,26.67,26.385,26.67,21.096701,20900
2020-08-18,26.469999,26.690001,26.469999,26.67,21.096701,22300
2020-08-19,26.77,26.870001,26.540001,26.540001,20.993868,18600
2020-08-20,26.540001,26.66,26.459999,26.5,20.962227,23800
2020-08-21,26.309999,26.469999,26.299999,26.469999,20.938496,21700
2020-08-24,26.5,26.700001,26.450001,26.690001,21.112524,27500
2020-08-25,26.700001,26.709999,26.459999,26.584999,21.029463,14800
2020-08-26,26.68,26.73,26.490999,26.719999,21.136251,25500
2020-08-27,26.700001,26.879999,26.48,26.52,20.97805,34500
2020-08-28,26.530001,26.549,26.360001,26.469999,20.938496,23700
2020-08-31,26.34,26.34,26.1,26.26,21.129189,35900
2020-09-01,26.25,26.280001,26.1,26.27,21.137234,23900
2020-09-02,26.268999,26.43,26.216999,26.33,21.185509,21700
2020-09-03,26.379999,26.379999,26.08,26.15,21.04068,23600
2020-09-04,26.309999,26.309999,26.1,26.209999,21.088957,19600
2020-09-08,26.17,26.24,26.049999,26.049999,20.960222,34600
2020-09-09,26.15,26.35,26.1,26.35,21.201601,25300
2020-09-10,26.35,26.379999,26.25,26.35,21.201601,13600
2020-09-11,26.379999,26.440001,26.135,26.299999,21.161373,18100
2020-09-14,26.48,26.690001,26.35,26.65,21.442989,19600
2020-09-15,26.690001,26.709999,26.503,26.65,21.442989,11500
2020-09-16,26.724001,26.75,26.48,26.620001,21.418852,11300
2020-09-17,26.48,26.6,26.219999,26.360001,21.209654,19800
2020-09-18,26.59,26.59,26.379999,26.485001,21.310228,15500
2020-09-21,26.299999,26.469999,26.200001,26.469999,21.298157,34500
2020-09-22,26.315001,26.82,26.315001,26.73,21.50736,33300
2020-09-23,26.459999,26.52,25.84,26.280001,21.145285,25500
2020-09-24,26.35,26.700001,25.799999,26.450001,21.282068,32600
2020-09-25,26.5,26.85,26.389999,26.85,21.60391,29100
2020-09-28,26.84,27.24,26.700001,27.200001,21.885529,30300
2020-09-29,27.07,27.43,26.82,27.120001,21.821159,25100
2020-09-30,27.044001,27.9,27.044001,27.58,22.191284,89300
2020-10-01,27.57,27.860001,27.450001,27.73,22.311972,24400
2020-10-02,27.6,27.85,27.110001,27.299999,21.965986,59200
2020-10-05,27.440001,27.628,27.257,27.349001,22.005415,15300
2020-10-06,27.219999,27.34,26.85,27.190001,21.877481,30800
2020-10-07,27.1,27.190001,27.01,27.08,21.788973,10400
2020-10-08,27.08,27.08,26.870001,26.870001,21.620005,15500
2020-10-09,26.889999,27.08,26.82,27.08,21.788973,15500
2020-10-12,26.924999,27.1,26.809999,27.1,21.805069,12100
2020-10-13,27.059999,27.1,27.02,27.09,21.79702,6900
2020-10-14,27.0,27.1,26.84,27.0,21.724604,19500
2020-10-15,26.860001,27.190001,26.620001,26.93,21.668282,25800
2020-10-16,27.290001,27.290001,26.9,26.940001,21.676331,10300
2020-10-19,27.049999,27.389999,26.969999,27.040001,21.75679,13200
2020-10-20,27.25,27.299999,27.09,27.280001,21.949896,14000
2020-10-21,27.066,27.4,27.004999,27.061001,21.773689,15200
2020-10-22,27.200001,27.33,26.969999,27.219999,21.901617,28900
2020-10-23,27.32,27.33,27.131001,27.280001,21.949896,16900
2020-10-26,27.118,27.385,27.030001,27.280001,21.949896,7600
2020-10-27,27.200001,27.254999,26.92,27.23,21.909664,19200
