Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.68,17.68,16.68,17.125,14.731944,56000
2016-01-05,17.205,17.445,17.01,17.334999,14.912598,33800
2016-01-06,17.084999,17.34,17.014999,17.285,14.869592,44600
2016-01-07,16.940001,17.030001,16.66,16.934999,14.568499,47800
2016-01-08,17.025,17.879999,16.975,17.375,14.94701,53800
2016-01-11,17.5,17.805,16.885,16.955,14.5857,47000
2016-01-12,17.200001,17.389999,16.75,17.094999,14.706138,90600
2016-01-13,17.059999,17.315001,16.99,17.040001,14.658825,44400
2016-01-14,17.084999,17.85,17.084999,17.344999,14.921201,65400
2016-01-15,17.084999,17.25,16.889999,17.1,14.710441,82400
2016-01-19,17.280001,17.315001,16.945,17.1,14.710441,60200
2016-01-20,17.01,17.690001,16.985001,17.57,15.114762,72000
2016-01-21,17.66,17.754999,17.08,17.35,14.925504,31800
2016-01-22,17.584999,17.870001,17.459999,17.775,15.291112,33000
2016-01-25,17.645,17.795,16.709999,17.09,14.701836,123200
2016-01-26,17.290001,18.01,17.165001,17.83,15.338426,68400
2016-01-27,17.605,17.799999,17.115,17.26,14.848082,32400
2016-01-28,17.49,17.905001,17.34,17.655001,15.187881,28400
2016-01-29,17.75,18.815001,17.75,18.735001,16.116964,101600
2016-02-01,18.58,18.68,18.315001,18.41,15.837379,34200
2016-02-02,18.190001,18.190001,17.41,17.815001,15.325527,18400
2016-02-03,17.995001,18.6,17.155001,18.245001,15.695432,14000
2016-02-04,18.24,18.645,17.73,17.879999,15.381443,22200
2016-02-05,17.825001,18.440001,17.325001,17.34,14.916903,55200
2016-02-08,17.190001,17.719999,17.145,17.635,15.170678,23400
2016-02-09,17.504999,18.415001,17.504999,17.66,15.19218,55200
2016-02-10,17.785,17.785,16.945,17.030001,14.650221,69200
2016-02-11,16.865,17.035,16.705,16.799999,14.452364,39000
2016-02-12,17.0,17.084999,16.695,17.014999,14.637317,41800
2016-02-16,17.115,17.379999,17.115,17.264999,14.852388,29000
2016-02-17,17.440001,17.525,17.055,17.055,14.671726,43200
2016-02-18,17.094999,17.395,16.09,16.24,13.970616,64200
2016-02-19,16.219999,16.42,15.885,15.95,13.721142,49200
2016-02-22,16.32,16.34,16.0,16.025,13.785661,35400
2016-02-23,16.065001,16.49,15.655,15.735,13.536186,53400
2016-02-24,15.55,16.360001,15.55,15.885,13.665222,46200
2016-02-25,15.34,16.049999,15.265,15.35,13.204984,111800
2016-02-26,15.405,15.77,15.4,15.555,13.381339,51600
2016-02-29,15.525,16.110001,15.525,15.99,13.75555,82000
2016-03-01,16.145,16.375,15.835,16.030001,13.789962,29200
2016-03-02,16.23,16.295,15.825,16.25,13.979217,139000
2016-03-03,16.25,16.940001,16.25,16.915001,14.551291,88000
2016-03-04,16.809999,17.15,16.305,16.355,14.069544,50600
2016-03-07,16.375,17.0,16.375,16.98,14.607207,88400
2016-03-08,16.934999,17.264999,16.719999,16.940001,14.572796,46400
2016-03-09,16.965,17.25,16.809999,17.0,14.624413,47600
2016-03-10,17.1,17.110001,16.735001,16.785,14.439455,41600
2016-03-11,16.995001,17.184999,16.9,17.129999,14.736246,53400
