Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,31.190001,31.57,30.690001,31.5,27.086304,69400
2016-01-05,31.57,32.02,31.4,31.58,27.15509,68200
2016-01-06,31.08,32.009998,31.08,31.389999,26.991713,117000
2016-01-07,30.74,31.440001,30.74,31.1,26.74235,46200
2016-01-08,31.299999,31.59,30.620001,30.780001,26.46719,253500
2016-01-11,31.059999,31.549999,30.559999,31.440001,27.034702,50700
2016-01-12,31.75,31.75,30.610001,31.129999,26.768143,43000
2016-01-13,31.99,32.029999,29.74,30.0,25.79648,56700
2016-01-14,30.18,30.66,29.639999,30.48,26.209219,64500
2016-01-15,29.59,29.709999,28.299999,29.469999,25.340738,81300
2016-01-19,29.940001,29.940001,28.68,29.02,24.953794,42000
2016-01-20,28.25,28.25,27.299999,28.02,24.093914,111500
2016-01-21,28.190001,29.98,27.73,29.82,25.641697,193200
2016-01-22,30.52,30.52,29.129999,29.26,25.160164,64100
2016-01-25,29.18,29.18,27.290001,27.68,23.801548,51400
2016-01-26,27.77,28.209999,27.639999,27.93,24.016521,76700
2016-01-27,28.110001,28.65,27.459999,28.25,24.291681,155200
2016-01-28,29.620001,34.950001,29.620001,33.07,28.436317,181600
2016-01-29,32.900002,32.900002,29.290001,29.91,25.71909,111500
2016-02-01,29.68,30.290001,28.299999,29.6,25.452526,78600
2016-02-02,29.25,29.25,28.200001,28.82,24.781816,70600
2016-02-03,29.290001,30.110001,28.49,29.540001,25.400932,85500
2016-02-04,29.49,30.370001,28.59,29.16,25.142265,45600
2016-02-05,29.24,29.24,27.610001,27.610001,23.805828,46600
2016-02-08,27.33,27.870001,26.530001,27.629999,23.823071,40700
2016-02-09,27.049999,27.950001,26.74,27.780001,23.952408,37200
2016-02-10,28.0,29.18,27.709999,27.85,24.012758,57100
2016-02-11,27.290001,27.309999,26.23,26.709999,23.029827,48500
2016-02-12,27.33,28.280001,27.33,27.65,23.840317,69800
2016-02-16,28.07,28.57,27.75,28.129999,24.254185,56500
2016-02-17,28.58,28.940001,27.65,28.1,24.228315,50400
2016-02-18,28.379999,28.549999,26.6,26.77,23.081566,75100
2016-02-19,26.719999,27.85,26.719999,27.219999,23.469563,124500
2016-02-22,27.469999,28.24,27.01,28.01,24.150713,66600
2016-02-23,27.790001,27.969999,26.299999,27.040001,23.314363,54200
2016-02-24,26.73,26.83,25.74,26.530001,22.874634,81400
2016-02-25,26.639999,27.379999,26.23,27.24,23.486805,49800
2016-02-26,27.370001,28.35,26.200001,27.68,23.866184,39000
2016-02-29,27.540001,29.98,27.43,27.5,23.710989,54100
2016-03-01,27.59,29.120001,27.59,28.91,24.92671,24600
2016-03-02,28.780001,29.74,28.27,28.77,24.806004,42500
2016-03-03,28.6,29.9,28.450001,28.82,24.849115,93700
2016-03-04,28.99,30.6,28.67,29.879999,25.763063,71400
2016-03-07,29.799999,31.030001,29.65,30.559999,26.349373,26500
2016-03-08,30.200001,30.77,29.1,29.1,25.090536,95500
2016-03-09,29.219999,30.049999,28.309999,28.889999,24.90947,72900
2016-03-10,28.879999,30.540001,28.299999,29.9,25.780306,37800
2016-03-11,30.07,31.17,30.07,31.15,26.85808,85400
2016-03-14,31.030001,32.669998,30.34,30.879999,26.625282,31900
2016-03-15,30.799999,32.169998,29.93,30.059999,25.918261,41000
2016-03-16,29.780001,31.209999,28.9,29.370001,25.323332,27500
2016-03-17,29.389999,29.959999,29.01,29.559999,25.487152,123800
2016-03-18,29.860001,31.33,29.23,30.17,26.013111,96000
2016-03-21,31.09,31.09,29.52,30.200001,26.038971,39100
2016-03-22,29.91,29.91,29.299999,29.65,25.564758,35500
2016-03-23,29.33,29.33,28.559999,28.59,24.650803,25600
2016-03-24,28.27,28.469999,28.0,28.450001,24.53009,19200
2016-03-28,28.469999,28.620001,27.83,28.280001,24.383518,23600
