Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.43,7.43,7.43,7.43,7.43,2200
2016-01-05,7.44,7.53,7.44,7.44,7.44,2500
2016-01-06,7.75,8.29,7.54,8.08,8.08,23600
2016-01-07,8.1,8.1,7.77,7.83,7.83,6200
2016-01-08,8.01,8.03,7.82,7.89,7.89,9600
2016-01-11,7.62,7.93,7.6,7.79,7.79,4800
2016-01-12,7.88,7.88,7.88,7.88,7.88,100
2016-01-13,7.71,7.88,7.7,7.74,7.74,7000
2016-01-14,7.85,7.85,7.6,7.8,7.8,3300
2016-01-15,7.6,7.79,7.5,7.78,7.78,6300
2016-01-19,7.8,7.8,7.51,7.51,7.51,4400
2016-01-20,7.66,7.66,6.95,7.21,7.21,10900
2016-01-21,7.51,7.7,7.35,7.62,7.62,3200
2016-01-22,7.77,7.77,7.24,7.49,7.49,4700
2016-01-25,7.49,7.65,7.46,7.46,7.46,1100
2016-01-26,7.24,7.52,7.24,7.52,7.52,1600
2016-01-27,7.52,7.66,7.52,7.66,7.66,400
2016-01-28,7.76,8.1,7.58,7.74,7.74,6000
2016-01-29,5.95,6.24,5.6,5.87,5.87,183300
2016-02-01,7.09,7.09,6.01,6.31,6.31,26900
2016-02-02,6.25,6.46,6.07,6.15,6.15,31300
2016-02-03,6.64,6.94,6.13,6.35,6.35,37700
2016-02-04,6.5,6.5,6.16,6.2,6.2,31200
2016-02-05,6.37,6.98,6.09,6.17,6.17,49100
2016-02-08,6.17,6.17,6.0,6.0,6.0,15600
2016-02-09,6.15,6.3,6.15,6.3,6.3,13200
2016-02-10,6.31,6.31,6.06,6.22,6.22,23200
2016-02-11,6.0,6.3,5.8,6.05,6.05,22800
2016-02-12,5.94,6.0,5.85,5.9,5.9,7900
2016-02-16,6.01,6.25,5.95,6.2,6.2,6100
2016-02-17,6.25,6.25,6.01,6.19,6.19,2700
2016-02-18,6.16,6.22,6.05,6.1,6.1,5100
2016-02-19,6.12,6.16,6.05,6.06,6.06,2800
2016-02-22,6.06,6.2,6.05,6.08,6.08,5700
2016-02-23,6.11,6.13,6.0,6.0,6.0,16200
2016-02-24,6.0,6.03,5.85,5.86,5.86,5200
2016-02-25,6.0,6.0,5.8,5.97,5.97,8600
2016-02-26,5.92,5.95,5.8,5.88,5.88,4000
2016-02-29,5.85,5.99,5.85,5.95,5.95,4500
2016-03-01,5.95,6.0,5.95,6.0,6.0,13700
2016-03-02,6.0,6.0,5.92,6.0,6.0,20900
2016-03-03,6.1,6.2,5.98,5.98,5.98,6500
2016-03-04,6.14,6.25,6.14,6.19,6.19,26400
2016-03-07,6.24,6.25,6.06,6.1,6.1,2500
2016-03-08,6.06,6.1,6.06,6.06,6.06,3500
2016-03-09,6.08,6.2,6.06,6.11,6.11,1500
2016-03-10,6.1,6.24,6.1,6.24,6.24,14400
2016-03-11,6.09,6.34,6.09,6.32,6.32,13800
2016-03-14,6.21,6.4,6.11,6.29,6.29,2300
2016-03-15,6.2,6.47,6.2,6.31,6.31,30200
2016-03-16,6.38,6.5,6.31,6.49,6.49,7400
2016-03-17,6.5,6.81,6.11,6.67,6.67,8400
2016-03-18,6.75,6.99,6.74,6.91,6.91,15900
2016-03-21,6.7,6.7,6.35,6.53,6.53,11700
2016-03-22,6.5,6.6,6.5,6.5,6.5,4600
2016-03-23,6.51,6.64,6.51,6.53,6.53,1200
2016-03-24,6.5,6.71,6.5,6.53,6.53,2300
2016-03-28,6.63,6.63,6.55,6.55,6.55,600
2016-03-29,6.84,6.95,6.8,6.86,6.86,2200
2016-03-30,6.99,6.99,6.89,6.95,6.95,1700
2016-03-31,6.89,6.95,6.79,6.85,6.85,3100
2016-04-01,6.74,6.74,6.55,6.55,6.55,300
2016-04-04,6.7,6.7,6.7,6.7,6.7,300
2016-04-05,6.9,6.93,6.9,6.9,6.9,1700
2016-04-06,6.75,6.75,6.75,6.75,6.75,400
2016-04-07,6.95,6.95,6.71,6.71,6.71,5400
2016-04-08,6.62,6.62,6.5,6.5,6.5,12600
2016-04-11,6.73,6.73,6.7,6.7,6.7,800
2016-04-12,6.51,6.64,6.5,6.5,6.5,3100
2016-04-13,6.88,6.98,6.55,6.55,6.55,3700
2016-04-14,6.73,6.87,6.57,6.61,6.61,6000
2016-04-15,6.75,6.91,6.62,6.62,6.62,2100
2016-04-18,6.63,6.79,6.63,6.72,6.72,4800
2016-04-19,6.8,6.8,6.64,6.73,6.73,3200
2016-04-20,6.72,6.72,6.6,6.72,6.72,3100
2016-04-21,6.77,6.8,6.62,6.75,6.75,6300
2016-04-22,6.79,6.8,6.68,6.74,6.74,3600
2016-04-25,6.8,6.8,6.56,6.73,6.73,1300
2016-04-26,6.62,6.92,6.62,6.85,6.85,8600
2016-04-27,6.98,7.0,6.78,6.96,6.96,6000
2016-04-28,6.95,6.98,6.78,6.98,6.98,1100
2016-04-29,6.99,6.99,6.7,6.76,6.76,5500
2016-05-02,6.86,6.86,6.65,6.66,6.66,6200
2016-05-03,6.66,6.66,6.52,6.55,6.55,3100
2016-05-04,6.55,6.84,6.13,6.13,6.13,31400
2016-05-05,6.2,6.28,5.62,6.06,6.06,11400
2016-05-06,6.12,6.49,5.93,6.49,6.49,8900
2016-05-09,6.47,6.96,6.47,6.93,6.93,9100
2016-05-10,6.95,6.95,6.73,6.79,6.79,7900
2016-05-11,6.95,6.95,6.7,6.71,6.71,12500
2016-05-12,6.4,6.91,6.01,6.15,6.15,38900
2016-05-13,6.22,6.23,6.15,6.22,6.22,7700
2016-05-16,6.24,6.47,6.24,6.41,6.41,7700
2016-05-17,6.5,6.8,6.5,6.7,6.7,6800
2016-05-18,6.8,7.38,6.8,7.1,7.1,16100
2016-05-19,7.16,7.21,6.59,6.76,6.76,22700
2016-05-20,6.91,6.91,6.91,6.91,6.91,200
2016-05-23,6.71,6.96,6.6,6.67,6.67,7000
2016-05-24,6.7,6.93,6.7,6.82,6.82,5500
2016-05-25,6.92,6.92,6.7,6.76,6.76,8300
2016-05-26,6.92,6.92,6.88,6.88,6.88,1000
2016-05-27,6.81,6.9,6.7,6.78,6.78,2400
2016-05-31,6.88,6.93,6.75,6.77,6.77,3500
2016-06-01,6.65,6.65,6.46,6.61,6.61,6200
2016-06-02,6.41,6.41,6.41,6.41,6.41,100
2016-06-03,6.49,6.84,6.49,6.83,6.83,3500
2016-06-06,6.83,6.83,6.67,6.75,6.75,2400
2016-06-07,6.75,6.75,6.72,6.72,6.72,2100
2016-06-08,6.72,6.82,6.59,6.8,6.8,3100
