Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.05,1.2,1.05,1.17,1.17,62800
2016-01-05,1.18,1.27,1.07,1.1,1.1,96700
2016-01-06,1.11,1.25,1.06,1.25,1.25,71200
2016-01-07,1.29,1.29,1.11,1.17,1.17,20300
2016-01-08,1.2,1.2,1.12,1.13,1.13,18300
2016-01-11,1.1,1.21,1.1,1.13,1.13,21700
2016-01-12,1.1,1.19,1.07,1.19,1.19,54300
2016-01-13,1.16,1.16,1.09,1.09,1.09,9100
2016-01-14,1.11,1.14,1.1,1.11,1.11,5300
2016-01-15,1.08,1.09,1.05,1.05,1.05,34700
2016-01-19,1.05,1.09,1.05,1.08,1.08,11400
2016-01-20,1.02,1.09,1.0,1.09,1.09,30400
2016-01-21,1.09,1.15,1.08,1.15,1.15,11200
2016-01-22,1.15,1.16,1.11,1.11,1.11,17600
2016-01-25,1.08,1.1,1.05,1.05,1.05,9000
2016-01-26,1.05,1.07,1.02,1.03,1.03,13400
2016-01-27,1.0,1.03,1.0,1.01,1.01,8400
2016-01-28,1.02,1.05,1.0,1.02,1.02,17500
2016-01-29,1.0,1.07,1.0,1.0,1.0,17900
2016-02-01,1.0,1.07,0.95,1.04,1.04,49200
2016-02-02,1.02,1.04,1.02,1.03,1.03,17000
2016-02-03,1.01,1.09,0.98,0.99,0.99,4600
2016-02-04,1.04,1.04,1.01,1.02,1.02,6600
2016-02-05,1.03,1.03,0.98,0.98,0.98,3300
2016-02-08,0.96,1.01,0.95,0.99,0.99,33900
2016-02-09,0.99,1.0,0.94,0.94,0.94,3600
2016-02-10,0.97,0.99,0.84,0.85,0.85,24700
2016-02-11,0.82,1.0,0.82,0.9,0.9,38500
2016-02-12,0.95,1.0,0.88,0.95,0.95,37400
2016-02-16,0.95,1.0,0.91,0.99,0.99,3600
2016-02-17,0.97,1.0,0.96,0.99,0.99,20000
2016-02-18,0.96,1.0,0.96,0.99,0.99,10900
2016-02-19,0.96,1.04,0.96,0.97,0.97,32900
2016-02-22,0.98,1.04,0.98,1.02,1.02,23100
2016-02-23,1.0,1.05,0.96,0.98,0.98,30900
2016-02-24,0.98,1.03,0.91,1.01,1.01,19200
2016-02-25,1.01,1.04,0.99,1.01,1.01,17700
2016-02-26,0.92,1.02,0.92,1.0,1.0,15600
2016-02-29,0.95,1.0,0.93,0.96,0.96,23800
2016-03-01,0.92,1.11,0.92,1.05,1.05,20500
2016-03-02,1.1,1.18,1.1,1.13,1.13,45500
2016-03-03,1.16,1.17,1.1,1.16,1.16,14900
2016-03-04,1.19,1.2,1.15,1.16,1.16,53800
2016-03-07,1.15,1.39,1.1,1.18,1.18,84600
2016-03-08,1.23,1.25,1.19,1.19,1.19,57200
2016-03-09,1.23,1.28,1.18,1.25,1.25,34900
2016-03-10,1.25,1.38,1.25,1.37,1.37,77400
2016-03-11,1.39,1.46,1.31,1.31,1.31,33800
2016-03-14,1.39,1.39,1.29,1.3,1.3,23400
2016-03-15,1.27,1.38,1.27,1.36,1.36,22200
2016-03-16,1.36,1.43,1.36,1.42,1.42,4700
2016-03-17,1.4,1.5,1.4,1.46,1.46,69500
2016-03-18,1.46,1.49,1.44,1.44,1.44,23100
2016-03-21,1.42,1.44,1.4,1.4,1.4,53800
2016-03-22,1.4,1.44,1.24,1.3,1.3,29200
2016-03-23,1.3,1.31,1.15,1.23,1.23,79900
2016-03-24,1.22,1.29,1.14,1.29,1.29,33900
2016-03-28,1.21,1.33,1.21,1.33,1.33,22900
2016-03-29,1.34,1.5,1.32,1.47,1.47,80200
2016-03-30,1.5,1.54,1.49,1.54,1.54,26000
2016-03-31,1.55,1.64,1.45,1.6,1.6,91000
2016-04-01,1.63,1.65,1.54,1.57,1.57,58900
2016-04-04,1.56,1.95,1.56,1.62,1.62,184600
2016-04-05,1.65,1.75,1.65,1.67,1.67,67100
2016-04-06,1.73,1.73,1.5,1.51,1.51,75200
2016-04-07,1.51,1.72,1.51,1.61,1.61,24400
2016-04-08,1.63,1.65,1.53,1.6,1.6,27200
2016-04-11,1.56,1.71,1.5,1.56,1.56,8500
2016-04-12,1.53,1.59,1.53,1.59,1.59,3200
2016-04-13,1.55,1.7,1.53,1.62,1.62,35100
2016-04-14,1.62,1.68,1.62,1.65,1.65,18900
2016-04-15,1.67,1.7,1.65,1.7,1.7,38600
2016-04-18,1.7,1.9,1.7,1.76,1.76,124600
2016-04-19,1.76,1.99,1.76,1.91,1.91,137900
2016-04-20,1.9,1.98,1.9,1.9,1.9,92100
2016-04-21,1.9,1.94,1.73,1.75,1.75,24700
2016-04-22,1.75,1.89,1.75,1.87,1.87,33800
2016-04-25,1.88,1.88,1.81,1.84,1.84,40400
2016-04-26,1.82,2.2,1.82,2.0,2.0,345900
2016-04-27,2.04,2.07,1.95,1.96,1.96,55700
2016-04-28,1.96,2.03,1.9,1.93,1.93,16600
2016-04-29,1.95,2.02,1.95,1.98,1.98,33100
2016-05-02,1.92,2.0,1.88,1.95,1.95,8200
2016-05-03,1.95,1.95,1.88,1.88,1.88,8600
2016-05-04,1.88,2.14,1.87,2.14,2.14,44900
2016-05-05,2.08,2.09,1.75,1.88,1.88,104100
2016-05-06,1.85,1.89,1.81,1.89,1.89,15700
2016-05-09,1.84,1.88,1.82,1.84,1.84,13100
2016-05-10,1.9,1.91,1.72,1.87,1.87,29400
2016-05-11,1.88,1.88,1.7,1.75,1.75,9900
2016-05-12,1.74,1.87,1.56,1.56,1.56,35600
2016-05-13,1.58,1.97,1.58,1.82,1.82,79800
2016-05-16,1.84,1.98,1.66,1.85,1.85,53400
2016-05-17,1.88,1.88,1.8,1.84,1.84,12700
2016-05-18,1.85,1.92,1.83,1.9,1.9,41800
2016-05-19,1.85,1.87,1.83,1.86,1.86,7100
2016-05-20,1.88,1.94,1.86,1.9,1.9,37300
2016-05-23,1.86,1.91,1.86,1.89,1.89,6900
2016-05-24,1.9,1.92,1.88,1.89,1.89,17700
2016-05-25,1.94,1.94,1.87,1.89,1.89,13300
2016-05-26,1.89,1.89,1.82,1.82,1.82,2700
2016-05-27,1.81,1.89,1.81,1.87,1.87,8400
2016-05-31,1.88,2.03,1.88,2.03,2.03,26900
2016-06-01,2.0,2.0,1.82,1.82,1.82,32000
2016-06-02,1.88,1.94,1.85,1.87,1.87,10700
2016-06-03,1.82,1.89,1.82,1.85,1.85,10000
2016-06-06,1.83,1.87,1.82,1.86,1.86,8200
2016-06-07,1.9,1.9,1.84,1.86,1.86,11000
2016-06-08,1.89,2.02,1.87,1.93,1.93,33800
2016-06-09,2.0,2.0,1.93,1.94,1.94,11800
2016-06-10,1.93,1.93,1.89,1.9,1.9,9700
2016-06-13,1.95,2.11,1.91,1.95,1.95,99200
2016-06-14,1.97,1.97,1.83,1.83,1.83,35700
2016-06-15,1.65,1.65,1.45,1.56,1.56,635800
2016-06-16,1.59,1.63,1.5,1.63,1.63,148900
2016-06-17,1.61,1.65,1.57,1.6,1.6,61700
2016-06-20,1.6,1.6,1.51,1.55,1.55,101800
2016-06-21,1.53,1.58,1.5,1.5,1.5,30300
2016-06-22,1.49,1.58,1.46,1.51,1.51,51800
2016-06-23,1.49,1.53,1.45,1.47,1.47,34500
2016-06-24,1.42,1.5,1.41,1.46,1.46,37600
2016-06-27,1.44,1.44,1.27,1.42,1.42,66000
2016-06-28,1.47,1.47,1.39,1.43,1.43,11200
2016-06-29,1.42,1.52,1.23,1.41,1.41,125700
2016-06-30,1.44,1.46,1.36,1.38,1.38,13900
2016-07-01,1.36,1.42,1.28,1.39,1.39,17500
2016-07-05,1.36,1.36,1.27,1.27,1.27,52900
2016-07-06,1.29,1.59,1.26,1.37,1.37,76400
2016-07-07,1.33,1.41,1.3,1.41,1.41,42500
2016-07-08,1.41,1.64,1.31,1.56,1.56,280000
2016-07-11,1.55,1.58,1.44,1.5,1.5,106900
2016-07-12,1.5,1.56,1.5,1.53,1.53,48300
2016-07-13,1.53,1.65,1.51,1.56,1.56,63800
2016-07-14,1.55,1.63,1.55,1.62,1.62,74400
2016-07-15,1.65,1.66,1.6,1.65,1.65,124000
2016-07-18,1.63,1.66,1.49,1.59,1.59,47200
2016-07-19,1.55,1.59,1.5,1.55,1.55,42400
2016-07-20,1.6,1.62,1.56,1.6,1.6,33000
2016-07-21,1.62,1.62,1.52,1.58,1.58,27400
2016-07-22,1.59,1.59,1.52,1.59,1.59,38600
2016-07-25,1.59,1.61,1.55,1.6,1.6,36700
2016-07-26,1.61,1.61,1.57,1.6,1.6,5500
2016-07-27,1.6,1.6,1.56,1.59,1.59,18800
2016-07-28,1.56,1.6,1.5,1.6,1.6,15700
2016-07-29,1.55,1.57,1.5,1.57,1.57,7500
2016-08-01,1.55,1.57,1.55,1.56,1.56,1500
2016-08-02,1.58,1.6,1.54,1.58,1.58,2100
2016-08-03,1.58,1.6,1.5,1.55,1.55,13100
2016-08-04,1.51,1.57,1.51,1.55,1.55,3300
2016-08-05,1.55,1.61,1.54,1.6,1.6,5400
2016-08-08,1.59,1.61,1.56,1.59,1.59,16200
2016-08-09,1.59,1.6,1.57,1.6,1.6,4400
2016-08-10,1.59,1.59,1.59,1.59,1.59,5900
2016-08-11,1.52,1.54,1.2,1.37,1.37,265000
2016-08-12,1.33,1.5,1.33,1.44,1.44,107600
2016-08-15,1.48,1.57,1.44,1.55,1.55,143700
2016-08-16,1.53,1.76,1.53,1.66,1.66,138500
2016-08-17,1.66,1.7,1.6,1.64,1.64,33600
2016-08-18,1.62,1.63,1.6,1.63,1.63,10700
2016-08-19,1.61,1.7,1.61,1.7,1.7,34000
2016-08-22,1.65,1.65,1.59,1.64,1.64,72600
2016-08-23,1.67,1.67,1.62,1.62,1.62,9200
2016-08-24,1.67,1.7,1.67,1.69,1.69,27400
2016-08-25,1.72,1.72,1.67,1.71,1.71,55900
2016-08-26,1.7,1.7,1.66,1.67,1.67,30900
2016-08-29,1.66,1.68,1.65,1.67,1.67,4400
2016-08-30,1.69,1.69,1.65,1.67,1.67,5600
2016-08-31,1.68,1.8,1.66,1.8,1.8,25000
2016-09-01,1.79,1.79,1.67,1.67,1.67,28400
2016-09-02,1.66,1.73,1.6,1.67,1.67,10400
2016-09-06,1.65,1.65,1.61,1.61,1.61,10900
2016-09-07,1.62,1.66,1.54,1.54,1.54,32800
