Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.82,2.83,2.68,2.69,2.69,16400
2016-01-05,2.75,2.75,2.65,2.65,2.65,19600
2016-01-06,2.72,2.72,2.63,2.63,2.63,18300
2016-01-07,2.63,2.63,2.5,2.52,2.52,96300
2016-01-08,2.51,2.6,2.5,2.52,2.52,18000
2016-01-11,2.56,2.6,2.49,2.49,2.49,12600
2016-01-12,2.57,2.57,2.46,2.48,2.48,9800
2016-01-13,2.45,2.5,2.45,2.45,2.45,10700
2016-01-14,2.45,2.5,2.45,2.48,2.48,12600
2016-01-15,2.44,2.5,2.4,2.46,2.46,14400
2016-01-19,2.49,2.49,2.37,2.37,2.37,36600
2016-01-20,2.35,2.39,2.31,2.32,2.32,12300
2016-01-21,2.32,2.39,2.32,2.35,2.35,12900
2016-01-22,2.35,2.48,2.35,2.42,2.42,17000
2016-01-25,2.41,2.48,2.32,2.4,2.4,6100
2016-01-26,2.41,2.44,2.31,2.31,2.31,23400
2016-01-27,2.42,2.42,2.34,2.37,2.37,5700
2016-01-28,2.33,2.42,2.33,2.38,2.38,6400
2016-01-29,2.4,2.5,2.32,2.41,2.41,48900
2016-02-01,2.41,2.48,2.36,2.36,2.36,34800
2016-02-02,2.36,2.46,2.35,2.37,2.37,15500
2016-02-03,2.42,2.43,2.41,2.41,2.41,2800
2016-02-04,2.44,2.44,2.33,2.35,2.35,59600
2016-02-05,2.35,2.46,2.35,2.37,2.37,13200
2016-02-08,2.4,2.4,2.32,2.33,2.33,6300
2016-02-09,2.4,2.4,2.34,2.4,2.4,6600
2016-02-10,2.42,2.45,2.37,2.43,2.43,4800
2016-02-11,2.42,2.42,2.32,2.33,2.33,41300
2016-02-12,2.4,2.43,2.31,2.38,2.38,51700
2016-02-16,2.4,2.48,2.36,2.38,2.38,26200
2016-02-17,2.42,2.49,2.4,2.42,2.42,17900
2016-02-18,2.44,2.44,2.36,2.38,2.38,19700
2016-02-19,2.4,2.49,2.4,2.4,2.4,24100
2016-02-22,2.45,2.53,2.45,2.48,2.48,1400
2016-02-23,2.48,2.48,2.35,2.45,2.45,14800
2016-02-24,2.48,2.48,2.32,2.37,2.37,23100
2016-02-25,2.37,2.41,2.36,2.36,2.36,3600
2016-02-26,2.4,2.4,2.3,2.34,2.34,12200
2016-02-29,2.31,2.36,2.28,2.3,2.3,19900
2016-03-01,2.3,2.36,2.28,2.31,2.31,21100
2016-03-02,2.26,2.36,2.25,2.3,2.3,20400
2016-03-03,2.31,2.35,2.25,2.27,2.27,12300
2016-03-04,2.26,2.3,2.24,2.25,2.25,60000
2016-03-07,2.25,2.32,2.24,2.24,2.24,25000
2016-03-08,2.24,2.33,2.24,2.26,2.26,4200
2016-03-09,2.23,2.28,2.21,2.22,2.22,31100
2016-03-10,2.24,2.26,2.21,2.25,2.25,20400
2016-03-11,2.3,2.34,2.25,2.26,2.26,47300
2016-03-14,2.27,2.34,2.26,2.32,2.32,10500
