Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,21.799999,21.799999,21.799999,21.799999,21.799999,0
2016-01-05,21.799999,21.799999,21.799999,21.799999,21.799999,0
2016-01-06,21.799999,21.799999,21.799999,21.799999,21.799999,0
2016-01-07,21.200001,21.6,21.200001,21.6,21.6,15
2016-01-08,21.6,21.6,21.6,21.6,21.6,0
2016-01-11,21.0,21.0,21.0,21.0,21.0,10
2016-01-12,21.0,21.0,21.0,21.0,21.0,10
2016-01-13,21.0,21.0,21.0,21.0,21.0,0
2016-01-14,21.0,21.0,21.0,21.0,21.0,0
2016-01-15,21.0,21.0,21.0,21.0,21.0,0
2016-01-19,21.0,21.0,21.0,21.0,21.0,0
2016-01-20,21.0,21.0,21.0,21.0,21.0,0
2016-01-21,21.0,21.0,21.0,21.0,21.0,0
2016-01-22,21.0,21.0,16.799999,17.6,17.6,1240
2016-01-25,17.6,17.6,16.4,17.4,17.4,125
2016-01-26,16.4,16.6,16.4,16.6,16.6,65
2016-01-27,16.6,16.6,16.6,16.6,16.6,0
2016-01-28,16.6,16.6,16.6,16.6,16.6,0
2016-01-29,15.4,16.4,15.0,16.4,16.4,45
2016-02-01,16.4,16.4,16.4,16.4,16.4,0
2016-02-02,16.6,16.6,16.6,16.6,16.6,10
2016-02-03,16.6,16.6,16.6,16.6,16.6,0
2016-02-04,16.6,16.6,16.6,16.6,16.6,0
2016-02-05,16.6,16.6,16.6,16.6,16.6,0
2016-02-08,16.6,16.6,16.6,16.6,16.6,0
2016-02-09,15.0,16.6,15.0,16.6,16.6,60
2016-02-10,16.6,16.6,16.6,16.6,16.6,0
2016-02-11,15.0,16.6,15.0,16.6,16.6,150
2016-02-12,16.6,16.6,16.6,16.6,16.6,0
2016-02-16,16.6,16.6,16.6,16.6,16.6,0
2016-02-17,16.6,16.6,16.6,16.6,16.6,0
2016-02-18,16.6,16.6,16.6,16.6,16.6,0
2016-02-19,16.6,16.6,16.6,16.6,16.6,0
2016-02-22,16.6,16.6,16.6,16.6,16.6,0
2016-02-23,14.6,16.6,13.8,13.8,13.8,315
2016-02-24,15.6,15.6,15.6,15.6,15.6,10
2016-02-25,15.6,15.6,15.6,15.6,15.6,0
2016-02-26,15.6,15.6,15.6,15.6,15.6,0
2016-02-29,15.6,15.6,15.6,15.6,15.6,200
2016-03-01,15.6,15.6,15.6,15.6,15.6,0
2016-03-02,15.6,15.6,15.6,15.6,15.6,0
2016-03-03,15.6,15.6,15.6,15.6,15.6,0
2016-03-04,13.6,15.2,13.6,15.2,15.2,15
2016-03-07,13.6,15.6,13.6,15.0,15.0,140
2016-03-08,13.6,15.6,13.6,15.6,15.6,110
2016-03-09,15.6,15.6,15.6,15.6,15.6,0
2016-03-10,15.0,15.6,15.0,15.6,15.6,15
2016-03-11,15.6,15.6,15.6,15.6,15.6,0
2016-03-14,15.6,15.6,15.6,15.6,15.6,0
2016-03-15,15.2,15.2,15.0,15.0,15.0,250
2016-03-16,15.0,15.0,15.0,15.0,15.0,0
2016-03-17,15.6,15.6,14.0,14.0,14.0,260
2016-03-18,13.0,15.0,13.0,13.0,13.0,65
2016-03-21,13.0,13.0,13.0,13.0,13.0,300
2016-03-22,13.0,13.0,13.0,13.0,13.0,250
2016-03-23,13.0,13.0,13.0,13.0,13.0,15
2016-03-24,13.0,13.0,13.0,13.0,13.0,0
2016-03-28,15.6,15.6,15.6,15.6,15.6,50
2016-03-29,12.6,12.6,10.2,12.0,12.0,340
2016-03-30,12.0,12.0,12.0,12.0,12.0,0
2016-03-31,12.0,14.0,12.0,14.0,14.0,760
2016-04-01,10.4,12.0,10.4,12.0,12.0,20
2016-04-04,10.8,10.8,8.4,9.8,9.8,1465
2016-04-05,9.8,9.8,9.8,9.8,9.8,0
2016-04-06,8.8,9.8,8.8,8.8,8.8,315
2016-04-07,9.6,9.6,9.6,9.6,9.6,25
2016-04-08,8.4,9.0,7.0,9.0,9.0,285
2016-04-11,7.0,9.0,7.0,9.0,9.0,890
2016-04-12,9.6,10.4,9.6,10.4,10.4,15
2016-04-13,10.4,10.4,10.4,10.4,10.4,0
2016-04-14,10.2,10.2,10.2,10.2,10.2,65
2016-04-15,10.2,10.2,10.2,10.2,10.2,0
2016-04-18,7.0,10.2,7.0,10.2,10.2,40
2016-04-19,10.2,10.2,10.2,10.2,10.2,0
2016-04-20,10.2,10.2,10.2,10.2,10.2,0
2016-04-21,7.4,9.8,7.4,9.8,9.8,40
2016-04-22,9.8,9.8,9.8,9.8,9.8,0
2016-04-25,9.8,9.8,9.8,9.8,9.8,0
2016-04-26,7.4,10.2,6.4,10.2,10.2,500
2016-04-27,10.2,10.2,10.2,10.2,10.2,0
2016-04-28,10.2,10.2,10.2,10.2,10.2,0
2016-04-29,10.2,10.2,10.2,10.2,10.2,0
2016-05-02,8.8,10.2,6.0,8.0,8.0,3645
2016-05-03,8.0,8.0,8.0,8.0,8.0,0
2016-05-04,8.0,8.0,8.0,8.0,8.0,0
2016-05-05,6.8,8.0,6.8,8.0,8.0,25
2016-05-06,8.0,8.0,8.0,8.0,8.0,0
2016-05-09,6.8,6.8,6.8,6.8,6.8,500
2016-05-10,7.6,8.0,6.2,6.2,6.2,420
2016-05-11,8.0,8.0,7.0,7.0,7.0,1030
2016-05-12,6.4,7.6,6.4,6.4,6.4,865
2016-05-13,8.6,8.6,8.6,8.6,8.6,15
2016-05-16,6.4,8.0,6.4,8.0,8.0,625
2016-05-17,8.0,8.0,8.0,8.0,8.0,0
2016-05-18,6.0,8.0,6.0,8.0,8.0,75
2016-05-19,8.0,8.0,8.0,8.0,8.0,0
2016-05-20,8.0,8.0,8.0,8.0,8.0,0
2016-05-23,8.0,8.0,8.0,8.0,8.0,0
2016-05-24,6.0,6.4,6.0,6.4,6.4,1075
2016-05-25,6.4,6.4,6.4,6.4,6.4,0
2016-05-26,6.0,6.0,6.0,6.0,6.0,440
2016-05-27,6.0,6.0,6.0,6.0,6.0,0
2016-05-31,5.0,5.0,5.0,5.0,5.0,5
2016-06-01,6.0,6.0,6.0,6.0,6.0,125
2016-06-02,5.0,6.0,5.0,6.0,6.0,90
2016-06-03,6.0,6.0,6.0,6.0,6.0,0
2016-06-06,6.0,6.0,6.0,6.0,6.0,0
2016-06-07,6.0,6.0,6.0,6.0,6.0,0
2016-06-08,6.0,6.0,6.0,6.0,6.0,0
2016-06-09,6.0,6.0,6.0,6.0,6.0,0
2016-06-10,7.0,7.0,7.0,7.0,7.0,50
