Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.41,14.66,14.41,14.61,7.175519,147200
2016-01-05,14.67,14.8,14.63,14.75,7.244279,147900
2016-01-06,14.65,14.94,14.65,14.87,7.303217,387000
2016-01-07,14.81,14.94,14.57,14.94,7.337596,372500
2016-01-08,14.94,15.0,14.92,14.96,7.347416,230700
2016-01-11,14.94,14.98,14.75,14.96,7.347416,227300
2016-01-12,14.94,15.0,14.78,14.78,7.259013,184000
2016-01-13,14.77,14.84,14.46,14.46,7.101848,122400
2016-01-14,14.43,14.65,14.37,14.45,7.096938,95800
2016-01-15,14.33,14.48,14.19,14.48,7.111671,176700
2016-01-19,14.48,14.51,14.03,14.04,6.895572,188400
2016-01-20,14.09,14.35,13.7,14.0,6.875926,405100
2016-01-21,14.36,14.46,13.9,14.33,7.037999,384400
2016-01-22,14.5,14.63,14.36,14.57,7.155872,126100
2016-01-25,14.51,14.57,14.35,14.35,7.047822,126000
2016-01-26,14.34,14.78,14.34,14.7,7.219724,101200
2016-01-27,14.71,14.71,14.55,14.56,7.150962,131900
2016-01-28,14.62,14.72,14.53,14.68,7.209905,100500
2016-01-29,14.7,14.8,14.52,14.54,7.141139,174700
2016-02-01,14.46,14.64,14.44,14.59,7.165699,141900
2016-02-02,14.56,14.61,14.5,14.58,7.160787,90200
2016-02-03,14.6,14.67,14.48,14.62,7.180434,83900
2016-02-04,14.6,14.69,14.52,14.69,7.214813,122000
2016-02-05,14.65,14.68,14.57,14.68,7.209905,103400
2016-02-08,14.53,14.53,14.33,14.42,7.082207,183700
2016-02-09,14.18,14.4,14.15,14.35,7.047822,209300
2016-02-10,14.34,14.39,14.22,14.24,6.993799,135000
2016-02-11,14.15,14.32,14.15,14.25,6.998711,110900
2016-02-12,14.34,14.5,14.28,14.45,7.096938,174200
2016-02-16,14.51,14.53,14.27,14.37,7.05765,107700
2016-02-17,14.36,14.48,14.35,14.44,7.146737,67900
2016-02-18,14.46,14.56,14.4,14.54,7.196225,95900
2016-02-19,14.53,14.61,14.45,14.51,7.181379,68300
2016-02-22,14.59,14.64,14.5,14.63,7.240772,124800
2016-02-23,14.62,14.68,14.57,14.59,7.220973,68800
2016-02-24,14.56,14.77,14.53,14.75,7.300164,131200
2016-02-25,14.68,14.74,14.57,14.69,7.270465,268300
2016-02-26,14.7,14.79,14.7,14.78,7.315009,87800
2016-02-29,14.82,14.93,14.78,14.93,7.389246,185100
2016-03-01,15.04,15.1,14.94,15.08,7.463489,203000
2016-03-02,15.09,15.09,14.97,14.97,7.409042,215600
2016-03-03,14.95,15.04,14.9,15.02,7.433793,127200
2016-03-04,15.06,15.14,15.04,15.09,7.468435,189200
2016-03-07,15.04,15.19,15.04,15.19,7.517928,96300
2016-03-08,15.16,15.18,15.07,15.07,7.458539,54900
2016-03-09,15.1,15.2,15.1,15.19,7.517928,118900
2016-03-10,15.2,15.28,15.19,15.27,7.557521,90200
2016-03-11,15.26,15.44,15.26,15.42,7.631763,118200
2016-03-14,15.36,15.4,15.16,15.23,7.537723,105500
2016-03-15,15.14,15.22,15.13,15.2,7.522882,66900
2016-03-16,15.15,15.28,15.15,15.2,7.577719,92500
2016-03-17,15.26,15.28,15.18,15.25,7.602644,279000
2016-03-18,15.25,15.35,15.25,15.35,7.652498,53500
2016-03-21,15.31,15.46,15.31,15.36,7.657485,89700
2016-03-22,15.38,15.39,15.27,15.3,7.627573,73300
2016-03-23,15.28,15.39,15.24,15.29,7.622586,150300
2016-03-24,15.25,15.26,15.16,15.16,7.557774,88900
2016-03-28,15.25,15.28,15.07,15.07,7.512911,51800
2016-03-29,15.1,15.24,15.07,15.13,7.542819,132200
2016-03-30,15.26,15.32,15.2,15.32,7.63754,104100
2016-03-31,15.33,15.4,15.28,15.4,7.677426,126900
2016-04-01,15.4,15.49,15.35,15.49,7.722291,116200
2016-04-04,15.5,15.5,15.38,15.38,7.667454,108800
2016-04-05,15.33,15.44,15.32,15.36,7.657485,59300
2016-04-06,15.35,15.55,15.35,15.5,7.727275,160400
2016-04-07,15.43,15.56,15.43,15.48,7.717306,116300
2016-04-08,15.54,15.55,15.51,15.54,7.747217,65200
2016-04-11,15.54,15.6,15.5,15.5,7.727275,112700
2016-04-12,15.5,15.57,15.48,15.55,7.752207,72300
2016-04-13,15.44,15.56,15.44,15.52,7.79237,159100
2016-04-14,15.53,15.54,15.45,15.45,7.757225,61000
2016-04-15,15.48,15.57,15.34,15.38,7.722079,126900
2016-04-18,15.38,15.58,15.35,15.58,7.822496,112900
2016-04-19,15.56,15.64,15.56,15.62,7.84258,123600
2016-04-20,15.6,15.62,15.56,15.57,7.817473,102200
2016-04-21,15.6,15.64,15.56,15.6,7.832536,79900
2016-04-22,15.6,15.64,15.6,15.62,7.84258,61900
2016-04-25,15.58,15.62,15.55,15.61,7.83756,88300
