Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.2,5.2,4.8,5.04,5.04,1438
2016-01-05,5.12,5.2,5.04,5.2,5.2,3100
2016-01-06,5.52,5.52,5.52,5.52,5.52,2038
2016-01-07,5.6,5.6,5.36,5.36,5.36,3563
2016-01-08,5.36,5.36,5.04,5.36,5.36,1863
2016-01-11,5.36,5.36,5.36,5.36,5.36,0
2016-01-12,4.72,4.72,4.72,4.72,4.72,13
2016-01-13,4.72,4.72,4.72,4.72,4.72,0
2016-01-14,4.24,4.24,4.24,4.24,4.24,250
2016-01-15,4.24,4.24,4.24,4.24,4.24,0
2016-01-19,4.16,4.16,3.84,3.84,3.84,38
2016-01-20,3.44,4.08,3.44,4.08,4.08,238
2016-01-21,4.08,4.08,4.08,4.08,4.08,0
2016-01-22,4.0,4.88,4.0,4.88,4.88,3738
2016-01-25,5.04,5.04,5.04,5.04,5.04,38
2016-01-26,4.4,4.4,4.32,4.32,4.32,1138
2016-01-27,5.04,5.04,5.04,5.04,5.04,325
2016-01-28,5.04,5.6,5.04,5.6,5.6,1788
2016-01-29,5.2,6.16,4.8,5.52,5.52,8000
2016-02-01,4.8,5.76,4.8,5.36,5.36,3650
2016-02-02,4.8,5.2,4.8,5.04,5.04,2875
2016-02-03,5.76,5.76,5.68,5.76,5.76,1488
2016-02-04,5.76,5.76,5.76,5.76,5.76,0
2016-02-05,5.52,5.52,5.52,5.52,5.52,625
2016-02-08,5.52,5.52,5.52,5.52,5.52,275
2016-02-09,4.4,4.48,4.4,4.4,4.4,525
2016-02-10,4.4,4.4,4.4,4.4,4.4,0
2016-02-11,4.08,4.08,4.08,4.08,4.08,225
2016-02-12,4.0,5.12,3.6,5.12,5.12,3825
2016-02-16,4.64,4.8,4.56,4.8,4.8,1125
2016-02-17,4.8,4.8,4.64,4.64,4.64,638
2016-02-18,4.8,4.8,3.04,3.04,3.04,1263
2016-02-19,4.0,5.44,4.0,5.12,5.12,5513
2016-02-22,5.12,5.12,5.12,5.12,5.12,0
2016-02-23,4.8,4.96,4.8,4.96,4.96,1438
2016-02-24,4.96,4.96,4.96,4.96,4.96,250
2016-02-25,4.96,4.96,4.96,4.96,4.96,0
2016-02-26,4.96,4.96,4.96,4.96,4.96,0
2016-02-29,4.8,4.8,4.8,4.8,4.8,13
2016-03-01,4.8,4.8,4.8,4.8,4.8,0
2016-03-02,4.4,4.4,4.4,4.4,4.4,275
2016-03-03,4.16,4.4,4.16,4.4,4.4,563
2016-03-04,4.8,4.8,4.8,4.8,4.8,13
2016-03-07,4.8,4.8,4.8,4.8,4.8,0
2016-03-08,4.0,4.0,4.0,4.0,4.0,238
2016-03-09,4.24,4.24,4.0,4.0,4.0,475
2016-03-10,3.6,4.08,3.2,3.6,3.6,5175
2016-03-11,3.2,3.6,3.2,3.6,3.6,1613
2016-03-14,3.6,3.6,3.6,3.6,3.6,0
2016-03-15,3.2,3.2,3.2,3.2,3.2,388
2016-03-16,3.04,3.04,3.04,3.04,3.04,313
2016-03-17,3.04,3.04,3.04,3.04,3.04,0
2016-03-18,3.2,4.0,3.04,4.0,4.0,1988
2016-03-21,4.72,4.72,4.0,4.0,4.0,313
2016-03-22,3.04,3.04,3.04,3.04,3.04,625
2016-03-23,3.04,4.4,2.8,4.4,4.4,6313
2016-03-24,2.56,4.4,2.56,3.6,3.6,5100
2016-03-28,4.0,4.0,2.56,3.6,3.6,2100
2016-03-29,3.2,3.2,2.8,3.2,3.2,5125
2016-03-30,2.8,2.88,2.8,2.88,2.88,850
2016-03-31,4.0,4.0,2.88,4.0,4.0,1700
2016-04-01,4.0,4.4,4.0,4.4,4.4,738
2016-04-04,4.4,4.4,4.4,4.4,4.4,725
2016-04-05,4.4,4.4,4.4,4.4,4.4,0
2016-04-06,4.4,4.4,4.4,4.4,4.4,0
2016-04-07,4.4,4.4,4.4,4.4,4.4,0
2016-04-08,4.4,4.4,4.4,4.4,4.4,0
2016-04-11,3.2,4.16,3.2,4.16,4.16,588
2016-04-12,2.56,4.0,2.56,4.0,4.0,375
2016-04-13,4.0,4.0,4.0,4.0,4.0,0
2016-04-14,2.56,2.56,2.56,2.56,2.56,875
2016-04-15,3.36,3.6,2.56,3.6,3.6,1325
2016-04-18,3.84,3.84,3.84,3.84,3.84,63
2016-04-19,3.84,3.84,3.84,3.84,3.84,0
2016-04-20,3.84,3.84,3.84,3.84,3.84,0
2016-04-21,2.64,3.2,2.64,3.2,3.2,788
2016-04-22,3.04,3.04,3.04,3.04,3.04,375
2016-04-25,3.04,3.04,3.04,3.04,3.04,0
2016-04-26,3.12,3.12,2.8,2.8,2.8,413
2016-04-27,2.8,2.8,2.8,2.8,2.8,0
2016-04-28,2.8,2.8,2.8,2.8,2.8,0
2016-04-29,2.48,2.8,2.48,2.8,2.8,375
2016-05-02,2.8,2.8,2.8,2.8,2.8,0
2016-05-03,2.8,3.04,2.32,2.64,2.64,2125
2016-05-04,2.64,2.64,2.64,2.64,2.64,0
2016-05-05,2.64,3.52,2.64,3.44,3.44,4000
2016-05-06,3.52,3.6,2.0,2.0,2.0,1500
2016-05-09,3.44,3.44,2.0,2.0,2.0,50
2016-05-10,2.0,2.0,2.0,2.0,2.0,0
2016-05-11,2.56,3.04,2.16,2.88,2.88,1425
2016-05-12,3.04,3.52,3.04,3.52,3.52,313
2016-05-13,3.52,3.52,3.52,3.52,3.52,0
2016-05-16,2.72,2.72,2.72,2.72,2.72,175
2016-05-17,2.88,2.88,2.88,2.88,2.88,550
2016-05-18,2.88,2.88,2.88,2.88,2.88,0
2016-05-19,3.12,3.12,3.12,3.12,3.12,113
2016-05-20,3.12,3.12,3.12,3.12,3.12,0
2016-05-23,3.12,3.12,3.12,3.12,3.12,63
2016-05-24,2.48,2.88,2.0,2.88,2.88,1888
2016-05-25,2.88,2.88,2.88,2.88,2.88,0
2016-05-26,2.88,2.88,2.88,2.88,2.88,0
2016-05-27,2.4,2.72,2.4,2.72,2.72,2525
2016-05-31,2.0,2.8,2.0,2.8,2.8,600
2016-06-01,2.8,2.8,2.8,2.8,2.8,1938
2016-06-02,2.8,2.8,2.8,2.8,2.8,0
2016-06-03,3.04,3.04,2.0,2.4,2.4,1963
2016-06-06,2.4,2.8,2.32,2.8,2.8,663
2016-06-07,2.72,2.8,2.72,2.8,2.8,125
2016-06-08,2.88,2.88,2.88,2.88,2.88,238
2016-06-09,2.0,2.0,2.0,2.0,2.0,500
2016-06-10,2.4,2.4,2.08,2.24,2.24,700
2016-06-13,2.4,2.4,2.4,2.4,2.4,188
2016-06-14,2.24,2.24,2.24,2.24,2.24,938
2016-06-15,2.0,2.0,2.0,2.0,2.0,1563
2016-06-16,2.08,2.08,2.0,2.0,2.0,1450
2016-06-17,2.0,2.0,2.0,2.0,2.0,0
2016-06-20,2.0,2.0,2.0,2.0,2.0,63
2016-06-21,2.08,2.32,2.08,2.08,2.08,4588
2016-06-22,2.16,2.24,2.16,2.24,2.24,1813
2016-06-23,2.24,2.24,2.24,2.24,2.24,0
2016-06-24,2.24,2.24,2.24,2.24,2.24,0
2016-06-27,2.08,2.08,2.0,2.0,2.0,1375
2016-06-28,2.0,2.0,2.0,2.0,2.0,1088
2016-06-29,2.0,2.0,2.0,2.0,2.0,6250
2016-06-30,2.24,3.52,2.24,3.52,3.52,19088
2016-07-01,3.52,3.6,2.8,3.2,3.2,8550
2016-07-05,3.2,3.36,3.2,3.2,3.2,2788
2016-07-06,3.2,3.2,3.2,3.2,3.2,0
2016-07-07,3.2,3.2,3.2,3.2,3.2,213
2016-07-08,2.8,3.6,2.8,3.2,3.2,2325
2016-07-11,3.2,3.2,3.2,3.2,3.2,663
2016-07-12,3.2,3.2,3.2,3.2,3.2,0
2016-07-13,3.2,3.2,3.2,3.2,3.2,13
2016-07-14,3.2,3.2,3.2,3.2,3.2,0
2016-07-15,2.64,2.64,2.64,2.64,2.64,925
2016-07-18,3.2,3.52,3.2,3.52,3.52,750
2016-07-19,2.4,2.4,2.4,2.4,2.4,200
2016-07-20,2.8,3.52,2.8,3.2,3.2,1413
2016-07-21,3.2,3.2,3.2,3.2,3.2,0
2016-07-22,3.12,3.12,3.12,3.12,3.12,125
2016-07-25,3.12,3.12,3.12,3.12,3.12,0
2016-07-26,3.12,3.12,3.12,3.12,3.12,0
2016-07-27,3.12,3.12,3.12,3.12,3.12,0
2016-07-28,3.12,3.12,3.12,3.12,3.12,0
2016-07-29,3.12,3.12,3.12,3.12,3.12,0
2016-08-01,2.4,2.4,2.4,2.4,2.4,313
2016-08-02,2.8,2.8,2.4,2.4,2.4,913
2016-08-03,2.4,2.4,2.4,2.4,2.4,0
2016-08-04,2.4,2.4,2.4,2.4,2.4,0
2016-08-05,2.4,2.4,2.4,2.4,2.4,0
2016-08-08,2.56,2.96,2.56,2.96,2.96,188
2016-08-09,2.16,2.16,2.16,2.16,2.16,1738
2016-08-10,2.16,2.96,2.16,2.16,2.16,1900
2016-08-11,2.24,2.24,2.16,2.16,2.16,650
2016-08-12,2.16,2.24,2.16,2.16,2.16,2550
2016-08-15,2.48,2.48,2.48,2.48,2.48,188
2016-08-16,2.4,2.4,2.16,2.16,2.16,275
2016-08-17,2.16,2.16,2.16,2.16,2.16,575
2016-08-18,2.0,2.08,2.0,2.08,2.08,813
2016-08-19,2.08,2.16,2.08,2.08,2.08,4350
2016-08-22,2.08,2.16,2.08,2.16,2.16,1363
2016-08-23,2.08,2.08,2.08,2.08,2.08,313
2016-08-24,2.08,2.08,2.08,2.08,2.08,513
2016-08-25,2.08,2.08,2.08,2.08,2.08,500
2016-08-26,2.08,2.08,2.08,2.08,2.08,250
2016-08-29,2.24,2.48,2.24,2.4,2.4,6088
2016-08-30,2.4,2.88,2.4,2.88,2.88,5550
2016-08-31,2.8,2.8,2.4,2.4,2.4,1988
2016-09-01,2.24,2.24,2.24,2.24,2.24,938
2016-09-02,2.8,2.8,2.32,2.32,2.32,450
2016-09-06,2.32,2.32,2.32,2.32,2.32,313
2016-09-07,2.32,2.32,2.32,2.32,2.32,0
2016-09-08,2.32,2.32,2.32,2.32,2.32,0
2016-09-09,2.64,2.64,2.16,2.16,2.16,663
2016-09-12,2.16,2.16,2.16,2.16,2.16,313
2016-09-13,2.32,2.32,2.32,2.32,2.32,625
2016-09-14,2.16,2.16,2.16,2.16,2.16,875
2016-09-15,2.0,2.0,2.0,2.0,2.0,1438
2016-09-16,2.16,2.16,2.16,2.16,2.16,288
2016-09-19,2.0,2.0,2.0,2.0,2.0,313
2016-09-20,2.0,2.0,2.0,2.0,2.0,313
2016-09-21,2.0,2.0,2.0,2.0,2.0,0
2016-09-22,2.08,2.08,1.92,1.92,1.92,775
2016-09-23,2.0,2.0,2.0,2.0,2.0,550
2016-09-26,2.0,2.0,2.0,2.0,2.0,0
2016-09-27,2.24,2.24,2.24,2.24,2.24,25
2016-09-28,1.92,2.0,1.92,1.92,1.92,1588
2016-09-29,1.92,1.92,1.92,1.92,1.92,25
2016-09-30,1.92,2.4,1.92,2.4,2.4,4688
2016-10-03,2.0,2.4,2.0,2.4,2.4,5175
2016-10-04,2.4,2.4,2.4,2.4,2.4,0
2016-10-05,1.92,1.92,1.92,1.92,1.92,313
2016-10-06,2.0,2.0,1.76,1.76,1.76,563
2016-10-07,1.92,1.92,1.92,1.92,1.92,475
2016-10-10,1.76,1.84,1.6,1.6,1.6,16775
2016-10-11,1.6,1.6,1.6,1.6,1.6,0
2016-10-12,1.6,1.92,1.6,1.84,1.84,9188
2016-10-13,1.76,1.76,1.2,1.44,1.44,24400
2016-10-14,1.12,1.28,1.12,1.28,1.28,31650
2016-10-17,1.12,1.28,1.12,1.28,1.28,1313
2016-10-18,1.2,1.2,1.2,1.2,1.2,2525
2016-10-19,1.04,1.2,1.04,1.2,1.2,1250
2016-10-20,1.12,1.2,0.08,1.2,1.2,62263
2016-10-21,0.8,2.08,0.56,1.92,1.92,71125
2016-10-24,1.44,1.76,1.44,1.76,1.76,8463
2016-10-25,1.84,2.64,1.84,2.64,2.64,6188
2016-10-26,2.32,2.32,1.68,2.32,2.32,6800
2016-10-27,2.16,2.8,2.16,2.8,2.8,4688
2016-10-28,2.8,2.8,2.8,2.8,2.8,0
2016-10-31,2.8,2.8,2.8,2.8,2.8,0
2016-11-01,2.48,2.64,2.32,2.56,2.56,4788
2016-11-02,2.56,2.56,2.56,2.56,2.56,0
2016-11-03,2.56,2.56,2.56,2.56,2.56,0
2016-11-04,2.56,2.56,2.56,2.56,2.56,313
2016-11-07,2.56,2.56,2.56,2.56,2.56,0
2016-11-08,2.56,2.56,2.32,2.32,2.32,1100
2016-11-09,2.0,2.0,2.0,2.0,2.0,63
2016-11-10,2.0,2.0,2.0,2.0,2.0,188
2016-11-11,2.0,2.0,2.0,2.0,2.0,0
