Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.0,25.0,24.76,25.0,15.88752,2500
2016-01-05,24.870001,25.059999,24.870001,24.98,15.874812,10200
2016-01-06,25.0,25.0,24.870001,24.889999,15.817616,8900
2016-01-07,25.01,25.1,24.82,25.049999,15.919295,10500
2016-01-08,25.01,25.01,24.91,24.99,15.881162,4200
2016-01-11,25.16,25.17,24.99,25.17,15.99556,6100
2016-01-12,24.860001,25.1,24.860001,25.1,15.95107,3400
2016-01-13,25.1,25.110001,24.870001,24.969999,15.868455,4000
2016-01-14,24.82,24.91,24.620001,24.65,15.665095,14500
2016-01-15,24.879999,24.879999,24.65,24.66,15.671451,6400
2016-01-19,24.440001,24.530001,24.42,24.459999,15.54435,3200
2016-01-20,24.57,24.57,23.790001,23.92,15.201178,8400
2016-01-21,24.540001,24.540001,23.91,23.91,15.194822,1000
2016-01-22,24.459999,24.49,24.299999,24.42,15.518929,5900
2016-01-25,24.42,24.42,24.42,24.42,15.518929,0
2016-01-26,24.58,24.58,24.09,24.09,15.309216,1500
2016-01-27,24.09,24.09,24.09,24.09,15.309216,0
2016-01-28,24.200001,24.35,24.200001,24.35,15.474447,1800
2016-01-29,24.34,24.41,24.34,24.379999,15.493508,4200
2016-02-01,24.25,24.370001,24.25,24.25,15.410893,2400
2016-02-02,24.33,24.360001,24.309999,24.35,15.474447,1900
2016-02-03,24.25,24.25,24.200001,24.23,15.398186,1700
2016-02-04,24.15,24.24,24.1,24.219999,15.391829,3000
2016-02-05,24.219999,24.24,24.120001,24.24,15.404539,3700
2016-02-08,24.25,24.34,23.9,24.0,15.25202,7200
2016-02-09,24.24,24.25,24.0,24.200001,15.379119,2500
2016-02-10,22.42,23.16,22.42,23.0,15.11171,5300
2016-02-11,22.9,23.15,22.9,22.9,15.046004,1300
2016-02-12,23.24,23.26,22.9,22.9,15.046004,300
2016-02-16,23.27,23.27,22.6,23.25,15.275967,2400
2016-02-17,23.25,23.25,23.25,23.25,15.275967,0
2016-02-18,22.549999,23.0,22.549999,23.0,15.11171,2600
2016-02-19,23.26,23.26,22.959999,22.959999,15.085427,3800
2016-02-22,22.959999,22.959999,22.959999,22.959999,15.085427,0
2016-02-23,22.950001,22.950001,22.9,22.9,15.046004,1200
2016-02-24,22.9,22.9,22.9,22.9,15.046004,0
2016-02-25,22.9,22.9,22.9,22.9,15.046004,400
2016-02-26,22.9,22.9,22.700001,22.700001,14.914601,3300
2016-02-29,22.700001,22.700001,22.700001,22.700001,14.914601,0
2016-03-01,22.879999,23.0,22.879999,23.0,15.11171,1200
2016-03-02,22.9,22.9,22.9,22.9,15.046004,200
2016-03-03,22.969999,23.0,22.85,22.99,15.10514,1900
2016-03-04,22.870001,22.870001,22.85,22.85,15.013152,700
2016-03-07,23.440001,23.440001,23.440001,23.440001,15.400801,500
2016-03-08,23.25,23.25,23.25,23.25,15.275967,200
2016-03-09,23.059999,23.290001,23.049999,23.290001,15.302245,1100
2016-03-10,23.17,23.290001,23.049999,23.290001,15.302245,1600
2016-03-11,23.18,23.299999,23.18,23.299999,15.308818,1600
2016-03-14,23.18,23.18,23.09,23.15,15.210263,3300
2016-03-15,23.1,23.15,23.08,23.15,15.210263,800
2016-03-16,23.15,23.299999,23.139999,23.25,15.275967,3100
