Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.08,7.09,7.01,7.06,4.524213,28600
2016-01-05,7.07,7.07,7.07,7.07,4.530623,200
2016-01-06,7.13,7.14,7.08,7.08,4.537033,23100
2016-01-07,7.08,7.13,7.03,7.08,4.537033,16600
2016-01-08,7.11,7.14,7.11,7.11,4.556257,6000
2016-01-11,7.09,7.1,7.06,7.1,4.54985,4300
2016-01-12,7.08,7.1,7.08,7.09,4.543438,21600
2016-01-13,7.01,7.01,6.98,6.99,4.504771,3000
2016-01-14,6.93,6.99,6.93,6.99,4.504771,27900
2016-01-15,6.84,6.89,6.79,6.84,4.408103,17900
2016-01-19,6.81,6.86,6.76,6.82,4.395213,14100
2016-01-20,6.68,6.81,6.68,6.79,4.37588,49900
2016-01-21,6.77,6.86,6.77,6.84,4.408103,9400
2016-01-22,6.83,6.87,6.83,6.84,4.408103,12100
2016-01-25,6.87,6.88,6.85,6.86,4.420993,9300
2016-01-26,6.89,6.95,6.89,6.91,4.453214,9700
2016-01-27,6.9,6.93,6.87,6.89,4.440326,5200
2016-01-28,6.92,6.92,6.86,6.89,4.440326,32800
2016-01-29,6.9,6.96,6.9,6.92,4.45966,16200
2016-02-01,6.97,6.97,6.91,6.92,4.45966,24600
2016-02-02,6.91,6.93,6.9,6.93,4.466105,10000
2016-02-03,6.93,6.94,6.92,6.94,4.472549,10100
2016-02-04,6.94,6.95,6.94,6.95,4.478993,5700
2016-02-05,6.94,6.95,6.94,6.94,4.472549,9300
2016-02-08,6.94,6.97,6.87,6.95,4.478993,56200
2016-02-09,6.96,6.96,6.87,6.87,4.427436,46800
2016-02-10,6.87,6.87,6.85,6.85,4.440402,8700
2016-02-11,6.81,6.82,6.8,6.81,4.414474,9600
2016-02-12,6.84,6.86,6.78,6.78,4.395026,6900
2016-02-16,6.8,6.82,6.8,6.8,4.40799,11200
2016-02-17,6.76,6.84,6.67,6.78,4.395026,28300
2016-02-18,6.83,6.83,6.8,6.82,4.420955,27700
2016-02-19,6.81,6.81,6.8,6.81,4.414474,7600
2016-02-22,6.8,6.84,6.8,6.84,4.433921,15200
2016-02-23,6.83,6.85,6.81,6.85,4.440402,11600
2016-02-24,6.87,6.87,6.8,6.82,4.420955,29800
2016-02-25,6.81,6.85,6.8,6.85,4.440402,51300
2016-02-26,6.86,6.88,6.77,6.83,4.427436,26800
2016-02-29,6.89,6.94,6.85,6.89,4.466332,16600
2016-03-01,6.94,6.96,6.89,6.95,4.505225,14300
2016-03-02,6.96,7.0,6.94,7.0,4.537636,5700
2016-03-03,6.94,7.0,6.94,6.99,4.531155,23500
2016-03-04,7.02,7.05,7.01,7.04,4.563567,13200
2016-03-07,7.04,7.07,7.04,7.05,4.570047,8300
2016-03-08,7.03,7.12,7.03,7.1,4.602461,15200
2016-03-09,7.11,7.21,7.08,7.13,4.621908,13000
2016-03-10,7.14,7.18,7.13,7.16,4.641352,13500
2016-03-11,7.06,7.19,7.06,7.18,4.680466,25100
2016-03-14,7.17,7.23,7.17,7.22,4.706541,9000
2016-03-15,7.07,7.19,7.07,7.18,4.680466,4900
2016-03-16,7.11,7.16,7.11,7.16,4.667429,1100
2016-03-17,7.15,7.18,7.15,7.17,4.673946,8400
2016-03-18,7.13,7.17,7.13,7.15,4.66091,2900
2016-03-21,7.12,7.16,7.12,7.13,4.647874,8200
2016-03-22,7.17,7.17,7.12,7.17,4.673946,10600
2016-03-23,7.15,7.18,7.15,7.18,4.680466,3500
2016-03-24,7.17,7.17,7.05,7.07,4.60876,41400
2016-03-28,7.12,7.12,7.09,7.12,4.641353,18500
2016-03-29,7.03,7.09,7.03,7.09,4.621798,16700
2016-03-30,7.13,7.15,7.11,7.11,4.634834,11000
2016-03-31,7.1,7.21,7.1,7.21,4.700025,27500
2016-04-01,7.25,7.25,7.2,7.24,4.719581,13800
2016-04-04,7.23,7.33,7.22,7.33,4.778246,13300
2016-04-05,7.16,7.25,7.16,7.23,4.713061,22700
2016-04-06,7.15,7.22,7.15,7.21,4.700025,6000
2016-04-07,7.2,7.22,7.2,7.21,4.700025,900
2016-04-08,7.24,7.24,7.21,7.24,4.719581,1000
2016-04-11,7.25,7.31,7.25,7.29,4.752173,10600
2016-04-12,7.2,7.29,7.2,7.24,4.719581,13100
2016-04-13,7.26,7.26,7.18,7.21,4.726136,15200
2016-04-14,7.2,7.22,7.2,7.2,4.719582,6600
2016-04-15,7.13,7.2,7.13,7.19,4.713023,5500
2016-04-18,7.1,7.22,7.09,7.17,4.699912,8000
2016-04-19,7.21,7.21,7.17,7.18,4.706468,11700
2016-04-20,7.18,7.2,7.18,7.2,4.719582,4800
2016-04-21,7.19,7.22,7.18,7.19,4.713023,8600
2016-04-22,7.19,7.23,7.19,7.23,4.739245,8800
2016-04-25,7.21,7.25,7.21,7.23,4.739245,8000
2016-04-26,7.22,7.3,7.22,7.3,4.785129,11800
2016-04-27,7.28,7.31,7.26,7.31,4.791684,10500
2016-04-28,7.28,7.36,7.27,7.31,4.791684,13200
2016-04-29,7.33,7.36,7.33,7.34,4.81135,4600
2016-05-02,7.41,7.41,7.35,7.38,4.837567,52800
2016-05-03,7.42,7.42,7.3,7.37,4.831012,36800
2016-05-04,7.31,7.34,7.31,7.33,4.804791,4400
2016-05-05,7.34,7.35,7.33,7.35,4.817904,4900
2016-05-06,7.33,7.42,7.33,7.36,4.824458,15300
2016-05-09,7.37,7.37,7.35,7.35,4.817904,1800
2016-05-10,7.35,7.42,7.35,7.35,4.817904,37100
2016-05-11,7.32,7.36,7.32,7.36,4.850858,7900
2016-05-12,7.34,7.39,7.32,7.38,4.864042,16000
2016-05-13,7.37,7.37,7.32,7.32,4.824494,3200
2016-05-16,7.31,7.34,7.31,7.34,4.837676,4500
