Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.83,9.84,9.74,9.77,2.589728,5500
2016-01-05,9.91,9.91,9.8,9.8,2.597679,300
2016-01-06,9.8,9.8,9.8,9.8,2.597679,0
2016-01-07,9.61,9.61,9.37,9.5,2.518159,1200
2016-01-08,9.78,9.78,9.25,9.25,2.451891,900
2016-01-11,9.56,9.56,9.33,9.33,2.473097,3300
2016-01-12,9.26,9.35,9.26,9.32,2.470446,1200
2016-01-13,9.11,9.23,9.11,9.23,2.44659,600
2016-01-14,9.04,9.15,9.0,9.02,2.390925,4400
2016-01-15,8.97,9.1,8.97,9.1,2.412131,400
2016-01-19,9.1,9.1,9.1,9.1,2.412131,0
2016-01-20,8.8,9.01,8.8,9.01,2.388275,1300
2016-01-21,8.7,8.7,8.7,8.7,2.306103,200
2016-01-22,9.08,9.17,9.021,9.03,2.393576,1400
2016-01-25,9.01,9.01,8.86,8.89,2.356466,1400
2016-01-26,8.89,8.89,8.89,8.89,2.356466,400
2016-01-27,8.89,8.89,8.89,8.89,2.356466,100
2016-01-28,9.04,9.07,9.04,9.07,2.404179,2500
2016-01-29,9.079,9.2,9.079,9.2,2.438637,2000
2016-02-01,8.99,8.99,8.76,8.78,2.327309,700
2016-02-02,8.82,8.82,8.82,8.82,2.337911,200
2016-02-03,8.85,8.87,8.85,8.87,2.351165,800
2016-02-04,8.75,8.76,8.6,8.61,2.282247,3100
2016-02-05,8.52,8.52,8.47,8.47,2.245137,700
2016-02-08,8.47,8.47,8.47,8.47,2.245137,0
2016-02-09,8.38,8.38,8.25,8.25,2.186822,600
2016-02-10,8.35,8.35,8.33,8.34,2.210678,1100
2016-02-11,8.17,8.17,8.09,8.09,2.144411,400
2016-02-12,8.09,8.09,8.09,8.09,2.144411,0
2016-02-16,8.27,8.75,8.25,8.37,2.21863,400
2016-02-17,8.37,8.37,8.37,8.37,2.21863,0
2016-02-18,8.48,8.52,8.36,8.36,2.21598,8600
2016-02-19,8.46,8.46,8.46,8.46,2.242486,200
2016-02-22,8.71,8.71,8.61,8.65,2.292849,800
2016-02-23,8.77,8.77,8.5,8.5,2.253089,2300
2016-02-24,8.47,8.47,8.45,8.45,2.239836,900
2016-02-25,8.45,8.45,8.45,8.45,2.239836,0
2016-02-26,8.45,8.45,8.45,8.45,2.239836,0
2016-02-29,8.25,8.25,8.02,8.02,2.125856,1200
2016-03-01,8.14,8.15,8.0,8.0,2.120554,500
2016-03-02,8.045,8.06,7.98,7.98,2.115253,1100
2016-03-03,7.98,7.98,7.98,7.98,2.115253,200
2016-03-04,7.82,7.82,7.81,7.81,2.070191,400
2016-03-07,7.81,7.81,7.81,7.81,2.070191,0
2016-03-08,7.81,7.81,7.81,7.81,2.070191,0
2016-03-09,7.81,7.81,7.81,7.81,2.070191,400
2016-03-10,7.73,7.73,7.73,7.73,2.048986,1000
2016-03-11,7.73,7.882,7.73,7.799,2.067276,2500
2016-03-14,7.729,7.729,7.729,7.729,2.048721,200
2016-03-15,7.68,7.68,7.44,7.46,1.977417,6200
2016-03-16,7.6,7.6,7.6,7.6,2.014527,1500
2016-03-17,7.63,7.72,7.63,7.72,2.046335,2300
2016-03-18,7.72,7.72,7.72,7.72,2.046335,0
2016-03-21,7.74,7.74,7.74,7.74,2.051636,300
2016-03-22,7.7,7.7,7.62,7.62,2.019828,700
2016-03-23,7.59,7.59,7.49,7.49,1.985369,600
2016-03-24,7.49,7.49,7.49,7.49,1.985369,0
2016-03-28,7.74,7.89,7.74,7.82,2.072842,1300
2016-03-29,7.84,7.85,7.77,7.77,2.059589,2200
2016-03-30,7.93,7.97,7.87,7.87,2.086096,1100
2016-03-31,7.94,7.95,7.94,7.95,2.107301,500
2016-04-01,8.02,8.02,7.9,7.9,2.094048,2900
2016-04-04,7.96,7.96,7.86,7.95,2.107301,3200
2016-04-05,7.83,7.83,7.83,7.83,2.075493,1000
2016-04-06,7.91,8.02,7.91,8.02,2.125856,2400
2016-04-07,8.05,8.05,8.05,8.05,2.133808,200
2016-04-08,7.97,7.97,7.87,7.92,2.099349,1100
2016-04-11,7.77,7.77,7.66,7.66,2.030431,2100
2016-04-12,7.7,7.7,7.37,7.41,1.964164,3400
2016-04-13,7.5,7.5,7.45,7.45,1.974767,700
2016-04-14,7.49,7.49,7.47,7.47,1.980068,500
2016-04-15,7.43,7.43,7.4,7.4,1.961513,400
2016-04-18,7.43,7.51,7.43,7.51,1.990671,500
2016-04-19,7.55,7.55,7.5,7.5,1.98802,600
2016-04-20,7.5,7.63,7.39,7.53,1.995972,2600
2016-04-21,7.72,7.85,7.72,7.76,2.056938,1300
2016-04-22,7.61,7.72,7.1,7.62,2.019828,20300
2016-04-25,9.07,9.39,9.04,9.11,2.414781,11000
2016-04-26,9.15,9.602,8.86,9.16,2.428035,51900
2016-04-27,8.81,8.99,8.81,8.99,2.382973,8600
2016-04-28,9.25,9.25,8.82,8.84,2.343213,8600
2016-04-29,8.84,8.84,8.83,8.83,2.340562,2800
2016-05-02,8.8,8.95,8.8,8.83,2.340562,1600
2016-05-03,8.75,8.89,8.75,8.89,2.356466,800
2016-05-04,9.19,9.65,9.19,9.35,2.478398,5000
2016-05-05,10.05,10.17,10.01,10.06,2.666598,1300
2016-05-06,10.21,10.45,10.11,10.4,2.756721,9300
2016-05-09,10.14,10.14,9.95,9.955,2.638765,4000
2016-05-10,9.99,10.01,9.85,9.96,2.640091,3500
2016-05-11,9.96,9.96,9.96,9.96,2.640091,0
2016-05-12,9.955,10.02,9.93,9.93,2.632139,2000
2016-05-13,9.85,9.85,9.85,9.85,2.610933,500
2016-05-16,9.9,9.9,9.71,9.896,2.623126,1300
2016-05-17,9.45,9.66,9.4,9.66,2.560569,3500
2016-05-18,9.28,9.39,8.95,9.11,2.414781,3300
2016-05-19,9.0,9.4,8.91,9.4,2.491651,18900
2016-05-20,9.24,9.3,9.05,9.3,2.465145,21700
2016-05-23,9.29,9.29,9.09,9.09,2.40948,1100
2016-05-24,9.191,9.191,9.191,9.191,2.436252,200
2016-05-25,9.49,9.65,9.45,9.65,2.557919,2400
2016-05-26,9.39,9.4,9.31,9.386,2.487941,1500
2016-05-27,9.45,9.45,9.25,9.25,2.451891,200
2016-05-31,9.273,9.45,9.271,9.45,2.504905,1400
2016-06-01,9.5,9.5,9.5,9.5,2.518159,200
2016-06-02,9.54,9.54,9.44,9.44,2.502254,1900
2016-06-03,9.4,9.6,9.4,9.6,2.544666,900
2016-06-06,9.76,10.36,9.76,9.95,2.63744,2700
2016-06-07,10.13,10.13,9.9,9.9,2.624186,500
2016-06-08,9.81,10.18,9.81,10.0,2.650693,7600
2016-06-09,10.1,10.1,10.1,10.1,2.6772,100
2016-06-10,10.0,10.0,10.0,10.0,2.650693,300
2016-06-13,10.13,10.14,10.0,10.0,2.650693,300
2016-06-14,9.73,9.73,9.57,9.57,2.536713,4500
2016-06-15,9.78,9.86,9.75,9.75,2.584426,1500
2016-06-16,10.03,10.03,9.73,9.85,2.610933,900
2016-06-17,9.88,9.88,9.88,9.88,2.618885,200
2016-06-20,10.18,10.21,10.1,10.15,2.690453,3100
2016-06-21,10.29,10.81,9.88,10.81,2.865399,30000
2016-06-22,10.6,10.62,10.38,10.45,2.769974,7300
2016-06-23,10.76,11.09,10.75,10.9,2.889256,4400
2016-06-24,10.88,10.88,10.35,10.4,2.756721,800
2016-06-27,10.2,10.2,10.0,10.0,2.650693,1000
2016-06-28,10.3,10.33,10.01,10.2,2.703707,7000
2016-06-29,10.51,10.51,10.34,10.34,2.740817,1900
2016-06-30,10.24,10.24,10.21,10.21,2.706358,300
2016-07-01,10.41,10.41,10.39,10.39,2.754071,300
2016-07-05,10.25,10.25,10.25,10.25,2.71696,200
2016-07-06,10.32,10.32,10.2,10.2,2.703707,500
2016-07-07,10.11,10.148,10.05,10.05,2.663947,1100
2016-07-08,10.33,10.33,9.98,9.98,2.645392,1500
2016-07-11,10.33,10.54,10.33,10.4,2.756721,1400
2016-07-12,10.76,10.95,10.76,10.79,2.860098,2300
2016-07-13,10.8,10.92,10.73,10.73,2.844193,4600
2016-07-14,10.86,10.86,10.78,10.78,2.857447,1100
2016-07-15,10.61,10.859,10.5,10.5,2.783228,2800
2016-07-18,10.76,10.76,10.7,10.7,2.836242,300
2016-07-19,11.24,11.3,11.2,11.2,2.968776,3400
2016-07-20,11.7,11.75,11.62,11.62,3.080106,3600
2016-07-21,11.87,11.87,11.5,11.5,3.048297,500
2016-07-22,11.41,11.41,11.41,11.41,3.024441,200
2016-07-25,11.63,11.63,11.6,11.6,3.074804,200
2016-07-26,11.46,11.46,11.46,11.46,3.037694,200
2016-07-27,11.39,11.39,11.39,11.39,3.01914,500
2016-07-28,11.51,11.59,11.51,11.59,3.072154,200
2016-07-29,11.65,11.85,11.65,11.85,3.141072,500
2016-08-01,12.18,12.18,11.725,11.87,3.146373,2800
2016-08-02,11.51,11.59,11.51,11.59,3.072154,300
2016-08-03,11.9,11.92,11.9,11.92,3.159626,600
2016-08-04,11.92,11.92,11.92,11.92,3.159626,0
2016-08-05,11.57,11.64,11.55,11.64,3.085407,700
2016-08-08,11.79,11.8,11.79,11.8,3.127818,900
2016-08-09,11.8,11.8,11.8,11.8,3.127818,0
2016-08-10,11.8,11.8,11.8,11.8,3.127818,800
2016-08-11,12.0,12.0,12.0,12.0,3.180832,1100
2016-08-12,12.0,12.0,12.0,12.0,3.180832,0
2016-08-15,12.0,12.0,12.0,12.0,3.180832,0
2016-08-16,12.0,12.0,12.0,12.0,3.180832,0
2016-08-17,12.0,12.0,12.0,12.0,3.180832,0
2016-08-18,12.2,12.2,12.01,12.02,3.186133,2700
2016-08-19,12.02,12.02,12.02,12.02,3.186133,0
2016-08-22,11.74,11.74,11.49,11.49,3.045647,800
2016-08-23,11.49,11.49,11.49,11.49,3.045647,800
2016-08-24,11.49,11.49,11.49,11.49,3.045647,0
2016-08-25,11.72,11.89,11.72,11.89,3.151674,400
2016-08-26,11.89,11.89,11.89,11.89,3.151674,0
2016-08-29,11.06,11.06,10.9,10.9,2.889256,2400
2016-08-30,10.789,10.985,10.74,10.74,2.846844,3100
2016-08-31,10.71,10.71,10.37,10.42,2.762023,13800
2016-09-01,10.3,10.3,10.3,10.3,2.730214,100
2016-09-02,9.99,10.16,9.99,10.15,2.690453,300
2016-09-06,10.19,10.19,10.19,10.19,2.701056,100
2016-09-07,10.0,10.0,10.0,10.0,2.650693,100
2016-09-08,10.0,10.0,10.0,10.0,2.650693,0
2016-09-09,9.75,9.75,9.62,9.62,2.549967,300
2016-09-12,9.78,9.85,9.78,9.85,2.610933,2700
2016-09-13,9.85,9.85,9.85,9.85,2.610933,0
2016-09-14,9.73,9.73,9.73,9.73,2.579124,100
2016-09-15,9.73,9.73,9.73,9.73,2.579124,0
2016-09-16,9.48,9.57,9.48,9.57,2.536713,400
2016-09-19,10.51,10.65,10.51,10.641,2.820603,1900
2016-09-20,10.72,10.72,10.72,10.72,2.841543,200
2016-09-21,10.55,10.555,10.55,10.555,2.797807,400
2016-09-22,10.83,10.99,10.83,10.99,2.913111,500
2016-09-23,11.08,11.08,11.05,11.05,2.929016,700
2016-09-26,11.16,11.16,11.16,11.16,2.958174,300
2016-09-27,11.16,11.16,11.16,11.16,2.958174,0
2016-09-28,11.16,11.16,11.16,11.16,2.958174,0
2016-09-29,11.16,11.16,11.16,11.16,2.958174,0
2016-09-30,11.49,11.49,11.23,11.3,2.995283,700
2016-10-03,11.64,11.64,11.36,11.36,3.011187,500
2016-10-04,11.29,11.29,11.16,11.16,2.958174,600
2016-10-05,11.24,11.335,11.24,11.292,2.993162,400
2016-10-06,11.292,11.292,11.292,11.292,2.993162,0
2016-10-07,11.63,11.63,11.33,11.33,3.003235,400
2016-10-10,11.33,11.33,11.33,11.33,3.003235,0
2016-10-11,11.04,11.15,11.04,11.11,2.94492,500
2016-10-12,11.11,11.11,11.11,11.11,2.94492,0
2016-10-13,11.11,11.11,11.11,11.11,2.94492,0
2016-10-14,11.11,11.11,11.11,11.11,2.94492,0
2016-10-17,11.11,11.11,11.11,11.11,2.94492,0
2016-10-18,10.85,10.89,10.85,10.89,2.886605,300
2016-10-19,10.89,10.89,10.89,10.89,2.886605,0
2016-10-20,10.56,10.56,10.56,10.56,2.799132,200
2016-10-21,10.45,10.52,10.45,10.52,2.78853,1600
2016-10-24,10.55,10.57,10.55,10.57,2.801783,400
2016-10-25,10.34,10.42,10.3,10.35,2.743468,3700
2016-10-26,10.35,10.35,10.27,10.27,2.722262,2500
2016-10-27,9.97,9.97,9.97,9.97,2.642741,100
2016-10-28,10.19,10.19,10.15,10.15,2.690453,1200
2016-10-31,10.07,10.07,9.75,9.88,2.618885,4600
2016-11-01,9.96,9.96,9.7,9.7,2.571173,300
2016-11-02,9.61,9.82,9.45,9.8,2.597679,3100
2016-11-03,9.8,10.08,9.78,9.92,2.629488,1600
2016-11-04,9.92,9.92,9.92,9.92,2.629488,0
2016-11-07,9.91,9.95,9.83,9.83,2.605632,2000
2016-11-08,9.64,9.64,9.53,9.53,2.526111,500
2016-11-09,9.53,9.53,9.53,9.53,2.526111,0
2016-11-10,9.53,9.53,9.53,9.53,2.526111,0
2016-11-11,9.53,9.53,9.53,9.53,2.526111,0
2016-11-14,9.53,9.53,9.53,9.53,2.526111,0
2016-11-15,9.66,9.66,9.51,9.51,2.520809,400
2016-11-16,9.37,9.37,9.34,9.34,2.475748,200
2016-11-17,9.13,9.66,9.13,9.586,2.540955,1600
2016-11-18,9.586,9.586,9.586,9.586,2.540955,0
2016-11-21,9.71,9.99,9.71,9.99,2.648042,800
2016-11-22,10.0,10.0,10.0,10.0,2.650693,200
2016-11-23,9.75,9.75,9.59,9.61,2.547316,500
2016-11-25,9.87,9.87,9.712,9.712,2.574353,700
2016-11-28,9.45,9.45,9.31,9.32,2.470446,900
2016-11-29,9.177,9.179,9.13,9.13,2.420083,400
2016-11-30,8.81,8.81,8.81,8.81,2.335261,100
2016-12-01,9.08,9.31,9.08,9.14,2.422734,1600
2016-12-02,9.14,9.14,9.14,9.14,2.422734,0
2016-12-05,9.72,9.98,9.72,9.98,2.645392,300
2016-12-06,10.28,10.62,10.28,10.33,2.738166,3400
2016-12-07,10.1,10.24,10.021,10.05,2.663947,3800
2016-12-08,10.38,10.42,10.355,10.415,2.760697,800
2016-12-09,10.5,10.5,10.34,10.415,2.760697,800
2016-12-12,10.54,10.54,10.54,10.54,2.793831,300
2016-12-13,10.54,10.54,10.54,10.54,2.793831,0
2016-12-14,10.819,10.819,10.819,10.819,2.867785,200
2016-12-15,10.74,10.74,10.74,10.74,2.846844,1000
2016-12-16,10.74,10.74,10.74,10.74,2.846844,100
2016-12-19,10.76,10.76,10.63,10.68,2.83094,1200
2016-12-20,10.84,10.85,10.8,10.84,2.873351,2400
2016-12-21,11.18,11.38,11.17,11.17,2.960824,700
2016-12-22,11.17,11.17,11.17,11.17,2.960824,0
2016-12-23,11.314,11.314,11.314,11.314,2.998995,300
2016-12-27,11.45,11.45,11.45,11.45,3.035043,100
2016-12-28,11.7,11.7,11.49,11.56,3.064202,4800
2016-12-29,11.7,11.7,11.7,11.7,3.101311,300
2016-12-30,11.647,11.647,11.647,11.647,3.087262,100
2017-01-03,11.44,11.44,11.221,11.221,2.974343,500
2017-01-04,11.0,11.0,10.81,10.89,2.886605,700
2017-01-05,10.8,11.05,10.77,10.92,2.894557,1100
2017-01-06,10.92,10.92,10.92,10.92,2.894557,0
2017-01-09,11.07,11.08,11.04,11.04,2.926365,3700
2017-01-10,11.23,11.23,10.8,10.8,2.862749,1000
2017-01-11,10.68,10.76,10.5,10.76,2.852146,5300
2017-01-12,10.64,10.85,10.64,10.72,2.841543,2000
2017-01-13,10.78,10.78,10.75,10.75,2.849495,600
2017-01-17,10.98,11.02,10.95,10.97,2.90781,4200
2017-01-18,11.49,11.49,11.49,11.49,3.045647,200
2017-01-19,11.69,12.29,11.69,12.29,3.257702,1300
2017-01-20,12.29,12.29,12.29,12.29,3.257702,0
2017-01-23,12.63,12.7,11.81,12.15,3.220592,21000
2017-01-24,12.55,13.13,12.529,12.97,3.437949,5900
2017-01-25,13.11,13.26,13.11,13.11,3.475059,2300
2017-01-26,13.07,13.07,12.957,12.957,3.434503,1100
2017-01-27,12.957,12.957,12.957,12.957,3.434503,0
2017-01-30,12.79,12.9,12.66,12.66,3.355777,1100
2017-01-31,12.93,12.93,12.93,12.93,3.427346,200
2017-02-01,12.69,12.69,12.507,12.6,3.339874,3000
2017-02-02,12.1,12.1,10.95,11.17,2.960824,15600
2017-02-03,11.0,11.02,10.7,10.8,2.862749,28100
2017-02-06,10.17,10.2,10.01,10.01,2.653344,15900
2017-02-07,9.97,10.02,9.96,10.02,2.655995,1300
2017-02-08,10.03,10.23,10.03,10.12,2.682501,800
2017-02-09,10.17,10.36,10.17,10.34,2.740817,1200
2017-02-10,10.2,10.2,10.2,10.2,2.703707,800
2017-02-13,10.28,10.295,10.27,10.295,2.728889,1100
2017-02-14,10.58,10.69,10.55,10.635,2.819012,1300
2017-02-15,10.62,10.69,10.62,10.69,2.833591,1700
2017-02-16,10.79,10.79,10.79,10.79,2.860098,400
2017-02-17,10.79,10.79,10.79,10.79,2.860098,0
2017-02-21,11.06,11.06,11.06,11.06,2.931667,100
2017-02-22,10.99,11.17,10.99,11.17,2.960824,300
2017-02-23,11.38,11.555,11.18,11.555,3.062876,1400
2017-02-24,11.37,11.37,11.33,11.34,3.005887,1000
2017-02-27,11.52,11.52,11.51,11.52,3.053599,600
2017-02-28,11.52,11.52,11.52,11.52,3.053599,0
2017-03-01,11.69,11.7,11.69,11.7,3.101311,300
2017-03-02,11.69,12.22,11.69,11.97,3.17288,3100
2017-03-03,11.88,11.93,11.77,11.79,3.125167,2200
2017-03-06,12.07,12.14,12.0,12.0,3.180832,3300
2017-03-07,12.26,12.33,12.26,12.3,3.260353,1400
2017-03-08,12.17,12.32,12.17,12.32,3.265655,1400
2017-03-09,12.32,12.32,12.32,12.32,3.265655,0
2017-03-10,12.27,12.28,12.27,12.28,3.255051,200
2017-03-13,12.25,12.25,12.25,12.25,3.247099,100
2017-03-14,12.3,12.49,12.29,12.43,3.294812,5100
2017-03-15,12.35,12.7,12.35,12.7,3.36638,1100
2017-03-16,12.58,12.66,12.47,12.47,3.305415,2400
2017-03-17,12.53,12.53,12.53,12.53,3.321318,3200
2017-03-20,12.37,12.48,12.09,12.13,3.215291,3200
2017-03-21,12.34,12.5,12.13,12.34,3.270956,3100
2017-03-22,12.34,12.34,12.34,12.34,3.270956,0
2017-03-23,12.34,12.34,12.34,12.34,3.270956,0
2017-03-24,12.3,12.3,12.3,12.3,3.260353,600
2017-03-27,11.87,12.22,11.87,12.22,3.239147,700
2017-03-28,12.02,12.02,11.82,11.88,3.149024,4300
2017-03-29,11.54,11.54,11.53,11.53,3.056249,1300
2017-03-30,11.559,11.61,11.559,11.58,3.069502,400
2017-03-31,11.58,11.58,11.58,11.58,3.069502,0
2017-04-03,11.5,11.5,11.5,11.5,3.048297,200
2017-04-04,11.3,11.3,11.11,11.19,2.966126,1800
2017-04-05,11.19,11.19,11.19,11.19,2.966126,0
2017-04-06,12.04,12.3,11.16,12.0,3.180832,9400
2017-04-07,12.15,12.263,12.0,12.03,3.188784,7500
2017-04-10,12.005,12.012,11.552,11.552,3.062081,2200
2017-04-11,11.552,11.552,11.552,11.552,3.062081,0
2017-04-12,11.552,11.552,11.552,11.552,3.062081,0
2017-04-13,11.54,11.71,11.54,11.71,3.103962,500
2017-04-17,11.57,11.573,11.57,11.571,3.067117,400
2017-04-18,11.42,11.42,11.41,11.41,3.024441,1400
2017-04-19,11.41,11.41,11.41,11.41,3.024441,0
2017-04-20,11.49,11.78,11.49,11.55,3.061551,1600
2017-04-21,11.55,11.55,11.55,11.55,3.061551,0
2017-04-24,11.752,11.752,11.51,11.51,3.050948,300
2017-04-25,11.51,11.51,11.51,11.51,3.050948,0
2017-04-26,11.9,12.0,11.78,11.78,3.122517,5000
2017-04-27,12.14,12.3,11.99,12.0,3.180832,3700
2017-04-28,12.01,12.01,12.01,12.01,3.183483,400
2017-05-01,12.1,12.1,12.06,12.1,3.207339,1400
2017-05-02,12.13,12.13,12.13,12.13,3.215291,500
2017-05-03,12.21,12.51,12.21,12.5,3.313366,4300
2017-05-04,12.5,12.5,12.5,12.5,3.313366,0
2017-05-05,12.88,12.88,12.72,12.72,3.371682,400
2017-05-08,12.82,12.82,12.71,12.71,3.369031,900
2017-05-09,12.48,12.65,12.48,12.65,3.353127,400
2017-05-10,12.63,12.63,12.364,12.364,3.277317,1300
2017-05-11,12.36,12.36,12.3,12.3,3.260353,1600
2017-05-12,12.36,12.36,12.36,12.36,3.276257,1100
2017-05-15,12.36,12.36,12.36,12.36,3.276257,0
2017-05-16,12.36,12.36,12.36,12.36,3.276257,0
2017-05-17,12.28,12.36,12.28,12.3,3.260353,1000
