Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.63,9.7,9.55,9.68,6.295537,4600
2016-01-05,9.4,9.4,9.4,9.4,6.113431,100
2016-01-06,9.4,9.4,9.4,9.4,6.113431,0
2016-01-07,9.7,9.7,9.1,9.19,5.976857,2400
2016-01-08,9.19,9.19,9.19,9.19,5.976857,0
2016-01-11,9.21,9.38,9.21,9.38,6.100427,600
2016-01-12,9.34,9.43,9.34,9.43,6.132944,1100
2016-01-13,9.43,9.43,9.43,9.43,6.132944,0
2016-01-14,9.35,9.42,9.35,9.42,6.126439,300
2016-01-15,9.42,9.42,9.27,9.27,6.028888,1200
2016-01-19,9.22,9.29,9.22,9.25,6.01588,600
2016-01-20,9.25,9.27,9.25,9.27,6.028888,1400
2016-01-21,9.27,9.27,9.27,9.27,6.028888,0
2016-01-22,9.31,9.31,9.31,9.31,6.0549,300
2016-01-25,9.31,9.31,9.31,9.31,6.0549,0
2016-01-26,9.34,9.35,9.31,9.35,6.080915,2200
2016-01-27,9.35,9.35,9.35,9.35,6.146655,0
2016-01-28,9.2,9.34,9.2,9.34,6.140081,1000
2016-01-29,9.3,9.3,9.3,9.3,6.113785,300
2016-02-01,9.18,9.25,9.18,9.25,6.080916,200
2016-02-02,9.27,9.27,9.27,9.27,6.094063,100
2016-02-03,9.2,9.2,9.2,9.2,6.048047,1000
2016-02-04,9.33,9.35,9.33,9.35,6.146655,2400
2016-02-05,9.17,9.17,9.17,9.17,6.028323,1200
2016-02-08,9.17,9.17,9.17,9.17,6.028323,0
2016-02-09,9.17,9.17,9.17,9.17,6.028323,0
2016-02-10,9.34,9.34,9.15,9.15,6.015175,2000
2016-02-11,9.0,9.0,8.84,8.86,5.82453,700
2016-02-12,8.99,9.0,8.99,9.0,5.916565,900
2016-02-16,8.86,8.86,8.85,8.86,5.82453,700
2016-02-17,8.96,9.0,8.94,9.0,5.916565,1200
2016-02-18,9.0,9.0,9.0,9.0,5.916565,0
2016-02-19,8.99,9.0,8.85,8.85,5.817957,2500
2016-02-22,9.0,9.0,8.93,9.0,5.916565,6300
2016-02-23,9.0,9.0,9.0,9.0,5.916565,0
2016-02-24,9.0,9.0,9.0,9.0,5.916565,0
2016-02-25,9.0,9.0,9.0,9.0,5.916565,0
2016-02-26,9.0,9.0,9.0,9.0,5.916565,0
2016-02-29,9.0,9.0,9.0,9.0,5.916565,900
2016-03-01,8.9,8.95,8.9,8.95,5.883697,2000
2016-03-02,8.95,8.95,8.95,8.95,5.883697,0
2016-03-03,8.99,9.0,8.64,8.73,5.739069,1600
2016-03-04,9.0,9.0,8.51,8.57,5.633887,1900
2016-03-07,8.57,8.57,8.57,8.57,5.633887,0
2016-03-08,8.57,8.57,8.57,8.57,5.633887,0
2016-03-09,8.57,8.57,8.57,8.57,5.633887,0
2016-03-10,8.8,8.98,8.8,8.98,5.903418,700
2016-03-11,9.0,9.0,8.9,8.9,5.850826,4300
2016-03-14,8.9,8.9,8.9,8.9,5.850826,0
2016-03-15,8.9,8.9,8.9,8.9,5.850826,0
2016-03-16,8.85,8.85,8.85,8.85,5.817957,800
2016-03-17,8.99,9.0,8.99,9.0,5.916565,2300
2016-03-18,9.0,9.0,9.0,9.0,5.916565,0
2016-03-21,9.15,9.15,9.15,9.15,6.015175,200
2016-03-22,9.0,9.0,8.86,8.86,5.82453,3600
2016-03-23,9.03,9.26,9.03,9.26,6.087489,2300
2016-03-24,9.09,9.09,8.88,8.88,5.837679,18200
2016-03-28,8.97,8.97,8.97,8.97,5.896845,200
2016-03-29,9.45,9.45,8.96,8.96,5.890271,1000
2016-03-30,8.78,8.78,8.7,8.7,5.719347,1000
2016-03-31,8.78,9.18,8.75,8.75,5.752218,5300
2016-04-01,9.04,9.04,8.65,8.72,5.732496,1400
2016-04-04,9.46,9.46,9.17,9.17,6.028323,700
2016-04-05,9.24,9.27,8.63,8.65,5.686479,3100
2016-04-06,8.85,8.93,8.78,8.9,5.850826,5300
2016-04-07,8.9,8.9,8.9,8.9,5.850826,0
2016-04-08,9.0,9.0,8.99,9.0,5.916565,9400
2016-04-11,9.0,9.02,8.95,9.02,5.929715,1500
2016-04-12,9.43,9.43,8.95,9.05,5.949437,44400
2016-04-13,9.05,9.23,9.03,9.06,5.956011,1500
2016-04-14,9.06,9.06,9.06,9.06,5.956011,0
2016-04-15,9.14,9.15,9.0,9.0,5.916565,1500
2016-04-18,9.1,9.1,8.78,8.98,5.903418,5300
2016-04-19,8.98,8.98,8.98,8.98,5.903418,0
2016-04-20,9.08,9.1,9.01,9.07,5.962583,1200
2016-04-21,9.07,9.07,9.07,9.07,5.962583,0
2016-04-22,9.0,9.0,9.0,9.0,5.916565,3100
2016-04-25,9.0,9.0,9.0,9.0,5.916565,0
2016-04-26,9.1,9.1,9.05,9.05,5.949437,300
