Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.26,13.26,13.21,13.24,8.699091,18800
2016-01-05,13.28,13.53,13.26,13.47,8.850203,36000
2016-01-06,13.49,13.59,13.39,13.52,8.883056,18200
2016-01-07,13.49,13.59,13.49,13.53,8.889626,21200
2016-01-08,13.57,13.67,13.5,13.63,8.955324,25400
2016-01-11,13.65,13.65,13.59,13.6,8.935615,20100
2016-01-12,13.64,13.67,13.6,13.62,8.948755,35200
2016-01-13,13.67,13.68,13.5,13.54,8.896193,70500
2016-01-14,13.45,13.53,13.41,13.44,8.876383,15300
2016-01-15,13.44,13.55,13.34,13.38,8.836755,24700
2016-01-19,13.38,13.4,13.28,13.3,8.783919,48700
2016-01-20,13.32,13.32,13.06,13.14,8.678247,43600
2016-01-21,13.17,13.26,13.16,13.26,8.757504,28700
2016-01-22,13.26,13.4,13.26,13.36,8.823545,16700
2016-01-25,13.38,13.38,13.27,13.27,8.764107,20200
2016-01-26,13.21,13.55,13.21,13.5,8.916006,39100
2016-01-27,13.54,13.54,13.31,13.34,8.810337,30500
2016-01-28,13.36,13.4,13.33,13.4,8.849963,14200
2016-01-29,13.5,13.64,13.47,13.64,9.008469,22800
2016-02-01,13.55,13.63,13.55,13.61,8.988657,39300
2016-02-02,13.58,13.58,13.46,13.5,8.916006,53700
2016-02-03,13.49,13.67,13.49,13.61,8.988657,38800
2016-02-04,13.63,13.67,13.62,13.65,9.015078,21400
2016-02-05,13.66,13.66,13.55,13.58,8.968843,26400
2016-02-08,13.54,13.64,13.54,13.63,9.001867,28600
2016-02-09,13.65,13.65,13.63,13.63,9.001867,8400
2016-02-10,13.65,13.66,13.62,13.65,9.015078,10800
2016-02-11,13.79,13.8,13.66,13.66,9.021681,45600
2016-02-12,13.71,13.78,13.5,13.51,8.922614,57700
2016-02-16,13.5,13.51,13.43,13.49,8.909406,54000
2016-02-17,13.51,13.55,13.43,13.43,8.916041,26700
2016-02-18,13.45,13.57,13.45,13.53,8.982428,13600
2016-02-19,13.56,13.61,13.56,13.6,9.028902,16300
2016-02-22,13.68,13.71,13.63,13.69,9.088655,21300
2016-02-23,13.71,13.73,13.63,13.72,9.108573,38800
2016-02-24,13.67,13.79,13.61,13.71,9.101927,31700
2016-02-25,13.73,13.76,13.54,13.71,9.101927,28100
2016-02-26,13.72,13.72,13.55,13.61,9.035542,21600
2016-02-29,13.68,13.74,13.54,13.61,9.035542,35300
2016-03-01,13.6,13.75,13.6,13.74,9.121847,31200
2016-03-02,13.79,13.8,13.69,13.72,9.108573,20500
2016-03-03,13.78,13.85,13.64,13.76,9.135129,53700
2016-03-04,13.79,13.83,13.69,13.71,9.101927,9100
2016-03-07,13.69,13.77,13.69,13.77,9.141764,11100
2016-03-08,13.8,13.96,13.79,13.86,9.201514,21800
2016-03-09,13.88,14.0,13.88,13.99,9.287822,22100
2016-03-10,14.08,14.08,13.85,13.94,9.254626,18500
2016-03-11,13.84,13.89,13.77,13.78,9.148404,38300
2016-03-14,13.78,13.78,13.65,13.78,9.148404,26600
2016-03-15,13.73,13.77,13.71,13.71,9.101927,20100
2016-03-16,13.77,13.8,13.71,13.77,9.141764,16200
2016-03-17,13.69,13.73,13.66,13.7,9.138427,19800
2016-03-18,13.68,13.75,13.68,13.68,9.12509,11600
2016-03-21,13.7,13.78,13.68,13.68,9.12509,16800
2016-03-22,13.69,13.75,13.67,13.7,9.138427,23200
2016-03-23,13.7,13.82,13.7,13.76,9.178453,21300
2016-03-24,13.75,13.85,13.75,13.75,9.171779,16900
2016-03-28,13.78,13.82,13.7,13.76,9.178453,22200
2016-03-29,13.75,13.83,13.75,13.76,9.178453,14000
2016-03-30,13.78,13.78,13.72,13.75,9.171779,28400
2016-03-31,13.8,13.86,13.73,13.75,9.171779,24800
2016-04-01,13.75,13.91,13.74,13.74,9.165112,58400
2016-04-04,13.78,13.81,13.7,13.74,9.165112,52400
2016-04-05,13.83,13.88,13.8,13.8,9.205132,49100
2016-04-06,13.84,14.0,13.84,13.93,9.291847,31000
2016-04-07,14.0,14.0,13.88,13.96,9.311859,23300
2016-04-08,14.06,14.07,13.98,13.98,9.325198,14300
2016-04-11,14.03,14.06,14.01,14.02,9.351882,21500
2016-04-12,14.09,14.15,14.03,14.03,9.358553,36800
2016-04-13,14.06,14.09,13.96,14.0,9.338541,11900
2016-04-14,13.92,13.95,13.89,13.93,9.335191,25900
2016-04-15,13.95,14.1,13.95,14.1,9.449119,25500
2016-04-18,14.12,14.12,14.03,14.08,9.435716,25400
2016-04-19,14.1,14.11,14.01,14.06,9.422311,31900
2016-04-20,14.02,14.06,14.0,14.06,9.422311,25100
2016-04-21,14.05,14.06,14.01,14.03,9.402211,16800
2016-04-22,14.05,14.08,14.03,14.07,9.429008,10500
2016-04-25,14.07,14.07,13.93,13.95,9.348596,16100
2016-04-26,14.02,14.06,13.97,14.05,9.415608,24800
2016-04-27,14.08,14.11,14.02,14.08,9.435716,21300
2016-04-28,14.12,14.13,14.05,14.09,9.442413,10900
2016-04-29,14.11,14.14,14.08,14.1,9.449119,14200
2016-05-02,14.12,14.14,14.07,14.09,9.442413,16800
