Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,24.35,24.5,24.200001,24.200001,17.305914,82000
2021-10-06,24.344,24.344,24.200001,24.200001,17.305914,14800
2021-10-07,24.200001,24.25,24.200001,24.200001,17.305914,29900
2021-10-08,24.280001,24.280001,24.209999,24.27,17.35597,7800
2021-10-11,24.200001,24.299999,24.200001,24.209999,17.313065,10500
2021-10-12,24.200001,24.219999,24.200001,24.200001,17.305914,6300
2021-10-13,24.205,24.43,24.200001,24.280001,17.363123,3200
2021-10-14,24.370001,24.370001,24.35,24.35,17.413183,1600
2021-10-15,24.299999,24.299999,24.27,24.27,17.35597,900
2021-10-18,24.25,24.26,24.200001,24.200001,17.305914,13800
2021-10-19,24.309999,24.309999,24.200001,24.26,17.34882,500
2021-10-20,24.26,24.26,24.26,24.26,17.34882,0
2021-10-21,24.26,24.26,24.200001,24.200001,17.305914,2200
2021-10-22,24.26,24.280001,24.200001,24.200001,17.305914,4900
2021-10-25,24.209999,24.219999,24.200001,24.200001,17.305914,8500
2021-10-26,24.200001,24.201,24.15,24.200001,17.305914,3000
2021-10-27,24.200001,24.200001,24.200001,24.200001,17.305914,4800
2021-10-28,24.045,24.1,23.82,23.83,17.041319,1900
2021-10-29,23.950001,23.950001,23.424999,23.85,17.055622,8600
2021-11-01,24.07,24.09,24.0,24.0,17.162889,800
2021-11-02,24.0,24.0,24.0,24.0,17.162889,0
2021-11-03,23.910999,23.910999,23.910999,23.910999,17.099243,500
2021-11-04,23.530001,23.799999,23.4,23.4,16.73382,4500
2021-11-05,23.35,23.35,23.200001,23.200001,16.590794,2100
2021-11-08,23.25,23.25,22.93,23.030001,16.469223,2500
2021-11-09,22.9,22.9,22.799999,22.799999,16.304743,1800
2021-11-10,22.799999,22.799999,22.799999,22.799999,16.304743,600
2021-11-11,22.700001,22.700001,22.5,22.52,16.104513,11200
2021-11-12,22.450001,22.469999,19.5,22.469999,16.068754,15700
2021-11-15,21.110001,22.445,19.5,20.33,14.538399,7600
2021-11-16,20.1,20.575001,20.0,20.1,14.37392,15800
2021-11-17,20.200001,21.5,20.0,21.25,15.196308,8900
2021-11-18,20.799999,22.879999,20.799999,21.200001,15.160551,4700
2021-11-19,21.75,21.75,21.0,21.1,15.089041,8200
2021-11-22,21.860001,21.860001,21.860001,21.860001,15.632532,100
2021-11-23,21.860001,21.860001,21.860001,21.860001,15.632532,0
2021-11-24,21.860001,21.860001,21.860001,21.860001,15.632532,0
2021-11-26,21.860001,21.860001,21.860001,21.860001,15.632532,0
2021-11-29,20.1,21.690001,20.1,21.690001,15.51096,2300
2021-11-30,21.0,21.0,21.0,21.0,15.017529,600
2021-12-01,21.639999,21.639999,20.1,20.67,14.781537,5000
2021-12-02,20.67,20.67,20.67,20.67,14.781537,0
2021-12-03,20.1,20.4,19.950001,20.35,14.5527,11800
2021-12-06,20.1,20.6,20.0,20.6,14.731484,6700
2021-12-07,20.870001,20.950001,20.700001,20.700001,14.802993,1100
2021-12-08,20.110001,20.99,20.1,20.16,14.416828,13600
2021-12-09,20.049999,20.049999,19.0,19.18,13.716012,7700
2021-12-10,18.75,18.75,17.25,17.99,12.865015,10800
2021-12-13,17.25,18.91,16.0,17.9,12.800654,6900
2021-12-14,17.584,17.584,16.9,17.299999,12.371582,11300
2021-12-15,17.15,17.332001,16.5,16.5,11.799485,36600
2021-12-16,16.674999,19.0,16.674999,19.0,13.587288,2800
2021-12-17,18.049999,18.049999,17.5,18.0,12.872167,1500
2021-12-20,18.0,18.0,18.0,18.0,12.872167,1700
2021-12-21,18.01,18.045,18.0,18.0,12.872167,4100
2021-12-22,18.0,18.419001,18.0,18.0,12.872167,2100
2021-12-23,18.75,18.75,17.5,17.76,12.700539,10000
2021-12-27,17.799999,17.82,17.76,17.82,12.743444,4300
2021-12-28,18.16,18.25,17.77,17.790001,12.721993,15100
2021-12-29,17.77,18.013,17.5,18.013,12.881464,16600
2021-12-30,18.08,19.0,17.999001,18.75,13.408507,9800
2021-12-31,18.698,18.700001,18.007999,18.684999,13.362025,10700
2022-01-03,18.25,18.469999,18.1,18.469999,13.663102,6700
2022-01-04,19.974001,19.974001,18.6,18.68,13.818447,3600
2022-01-05,18.75,19.0,18.75,18.986,14.044812,1800
2022-01-06,18.700001,18.700001,18.700001,18.700001,13.833242,600
2022-01-07,18.780001,18.82,17.799999,18.674999,13.814749,1700
2022-01-10,18.559999,18.700001,18.299999,18.700001,13.833242,1700
2022-01-11,18.700001,18.700001,18.700001,18.700001,13.833242,100
2022-01-12,18.700001,19.299999,18.700001,18.75,13.870229,3300
2022-01-13,19.360001,19.5,19.0,19.5,14.425038,1200
2022-01-14,19.4,19.4,19.4,19.4,14.351064,1000
2022-01-18,19.360001,19.360001,18.450001,19.200001,14.203116,2500
2022-01-19,19.25,19.386,19.16,19.16,14.173524,400
2022-01-20,18.52,19.205,17.99,18.299999,13.537345,7700
2022-01-21,18.0,18.0,17.950001,18.0,13.31542,8700
2022-01-24,17.85,17.99,17.370001,17.99,13.308022,700
2022-01-25,17.969999,18.610001,17.969999,18.59,13.751869,1100
2022-01-26,18.066999,18.6,18.066999,18.6,13.759269,200
2022-01-27,17.780001,18.43,17.75,17.75,13.130485,7300
2022-01-28,17.75,18.190001,17.75,17.75,13.130485,2600
2022-01-31,18.4,18.4,17.799999,17.799999,13.167471,400
2022-02-01,18.16,18.299999,18.075001,18.299999,13.537345,1300
2022-02-02,18.15,18.15,17.9,17.9,13.241446,500
2022-02-03,17.9,17.9,17.309999,17.309999,12.804996,4700
2022-02-04,17.32,17.32,17.299999,17.299999,12.797598,1200
2022-02-07,18.309999,18.309999,17.51,18.15,13.426381,11700
2022-02-08,18.299999,18.299999,18.25,18.290001,13.529947,2700
2022-02-09,18.1,18.299999,18.033001,18.25,13.500358,6600
2022-02-10,18.110001,18.4,17.9,18.0,13.31542,4000
2022-02-11,18.25,18.25,18.1,18.25,13.500358,3400
2022-02-14,18.200001,18.25,18.0,18.249001,13.499617,2700
2022-02-15,18.299999,18.299999,18.0,18.25,13.500358,4800
2022-02-16,18.0,18.25,18.0,18.25,13.500358,900
2022-02-17,18.26,18.26,18.26,18.26,13.507753,1100
2022-02-18,18.02,18.25,17.799999,18.25,13.500358,3700
2022-02-22,18.26,18.299999,18.0,18.08,13.374601,3400
2022-02-23,17.9,17.9,17.700001,17.700001,13.093496,4400
2022-02-24,18.0,18.0,18.0,18.0,13.31542,3200
2022-02-25,18.048,18.24,17.792,18.24,13.492957,7700
2022-02-28,18.24,18.24,18.24,18.24,13.492957,0
2022-03-01,18.0,18.290001,17.5,18.24,13.492957,5100
2022-03-02,18.23,18.24,18.200001,18.24,13.492957,1700
2022-03-03,18.176001,18.176001,18.032,18.032,13.339091,500
2022-03-04,17.98,17.99,17.940001,17.99,13.308022,700
2022-03-07,17.9,17.9,17.32,17.9,13.241446,1100
2022-03-08,17.9,17.9,17.9,17.9,13.241446,0
2022-03-09,17.5,17.99,17.5,17.989,13.307284,5000
2022-03-10,17.780001,17.99,17.76,17.99,13.308022,900
2022-03-11,17.507999,17.99,17.507999,17.99,13.308022,500
2022-03-14,17.629999,17.99,17.5,17.99,13.308022,1000
2022-03-15,17.99,17.99,17.99,17.99,13.308022,0
2022-03-16,17.99,17.99,17.502001,17.799999,13.167471,2500
2022-03-17,17.99,17.99,17.860001,17.99,13.308022,3000
2022-03-18,17.433001,17.9,17.433001,17.893999,13.237007,700
2022-03-21,17.85,17.85,17.5,17.85,13.20446,8000
2022-03-22,17.85,17.85,17.85,17.85,13.20446,0
2022-03-23,17.85,17.99,17.85,17.85,13.20446,3100
2022-03-24,17.677,17.860001,17.677,17.860001,13.211857,600
2022-03-25,17.65,17.799999,17.6,17.799999,13.167471,2500
2022-03-28,17.940001,17.959999,17.75,17.75,13.130485,1200
2022-03-29,17.9,17.969,17.809999,17.9,13.241446,5500
2022-03-30,17.9,17.9,17.9,17.9,13.241446,1300
2022-03-31,17.902,18.0,17.860001,18.0,13.31542,2200
2022-04-01,18.0,18.625,18.0,18.6,13.759269,13500
2022-04-04,18.549999,18.549999,17.530001,18.15,13.839329,7700
2022-04-05,17.996,18.0,17.68,17.75,13.534331,4000
2022-04-06,17.75,17.940001,17.75,17.799999,13.572455,1500
2022-04-07,17.85,17.9,17.85,17.9,13.648705,2400
2022-04-08,18.0,18.0,17.51,17.65,13.458081,3000
2022-04-11,17.65,17.65,17.65,17.65,13.458081,300
2022-04-12,17.700001,17.780001,17.499001,17.780001,13.557206,1000
2022-04-13,17.52,17.52,17.469999,17.469999,13.320831,700
2022-04-14,17.99,17.99,17.639999,17.99,13.717329,400
2022-04-18,17.82,17.83,17.799999,17.799999,13.572455,1900
2022-04-19,17.35,17.790001,17.35,17.790001,13.564833,2200
2022-04-20,17.448,17.700001,17.299999,17.309999,13.198832,5100
2022-04-21,17.43,17.565001,17.278999,17.450001,13.305581,900
2022-04-22,17.139999,17.139999,16.75,17.048,12.999057,3100
2022-04-25,16.91,17.0,16.75,17.0,12.962457,2800
2022-04-26,16.75,16.950001,16.75,16.950001,12.924333,1000
2022-04-27,16.799999,16.9,16.771999,16.9,12.886209,900
2022-04-28,16.75,16.790001,16.6,16.700001,12.733708,12000
2022-04-29,16.6,16.700001,16.6,16.700001,12.733708,1200
2022-05-02,16.620001,16.74,16.6,16.6,12.65746,700
2022-05-03,16.65,16.739,16.65,16.65,12.695583,2200
2022-05-04,16.65,16.700001,16.610001,16.700001,12.733708,3100
2022-05-05,16.68,16.700001,16.68,16.700001,12.733708,2900
2022-05-06,16.74,16.74,16.65,16.65,12.695583,2300
2022-05-09,16.5,16.5,16.5,16.5,12.581208,100
2022-05-10,16.620001,16.620001,16.620001,16.620001,12.672709,100
2022-05-11,16.65,16.65,16.65,16.65,12.695583,400
2022-05-12,16.620001,16.74,16.5,16.5,12.581208,5000
2022-05-13,16.5,17.0,16.5,17.0,12.962457,1800
2022-05-16,17.0,17.0,16.165001,16.75,12.771832,2200
2022-05-17,16.799999,16.799999,16.398001,16.709999,12.741334,1100
2022-05-18,16.5,16.5,16.5,16.5,12.581208,1800
2022-05-19,17.0,17.0,16.5,16.579,12.641446,7400
2022-05-20,16.67,16.67,16.67,16.67,12.710833,200
2022-05-23,16.74,16.74,16.700001,16.700001,12.733708,300
2022-05-24,16.75,16.75,16.48,16.5,12.581208,600
2022-05-25,16.450001,16.450001,16.25,16.25,12.390584,1300
2022-05-26,16.200001,16.25,16.15,16.25,12.390584,7000
2022-05-27,16.375,16.5,16.049999,16.5,12.581208,3000
2022-05-31,16.48,16.48,16.200001,16.23,12.375334,1000
2022-06-01,16.1,16.200001,16.049999,16.18,12.33721,1200
2022-06-02,16.200001,16.236,16.200001,16.200001,12.35246,600
2022-06-03,16.200001,16.25,16.200001,16.25,12.390584,3800
2022-06-06,16.25,16.25,16.16,16.174999,12.333396,2100
2022-06-07,16.174999,16.174999,16.174999,16.174999,12.333396,0
2022-06-08,16.1,16.1,16.0,16.0,12.199961,500
2022-06-09,16.0,16.0,16.0,16.0,12.199961,0
2022-06-10,16.0,16.0,16.0,16.0,12.199961,0
2022-06-13,16.040001,16.040001,15.754,15.99,12.192336,1000
2022-06-14,15.5,16.0,15.5,16.0,12.199961,6900
2022-06-15,16.030001,16.030001,16.0,16.0,12.199961,900
2022-06-16,15.55,15.748,15.5,15.5,11.818711,1900
2022-06-17,15.748,15.75,15.73,15.75,12.009335,900
2022-06-21,15.75,15.75,14.0,15.4,11.742461,9300
2022-06-22,15.0,15.0,14.0,14.495,11.052401,15900
2022-06-23,14.25,15.0,13.98,14.0,10.674965,5200
2022-06-24,14.0,14.25,13.01,13.991,10.668102,7200
2022-06-27,13.95,13.95,13.95,13.95,10.636841,400
2022-06-28,14.1,15.0,13.51,14.0,10.674965,22500
2022-06-29,14.5,14.5,13.96,14.0,10.674965,7300
2022-06-30,13.885,14.0,13.85,13.978,10.65819,1700
2022-07-01,13.98,13.98,13.657,13.98,11.100461,300
2022-07-05,13.98,13.98,13.98,13.98,11.100461,200
2022-07-06,13.3,14.0,13.3,14.0,11.116342,800
2022-07-07,13.4,14.0,12.6,14.0,11.116342,2800
2022-07-08,14.0,14.0,14.0,14.0,11.116342,100
2022-07-11,12.844,14.0,12.844,14.0,11.116342,2000
2022-07-12,14.0,14.0,14.0,14.0,11.116342,0
2022-07-13,13.9,14.0,13.08,14.0,11.116342,500
2022-07-14,14.0,14.0,14.0,14.0,11.116342,200
2022-07-15,13.95,13.95,13.07,13.95,11.076641,5600
2022-07-18,13.95,13.95,13.17,13.8,10.957538,1100
2022-07-19,13.54,13.9,13.1,13.9,11.03694,8600
2022-07-20,13.8,13.9,13.3,13.892,11.030589,4300
2022-07-21,13.9,14.0,13.6,14.0,11.116342,5800
2022-07-22,13.9,14.0,13.8,14.0,11.116342,1700
2022-07-25,14.0,14.0,13.971,13.99,11.108402,2600
2022-07-26,14.0,14.0,13.67,13.988,11.106813,2600
2022-07-27,13.75,14.0,13.75,14.0,11.116342,8300
2022-07-28,13.95,14.0,13.9,13.97,11.092522,1800
2022-07-29,13.982,14.0,13.49,14.0,11.116342,5800
2022-08-01,13.901,14.0,13.9,14.0,11.116342,2800
2022-08-02,13.9,14.0,13.9,14.0,11.116342,1000
2022-08-03,14.0,14.0,14.0,14.0,11.116342,400
2022-08-04,14.0,14.0,14.0,14.0,11.116342,400
2022-08-05,13.975,14.0,13.95,14.0,11.116342,800
2022-08-08,14.0,14.18,13.95,14.0,11.116342,5500
2022-08-09,13.95,14.0,13.95,14.0,11.116342,1300
2022-08-10,14.0,14.0,14.0,14.0,11.116342,400
2022-08-11,14.0,14.0,13.95,14.0,11.116342,3400
2022-08-12,14.0,14.0,13.82,14.0,11.116342,13300
2022-08-15,14.0,14.0,14.0,14.0,11.116342,3000
2022-08-16,13.97,14.0,13.9,14.0,11.116342,3100
2022-08-17,14.0,14.0,13.42,14.0,11.116342,2200
2022-08-18,13.95,13.95,13.75,13.95,11.076641,2600
2022-08-19,13.95,14.0,13.86,14.0,11.116342,2500
2022-08-22,13.96,13.96,13.8,13.9,11.03694,3100
2022-08-23,13.89,13.89,13.7,13.84,10.989299,2000
2022-08-24,13.82,13.85,13.25,13.825,10.977389,3300
2022-08-25,13.6,14.0,13.59,14.0,11.116342,4600
2022-08-26,14.0,14.0,14.0,14.0,11.116342,100
2022-08-29,13.75,13.95,13.7,13.95,11.076641,3100
2022-08-30,13.7,13.9,13.7,13.9,11.03694,2200
2022-08-31,13.85,13.9,13.74,13.898,11.035352,4500
2022-09-01,13.902,13.902,13.902,13.902,11.038529,100
2022-09-02,13.76,14.0,13.75,14.0,11.116342,1300
2022-09-06,14.0,14.0,14.0,14.0,11.116342,0
2022-09-07,13.67,14.0,13.67,14.0,11.116342,1600
2022-09-08,13.364,13.902,13.364,13.75,10.917836,1200
2022-09-09,13.97,14.13,13.75,13.894,11.032175,5500
2022-09-12,13.88,14.0,13.75,14.0,11.116342,6400
2022-09-13,13.81,14.0,12.9,14.0,11.116342,10900
2022-09-14,13.75,14.0,13.75,14.0,11.116342,2100
2022-09-15,14.0,14.0,13.85,13.919,11.052027,1500
2022-09-16,13.9,14.0,13.455,13.93,11.060762,2100
2022-09-19,13.51,13.9,13.0,13.9,11.03694,5600
2022-09-20,14.17,14.17,13.085,13.95,11.076641,2200
2022-09-21,14.0,14.0,13.375,13.95,11.076641,500
2022-09-22,13.99,13.99,13.549,13.95,11.076641,500
2022-09-23,13.95,13.95,13.95,13.95,11.076641,400
2022-09-26,13.95,13.95,13.95,13.95,11.076641,500
2022-09-27,13.93,13.95,13.5,13.9,11.03694,9400
2022-09-28,13.95,14.0,13.75,13.988,11.106813,11700
2022-09-29,13.988,13.988,13.988,13.988,11.106813,0
2022-09-30,13.94,14.0,13.94,14.0,11.116342,700
2022-10-03,14.01,14.058,13.997,14.0,11.116342,4500
2022-10-04,13.9,14.0,13.731,14.0,11.116342,2900
2022-10-05,13.95,14.0,13.95,14.0,11.116342,5500
2022-10-06,13.81,13.892,13.81,13.892,11.485925,600
2022-10-07,13.88,14.0,13.88,13.98,11.558681,5200
2022-10-10,13.61,13.98,13.26,13.98,11.558681,1100
2022-10-11,13.85,13.95,13.323,13.8,11.409858,6700
2022-10-12,13.988,13.988,13.0,13.9,11.492537,2800
2022-10-13,13.87,13.87,13.4,13.85,11.451198,1000
2022-10-14,13.82,14.0,13.42,14.0,11.575217,600
2022-10-17,13.32,13.988,13.32,13.988,11.565295,400
2022-10-18,13.988,13.988,13.988,13.988,11.565295,0
2022-10-19,14.0,14.0,13.95,13.97,11.550413,500
2022-10-20,13.9,13.9,13.9,13.9,11.492537,100
2022-10-21,14.0,14.0,13.0,13.9,11.492537,1000
2022-10-24,13.65,14.0,13.65,14.0,11.575217,300
2022-10-25,13.97,14.0,13.5,14.0,11.575217,1600
2022-10-26,14.0,14.0,14.0,14.0,11.575217,0
2022-10-27,13.82,14.0,13.5,14.0,11.575217,12100
2022-10-28,13.951,13.951,13.92,13.92,11.509072,300
2022-10-31,13.8,13.94,13.6,13.85,11.451198,1800
2022-11-01,13.79,13.79,13.51,13.79,11.401589,1200
2022-11-02,13.8,13.8,13.8,13.8,11.409858,200
2022-11-03,13.77,13.77,13.55,13.76,11.376785,1300
2022-11-04,13.8,13.8,13.8,13.8,11.409858,200
2022-11-07,13.79,13.8,13.52,13.77,11.385054,1600
2022-11-08,13.56,13.8,13.56,13.8,11.409858,500
2022-11-09,13.765,13.8,13.61,13.8,11.409858,800
2022-11-10,13.74,13.78,13.74,13.77,11.385054,1300
2022-11-11,13.77,13.8,13.665,13.8,11.409858,3400
2022-11-14,13.8,14.0,13.525,13.75,11.368516,4500
2022-11-15,14.0,14.0,14.0,14.0,11.575217,200
2022-11-16,14.0,14.0,13.458,13.65,11.285836,2400
2022-11-17,13.64,13.86,13.5,13.691,11.319736,4400
2022-11-18,13.858,14.0,13.255,13.95,11.533877,4000
2022-11-21,13.88,14.0,13.5,14.0,11.575217,8600
2022-11-22,14.0,14.0,13.5,14.0,11.575217,10600
2022-11-23,14.0,14.0,13.76,13.97,11.550413,1000
2022-11-25,13.9,13.998,13.8,13.998,11.573565,1900
2022-11-28,13.99,14.0,13.651,14.0,11.575217,4000
2022-11-29,13.72,13.97,13.72,13.95,11.533877,500
2022-11-30,13.73,14.2,13.73,14.2,11.740577,1400
2022-12-01,14.0,14.0,14.0,14.0,11.575217,3700
2022-12-02,14.0,14.0,14.0,14.0,11.575217,200
2022-12-05,13.9,14.0,13.9,13.989,11.566123,5900
2022-12-06,13.91,13.986,13.9,13.986,11.563642,2200
2022-12-07,13.9,14.0,13.9,14.0,11.575217,1000
2022-12-08,14.0,14.0,13.965,14.0,11.575217,4200
2022-12-09,13.91,13.99,13.91,13.99,11.566949,700
2022-12-12,14.0,14.0,14.0,14.0,11.575217,300
2022-12-13,14.0,14.0,14.0,14.0,11.575217,200
2022-12-14,13.9,13.998,13.756,13.998,11.573565,700
2022-12-15,14.0,14.0,14.0,14.0,11.575217,1000
2022-12-16,14.0,14.0,13.675,14.0,11.575217,85300
2022-12-19,13.51,13.95,13.5,13.95,11.533877,1100
2022-12-20,13.86,13.93,13.86,13.93,11.517343,1100
2022-12-21,13.999,14.0,13.6,14.0,11.575217,1900
2022-12-22,13.63,14.0,13.5,14.0,11.575217,2900
2022-12-23,13.911,14.0,13.35,13.95,11.533877,2800
2022-12-27,13.995,13.995,13.5,13.95,11.533877,2700
2022-12-28,13.65,13.9,13.65,13.87,11.467732,1300
2022-12-29,13.89,13.9,13.791,13.9,11.492537,7200
2022-12-30,13.7,14.0,13.7,14.0,11.575217,10400
2023-01-03,13.92,14.05,13.85,13.97,11.550413,6700
2023-01-04,14.0,14.14,13.85,14.11,11.666165,11700
2023-01-05,13.88,13.88,13.55,13.88,11.945879,4100
2023-01-06,13.8,13.99,13.65,13.98,12.031943,2600
2023-01-09,13.867,13.89,13.8,13.83,11.902845,500
2023-01-10,13.85,13.911,13.85,13.911,11.972559,2300
2023-01-11,13.83,13.88,13.8,13.83,11.902845,2100
2023-01-12,13.89,13.9,13.87,13.89,11.954486,3000
2023-01-13,13.88,13.9,13.8,13.89,11.954486,5600
2023-01-17,13.85,13.9,13.7,13.85,11.920058,5200
2023-01-18,13.794,13.91,13.75,13.85,11.920058,700
2023-01-19,13.85,13.85,13.84,13.84,11.911452,500
2023-01-20,13.88,13.88,13.88,13.88,11.945879,100
