Date,Open,High,Low,Close,Adj Close,Volume
2023-12-26,2.05,2.2,1.87,1.96,1.96,338600
2023-12-27,1.92,2.03,1.55,1.59,1.59,369000
2023-12-28,1.53,1.72,1.28,1.72,1.72,285300
2023-12-29,1.72,1.94,1.55,1.56,1.56,137400
2024-01-02,1.63,1.679,1.55,1.656,1.656,75500
2024-01-03,1.724,1.724,1.55,1.634,1.634,12000
2024-01-04,1.71,1.71,1.63,1.684,1.684,18000
2024-01-05,1.67,1.84,1.67,1.82,1.82,74400
2024-01-08,1.82,1.82,1.6,1.71,1.71,104500
2024-01-09,1.75,1.81,1.58,1.58,1.58,82800
2024-01-10,1.575,1.591,1.405,1.46,1.46,160400
2024-01-11,1.47,1.53,1.41,1.42,1.42,73700
2024-01-12,1.449,1.55,1.38,1.5,1.5,31100
2024-01-16,1.42,1.6,1.41,1.52,1.52,34100
2024-01-17,1.5,1.67,1.5,1.647,1.647,52200
2024-01-18,1.57,1.68,1.55,1.64,1.64,37600
2024-01-19,1.62,1.644,1.481,1.52,1.52,67300
2024-01-22,1.5,1.5,1.44,1.45,1.45,12100
2024-01-23,1.47,1.5,1.418,1.43,1.43,25700
2024-01-24,1.41,1.49,1.35,1.39,1.39,40700
2024-01-25,1.48,1.58,1.45,1.58,1.58,55200
2024-01-26,1.53,1.6,1.5,1.54,1.54,25200
2024-01-29,1.54,1.58,1.51,1.549,1.549,17100
2024-01-30,1.59,1.828,1.45,1.784,1.784,67600
2024-01-31,1.69,1.772,1.609,1.69,1.69,16100
2024-02-01,1.73,1.82,1.63,1.63,1.63,30700
2024-02-02,1.72,1.72,1.588,1.6,1.6,24300
2024-02-05,1.6,1.7,1.52,1.54,1.54,17600
2024-02-06,1.531,1.68,1.531,1.56,1.56,5100
2024-02-07,1.63,1.8,1.583,1.75,1.75,37800
2024-02-08,1.79,1.97,1.71,1.95,1.95,44000
2024-02-09,1.92,1.92,1.73,1.77,1.77,8400
2024-02-12,1.77,1.97,1.75,1.85,1.85,36000
2024-02-13,1.85,1.88,1.74,1.85,1.85,23000
2024-02-14,1.83,1.95,1.65,1.8,1.8,563400
2024-02-15,1.8,1.8,1.63,1.684,1.684,49600
2024-02-16,1.74,1.8,1.68,1.799,1.799,37700
2024-02-20,1.8,1.89,1.72,1.84,1.84,86700
2024-02-21,1.8,1.89,1.78,1.89,1.89,65800
2024-02-22,1.85,1.86,1.7,1.79,1.79,30600
2024-02-23,1.786,1.86,1.76,1.815,1.815,31400
2024-02-26,1.87,2.12,1.81,2.0,2.0,89900
2024-02-27,2.0,2.27,1.93,2.1,2.1,73400
2024-02-28,2.2,2.21,2.0,2.03,2.03,46500
2024-02-29,1.99,2.09,1.9,1.98,1.98,29800
2024-03-01,1.91,2.05,1.901,2.04,2.04,24600
2024-03-04,2.054,2.15,2.04,2.04,2.04,38200
2024-03-05,2.048,2.1,1.94,2.0,2.0,11000
2024-03-06,2.04,2.07,1.81,1.89,1.89,52300
2024-03-07,1.9,2.01,1.89,2.0,2.0,16500
2024-03-08,2.0,2.0,1.85,1.92,1.92,23400
2024-03-11,1.95,2.049,1.949,1.98,1.98,10100
2024-03-12,1.96,2.01,1.58,1.58,1.58,98300
2024-03-13,1.62,1.96,1.62,1.84,1.84,90900
2024-03-14,1.84,1.85,1.71,1.8,1.8,17700
2024-03-15,1.8,1.8,1.691,1.77,1.77,8800
2024-03-18,1.78,1.83,1.65,1.72,1.72,16000
2024-03-19,1.749,1.9,1.7,1.83,1.83,17500
2024-03-20,1.93,2.2,1.91,2.15,2.15,62100
2024-03-21,2.13,2.34,2.12,2.26,2.26,49000
2024-03-22,2.28,2.41,2.08,2.23,2.23,34000
2024-03-25,2.16,3.42,2.16,3.25,3.25,180200
2024-03-26,3.0,3.23,2.585,2.74,2.74,66400
2024-03-27,2.66,3.182,2.66,2.96,2.96,27300
2024-03-28,2.87,3.12,2.58,2.73,2.73,12600
2024-04-01,2.71,3.27,2.71,3.24,3.24,53400
2024-04-02,3.65,4.08,3.25,3.37,3.37,108500
2024-04-03,3.55,3.89,2.94,2.95,2.95,28100
2024-04-04,3.24,3.3,3.011,3.18,3.18,17400
2024-04-05,3.21,3.75,3.15,3.65,3.65,20100
2024-04-08,3.87,3.89,3.45,3.52,3.52,19800
2024-04-09,3.65,3.758,3.39,3.525,3.525,33900
2024-04-10,3.44,3.626,3.44,3.55,3.55,13200
2024-04-11,3.67,3.67,3.3,3.31,3.31,10400
2024-04-12,3.495,3.495,2.66,3.37,3.37,34900
2024-04-15,3.34,3.46,3.027,3.03,3.03,27000
2024-04-16,3.19,3.19,2.99,2.99,2.99,28700
2024-04-17,3.0,3.05,2.885,3.02,3.02,5500
2024-04-18,2.96,3.04,2.4,2.66,2.66,25300
2024-04-19,2.81,3.0,2.81,2.99,2.99,7600
