Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,72.419998,74.279999,71.82,74.279999,40.66552,23550
2016-01-05,74.279999,75.839996,72.959999,75.360001,41.256779,11217
2016-01-06,73.980003,79.080002,73.980003,75.419998,41.289631,85900
2016-01-07,73.860001,76.559998,73.860001,75.480003,41.322475,9783
2016-01-08,75.120003,76.32,74.099998,75.18,41.158245,11850
2016-01-11,75.900002,76.379997,73.620003,74.639999,40.862614,29383
2016-01-12,75.599998,75.839996,73.5,73.620003,40.304195,23533
2016-01-13,73.980003,74.82,71.580002,72.18,39.515842,53017
2016-01-14,72.720001,73.800003,66.720001,68.339996,37.413597,36350
2016-01-15,67.019997,67.440002,65.220001,66.480003,36.395321,16567
2016-01-19,67.440002,67.440002,65.459999,65.459999,35.836906,16217
2016-01-20,63.419998,63.966,57.240002,61.02,33.893925,49783
2016-01-21,61.5,63.119999,57.66,60.900002,33.827267,70650
2016-01-22,61.200001,66.300003,61.200001,66.239998,36.793392,27417
2016-01-25,66.18,66.641998,62.220001,63.720001,35.393646,33500
2016-01-26,63.66,64.709999,61.5,62.700001,34.827084,31033
2016-01-27,62.700001,64.5,61.703999,63.240002,35.127041,10083
2016-01-28,64.080002,64.139999,63.0,63.84,35.4603,10433
2016-01-29,63.84,65.879997,63.84,64.800003,35.99353,12083
2016-02-01,64.199997,65.160004,64.199997,64.68,35.92688,9150
2016-02-02,64.260002,64.5,63.869999,64.5,35.826904,5700
2016-02-03,64.860001,65.339996,63.540001,64.32,35.726921,6267
2016-02-04,63.84,66.540001,63.84,66.239998,36.793392,8667
2016-02-05,65.940002,66.720001,65.699997,66.120003,36.726738,9167
2016-02-08,65.879997,66.959999,64.68,65.220001,36.226837,8967
2016-02-09,64.080002,65.160004,63.0,64.620003,35.893547,10600
2016-02-10,64.32,65.699997,63.360001,63.599998,35.326996,5400
2016-02-11,63.0,63.540001,61.380001,61.380001,34.093887,6217
2016-02-12,61.560001,64.5,61.560001,64.32,35.726921,7250
2016-02-16,65.400002,65.519997,64.32,64.620003,35.893547,10317
2016-02-17,64.559998,65.580002,63.779999,64.080002,36.120152,7917
2016-02-18,64.019997,64.103996,63.0,63.779999,35.951057,10100
2016-02-19,63.119999,63.456001,62.040001,62.82,35.409931,7450
2016-02-22,63.119999,63.84,62.459999,62.880001,35.443748,7000
2016-02-23,62.700001,62.700001,61.560001,61.560001,34.699711,6183
2016-02-24,61.5,62.939999,61.259998,62.939999,35.477566,7850
2016-02-25,62.52,63.599998,61.5,63.0,35.511383,8583
2016-02-26,63.779999,63.779999,62.459999,63.119999,35.579025,7800
2016-02-29,63.360001,66.0,63.161999,65.879997,37.134769,10900
2016-03-01,66.18,67.32,65.952003,66.660004,37.574436,7667
2016-03-02,66.120003,68.099998,66.120003,67.440002,38.014107,11150
2016-03-03,67.800003,69.599998,67.139999,69.239998,39.028709,14783
2016-03-04,69.0,71.699997,69.0,69.239998,39.028709,12717
2016-03-07,69.0,70.860001,69.0,70.800003,39.908043,6933
2016-03-08,70.800003,70.919998,69.708,70.080002,39.50219,8267
