Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,28.75,29.24,28.65,29.18,15.533764,244300
2016-01-05,29.209999,29.700001,29.040001,29.67,15.79461,134400
2016-01-06,29.35,30.379999,29.120001,29.77,15.847853,349700
2016-01-07,29.379999,29.6,29.0,29.030001,15.453922,260200
2016-01-08,29.24,29.59,28.700001,28.82,15.342126,248000
2016-01-11,28.959999,29.190001,28.58,28.84,15.35277,280100
2016-01-12,28.860001,28.98,28.58,28.75,15.304856,322300
2016-01-13,28.85,28.93,28.01,28.15,14.985453,250400
2016-01-14,28.139999,28.139999,26.32,27.35,14.55958,670900
2016-01-15,27.09,27.83,26.639999,27.280001,14.522312,670200
2016-01-19,27.66,27.969999,26.799999,27.08,14.415843,465100
2016-01-20,26.68,26.780001,24.209999,26.35,14.1211,1462700
2016-01-21,26.459999,27.91,26.35,26.790001,14.356896,425100
2016-01-22,27.52,27.860001,26.77,27.629999,14.807056,360900
2016-01-25,27.5,28.049999,27.43,27.629999,14.807056,274000
2016-01-26,27.73,28.59,27.73,28.59,15.321527,236100
2016-01-27,28.49,28.799999,28.030001,28.48,15.262579,260400
2016-01-28,28.790001,28.879999,28.26,28.799999,15.43407,270600
2016-01-29,28.98,29.98,28.82,28.889999,15.482295,416200
2016-02-01,28.870001,28.9,28.200001,28.370001,15.203621,239300
2016-02-02,28.370001,28.370001,27.66,27.969999,14.989268,271400
2016-02-03,27.84,28.1,27.23,27.76,14.87672,233100
2016-02-04,27.68,28.25,27.639999,28.0,15.005343,211600
2016-02-05,27.84,28.5,27.84,27.98,14.994624,207000
2016-02-08,27.860001,27.98,27.07,27.120001,14.533741,420200
2016-02-09,27.02,27.950001,27.0,27.68,14.833856,470100
2016-02-10,27.940001,28.02,27.57,27.67,14.828494,201800
2016-02-11,27.27,27.790001,26.9,27.01,14.474792,358200
2016-02-12,27.139999,27.68,27.1,27.68,14.833856,202400
2016-02-16,28.209999,28.33,27.75,28.18,15.101802,272700
2016-02-17,28.440001,28.9,28.049999,28.6,15.326893,343500
2016-02-18,28.639999,28.74,28.290001,28.450001,15.34306,319400
2016-02-19,28.360001,28.41,27.65,27.66,14.917022,273500
2016-02-22,27.860001,28.15,27.51,27.959999,15.078807,361300
2016-02-23,27.799999,27.959999,27.200001,27.59,14.879266,167600
2016-02-24,27.4,27.98,27.1,27.9,15.046448,297400
2016-02-25,27.9,28.68,27.75,28.120001,15.165098,426000
2016-02-26,28.4,29.1,28.4,28.83,15.547994,212600
2016-02-29,28.790001,29.5,28.549999,29.42,15.866189,262700
2016-03-01,29.700001,29.85,29.32,29.709999,16.022579,240300
2016-03-02,29.469999,30.24,29.469999,29.99,16.17358,420700
2016-03-03,30.0,30.549999,30.0,30.18,16.276045,246600
2016-03-04,30.25,30.879999,29.129999,29.690001,16.011791,393100
2016-03-07,29.469999,29.98,29.25,29.85,16.098083,274200
2016-03-08,29.889999,29.889999,29.280001,29.42,15.866189,280600
2016-03-09,29.43,30.5,29.43,30.42,16.405476,452000
2016-03-10,30.5,30.75,30.01,30.52,16.459419,455200
2016-03-11,30.620001,30.719999,30.389999,30.67,16.540312,222300
2016-03-14,30.74,30.74,30.459999,30.73,16.572662,152900
2016-03-15,30.75,30.75,30.1,30.719999,16.567268,218400
2016-03-16,30.74,31.23,30.549999,31.17,16.809956,235100
2016-03-17,31.139999,31.530001,30.67,31.26,16.956419,351900
2016-03-18,31.49,31.5,31.0,31.18,16.913023,248200
2016-03-21,31.17,31.5,31.01,31.190001,16.918449,186000
2016-03-22,31.200001,31.459999,31.01,31.35,17.005238,369100
2016-03-23,31.25,31.32,30.860001,30.9,16.761129,149400
2016-03-24,30.75,31.139999,30.459999,30.940001,16.782841,160900
2016-03-28,31.049999,31.25,30.75,30.969999,16.799109,183200
2016-03-29,30.84,31.459999,30.700001,31.33,16.994385,249400
2016-03-30,31.43,31.57,31.27,31.459999,17.064894,274800
2016-03-31,31.370001,31.459999,31.129999,31.35,17.005238,273500
2016-04-01,31.139999,31.42,31.030001,31.27,16.961836,215400
2016-04-04,31.25,31.32,30.870001,30.870001,16.744864,202400
2016-04-05,30.66,31.08,30.42,30.57,16.582136,177500
2016-04-06,30.469999,31.02,30.469999,30.74,16.674345,145100
2016-04-07,30.620001,30.85,30.33,30.52,16.555016,143000
2016-04-08,30.82,30.959999,30.59,30.75,16.679775,131500
2016-04-11,30.9,31.1,30.799999,30.969999,16.799109,123400
2016-04-12,31.07,31.4,30.889999,31.23,16.940144,167500
2016-04-13,31.42,31.5,31.200001,31.32,16.988962,159800
2016-04-14,31.49,31.639999,31.33,31.48,17.075745,177100
2016-04-15,31.65,31.65,31.43,31.51,17.092024,157300
2016-04-18,31.639999,32.189999,31.33,31.469999,17.070326,379500
2016-04-19,31.35,31.469999,30.83,31.370001,17.113966,227900
2016-04-20,31.41,31.469999,30.92,31.32,17.086699,177300
2016-04-21,31.15,31.5,31.02,31.17,17.004858,179500
2016-04-22,31.18,31.549999,31.16,31.440001,17.152159,151300
2016-04-25,31.549999,31.879999,31.219999,31.620001,17.250355,205600
2016-04-26,31.75,32.080002,31.49,31.82,17.359463,264900
2016-04-27,31.59,31.790001,31.42,31.65,17.266726,227600
2016-04-28,31.440001,31.65,31.280001,31.290001,17.070313,325800
2016-04-29,31.24,31.360001,30.91,31.219999,17.032131,278100
2016-05-02,31.139999,31.34,31.1,31.23,17.037592,165400
2016-05-03,31.120001,31.139999,30.57,31.110001,16.97212,137600
2016-05-04,31.15,31.24,30.889999,31.17,17.004858,103400
2016-05-05,31.200001,31.25,30.82,30.870001,16.841194,140200
2016-05-06,30.879999,31.65,30.879999,31.49,17.179432,330700
2016-05-09,31.629999,31.75,31.25,31.629999,17.255804,178500
2016-05-10,31.629999,31.879999,31.629999,31.879999,17.3922,174400
2016-05-11,31.83,32.200001,31.799999,31.91,17.408562,211300
2016-05-12,32.139999,32.189999,31.66,31.870001,17.386745,210800
2016-05-13,32.0,32.029999,31.76,31.76,17.326731,329600
2016-05-16,31.93,32.07,31.77,32.049999,17.484949,256100
2016-05-17,32.049999,32.25,31.870001,32.240002,17.588598,255400
2016-05-18,32.060001,32.110001,31.620001,31.85,17.473387,213200
2016-05-19,31.799999,31.799999,31.040001,31.450001,17.253948,225600
2016-05-20,31.42,31.700001,31.360001,31.450001,17.253948,146800
2016-05-23,31.450001,31.76,31.42,31.459999,17.259428,168200
2016-05-24,31.49,31.860001,31.49,31.75,17.418522,192700
2016-05-25,31.75,32.169998,31.73,32.0,17.555679,239300
2016-05-26,32.080002,32.23,31.92,32.110001,17.616024,157700
2016-05-27,32.0,32.389999,32.0,32.18,17.654432,122100
