Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,24.799999,24.99,24.799999,24.799999,21.874977,440200
2022-09-27,24.950001,25.1,24.76,25.1,22.139597,259400
2022-09-28,25.0,25.459999,25.0,25.34,22.351288,390200
2022-09-29,25.120001,25.299999,24.950001,25.1,22.139597,143200
2022-09-30,25.15,25.530001,25.07,25.15,22.183699,611300
2022-10-03,25.176001,25.532,25.16,25.25,22.271904,92300
2022-10-04,25.540001,25.645,25.4,25.48,22.474779,132200
2022-10-05,25.5,25.6,25.381001,25.540001,22.5277,36600
2022-10-06,25.5,25.65,25.42,25.469999,22.465956,113100
2022-10-07,25.950001,25.950001,25.379999,25.379999,22.38657,32100
2022-10-10,25.57,25.57,25.17,25.18,22.210163,35900
2022-10-11,25.200001,25.409,25.17,25.299999,22.316006,10200
2022-10-12,25.280001,25.540001,25.200001,25.530001,22.518881,132400
2022-10-13,25.120001,25.35,25.07,25.32,22.333649,127900
2022-10-14,25.299999,25.469999,25.200001,25.27,22.289543,151500
2022-10-17,25.386,25.4,25.299999,25.389999,22.395391,32500
2022-10-18,25.389999,25.5,25.325001,25.450001,22.448315,26000
2022-10-19,25.389999,25.5,25.299999,25.5,22.492418,43500
2022-10-20,25.299999,25.5,25.299999,25.450001,22.448315,19100
2022-10-21,25.309999,25.780001,25.309999,25.639999,22.615904,31000
2022-10-24,25.549999,26.040001,25.450001,25.75,22.712931,71300
2022-10-25,25.799999,25.9,25.610001,25.700001,22.668827,19600
2022-10-26,25.950001,26.040001,25.67,25.85,22.80114,45000
2022-10-27,25.879999,26.049999,25.799999,25.799999,22.757036,62100
2022-10-28,25.969999,26.0,25.83,25.9,22.845238,48100
2022-10-31,25.940001,27.25,25.82,26.25,23.153959,474400
2022-11-01,26.0,26.25,25.76,25.98,22.915802,32600
2022-11-02,25.9,26.17,25.893999,26.15,23.065756,30100
2022-11-03,26.0,26.35,25.889999,26.049999,22.977547,119200
2022-11-04,26.07,26.35,25.968,26.299999,23.198063,35100
2022-11-07,26.200001,26.440001,26.110001,26.17,23.083395,14100
2022-11-08,26.1,26.290001,26.0,26.07,22.99519,25400
