Date,Open,High,Low,Close,Adj Close,Volume
2019-12-17,24.65,24.75,24.469999,24.5,16.784952,21100
2019-12-18,24.5,24.700001,24.4,24.620001,16.867165,104900
2019-12-19,24.700001,24.881001,24.620001,24.75,16.95623,69400
2019-12-20,25.1,25.1,24.780001,24.9,17.058994,81900
2019-12-23,24.99,25.0,24.889999,25.0,17.127501,18700
2019-12-24,25.0,25.09,25.0,25.040001,17.154909,10000
2019-12-26,25.049999,25.216999,24.959999,25.216999,17.276171,23800
2019-12-27,25.200001,25.299999,25.129999,25.25,17.298775,28400
2019-12-30,25.379999,25.379999,25.15,25.17,17.243969,9900
2019-12-31,25.1,25.25,25.1,25.25,17.298775,5900
2020-01-02,25.25,25.4,25.229,25.4,17.401545,7800
2020-01-03,25.4,25.565001,25.24,25.252001,17.300146,28200
2020-01-06,25.25,25.6,25.247999,25.4,17.401545,14600
2020-01-07,25.4,25.4,25.24,25.379999,17.387842,22500
2020-01-08,25.379999,25.597,25.33,25.597,17.536509,16600
2020-01-09,25.476999,25.6,25.360001,25.6,17.538563,5400
2020-01-10,25.57,25.57,25.450001,25.469999,17.449499,11600
2020-01-13,25.540001,25.75,25.540001,25.725,17.624201,16600
2020-01-14,25.700001,25.84,25.700001,25.700001,17.607073,20100
2020-01-15,25.871,25.9,25.799999,25.843,17.705044,2100
2020-01-16,25.84,25.92,25.700001,25.860001,17.716688,8000
2020-01-17,26.0,26.0,25.700001,25.889999,17.737244,3000
2020-01-21,25.85,25.85,25.530001,25.530001,17.490606,3600
2020-01-22,25.530001,25.530001,25.33,25.5,17.470055,11200
2020-01-23,25.52,25.52,25.35,25.35,17.367289,10800
2020-01-24,25.66,25.664,25.562,25.562,17.512527,1800
2020-01-27,25.65,25.65,25.414,25.591999,17.533083,1800
2020-01-28,25.725,25.725,25.299999,25.299999,17.333029,8400
2020-01-29,25.48,25.59,25.4,25.549999,17.504307,5100
2020-01-30,25.57,25.665001,25.370001,25.370001,17.380989,4700
2020-01-31,25.5,25.59,25.4,25.419001,17.414558,2500
2020-02-03,25.41,25.450001,25.4,25.440001,17.428947,2400
2020-02-04,25.450001,25.559999,25.42,25.559999,17.51116,3500
2020-02-05,25.52,25.625,25.49,25.51,17.476904,5100
2020-02-06,25.42,25.75,25.42,25.51,17.476904,1300
2020-02-07,25.532,25.532,25.532,25.532,17.491976,300
2020-02-10,25.5,25.74,25.459999,25.620001,17.552263,5900
2020-02-11,25.66,25.66,25.5,25.57,17.518007,5800
2020-02-12,25.58,25.75,25.58,25.65,17.572817,1000
2020-02-13,25.504,25.65,25.5,25.629999,17.559118,4400
2020-02-14,25.629999,25.629999,25.5,25.52,17.483755,5800
2020-02-18,25.625,25.795,25.540001,25.540001,17.497459,13800
2020-02-19,25.799999,25.799999,25.799999,25.799999,17.675581,400
2020-02-20,25.780001,25.9,25.6,25.754999,17.644751,4000
2020-02-21,25.77,25.77,25.5,25.559999,17.51116,9000
2020-02-24,25.549999,25.549999,25.48,25.48,17.45635,1000
2020-02-25,25.542999,25.615,25.542999,25.551001,17.504992,700
2020-02-26,25.48,25.65,25.200001,25.200001,17.264523,14300
2020-02-27,25.43,25.43,24.700001,24.700001,16.921976,11200
2020-02-28,24.709999,25.261,24.6,24.809999,16.997334,12200
2020-03-02,25.219999,25.219999,25.0,25.082001,17.183683,5000
2020-03-03,25.313999,25.440001,25.059999,25.440001,17.428947,7500
2020-03-04,25.5,25.51,25.5,25.5,17.470055,2400
2020-03-05,25.540001,25.58,25.287001,25.35,17.367289,2200
2020-03-06,25.200001,25.57,25.200001,25.57,17.518007,3100
2020-03-09,25.360001,25.360001,23.775,23.775,16.288254,15600
2020-03-10,23.16,25.34,23.16,23.9,16.37389,6700
2020-03-11,24.5,24.5,22.030001,22.240999,15.237311,6500
2020-03-12,14.0,16.57,14.0,15.53,10.639605,7200
2020-03-13,15.53,17.25,12.51,14.5,10.319348,16400
2020-03-16,14.12,14.12,9.53,12.0,8.540152,18100
2020-03-17,12.0,15.3,7.85,15.0,10.67519,13200
2020-03-18,13.25,13.25,8.5,8.5,6.049273,17900
2020-03-19,12.5,13.0,9.9,13.0,9.251829,16500
2020-03-20,13.01,13.5,12.0,12.0,8.540152,7200
2020-03-23,12.0,12.0,8.16,8.5,6.049273,13900
2020-03-24,9.0,9.39,6.48,8.71,6.198726,10500
2020-03-25,9.48,16.700001,9.44,13.43,9.557855,19400
2020-03-26,13.6,14.05,13.0,13.05,9.287414,8600
2020-03-27,12.636,14.0,12.613,13.86,9.863874,5200
2020-03-30,13.86,13.86,13.86,13.86,9.863874,0
2020-03-31,14.446,14.446,11.06,11.942,8.498874,2000
2020-04-01,14.1,14.1,11.48,11.48,8.170078,1600
2020-04-02,11.681,11.681,10.02,10.02,7.131025,4900
2020-04-03,10.95,11.0,10.75,10.75,7.650553,1400
2020-04-06,10.2,13.93,10.2,12.99,9.244715,2000
2020-04-07,11.77,11.77,11.75,11.75,8.362231,800
2020-04-08,12.25,13.33,12.25,13.33,9.486685,5400
2020-04-09,14.39,14.39,13.66,13.896,9.889496,2000
2020-04-13,14.121,14.121,13.589,14.0,9.96351,1400
2020-04-14,14.02,14.02,13.75,13.97,9.94216,2200
2020-04-15,12.38,13.75,11.0,13.75,9.785589,700
2020-04-16,13.5,14.0,13.5,13.75,9.785589,1300
2020-04-17,13.05,13.05,12.0,12.1,8.611318,4200
2020-04-20,11.07,13.0,11.0,11.5,8.184311,3700
2020-04-21,11.01,12.5,11.0,11.557,8.224876,2600
2020-04-22,11.66,12.5,11.66,12.5,8.895991,1700
2020-04-23,12.25,12.5,12.25,12.487,8.886738,6300
2020-04-24,12.45,12.77,12.375,12.375,8.807031,5300
2020-04-27,12.0,12.5,11.11,11.75,8.362231,4400
2020-04-28,12.25,13.25,12.25,13.186,9.384202,9900
2020-04-29,13.1,14.5,13.1,14.5,10.319348,12800
2020-04-30,14.46,14.46,12.81,13.498,9.606246,2500
2020-05-01,12.44,14.48,12.44,14.0,9.96351,4500
2020-05-04,14.25,14.25,12.91,13.085,9.312323,2900
2020-05-05,13.2,14.9,13.2,14.9,10.604019,2200
2020-05-06,14.385,14.385,14.385,14.385,10.237505,300
2020-05-07,13.988,14.8,13.988,14.485,10.308674,2700
2020-05-08,14.5,14.745,14.5,14.5,10.319348,2000
2020-05-11,14.5,14.75,14.25,14.75,10.49727,1800
2020-05-12,15.55,16.0,15.55,16.0,11.386868,17900
2020-05-13,14.4,15.75,14.4,15.75,11.208947,1000
2020-05-14,15.72,15.72,14.62,14.62,10.404753,800
2020-05-15,16.08,16.08,16.08,16.08,11.443803,900
2020-05-18,16.296,17.1,16.296,17.0,12.098546,6500
2020-05-19,16.299999,16.6,15.875,16.6,11.813875,2000
2020-05-20,16.6,17.1,16.6,17.1,12.169717,1200
2020-05-21,16.825001,16.93,16.825001,16.93,12.048728,900
2020-05-22,17.0,17.049999,17.0,17.049999,12.13413,500
2020-05-26,17.57,18.09,17.57,18.09,12.874277,700
2020-05-27,18.0,18.0,17.25,18.0,12.810225,5100
2020-05-28,17.68,18.299999,17.68,18.1,12.881392,3300
2020-05-29,18.16,18.355,18.1,18.1,12.881392,1500
2020-06-01,18.309999,18.629999,17.521,18.49,13.158949,2000
2020-06-02,17.51,17.51,17.51,17.51,12.461501,600
2020-06-03,17.51,17.51,17.51,17.51,12.461501,0
2020-06-04,18.43,19.299999,17.549999,18.799999,13.379569,5500
2020-06-05,18.790001,18.99,17.549999,18.52,13.180301,4300
2020-06-08,18.48,18.625,18.48,18.6,13.237237,1300
2020-06-09,17.52,18.288,17.52,18.288,13.015189,800
2020-06-10,17.65,18.02,17.6,18.02,12.824462,1600
2020-06-11,17.540001,17.99,17.540001,17.540001,12.482856,1800
2020-06-12,18.08,18.08,17.530001,17.660999,12.937775,1700
2020-06-15,17.535,18.51,17.530001,18.51,13.559719,700
2020-06-16,18.0,18.66,17.857,18.253,13.371455,6600
2020-06-17,18.253,18.253,18.253,18.253,13.371455,100
2020-06-18,17.58,17.58,17.58,17.58,12.878438,300
2020-06-19,17.690001,18.1,17.690001,18.1,13.259368,800
2020-06-22,17.639999,17.639999,17.0,17.23,12.622043,16500
2020-06-23,17.549999,17.6,17.549999,17.59,12.885763,1400
2020-06-24,17.422001,17.422001,17.25,17.25,12.636693,300
2020-06-25,17.01,17.01,17.0,17.0,12.453551,2400
2020-06-26,17.0,17.129999,16.1,16.139999,11.823549,7800
2020-06-29,16.455,16.5,16.110001,16.110001,11.801572,700
2020-06-30,16.110001,16.173,16.1,16.17,11.845527,7900
2020-07-01,16.992001,16.992001,16.1,16.1,11.794247,2500
2020-07-02,15.0,16.16,15.0,16.030001,11.742968,3400
2020-07-06,16.0,16.004999,15.85,16.004999,11.724651,1200
