Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,9.23,9.23,8.5,8.705,8.271971,4800
2023-06-22,8.84,19.799999,8.84,11.0,10.452807,498900
2023-06-23,10.32,11.5,9.35,11.5,10.927935,490100
2023-06-26,10.75,13.0,10.12,10.59,10.063202,82100
2023-06-27,9.84,11.1,9.8,10.07,9.56907,267300
2023-06-28,9.8,11.0,9.8,10.94,10.395791,92000
2023-06-29,10.65,10.92,10.01,10.67,10.139223,87600
2023-06-30,10.67,10.911,10.38,10.61,10.082207,68000
2023-07-03,10.8,10.9,10.4,10.65,10.120217,58800
2023-07-05,10.85,11.24,10.63,10.63,10.101212,67600
2023-07-06,10.75,11.0,10.44,10.86,10.31977,87700
2023-07-07,10.99,12.07,10.99,11.74,11.155995,149000
2023-07-10,12.3,12.35,11.96,11.96,11.365052,77800
2023-07-11,12.35,12.35,11.55,11.69,11.108482,87400
2023-07-12,11.95,12.21,11.69,12.05,11.450574,83200
2023-07-13,12.15,12.36,11.97,12.18,11.574108,64800
2023-07-14,12.22,12.22,11.81,12.0,11.403062,60500
2023-07-17,12.22,12.4,12.0,12.18,11.574108,127900
2023-07-18,12.59,13.75,12.2,13.34,12.676404,147500
2023-07-19,13.34,14.85,13.34,14.51,13.788202,122500
2023-07-20,14.71,14.78,13.3,13.65,12.970983,106400
2023-07-21,13.65,13.88,12.33,12.36,11.745153,74300
2023-07-24,12.36,13.06,12.28,12.44,11.821175,46600
2023-07-25,12.38,12.83,12.31,12.78,12.144261,45500
2023-07-26,12.44,13.67,12.34,13.5,12.828445,52300
2023-07-27,13.5,13.65,13.065,13.59,12.913969,31900
2023-07-28,13.51,14.01,13.194,13.96,13.265562,46200
2023-07-31,13.7,14.54,13.36,14.23,13.522131,63500
2023-08-01,13.755,13.99,12.79,13.03,12.381824,36200
2023-08-02,13.12,13.53,12.62,12.71,12.077743,42900
2023-08-03,12.51,12.77,12.333,12.58,11.954209,27900
2023-08-04,12.37,12.616,12.3,12.3,11.68814,18800
2023-08-07,12.45,13.55,12.45,13.44,12.771429,61500
2023-08-08,13.36,14.84,13.25,14.5,13.7787,41700
2023-08-09,14.23,14.5,13.23,13.86,13.170536,49600
2023-08-10,14.202,14.245,12.8,12.88,12.239287,59900
2023-08-11,13.0,13.3,12.91,13.11,12.457845,14800
2023-08-14,13.19,13.19,12.56,12.65,12.020728,22500
2023-08-15,12.55,12.7,12.03,12.19,11.583611,23600
2023-08-16,12.04,12.545,11.365,11.49,10.918432,41800
2023-08-17,11.54,12.0,11.12,11.15,10.595345,50000
2023-08-18,11.05,11.56,11.02,11.45,10.880422,50000
2023-08-21,11.54,11.639,10.965,11.01,10.46231,38400
2023-08-22,11.01,11.48,10.95,11.36,10.794899,29400
2023-08-23,11.4,12.81,11.367,12.03,11.431569,24100
2023-08-24,12.12,12.5,11.68,12.23,11.62162,19100
2023-08-25,12.22,12.22,11.571,11.87,11.279529,27700
2023-08-28,11.97,12.15,11.615,11.875,11.28428,22800
2023-08-29,11.97,12.0,11.5,11.53,10.956442,29700
2023-08-30,11.67,11.86,11.35,11.75,11.165499,25300
2023-08-31,11.87,11.89,10.76,10.84,10.447475,22900
2023-09-01,11.13,11.57,10.87,11.33,10.919732,42800
2023-09-05,11.33,11.899,10.97,11.15,10.74625,14800
2023-09-06,11.105,11.16,10.51,10.67,10.283631,22500
2023-09-07,10.56,10.99,9.68,9.95,9.589703,71600
2023-09-08,10.05,10.55,9.72,9.94,9.580065,114200
