Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.66,14.68,14.36,14.65,10.1512,2087800
2016-01-05,14.7,14.73,14.3,14.43,9.998759,1957700
2016-01-06,14.19,14.26,13.91,14.01,9.707735,2172500
2016-01-07,13.76,13.81,13.35,13.38,9.271197,2883600
2016-01-08,13.54,13.61,13.4,13.43,9.305843,2918500
2016-01-11,13.59,13.6,13.11,13.31,9.222694,2717700
2016-01-12,13.44,13.49,12.92,13.21,9.1534,2905800
2016-01-13,13.33,13.48,12.85,12.91,8.945529,2449600
2016-01-14,12.88,13.18,12.66,13.09,9.070252,2895600
2016-01-15,12.57,12.74,12.29,12.42,8.605998,3833600
2016-01-19,12.57,12.61,12.3,12.38,8.578284,2619500
2016-01-20,12.15,12.46,11.74,12.26,8.495132,3883600
2016-01-21,12.33,12.9,12.29,12.79,8.862379,3298300
2016-01-22,13.22,13.33,13.09,13.22,9.160331,2932800
2016-01-25,13.13,13.19,12.71,12.78,8.855449,2748000
2016-01-26,12.95,13.17,12.88,13.09,9.070252,2249300
2016-01-27,13.07,13.43,13.0,13.12,9.091042,2609600
2016-01-28,13.44,13.62,13.18,13.61,9.430568,3412600
2016-01-29,13.72,13.95,13.38,13.86,9.603795,2988800
2016-02-01,13.71,13.88,13.49,13.78,9.548361,2398700
2016-02-02,13.25,13.31,12.84,12.99,9.00096,4410600
2016-02-03,13.28,13.32,12.81,13.19,9.139542,3619300
2016-02-04,13.29,13.72,13.28,13.58,9.409782,2700900
2016-02-05,13.56,13.77,13.41,13.5,9.354349,2693800
2016-02-08,13.25,13.3,13.0,13.08,9.063324,3324500
2016-02-09,12.89,13.04,12.43,12.64,8.758442,4729600
2016-02-10,12.72,12.86,12.39,12.45,8.626787,3529400
2016-02-11,12.1,12.1,10.99,11.38,7.88537,5964400
2016-02-12,11.7,11.78,11.42,11.76,8.148676,2510300
2016-02-16,12.03,12.05,11.53,11.96,8.28726,4101600
2016-02-17,12.23,13.13,12.22,13.05,9.042538,5526400
2016-02-18,13.15,13.22,12.74,13.08,9.063324,3577300
2016-02-19,12.87,12.88,12.46,12.75,8.834661,3082800
2016-02-22,12.96,13.04,12.8,12.84,8.991522,2876500
2016-02-23,12.79,12.92,12.52,12.68,8.87948,3041600
2016-02-24,12.4,12.63,12.09,12.54,8.781439,2754800
2016-02-25,12.64,12.96,12.57,12.94,9.061549,2226300
2016-02-26,13.11,13.38,13.02,13.25,9.278635,2458000
2016-02-29,13.21,13.6,13.15,13.36,9.355665,3299100
2016-03-01,13.55,14.09,13.53,14.05,9.838855,5378600
2016-03-02,13.96,14.07,13.65,13.86,9.7058,3501900
2016-03-03,13.87,14.15,13.71,13.73,9.614768,3228200
2016-03-04,13.8,13.93,13.68,13.83,9.684793,2697700
2016-03-07,13.77,14.1,13.68,13.96,9.77583,2489700
2016-03-08,13.8,13.88,13.46,13.6,9.523732,2280500
2016-03-09,13.72,13.9,13.59,13.84,9.691798,2115200
2016-03-10,13.88,13.94,13.48,13.67,9.572753,2184300
2016-03-11,13.91,14.27,13.84,14.26,9.985914,1708000
2016-03-14,14.15,14.37,14.11,14.12,9.887876,2578400
2016-03-15,13.99,14.05,13.76,13.94,9.761825,3852200
2016-03-16,14.02,14.16,13.95,14.08,9.859862,3909400
2016-03-17,14.19,14.37,14.03,14.33,10.034932,3399100
2016-03-18,14.37,14.45,14.0,14.19,9.936893,2468300
2016-03-21,14.16,14.54,14.14,14.53,10.174986,2402600
2016-03-22,14.36,14.43,14.26,14.34,10.041936,2086900
2016-03-23,14.38,14.38,14.03,14.09,9.866865,1661400
2016-03-24,13.96,13.97,13.68,13.93,9.754823,2034800
2016-03-28,13.99,14.19,13.91,14.15,9.908881,1205800
2016-03-29,14.06,14.06,13.81,13.85,9.698803,2821400
2016-03-30,14.05,14.35,13.98,14.22,9.957901,1992800
2016-03-31,14.23,14.39,14.12,14.13,9.894878,1937700
2016-04-01,13.97,14.1,13.81,14.04,9.831852,1959700
2016-04-04,14.04,14.06,13.73,13.76,9.635777,2035600
2016-04-05,13.48,13.63,13.27,13.53,9.474709,1864200
2016-04-06,13.56,13.77,13.46,13.74,9.62177,2028400
2016-04-07,13.59,13.59,12.9,13.0,9.103568,3395700
2016-04-08,13.27,13.52,13.16,13.25,9.278635,2289500
2016-04-11,13.36,13.52,13.34,13.43,9.404682,1902200
2016-04-12,13.55,14.07,13.44,13.96,9.77583,3386500
2016-04-13,14.08,14.25,14.02,14.2,9.943895,2271900
2016-04-14,14.2,14.42,14.18,14.33,10.034932,1957100
2016-04-15,14.25,14.3,14.1,14.2,9.943895,1481600
2016-04-18,14.06,14.48,14.02,14.43,10.104959,2126200
2016-04-19,14.58,14.75,14.53,14.7,10.294033,2158900
