Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.209999,25.41,24.08,24.52,22.991024,240600
2016-01-05,24.379999,24.799999,24.379999,24.719999,23.178549,155500
2016-01-06,24.290001,24.870001,24.120001,24.73,23.187923,188100
2016-01-07,24.27,24.6,23.559999,23.67,22.194021,161800
2016-01-08,23.719999,23.9,22.950001,23.0,21.565798,122500
2016-01-11,23.209999,23.49,22.51,22.66,21.247007,108800
2016-01-12,22.790001,23.15,22.6,22.76,21.340765,94200
2016-01-13,22.98,23.200001,21.540001,21.73,20.374994,130800
2016-01-14,21.860001,22.190001,21.26,22.02,20.646915,68400
2016-01-15,21.559999,21.9,20.700001,21.33,19.999937,106000
2016-01-19,21.629999,22.0,20.83,21.24,19.91555,173200
2016-01-20,20.74,21.41,19.91,21.24,19.91555,143400
2016-01-21,21.42,21.49,21.200001,21.32,19.990555,92300
2016-01-22,21.75,22.23,21.440001,22.110001,20.731298,105500
2016-01-25,22.08,22.25,21.450001,21.57,20.22497,132800
2016-01-26,21.65,22.02,21.459999,21.860001,20.496891,50000
2016-01-27,21.76,21.76,21.0,21.26,19.934298,98300
2016-01-28,21.41,22.01,21.17,21.530001,20.187469,58700
2016-01-29,21.59,22.43,21.59,22.379999,20.984455,82700
2016-02-01,22.26,22.92,22.24,22.610001,21.200119,51200
2016-02-02,22.190001,22.790001,22.17,22.450001,21.050098,61200
2016-02-03,22.57,23.110001,21.74,22.84,21.415775,98500
2016-02-04,22.620001,22.790001,21.190001,21.709999,20.356243,83800
2016-02-05,21.59,21.809999,21.1,21.27,19.94368,113700
2016-02-08,21.059999,21.690001,20.59,21.639999,20.290602,70400
2016-02-09,21.25,21.98,21.25,21.51,20.168709,54100
2016-02-10,21.709999,22.040001,21.6,21.620001,20.271858,47800
2016-02-11,21.290001,22.690001,20.98,22.629999,21.21887,89100
2016-02-12,22.83,24.280001,22.83,23.639999,22.16589,122400
2016-02-16,23.99,24.82,23.290001,23.5,22.034624,81200
2016-02-17,23.780001,24.440001,23.6,24.41,22.887882,102500
2016-02-18,24.5,24.76,23.26,23.34,21.884594,109000
2016-02-19,23.25,23.59,22.219999,22.5,21.096981,145300
2016-02-22,22.68,23.120001,22.209999,22.32,20.9282,71800
2016-02-23,22.16,23.25,22.059999,23.190001,21.743954,120300
2016-02-24,22.889999,23.67,22.280001,23.540001,22.072128,67100
2016-02-25,23.58,23.75,23.379999,23.629999,22.156517,31600
2016-02-26,23.690001,23.719999,23.190001,23.5,22.034624,68200
2016-02-29,23.76,23.76,23.379999,23.389999,21.931486,62000
2016-03-01,23.6,23.77,22.940001,23.57,22.100258,86800
2016-03-02,23.6,24.15,23.370001,24.129999,22.625336,102400
2016-03-03,24.040001,24.84,23.639999,24.690001,23.150421,101900
2016-03-04,24.610001,24.969999,24.309999,24.719999,23.178549,41400
2016-03-07,24.66,24.959999,24.15,24.43,22.906631,75500
2016-03-08,24.299999,25.17,24.280001,25.01,23.450468,126400
2016-03-09,25.18,26.52,25.040001,26.450001,24.800673,96900
2016-03-10,26.25,26.25,21.790001,22.24,20.853199,321500
2016-03-11,22.49,22.879999,21.469999,21.889999,20.525019,155600
2016-03-14,22.030001,22.719999,21.68,22.66,21.247007,90000
2016-03-15,22.389999,22.93,21.780001,21.879999,20.51564,108800
2016-03-16,21.85,22.5,21.440001,22.450001,21.050098,76500
2016-03-17,23.120001,24.110001,22.68,23.940001,22.527464,139600
2016-03-18,24.08,24.139999,22.75,23.1,21.737026,140500
2016-03-21,22.93,23.209999,22.33,22.93,21.577057,41600
2016-03-22,22.629999,23.540001,22.559999,23.389999,22.009916,58000
2016-03-23,23.24,23.690001,23.02,23.48,22.094601,93000
2016-03-24,23.290001,23.66,23.0,23.49,22.104021,67700
2016-03-28,23.65,23.799999,22.709999,23.41,22.028734,192200
2016-03-29,23.360001,23.73,22.32,23.5,22.113424,65500
2016-03-30,23.719999,24.4,23.540001,24.309999,22.875633,122200
2016-03-31,24.33,24.66,23.57,24.24,22.809759,115600
2016-04-01,24.01,24.690001,24.01,24.4,22.960318,47000
2016-04-04,24.41,24.41,23.719999,23.889999,22.480413,59200
2016-04-05,23.389999,24.129999,23.040001,23.389999,22.009916,48000
2016-04-06,23.360001,23.629999,22.110001,23.58,22.1887,46100
2016-04-07,23.360001,23.93,22.709999,23.92,22.508646,56200
2016-04-08,23.99,25.35,23.75,25.290001,23.797812,150300
2016-04-11,25.5,25.92,25.18,25.440001,23.938959,89500
2016-04-12,25.42,25.43,24.690001,25.15,23.666065,72600
2016-04-13,25.200001,25.620001,25.01,25.200001,23.713112,110100
2016-04-14,25.309999,25.790001,25.309999,25.719999,24.202436,47500
2016-04-15,25.639999,25.99,25.639999,25.82,24.296537,48100
2016-04-18,25.889999,26.5,25.549999,26.5,24.936415,63500
2016-04-19,26.5,26.6,26.15,26.51,24.945827,45600
2016-04-20,26.41,26.799999,26.41,26.799999,25.218714,88700
2016-04-21,26.700001,26.780001,25.389999,25.75,24.230669,76800
2016-04-22,25.85,26.07,25.23,26.040001,24.503551,72700
2016-04-25,25.889999,26.52,25.549999,26.02,24.484734,80900
2016-04-26,26.18,26.450001,25.620001,26.379999,24.823498,130700
2016-04-27,26.4,26.6,26.049999,26.389999,24.832899,80400
2016-04-28,26.379999,26.66,25.780001,26.459999,24.898775,64300
2016-04-29,26.52,26.709999,26.059999,26.42,24.861132,46300
2016-05-02,26.620001,26.790001,26.030001,26.530001,24.964645,61400
2016-05-03,26.290001,26.610001,26.049999,26.25,24.70117,41500
2016-05-04,26.17,26.799999,24.92,26.25,24.70117,306200
2016-05-05,26.4,26.629999,25.700001,26.43,24.870546,57200
2016-05-06,26.26,27.620001,25.83,27.59,25.962097,141700
2016-05-09,27.67,29.190001,27.549999,28.84,27.138346,190500
2016-05-10,28.99,29.540001,28.27,28.9,27.194811,150900
2016-05-11,28.75,28.780001,27.719999,27.76,26.122068,48900
2016-05-12,27.799999,27.9,26.85,27.190001,25.585695,103000
2016-05-13,27.049999,27.620001,26.48,26.99,25.397503,34400
2016-05-16,27.09,27.42,27.01,27.120001,25.519833,33500
2016-05-17,27.040001,27.709999,25.799999,26.08,24.541197,152700
2016-05-18,26.09,26.73,25.690001,26.27,24.719986,40300
2016-05-19,26.09,26.73,26.030001,26.540001,24.974058,52100
2016-05-20,26.719999,27.34,26.620001,26.93,25.34104,71300
2016-05-23,27.129999,27.360001,26.99,27.110001,25.510422,54300
2016-05-24,27.299999,28.440001,26.790001,28.219999,26.554924,120500
2016-05-25,29.700001,32.16,29.030001,31.879999,29.998974,567000
2016-05-26,31.879999,33.419998,31.0,33.279999,31.316368,205200
2016-05-27,33.080002,33.209999,32.490002,32.549999,30.629442,151700
2016-05-31,32.889999,32.959999,32.43,32.720001,30.789415,440100
2016-06-01,32.799999,34.75,32.650002,34.080002,32.069172,218200
2016-06-02,34.009998,34.369999,32.939999,33.189999,31.231684,163700
2016-06-03,33.09,33.59,32.5,33.290001,31.325771,80300
2016-06-06,33.529999,34.349998,33.400002,34.169998,32.153854,129300
2016-06-07,34.41,34.540001,33.889999,34.48,32.44556,97800
2016-06-08,34.52,34.779999,34.240002,34.560001,32.520847,103900
2016-06-09,34.509998,34.790001,34.099998,34.549999,32.51144,90800
2016-06-10,34.169998,34.580002,33.84,34.220001,32.200916,71400
2016-06-13,34.139999,34.630001,34.139999,34.389999,32.360889,77900
2016-06-14,34.220001,34.709999,33.919998,34.48,32.44556,80700
2016-06-15,34.720001,34.720001,34.290001,34.400002,32.370293,78500
2016-06-16,34.259998,35.59,34.099998,35.299999,33.21719,142600
2016-06-17,35.009998,35.009998,33.27,33.360001,31.391645,489300
2016-06-20,34.09,34.880001,33.029999,34.490002,32.454975,111100
2016-06-21,34.650002,34.950001,33.849998,34.16,32.144447,191300
2016-06-22,34.310001,34.439999,33.470001,33.700001,31.711594,110000
2016-06-23,35.049999,38.360001,35.0,37.959999,35.720234,590600
2016-06-24,36.75,37.919998,35.630001,36.490002,34.336979,481800
