Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.67,14.9,14.38,14.58,12.347025,306800
2016-01-05,14.66,14.68,14.46,14.59,12.355494,250100
2016-01-06,14.41,14.88,14.41,14.45,12.236935,452000
2016-01-07,14.28,14.54,14.25,14.27,12.084503,251600
2016-01-08,14.3,14.3,13.51,13.52,11.449368,431600
2016-01-11,13.52,13.72,13.1,13.32,11.279997,517700
2016-01-12,13.46,13.96,13.37,13.79,11.678017,491400
2016-01-13,13.9,13.9,13.13,13.3,11.263062,796800
2016-01-14,13.29,13.73,13.1,13.69,11.59333,363700
2016-01-15,13.32,13.53,13.2,13.48,11.415494,290100
2016-01-19,13.55,13.8,13.02,13.25,11.220717,327000
2016-01-20,13.07,13.27,12.57,13.09,11.085225,620800
2016-01-21,13.02,13.26,12.94,13.01,11.017476,317200
2016-01-22,13.18,13.18,12.84,12.91,10.932792,280800
2016-01-25,12.95,13.39,12.43,12.45,10.543242,415300
2016-01-26,12.45,12.88,12.12,12.87,10.898916,1668100
2016-01-27,12.91,13.42,12.75,13.0,11.009007,538300
2016-01-28,13.11,13.34,12.84,12.92,10.941259,292000
2016-01-29,12.96,13.2,12.76,12.8,10.839639,1105000
2016-02-01,12.8,13.22,12.72,13.1,11.093693,684900
2016-02-02,13.03,13.22,12.84,12.95,10.966665,362300
2016-02-03,13.07,13.21,12.83,12.95,10.966665,344800
2016-02-04,12.91,13.17,12.84,12.96,10.975134,264700
2016-02-05,12.9,13.11,12.77,12.78,10.822701,338400
2016-02-08,12.63,12.84,12.47,12.76,10.805763,204900
2016-02-09,12.65,12.94,12.64,12.74,10.788825,283300
2016-02-10,12.9,13.3,12.9,13.01,11.017476,242700
2016-02-11,12.79,12.95,12.57,12.67,10.729547,225300
2016-02-12,12.91,13.33,12.82,13.16,11.144503,329100
2016-02-16,13.21,13.3,12.89,13.12,11.110628,227700
2016-02-17,13.26,13.48,13.17,13.36,11.31387,272100
2016-02-18,13.4,13.49,13.22,13.33,11.288465,205900
2016-02-19,13.31,13.41,13.16,13.32,11.279997,190700
2016-02-22,13.46,13.68,13.41,13.57,11.491709,398600
2016-02-23,12.22,13.04,11.82,12.16,10.297657,1197300
2016-02-24,12.02,12.14,11.14,11.98,10.145223,810900
2016-02-25,12.01,12.59,11.91,12.54,10.619459,476700
2016-02-26,12.56,12.56,12.03,12.05,10.204503,353800
2016-02-29,12.04,12.2,11.8,11.97,10.136754,389500
2016-03-01,12.07,12.38,11.94,12.36,10.467025,462700
2016-03-02,12.33,12.58,12.08,12.42,10.517836,690900
2016-03-03,12.45,12.72,12.39,12.47,10.560179,570100
2016-03-04,12.45,13.09,12.05,12.27,10.39081,532000
2016-03-07,12.19,12.57,12.07,12.55,10.627928,735400
2016-03-08,12.53,12.75,12.49,12.64,10.704143,382000
2016-03-09,12.75,12.77,12.59,12.75,10.797295,371400
2016-03-10,12.83,12.85,12.41,12.7,10.754952,302900
2016-03-11,12.83,13.13,12.71,13.12,11.110628,253900
2016-03-14,12.99,13.12,12.34,12.42,10.517836,636400
2016-03-15,12.32,12.48,12.24,12.43,10.526305,400800
