Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.0,4.1,3.95,4.1,4.1,336200
2016-01-05,4.1,4.2,4.08,4.16,4.16,249200
2016-01-06,4.11,4.58,4.07,4.55,4.55,992100
2016-01-07,4.5,4.85,4.28,4.7,4.7,826800
2016-01-08,4.99,5.13,4.7,4.74,4.74,1378700
2016-01-11,4.79,4.96,4.45,4.49,4.49,746800
2016-01-12,4.74,4.74,4.23,4.4,4.4,578800
2016-01-13,4.39,4.57,4.05,4.2,4.2,703000
2016-01-14,4.24,4.4,4.12,4.31,4.31,433100
2016-01-15,4.17,4.29,3.96,4.18,4.18,548000
2016-01-19,4.26,4.26,4.03,4.17,4.17,341600
2016-01-20,4.07,4.25,3.96,4.21,4.21,437800
2016-01-21,4.19,4.29,4.08,4.17,4.17,326500
2016-01-22,4.25,4.58,4.25,4.36,4.36,479200
2016-01-25,4.38,4.49,4.23,4.45,4.45,424400
2016-01-26,4.47,4.75,4.43,4.62,4.62,509900
2016-01-27,4.74,4.74,4.45,4.71,4.71,561200
2016-01-28,4.8,5.09,4.15,4.23,4.23,1750400
2016-01-29,4.28,4.5,4.25,4.33,4.33,687700
2016-02-01,4.29,4.41,4.12,4.39,4.39,387200
2016-02-02,4.33,4.53,4.32,4.48,4.48,647900
2016-02-03,4.49,4.68,4.42,4.66,4.66,618500
2016-02-04,4.63,4.79,4.55,4.68,4.68,336700
2016-02-05,4.63,4.78,4.44,4.69,4.69,738700
2016-02-08,4.67,4.68,4.36,4.46,4.46,572600
2016-02-09,4.38,4.51,4.2,4.28,4.28,340500
2016-02-10,4.33,4.45,4.24,4.29,4.29,288400
2016-02-11,4.28,4.38,4.15,4.27,4.27,318300
2016-02-12,4.28,4.43,4.17,4.41,4.41,281100
2016-02-16,4.41,4.58,4.37,4.56,4.56,326900
2016-02-17,4.57,5.12,4.54,5.05,5.05,1053600
2016-02-18,5.09,5.58,4.95,5.56,5.56,1403300
2016-02-19,5.51,5.57,5.32,5.54,5.54,699900
2016-02-22,5.57,5.75,5.17,5.24,5.24,736700
2016-02-23,5.28,5.35,5.09,5.32,5.32,471200
