Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.299999,25.469999,24.66,25.299999,19.397911,172100
2016-01-05,25.32,25.32,24.139999,24.530001,18.807541,229100
2016-01-06,24.08,24.92,24.08,24.530001,18.807541,145800
2016-01-07,24.139999,24.709999,24.0,24.25,18.592863,181300
2016-01-08,24.35,24.35,22.969999,23.07,17.688135,266000
2016-01-11,23.120001,23.120001,22.309999,22.790001,17.473454,157400
2016-01-12,23.280001,23.5,22.68,23.32,17.879812,246100
2016-01-13,23.32,23.57,22.969999,23.08,17.695799,200500
2016-01-14,23.129999,23.4,22.57,22.75,17.442789,124000
2016-01-15,22.16,22.709999,21.620001,22.67,17.381447,164500
2016-01-19,22.719999,22.799999,21.879999,22.32,17.1131,202500
2016-01-20,22.01,23.33,21.85,23.09,17.70347,163600
2016-01-21,23.09,23.51,22.780001,23.059999,17.680464,144200
2016-01-22,23.469999,23.85,23.209999,23.42,17.956482,81700
2016-01-25,23.299999,23.66,23.030001,23.16,17.757141,98400
2016-01-26,23.17,24.530001,23.17,24.41,18.71553,120500
2016-01-27,24.27,24.74,23.959999,24.040001,18.431852,60600
2016-01-28,24.4,24.879999,24.34,24.780001,18.999218,64000
2016-01-29,24.84,25.709999,24.690001,25.700001,19.704596,186800
2016-02-01,25.360001,25.6,24.82,24.950001,19.12957,159700
2016-02-02,25.030001,25.549999,24.85,24.91,19.09889,135900
2016-02-03,25.09,25.459999,24.33,25.280001,19.382574,91600
2016-02-04,24.91,25.440001,24.5,25.09,19.2369,73000
2016-02-05,24.91,25.6,24.5,24.59,18.853544,223800
2016-02-08,24.370001,25.1,24.17,24.98,19.152565,194800
2016-02-09,24.6,24.809999,24.26,24.51,18.792206,100700
2016-02-10,24.67,24.969999,24.42,24.440001,18.738531,78400
2016-02-11,24.17,24.43,23.870001,24.16,18.523851,60000
2016-02-12,24.379999,25.33,24.25,25.110001,19.252237,50600
2016-02-16,25.360001,26.66,24.98,26.23,20.110958,103900
2016-02-17,26.82,27.889999,26.639999,26.93,20.647661,163800
2016-02-18,26.91,27.0,26.42,26.610001,20.402311,122100
2016-02-19,27.0,27.879999,26.639999,26.65,20.43298,312800
2016-02-22,27.1,27.84,26.98,27.4,21.008013,280900
2016-02-23,27.540001,28.280001,27.42,27.790001,21.307032,164400
