Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.43,13.49,13.04,13.36,12.715523,1771000
2016-01-05,13.44,13.98,13.36,13.67,13.010569,1307200
2016-01-06,13.6,14.25,13.58,13.92,13.248509,1661500
2016-01-07,13.62,13.911,13.16,13.51,12.858288,1210400
2016-01-08,13.55,13.85,13.55,13.59,12.934428,512200
2016-01-11,13.6,14.13,13.49,13.73,13.067674,597100
2016-01-12,13.84,14.14,13.25,13.56,12.905875,844700
2016-01-13,13.78,13.83,13.0,13.295,12.653659,972500
2016-01-14,13.49,13.6,12.75,13.06,12.429996,1792300
2016-01-15,12.75,13.09,12.13,12.96,12.334819,1589700
2016-01-19,13.0,13.33,12.11,12.51,11.906527,1457800
2016-01-20,12.21,12.25,11.45,11.95,11.37354,1526700
2016-01-21,12.06,12.25,11.64,11.94,11.364022,600900
2016-01-22,12.46,12.46,11.88,12.22,11.630516,1130500
2016-01-25,12.57,12.77,11.83,11.97,11.392576,546400
2016-01-26,11.99,12.47,11.81,12.14,11.554376,495800
2016-01-27,12.27,12.5,11.83,11.96,11.383059,462200
2016-01-28,11.87,12.61,11.5,12.47,11.868456,1065100
2016-01-29,12.28,12.69,12.11,12.55,11.944597,934800
2016-02-01,12.11,12.95,12.03,12.79,12.173019,1062600
2016-02-02,12.72,12.825,12.0,12.19,11.601963,2017300
2016-02-03,9.98,10.82,9.17,10.66,10.145769,6600400
2016-02-04,10.21,10.55,8.75,9.76,9.289185,5495400
2016-02-05,9.78,9.99,9.29,9.3,8.851375,1425900
2016-02-08,9.03,9.75,9.0,9.19,8.74668,885900
2016-02-09,9.0,9.26,8.41,9.12,8.680058,1866600
2016-02-10,9.1,9.47,8.84,9.4,8.94655,636100
2016-02-11,9.21,9.95,9.05,9.7,9.232079,1255100
2016-02-12,9.6,10.0,9.44,9.82,9.34629,1044900
2016-02-16,10.11,10.5,9.85,10.19,9.698442,1029700
2016-02-17,10.18,10.71,10.06,10.11,9.6223,1216300
2016-02-18,10.18,10.77,9.93,10.44,9.936381,964700
2016-02-19,10.42,10.62,10.17,10.5,9.993487,682700
2016-02-22,10.49,10.73,10.38,10.47,9.964935,801000
2016-02-23,10.26,10.69,10.26,10.35,9.850723,759900
2016-02-24,10.49,10.65,10.115,10.58,10.069628,558600
2016-02-25,10.63,10.75,10.51,10.64,10.126735,374500
2016-02-26,10.65,10.7,10.5,10.61,10.098181,407000
2016-02-29,10.74,11.07,10.56,10.89,10.364675,1029900
2016-03-01,11.06,11.66,10.81,11.39,10.840555,1073300
2016-03-02,11.63,11.97,11.39,11.74,11.173671,923200
2016-03-03,11.81,12.3,11.72,11.97,11.392576,1099700
2016-03-04,12.15,12.18,11.49,11.52,10.964284,620000
2016-03-07,11.55,12.0,11.5,12.0,11.421128,955000
2016-03-08,11.93,12.05,11.38,11.53,10.973801,856400
2016-03-09,11.58,11.72,10.81,11.45,10.89766,819700
2016-03-10,11.54,11.71,11.185,11.29,10.745378,405400
2016-03-11,11.43,11.62,11.21,11.43,10.878625,553400
2016-03-14,11.45,11.68,11.18,11.24,10.69779,1053700
2016-03-15,11.14,11.31,10.74,11.16,10.62165,640400
2016-03-16,11.12,11.38,10.92,11.34,10.792967,647500
2016-03-17,11.33,11.48,11.01,11.2,10.659719,1141600
2016-03-18,11.29,11.4,10.48,10.66,10.145769,3545300
2016-03-21,10.69,10.92,10.537,10.9,10.374191,745700
2016-03-22,10.82,11.07,10.57,10.94,10.412262,557200
2016-03-23,10.9,11.0,10.56,10.72,10.202875,445100
2016-03-24,10.76,11.15,10.64,11.03,10.49792,906600
2016-03-28,11.13,11.18,10.75,10.87,10.345639,546300
2016-03-29,10.82,10.93,10.58,10.86,10.336121,413800
2016-03-30,11.0,11.22,10.81,10.93,10.402745,738200
2016-03-31,10.94,11.38,10.81,11.06,10.526474,675100
2016-04-01,11.02,11.64,10.84,11.58,11.021389,1630200
2016-04-04,11.52,11.7,11.06,11.35,10.802485,974100
2016-04-05,11.29,11.33,11.04,11.16,10.62165,1292900
2016-04-06,11.2,11.44,11.083,11.39,10.840555,809300
2016-04-07,11.35,11.38,10.91,10.97,10.440815,958400
2016-04-08,11.03,11.18,10.4,10.44,9.936381,765600
2016-04-11,10.48,10.58,10.11,10.24,9.74603,833900
2016-04-12,10.29,10.4,10.06,10.3,9.803136,854100
2016-04-13,10.43,10.65,10.23,10.62,10.107698,530400
2016-04-14,10.64,10.88,10.49,10.84,10.317086,523300
2016-04-15,10.85,11.6,10.77,11.34,10.792967,2162200
