Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.29,14.29,14.14,14.21,9.345845,51900
2016-01-05,14.26,14.26,14.21,14.25,9.372151,40500
2016-01-06,14.2,14.38,14.2,14.33,9.424767,148700
2016-01-07,14.36,14.41,14.36,14.4,9.470804,42400
2016-01-08,14.38,14.44,14.35,14.4,9.470804,63700
2016-01-11,14.42,14.43,14.32,14.33,9.424767,38500
2016-01-12,14.36,14.5,14.36,14.44,9.497111,73700
2016-01-13,14.45,14.47,14.31,14.42,9.52353,97200
2016-01-14,14.38,14.55,14.38,14.5,9.576359,60500
2016-01-15,14.42,14.67,14.42,14.6,9.64241,67700
2016-01-19,14.65,14.7,14.58,14.63,9.662222,45900
2016-01-20,14.64,14.65,14.22,14.42,9.52353,84800
2016-01-21,14.44,14.53,14.39,14.45,9.543341,54100
2016-01-22,14.42,14.52,14.42,14.5,9.576359,27000
2016-01-25,14.53,14.59,14.47,14.47,9.556551,60400
2016-01-26,14.48,14.74,14.47,14.62,9.655617,114400
2016-01-27,14.55,14.77,14.55,14.64,9.668829,90300
2016-01-28,14.69,14.78,14.5,14.53,9.596179,59200
2016-01-29,14.55,14.58,14.49,14.52,9.589573,40200
2016-02-01,14.46,14.65,14.46,14.61,9.649013,53700
2016-02-02,14.49,14.65,14.49,14.58,9.629201,69500
2016-02-03,14.64,14.7,14.56,14.63,9.662222,103700
2016-02-04,14.6,14.67,14.59,14.63,9.662222,26700
2016-02-05,14.63,14.64,14.6,14.63,9.662222,32000
2016-02-08,14.63,14.65,14.57,14.57,9.622596,77200
2016-02-09,14.56,14.69,14.56,14.64,9.668829,46800
2016-02-10,14.58,14.66,14.58,14.64,9.668829,72900
2016-02-11,14.58,14.68,14.55,14.58,9.668827,79500
2016-02-12,14.64,14.66,14.25,14.27,9.463246,119800
2016-02-16,14.32,14.33,14.19,14.2,9.416826,64100
2016-02-17,14.29,14.3,14.11,14.14,9.37704,82700
2016-02-18,14.21,14.37,14.19,14.34,9.509672,35200
2016-02-19,14.35,14.4,14.28,14.33,9.503036,25700
2016-02-22,14.38,14.51,14.3,14.51,9.622405,74500
2016-02-23,14.49,14.65,14.44,14.51,9.622405,115700
2016-02-24,14.59,14.65,14.5,14.56,9.655565,50700
2016-02-25,14.53,14.59,14.49,14.56,9.655565,68100
2016-02-26,14.55,14.57,14.4,14.41,9.556091,71000
2016-02-29,14.43,14.49,14.41,14.49,9.609141,25100
2016-03-01,14.53,14.6,14.5,14.6,9.682093,76600
2016-03-02,14.57,14.59,14.5,14.5,9.615771,45400
2016-03-03,14.47,14.63,14.47,14.6,9.682093,53700
2016-03-04,14.6,14.61,14.56,14.57,9.662194,50400
2016-03-07,14.58,14.6,14.54,14.6,9.682093,36400
2016-03-08,14.58,14.63,14.55,14.6,9.682093,57800
2016-03-09,14.65,14.68,14.62,14.65,9.715248,44100
2016-03-10,14.65,14.7,14.59,14.63,9.701984,65800
2016-03-11,14.63,14.71,14.61,14.66,9.761916,66400
2016-03-14,14.64,14.69,14.64,14.67,9.768573,38300
2016-03-15,14.65,14.68,14.6,14.6,9.721965,36800
2016-03-16,14.63,14.65,14.56,14.65,9.755256,35800
2016-03-17,14.67,14.7,14.64,14.7,9.78855,34900
2016-03-18,14.66,14.68,14.52,14.61,9.728618,28400
2016-03-21,14.66,14.68,14.61,14.68,9.775235,48600
2016-03-22,14.64,14.7,14.63,14.68,9.775235,33600
2016-03-23,14.67,14.7,14.66,14.7,9.78855,27400
2016-03-24,14.65,14.7,14.65,14.7,9.78855,25200
2016-03-28,14.67,14.75,14.64,14.68,9.775235,66800
2016-03-29,14.71,14.81,14.71,14.73,9.808528,68700
2016-03-30,14.79,14.94,14.73,14.83,9.875116,70100
2016-03-31,14.87,14.95,14.83,14.87,9.901749,67700
2016-04-01,14.87,14.94,14.8,14.85,9.888433,53000
2016-04-04,14.94,14.97,14.89,14.9,9.92173,71500
2016-04-05,14.94,15.01,14.94,15.01,9.994972,47000
2016-04-06,15.05,15.09,14.89,14.9,9.92173,75200
2016-04-07,14.9,15.03,14.8,14.81,9.861798,72300
2016-04-08,14.88,14.92,14.86,14.86,9.895086,52500
2016-04-11,14.84,14.92,14.84,14.91,9.928385,30200
2016-04-12,14.86,14.92,14.74,14.74,9.815185,149100
2016-04-13,14.76,14.76,14.67,14.73,9.848615,69000
2016-04-14,14.66,14.86,14.66,14.82,9.908788,72600
2016-04-15,14.85,14.85,14.69,14.76,9.868678,40200
2016-04-18,14.82,14.83,14.72,14.72,9.841932,48700
2016-04-19,14.69,14.76,14.69,14.72,9.841932,48000
2016-04-20,14.8,14.84,14.6,14.6,9.7617,164100
2016-04-21,14.61,14.69,14.57,14.63,9.781754,61500
2016-04-22,14.64,14.74,14.64,14.7,9.828553,30800
2016-04-25,14.72,14.72,14.68,14.69,9.821872,26700
2016-04-26,14.68,14.71,14.63,14.64,9.788443,38600
2016-04-27,14.7,14.78,14.68,14.73,9.848615,67600
2016-04-28,14.79,14.81,14.69,14.73,9.848615,43500
2016-04-29,14.77,14.89,14.71,14.74,9.855301,63400
2016-05-02,14.83,14.85,14.71,14.73,9.848615,46300
2016-05-03,14.78,14.9,14.74,14.9,9.962276,52300
2016-05-04,14.82,14.95,14.8,14.92,9.97565,84100
2016-05-05,14.9,15.19,14.88,15.12,10.109377,70300
2016-05-06,15.12,15.21,15.1,15.18,10.149494,57000
2016-05-09,15.22,15.23,15.14,15.2,10.162861,67700
2016-05-10,15.17,15.2,15.02,15.13,10.116059,41600
2016-05-11,15.02,15.2,15.02,15.2,10.162861,72200
2016-05-12,15.2,15.2,14.95,14.97,10.048749,177300
2016-05-13,15.02,15.03,14.91,14.94,10.028611,72400
2016-05-16,15.0,15.0,14.88,14.9,10.001757,74400
2016-05-17,14.95,14.96,14.85,14.95,10.035324,73700
2016-05-18,14.99,15.0,14.84,14.86,9.974905,72500
2016-05-19,14.8,14.86,14.68,14.68,9.854086,69000
2016-05-20,14.74,14.78,14.7,14.73,9.887647,42100
2016-05-23,14.78,14.93,14.77,14.93,10.021896,123900
2016-05-24,14.87,14.97,14.87,14.94,10.028611,67800
2016-05-25,14.96,14.98,14.9,14.94,10.028611,37500
2016-05-26,14.9,15.1,14.87,14.93,10.021896,77200
2016-05-27,14.89,15.07,14.89,14.92,10.015182,27200
2016-05-31,14.88,14.93,14.82,14.89,9.995051,49900
2016-06-01,14.92,15.09,14.92,15.09,10.129302,65600
2016-06-02,15.05,15.07,14.95,15.0,10.068892,62000
2016-06-03,15.08,15.17,15.05,15.16,10.176291,51000
2016-06-06,15.2,15.2,15.09,15.1,10.136013,36600
2016-06-07,15.15,15.19,15.08,15.15,10.169575,107500
2016-06-08,15.15,15.15,15.07,15.11,10.142724,63000
2016-06-09,15.12,15.19,15.08,15.14,10.162861,48100
2016-06-10,15.12,15.2,15.08,15.19,10.196424,31200
