Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.43,8.53,8.32,8.48,7.378187,1864300
2016-01-05,8.52,8.62,8.49,8.53,7.421689,1414800
2016-01-06,8.46,8.53,8.35,8.51,7.404291,1400300
2016-01-07,8.35,8.4,8.2,8.2,7.134567,1056700
2016-01-08,8.24,8.25,7.88,8.0,6.960554,1722800
2016-01-11,8.04,8.14,7.9,8.07,7.021459,1881800
2016-01-12,8.28,8.28,7.96,8.13,7.073663,1868800
2016-01-13,8.13,8.17,7.75,7.85,6.830042,1871700
2016-01-14,7.88,8.02,7.7,7.97,6.934453,878300
2016-01-15,7.72,7.87,7.63,7.85,6.830042,1416900
2016-01-19,7.98,7.99,7.71,7.8,6.78654,930200
2016-01-20,7.66,7.92,7.52,7.84,6.821343,2108800
2016-01-21,7.82,8.08,7.77,7.93,6.899649,1984100
2016-01-22,8.06,8.23,7.95,8.15,7.091064,1341500
2016-01-25,8.09,8.19,7.82,7.85,6.830042,894500
2016-01-26,7.92,8.12,7.87,8.11,7.056261,716700
2016-01-27,8.05,8.22,7.92,7.97,6.934453,683500
2016-01-28,8.05,8.12,7.88,7.94,6.90835,778700
2016-01-29,7.99,8.22,7.89,8.21,7.143268,1511400
2016-02-01,8.12,8.16,7.94,7.97,6.934453,1911100
2016-02-02,7.84,7.88,7.6,7.84,6.821343,2762200
2016-02-03,7.93,7.96,7.7,7.85,6.830042,1360900
2016-02-04,7.78,8.82,7.78,8.3,7.221575,3996200
2016-02-05,8.26,8.4,8.03,8.29,7.212873,1986500
2016-02-08,8.17,8.19,7.89,8.15,7.108213,2239300
2016-02-09,8.04,8.2,7.97,8.12,7.082048,1784100
2016-02-10,8.21,8.22,8.05,8.06,7.029718,1415000
2016-02-11,7.87,8.03,7.8,7.92,6.907614,1834800
2016-02-12,8.06,8.18,7.91,8.13,7.09077,1622600
2016-02-16,8.23,8.27,8.15,8.26,7.204153,2242200
2016-02-17,8.36,8.57,8.36,8.51,7.422197,1543100
2016-02-18,8.51,8.54,8.38,8.48,7.396029,833900
2016-02-19,8.46,8.54,8.41,8.45,7.369865,817000
2016-02-22,8.51,8.67,8.48,8.63,7.526855,859600
2016-02-23,8.57,8.66,8.49,8.54,7.44836,991200
2016-02-24,8.43,8.43,8.29,8.39,7.317535,1024900
2016-02-25,8.43,8.48,8.3,8.47,7.38731,1522100
2016-02-26,8.57,8.79,8.56,8.7,7.587907,1092900
2016-02-29,8.71,8.79,8.55,8.61,7.509412,1224600
2016-03-01,8.72,8.81,8.61,8.81,7.683849,923500
2016-03-02,8.77,8.88,8.75,8.87,7.736178,774500
2016-03-03,8.87,8.97,8.85,8.97,7.823398,1191100
2016-03-04,8.97,9.15,8.92,9.12,7.954221,916100
2016-03-07,9.1,9.15,8.99,9.1,7.936777,1111400
2016-03-08,9.07,9.07,8.8,8.84,7.710011,859800
2016-03-09,8.87,8.9,8.77,8.8,7.675125,607200
2016-03-10,8.85,8.85,8.59,8.69,7.579186,672100
2016-03-11,8.8,8.93,8.75,8.93,7.788507,618300
2016-03-14,8.95,9.04,8.91,8.93,7.788507,901100
2016-03-15,8.85,8.93,8.69,8.75,7.631518,1044700
2016-03-16,8.75,9.13,8.72,9.1,7.936777,2448800
2016-03-17,9.11,9.41,9.08,9.36,8.163541,1477800
2016-03-18,9.4,9.54,9.35,9.44,8.233317,4421600
2016-03-21,9.41,9.48,9.38,9.41,8.207151,747500
2016-03-22,9.35,9.64,9.34,9.61,8.381587,1255000
2016-03-23,9.56,9.6,9.33,9.36,8.163541,1938900
2016-03-24,9.32,9.5,9.26,9.5,8.285646,872000
2016-03-28,9.5,9.51,9.4,9.48,8.268201,634600
2016-03-29,9.48,9.79,9.42,9.78,8.529854,1263700
2016-03-30,9.87,9.94,9.74,9.87,8.608352,1387200
2016-03-31,9.85,9.91,9.82,9.88,8.61707,1360800
2016-04-01,9.83,10.14,9.8,10.12,8.826395,1348400
2016-04-04,10.13,10.16,9.9,9.92,8.651961,1353100
2016-04-05,9.81,9.84,9.62,9.62,8.390309,1190800
2016-04-06,9.64,9.72,9.56,9.71,8.468803,1091100
2016-04-07,9.59,9.69,9.55,9.63,8.399032,1057500
2016-04-08,9.71,9.81,9.6,9.64,8.407752,510000
2016-04-11,9.69,9.82,9.66,9.73,8.486247,1067400
2016-04-12,9.73,10.03,9.71,10.0,8.721735,1216600
2016-04-13,10.02,10.16,9.92,10.15,8.852558,1076500
2016-04-14,10.16,10.19,10.06,10.08,8.791506,1382900
2016-04-15,10.07,10.14,10.02,10.12,8.826395,831300
