Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.42,13.57,13.42,13.53,9.291666,137300
2016-01-05,13.5,13.63,13.5,13.63,9.360342,45000
2016-01-06,13.58,13.73,13.57,13.7,9.408412,68400
2016-01-07,13.71,13.74,13.63,13.73,9.429017,62300
2016-01-08,13.72,13.72,13.65,13.69,9.401546,29600
2016-01-11,13.68,13.7,13.6,13.66,9.380943,72900
2016-01-12,13.66,13.67,13.56,13.66,9.380943,88300
2016-01-13,13.62,13.62,13.48,13.5,9.313336,99700
2016-01-14,13.53,13.55,13.48,13.55,9.347833,51100
2016-01-15,13.53,13.61,13.51,13.57,9.361625,120700
2016-01-19,13.58,13.58,13.51,13.52,9.327129,81800
2016-01-20,13.53,13.57,13.35,13.38,9.230551,185000
2016-01-21,13.43,13.49,13.4,13.46,9.285739,75200
2016-01-22,13.5,13.54,13.43,13.43,9.265044,68900
2016-01-25,13.46,13.49,13.42,13.43,9.265044,65500
2016-01-26,13.38,13.48,13.38,13.48,9.299535,60300
2016-01-27,13.5,13.58,13.46,13.54,9.340928,57200
2016-01-28,13.6,13.61,13.51,13.55,9.347833,84900
2016-01-29,13.57,13.63,13.57,13.63,9.403022,27100
2016-02-01,13.67,13.76,13.64,13.76,9.492706,79000
2016-02-02,13.8,13.88,13.74,13.83,9.540996,118200
2016-02-03,13.83,13.93,13.83,13.91,9.596182,79700
2016-02-04,13.92,13.94,13.88,13.92,9.603079,38000
2016-02-05,13.93,13.99,13.87,13.93,9.609981,64900
2016-02-08,13.96,13.98,13.72,13.75,9.485799,95800
2016-02-09,13.75,13.97,13.73,13.79,9.513399,91500
2016-02-10,13.89,13.96,13.82,13.9,9.589285,84000
2016-02-11,13.88,13.89,13.75,13.81,9.569887,53400
2016-02-12,13.82,13.82,13.67,13.68,9.479802,94000
2016-02-16,13.68,13.72,13.58,13.61,9.43129,56200
2016-02-17,13.61,13.66,13.54,13.58,9.410502,56200
2016-02-18,13.64,13.7,13.63,13.67,9.472866,41600
2016-02-19,13.72,13.76,13.67,13.76,9.535236,35400
2016-02-22,13.77,13.78,13.74,13.78,9.549092,45300
2016-02-23,13.78,13.86,13.71,13.79,9.556023,192400
2016-02-24,13.78,13.94,13.78,13.92,9.646107,98100
2016-02-25,13.91,13.98,13.85,13.98,9.687686,109100
2016-02-26,13.94,13.99,13.87,13.98,9.687686,111400
2016-02-29,14.0,14.08,13.89,13.91,9.639176,60600
2016-03-01,13.96,14.05,13.93,13.98,9.687686,121600
2016-03-02,13.96,14.03,13.9,13.98,9.687686,76900
2016-03-03,13.98,14.02,13.94,14.01,9.708475,72900
2016-03-04,13.99,14.04,13.99,14.0,9.701546,66600
2016-03-07,14.03,14.07,13.81,13.88,9.618395,79100
2016-03-08,13.96,14.03,13.88,13.93,9.653045,41800
2016-03-09,13.97,14.03,13.95,13.99,9.694614,39300
2016-03-10,14.05,14.06,13.85,13.95,9.666899,51000
2016-03-11,13.93,13.93,13.8,13.8,9.605649,65900
2016-03-14,13.83,13.85,13.79,13.85,9.64045,41500
2016-03-15,13.88,13.93,13.85,13.86,9.64741,62200
2016-03-16,13.91,14.01,13.91,13.94,9.703093,70400
2016-03-17,13.98,14.09,13.94,13.96,9.717017,46000
2016-03-18,14.02,14.05,13.91,13.95,9.710052,29100
2016-03-21,13.91,14.02,13.91,14.02,9.75878,42000
2016-03-22,14.06,14.07,13.98,14.03,9.76574,54900
2016-03-23,14.01,14.09,13.99,14.0,9.744856,44500
2016-03-24,14.04,14.05,14.0,14.0,9.744856,55400
2016-03-28,14.0,14.08,14.0,14.08,9.800542,40000
2016-03-29,14.09,14.09,14.01,14.02,9.75878,89200
2016-03-30,14.04,14.07,13.91,13.93,9.696133,124000
2016-03-31,13.97,14.02,13.92,13.94,9.703093,73300
2016-04-01,13.98,14.04,13.93,13.95,9.710052,64100
2016-04-04,14.0,14.08,13.96,14.08,9.800542,64600
2016-04-05,14.08,14.15,14.08,14.15,9.849268,66600
2016-04-06,14.18,14.32,14.16,14.32,9.967597,95900
2016-04-07,14.33,14.33,14.28,14.3,9.953677,28600
2016-04-08,14.33,14.34,14.3,14.31,9.960635,53700
2016-04-11,14.27,14.44,14.26,14.43,10.044166,72900
2016-04-12,14.43,14.43,14.26,14.42,10.037204,110300
2016-04-13,14.31,14.35,14.16,14.18,9.912764,65400
2016-04-14,14.17,14.24,14.12,14.2,9.926752,50300
2016-04-15,14.15,14.22,14.11,14.2,9.926752,76200
2016-04-18,14.2,14.3,14.13,14.3,9.996655,64600
2016-04-19,14.28,14.31,14.12,14.21,9.93374,71600
2016-04-20,14.23,14.34,14.23,14.3,9.996655,86900
2016-04-21,14.29,14.34,14.24,14.26,9.968694,52400
2016-04-22,14.3,14.34,14.26,14.32,10.010639,46100
2016-04-25,14.32,14.33,14.24,14.29,9.989666,46700
2016-04-26,14.32,14.32,14.18,14.27,9.975686,84900
2016-04-27,14.29,14.38,14.28,14.33,10.017629,67600
2016-04-28,14.37,14.37,14.29,14.32,10.010639,35000
2016-04-29,14.3,14.4,14.3,14.39,10.059569,36400
2016-05-02,14.38,14.38,14.29,14.31,10.003646,78700
2016-05-03,14.4,14.4,14.29,14.32,10.010639,56300
2016-05-04,14.3,14.38,14.29,14.34,10.024625,48300
2016-05-05,14.37,14.41,14.35,14.38,10.052582,37600
2016-05-06,14.39,14.43,14.39,14.43,10.087536,46200
2016-05-09,14.44,14.61,14.44,14.6,10.206376,148300
2016-05-10,14.65,14.74,14.49,14.59,10.199381,107500
2016-05-11,14.63,14.68,14.46,14.59,10.199381,82300
2016-05-12,14.55,14.65,14.46,14.46,10.151652,143200
2016-05-13,14.57,14.68,14.49,14.54,10.207813,88000
2016-05-16,14.57,14.58,14.47,14.49,10.172702,96000
2016-05-17,14.54,14.6,14.46,14.58,10.235893,40100
2016-05-18,14.58,14.59,14.29,14.29,10.032298,112200
2016-05-19,14.34,14.34,14.0,14.06,9.870827,174600
2016-05-20,14.13,14.18,13.97,14.06,9.870827,248000
2016-05-23,14.12,14.19,14.04,14.15,9.934011,109700
2016-05-24,14.15,14.19,14.07,14.11,9.905927,60300
2016-05-25,14.15,14.15,14.06,14.1,9.898911,79800
2016-05-26,14.15,14.19,14.14,14.16,9.94103,49200
2016-05-27,14.21,14.21,14.1,14.15,9.934011,46100
2016-05-31,14.07,14.09,14.02,14.07,9.877846,89300
2016-06-01,14.13,14.23,14.08,14.23,9.990174,84300
2016-06-02,14.16,14.24,14.16,14.18,9.95507,73900
2016-06-03,14.25,14.31,14.21,14.3,10.039318,96400
2016-06-06,14.25,14.31,14.21,14.22,9.983156,56300
2016-06-07,14.28,14.33,14.23,14.31,10.046337,58800
2016-06-08,14.32,14.35,14.25,14.34,10.067402,85100
2016-06-09,14.37,14.37,14.25,14.25,10.004214,72800
2016-06-10,14.28,14.33,14.25,14.25,10.004214,51000
2016-06-13,14.26,14.3,14.22,14.23,10.028175,44700
2016-06-14,14.28,14.28,14.21,14.24,10.03522,55800
2016-06-15,14.29,14.29,14.17,14.23,10.028175,95600
2016-06-16,14.29,14.36,14.28,14.35,10.112742,70400
2016-06-17,14.39,14.4,14.29,14.29,10.070458,40900
2016-06-20,14.34,14.34,14.25,14.27,10.056367,34000
2016-06-21,14.27,14.37,14.27,14.28,10.063415,80400
