Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,7.5,7.83,5.4,7.57,7.57,165400
2023-03-22,7.78,7.78,6.91,7.28,7.28,208700
2023-03-23,7.66,7.66,6.51,6.65,6.65,108900
2023-03-24,6.48,7.02,6.35,6.95,6.95,155800
2023-03-27,7.26,7.26,6.54,6.69,6.69,63100
2023-03-28,6.71,6.77,6.29,6.31,6.31,44700
2023-03-29,6.75,6.85,6.35,6.85,6.85,38100
2023-03-30,7.0,7.39,6.49,6.57,6.57,87600
2023-03-31,6.58,6.78,6.26,6.36,6.36,78100
2023-04-03,6.5,6.87,6.5,6.71,6.71,33400
2023-04-04,6.93,7.15,6.7,7.15,7.15,45500
2023-04-05,7.15,7.15,6.72,6.73,6.73,48100
2023-04-06,6.61,6.75,6.6,6.7,6.7,23100
2023-04-10,6.76,6.78,6.6,6.67,6.67,31000
2023-04-11,6.83,6.83,6.6,6.73,6.73,37200
2023-04-12,6.76,7.15,6.65,6.89,6.89,35900
2023-04-13,6.98,7.09,6.82,6.99,6.99,52400
2023-04-14,7.14,7.18,6.95,7.13,7.13,45900
2023-04-17,7.13,7.13,6.8,6.86,6.86,44500
2023-04-18,6.9,6.9,6.71,6.84,6.84,52700
2023-04-19,6.84,6.84,6.4,6.48,6.48,94500
2023-04-20,6.31,6.47,6.25,6.32,6.32,57900
2023-04-21,6.26,6.5,6.16,6.41,6.41,63400
2023-04-24,6.31,6.49,6.26,6.44,6.44,16000
2023-04-25,6.38,6.53,6.3,6.36,6.36,38200
2023-04-26,6.33,6.38,6.2,6.27,6.27,42300
2023-04-27,6.39,6.39,6.01,6.22,6.22,47600
2023-04-28,6.22,6.25,5.83,5.87,5.87,60700
2023-05-01,5.98,6.14,5.98,6.1,6.1,32200
2023-05-02,6.11,6.11,5.9,6.03,6.03,41200
2023-05-03,5.92,6.1,5.92,6.04,6.04,34000
2023-05-04,6.1,6.1,6.0,6.09,6.09,34300
2023-05-05,6.095,6.1,5.96,5.96,5.96,27900
2023-05-08,6.05,6.1,6.0,6.0,6.0,25100
2023-05-09,6.07,6.38,6.025,6.37,6.37,47200
2023-05-10,6.39,6.39,6.01,6.09,6.09,39500
2023-05-11,6.0,6.06,5.75,5.77,5.77,64600
2023-05-12,5.8,5.84,5.5,5.5,5.5,66800
2023-05-15,5.5,5.6,5.23,5.23,5.23,63700
2023-05-16,5.0,5.22,4.77,4.82,4.82,179500
2023-05-17,4.96,4.983,4.75,4.92,4.92,98000
2023-05-18,5.0,5.0,4.82,4.86,4.86,55500
2023-05-19,4.99,5.1,4.87,4.95,4.95,123000
2023-05-22,5.06,5.06,4.945,5.03,5.03,85300
2023-05-23,5.08,5.25,4.97,5.05,5.05,126000
2023-05-24,4.96,5.462,4.85,5.44,5.44,76700
2023-05-25,5.5,5.56,5.0,5.11,5.11,114900
