Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.98,1.98,1.98,1.98,1.98,0
2016-01-05,2.07,3.15,2.07,2.97,2.97,1033
2016-01-06,2.16,2.97,2.16,2.97,2.97,822
2016-01-07,2.97,2.97,2.97,2.97,2.97,0
2016-01-08,2.97,2.97,2.97,2.97,2.97,0
2016-01-11,3.06,3.06,3.06,3.06,3.06,22
2016-01-12,3.06,3.06,3.06,3.06,3.06,0
2016-01-13,2.16,3.06,2.16,3.06,3.06,889
2016-01-14,2.7,3.06,2.16,2.7,2.7,978
2016-01-15,2.7,3.06,2.7,3.06,3.06,33
2016-01-19,2.97,3.6,2.97,2.97,2.97,4356
2016-01-20,3.24,3.6,3.24,3.6,3.6,356
2016-01-21,3.51,3.6,3.51,3.6,3.6,67
2016-01-22,3.6,3.6,3.6,3.6,3.6,0
2016-01-25,3.15,3.51,3.15,3.51,3.51,167
2016-01-26,3.51,3.51,3.15,3.15,3.15,578
2016-01-27,3.15,3.51,3.15,3.51,3.51,289
2016-01-28,3.51,3.51,3.51,3.51,3.51,0
2016-01-29,3.15,3.15,3.15,3.15,3.15,167
2016-02-01,3.33,3.51,3.15,3.51,3.51,1222
2016-02-02,3.51,3.51,3.42,3.42,3.42,700
2016-02-03,3.51,3.6,3.33,3.6,3.6,2144
2016-02-04,3.6,3.6,3.6,3.6,3.6,167
2016-02-05,3.15,3.6,3.15,3.6,3.6,300
2016-02-08,3.24,3.24,3.24,3.24,3.24,222
2016-02-09,3.6,3.6,3.24,3.24,3.24,733
2016-02-10,3.24,3.24,3.24,3.24,3.24,478
2016-02-11,2.61,3.24,2.25,2.7,2.7,5689
2016-02-12,2.52,2.52,2.52,2.52,2.52,111
2016-02-16,2.34,2.7,2.34,2.7,2.7,200
2016-02-17,2.52,2.7,2.34,2.7,2.7,411
2016-02-18,2.52,2.7,2.43,2.7,2.7,678
2016-02-19,2.61,2.61,2.43,2.43,2.43,1756
2016-02-22,2.7,2.7,2.7,2.7,2.7,33
2016-02-23,2.52,2.88,2.43,2.88,2.88,2067
2016-02-24,2.88,2.88,2.88,2.88,2.88,0
2016-02-25,2.88,3.6,2.88,3.33,3.33,1289
2016-02-26,3.6,3.6,3.6,3.6,3.6,44
2016-02-29,3.06,3.06,3.06,3.06,3.06,478
2016-03-01,3.06,3.06,3.06,3.06,3.06,0
2016-03-02,2.88,2.88,2.88,2.88,2.88,222
2016-03-03,3.6,3.6,3.6,3.6,3.6,11
2016-03-04,3.6,3.6,3.6,3.6,3.6,0
2016-03-07,3.24,3.6,2.79,3.6,3.6,167
2016-03-08,2.79,2.88,2.7,2.88,2.88,1211
2016-03-09,3.33,3.33,2.97,2.97,2.97,467
2016-03-10,2.97,2.97,2.97,2.97,2.97,0
2016-03-11,2.88,3.33,2.88,3.33,3.33,211
2016-03-14,2.88,3.15,2.7,3.15,3.15,2278
2016-03-15,3.15,3.15,2.34,2.61,2.61,5789
2016-03-16,2.43,3.42,2.34,3.42,3.42,689
2016-03-17,2.52,3.33,2.52,3.33,3.33,511
2016-03-18,2.79,3.06,2.16,2.97,2.97,2400
2016-03-21,2.97,2.97,2.97,2.97,2.97,0
2016-03-22,2.34,2.97,2.34,2.97,2.97,1044
2016-03-23,2.88,2.88,2.88,2.88,2.88,222
2016-03-24,2.61,2.61,2.43,2.43,2.43,722
2016-03-28,2.52,2.52,2.52,2.52,2.52,467
2016-03-29,2.52,2.88,2.52,2.88,2.88,1089
2016-03-30,2.88,2.88,2.34,2.34,2.34,2400
2016-03-31,2.34,2.34,2.34,2.34,2.34,0
2016-04-01,2.16,2.88,2.16,2.88,2.88,1189
2016-04-04,2.88,2.88,2.88,2.88,2.88,0
2016-04-05,2.16,2.52,2.16,2.25,2.25,2467
2016-04-06,2.52,2.88,2.52,2.88,2.88,844
2016-04-07,2.16,2.88,2.16,2.88,2.88,900
2016-04-08,2.34,3.15,2.34,2.52,2.52,2956
2016-04-11,2.52,2.52,2.34,2.34,2.34,733
2016-04-12,2.34,2.34,2.34,2.34,2.34,0
2016-04-13,2.52,2.52,2.34,2.34,2.34,489
2016-04-14,2.52,2.52,2.34,2.52,2.52,3744
2016-04-15,2.52,2.52,2.43,2.52,2.52,1811
2016-04-18,2.43,3.15,2.34,3.15,3.15,7311
2016-04-19,3.15,3.15,2.7,2.7,2.7,511
2016-04-20,2.7,2.7,2.7,2.7,2.7,278
2016-04-21,2.7,2.97,2.7,2.79,2.79,1733
2016-04-22,2.88,2.88,2.88,2.88,2.88,978
2016-04-25,2.34,2.34,2.34,2.34,2.34,333
2016-04-26,3.06,5.13,2.97,3.6,3.6,9044
