Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,19.41,19.66,19.309999,19.52,14.967569,2592700
2016-01-05,19.5,19.93,19.280001,19.83,15.205271,3138800
2016-01-06,19.690001,20.0,19.59,19.940001,15.289612,3525700
2016-01-07,19.719999,19.84,19.4,19.5,14.952233,3047600
2016-01-08,19.52,19.790001,19.42,19.469999,14.929228,2933800
2016-01-11,19.5,19.85,19.5,19.790001,15.174597,2156500
2016-01-12,19.82,19.9,19.459999,19.540001,14.982903,2405300
2016-01-13,19.52,19.66,19.34,19.469999,14.929228,2140100
2016-01-14,19.48,20.15,19.48,20.0,15.335624,2402800
2016-01-15,19.68,19.91,19.530001,19.74,15.136255,1995300
2016-01-19,19.889999,20.110001,19.780001,20.040001,15.366295,2419800
2016-01-20,19.9,20.02,19.049999,19.459999,14.921562,3218100
2016-01-21,19.5,19.799999,19.33,19.530001,14.975235,2703400
2016-01-22,19.73,20.34,19.540001,20.280001,15.550322,2744600
2016-01-25,20.24,20.43,20.129999,20.379999,15.626999,3481800
2016-01-26,20.4,20.67,20.290001,20.309999,15.573326,2447500
2016-01-27,20.309999,20.379999,19.99,20.139999,15.442974,3681900
2016-01-28,20.27,20.85,20.200001,20.75,15.910709,3868200
2016-01-29,21.01,21.129999,20.860001,21.01,16.110075,4958300
2016-02-01,21.02,21.32,20.85,21.299999,16.332436,4254200
2016-02-02,21.23,21.530001,21.07,21.26,16.301764,5417300
2016-02-03,21.379999,21.66,21.309999,21.48,16.470459,4137300
2016-02-04,21.450001,21.530001,21.059999,21.16,16.343021,3624000
2016-02-05,21.07,21.139999,20.68,20.98,16.203993,3763500
2016-02-08,21.07,21.24,20.719999,20.91,16.149937,1950300
2016-02-09,20.799999,21.379999,20.76,21.24,16.404802,2964700
2016-02-10,21.200001,21.65,21.059999,21.48,16.590176,4691300
2016-02-11,21.35,21.42,20.940001,21.1,16.29668,4161700
2016-02-12,21.379999,21.389999,21.02,21.280001,16.435703,3222800
2016-02-16,21.440001,21.559999,20.959999,21.110001,16.304401,2595600
2016-02-17,21.17,21.49,20.879999,21.35,16.489771,4240500
2016-02-18,21.25,22.1,21.15,21.870001,16.89139,4141100
2016-02-19,21.73,22.139999,21.52,21.870001,16.89139,3276000
2016-02-22,21.82,22.07,21.68,21.91,16.922285,2411200
2016-02-23,21.879999,22.02,21.75,21.799999,16.837328,3131800
2016-02-24,21.700001,21.91,21.620001,21.75,16.798708,2485200
2016-02-25,21.860001,22.059999,21.74,22.030001,17.014967,1971600
2016-02-26,21.92,22.0,21.450001,21.51,16.613346,2716200
2016-02-29,21.52,21.73,21.469999,21.48,16.590176,2250600
2016-03-01,21.57,21.719999,21.440001,21.5,16.605619,2536300
2016-03-02,21.41,22.1,20.940001,22.07,17.045862,2960500
2016-03-03,22.08,22.360001,21.870001,22.34,17.2544,2536900
2016-03-04,22.23,22.51,22.09,22.4,17.300741,1997000
2016-03-07,22.24,22.549999,22.16,22.360001,17.269848,3312600
2016-03-08,22.41,22.66,22.299999,22.48,17.362524,1999100
2016-03-09,22.51,22.790001,22.48,22.620001,17.470657,1169100
2016-03-10,22.5,22.82,22.41,22.77,17.586514,2101200
2016-03-11,22.84,22.99,22.67,22.74,17.563341,1848700
2016-03-14,22.66,22.9,22.66,22.780001,17.594234,1542200
2016-03-15,22.74,22.959999,22.57,22.67,17.509275,2853800
2016-03-16,22.65,23.15,22.49,23.1,17.841389,1985600
2016-03-17,23.200001,23.42,23.110001,23.33,18.019032,2056400
2016-03-18,23.35,23.35,22.790001,22.799999,17.609684,4019500
2016-03-21,22.83,22.940001,22.6,22.889999,17.679193,2197800
2016-03-22,22.92,23.0,22.75,22.799999,17.609684,1285800
2016-03-23,22.84,23.139999,22.73,23.02,17.779598,1600100
2016-03-24,22.98,23.15,22.860001,23.030001,17.787329,2304100
2016-03-28,22.99,23.209999,22.84,22.92,17.702364,1850900
2016-03-29,22.700001,23.17,22.530001,23.17,17.895456,2305000
2016-03-30,23.209999,23.559999,23.190001,23.389999,18.065378,2170000
2016-03-31,23.41,23.74,23.370001,23.559999,18.196669,2854700
2016-04-01,23.41,23.889999,23.4,23.82,18.397484,2962600
2016-04-04,23.809999,23.92,23.42,23.6,18.227568,2349000
2016-04-05,23.51,23.67,23.219999,23.24,17.949516,3483500
2016-04-06,23.24,23.459999,23.129999,23.440001,18.103989,3215900
2016-04-07,23.42,23.450001,23.280001,23.42,18.088539,2289100
2016-04-08,23.49,23.700001,23.469999,23.549999,18.188951,1469700
2016-04-11,23.59,23.709999,23.34,23.469999,18.127161,2027400
2016-04-12,23.52,23.75,23.299999,23.629999,18.250732,1721900
2016-04-13,23.68,23.77,23.35,23.4,18.073097,2494900
2016-04-14,23.309999,23.52,23.219999,23.43,18.096264,1670500
2016-04-15,23.469999,23.719999,23.370001,23.68,18.289356,1648700
2016-04-18,23.690001,23.82,23.52,23.82,18.397484,1581700
2016-04-19,23.83,24.01,23.77,23.98,18.521065,1991600
2016-04-20,23.959999,24.0,23.02,23.07,17.818216,3960800
2016-04-21,22.959999,23.07,21.969999,22.129999,17.092203,6309500
2016-04-22,22.209999,22.5,22.15,22.25,17.184885,3462500
2016-04-25,22.219999,22.33,22.17,22.33,17.246675,3293000
2016-04-26,22.42,22.58,22.209999,22.290001,17.21578,2392800
2016-04-27,22.24,22.6,22.01,22.49,17.491882,2266100
2016-04-28,22.290001,22.629999,22.209999,22.549999,17.538555,1841300
2016-04-29,22.43,22.73,22.25,22.709999,17.662996,1937500
2016-05-02,22.690001,23.110001,22.6,22.959999,17.857435,3054100
2016-05-03,22.959999,23.34,22.91,23.110001,17.9741,2847300
2016-05-04,23.07,23.719999,23.01,23.530001,18.300758,2929600
2016-05-05,23.530001,23.790001,23.440001,23.48,18.261871,3040500
2016-05-06,23.459999,23.52,23.120001,23.41,18.207426,3059100
2016-05-09,23.469999,23.65,23.34,23.6,18.355204,2232200
2016-05-10,23.620001,23.700001,23.459999,23.530001,18.300758,2818800
2016-05-11,23.58,23.84,23.540001,23.790001,18.502981,2282500
2016-05-12,23.75,24.0,23.59,23.959999,18.635195,2532900
2016-05-13,23.99,24.209999,23.75,24.120001,18.759642,3361700
2016-05-16,24.120001,24.309999,23.99,24.299999,18.899639,3084700
2016-05-17,24.219999,24.309999,23.74,23.9,18.588535,2692100
2016-05-18,23.73,23.959999,23.33,23.450001,18.238539,4159300
2016-05-19,23.309999,23.59,23.120001,23.52,18.292984,3048500
2016-05-20,23.620001,23.84,23.41,23.82,18.526312,4647800
2016-05-23,23.860001,23.969999,23.67,23.68,18.417425,2193300
2016-05-24,23.75,24.07,23.74,24.07,18.720751,4064000
2016-05-25,24.209999,24.209999,23.860001,23.950001,18.627422,2439500
2016-05-26,23.92,24.200001,23.83,24.040001,18.697418,2364000
2016-05-27,24.09,24.17,23.940001,24.120001,18.759642,2582100
2016-05-31,24.08,24.23,23.75,23.860001,18.557421,17694400
2016-06-01,23.860001,24.09,23.73,24.030001,18.689644,2484700
2016-06-02,23.940001,24.049999,23.790001,23.99,18.658529,2105700
2016-06-03,24.24,24.58,24.16,24.459999,19.024082,2723600
2016-06-06,24.459999,24.549999,24.309999,24.43,19.000748,2004100
2016-06-07,24.4,24.82,24.25,24.440001,19.00853,2414700
2016-06-08,24.440001,24.77,24.41,24.639999,19.164076,2321200
2016-06-09,24.6,25.030001,24.52,25.02,19.459629,1530500
2016-06-10,24.969999,25.139999,24.77,24.9,19.366295,3719500
2016-06-13,24.92,25.1,24.85,24.959999,19.412962,1667300
2016-06-14,24.93,25.219999,24.82,25.209999,19.607405,1643200
2016-06-15,25.23,25.35,25.030001,25.18,19.58407,3512900
2016-06-16,25.18,25.51,25.059999,25.35,19.716288,2272400
2016-06-17,25.26,25.370001,25.08,25.26,19.646292,4011300
2016-06-20,25.27,25.360001,24.98,25.09,19.514071,3059400
2016-06-21,25.09,25.459999,25.030001,25.299999,19.677399,2666200
2016-06-22,25.33,25.4,25.209999,25.25,19.638506,2495700
2016-06-23,25.290001,25.32,25.049999,25.18,19.58407,1617000
2016-06-24,24.889999,25.5,24.870001,25.309999,19.685181,5057100
2016-06-27,25.26,25.48,25.129999,25.4,19.755177,3159200
2016-06-28,25.459999,25.639999,25.15,25.59,19.902952,2854700
2016-06-29,25.709999,25.959999,25.700001,25.860001,20.112953,2222200
2016-06-30,25.91,26.530001,25.91,26.52,20.626272,3534200
2016-07-01,26.459999,26.709999,26.32,26.66,20.735155,2988300
2016-07-05,26.700001,26.940001,26.65,26.77,20.820705,3674600
2016-07-06,26.59,26.879999,26.5,26.65,20.727377,2987900
2016-07-07,26.610001,26.610001,26.02,26.040001,20.252945,2914400
2016-07-08,25.93,26.139999,25.639999,26.129999,20.322943,3961300
2016-07-11,26.049999,26.15,25.780001,26.07,20.276279,2343300
2016-07-12,25.91,26.040001,25.57,25.860001,20.112953,3369400
2016-07-13,26.030001,26.16,25.93,26.059999,20.268497,2109700
2016-07-14,25.9,26.040001,25.799999,26.01,20.229607,1935500
2016-07-15,26.049999,26.16,25.93,26.1,20.299608,1596600
2016-07-18,26.17,26.23,26.09,26.129999,20.322943,1538200
2016-07-19,26.1,26.17,25.969999,26.049999,20.260725,2253800
2016-07-20,25.98,26.09,25.799999,25.870001,20.120729,2112800
2016-07-21,25.780001,25.940001,25.65,25.93,20.167389,4866800
2016-07-22,25.889999,26.290001,25.85,26.26,20.424049,1807500
2016-07-25,26.040001,26.09,25.9,26.049999,20.260725,2786400
2016-07-26,26.07,26.129999,25.610001,25.77,20.042948,2037500
2016-07-27,25.6,25.67,25.16,25.459999,19.929443,2450400
2016-07-28,25.51,25.82,25.440001,25.75,20.156454,2267400
2016-07-29,25.73,25.889999,25.620001,25.66,20.085999,7105900
2016-08-01,25.629999,25.91,25.58,25.809999,20.203419,3031800
