Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.99,3.02,2.81,2.87,2.324877,27400
2016-01-05,2.83,2.98,2.83,2.9,2.349178,23200
2016-01-06,2.88,2.9,2.8,2.82,2.284373,41200
2016-01-07,2.74,2.76,2.66,2.69,2.179065,42900
2016-01-08,2.67,2.67,2.54,2.56,2.073757,13500
2016-01-11,2.55,2.61,2.24,2.25,1.822638,46200
2016-01-12,2.2,2.29,2.04,2.11,1.70923,82400
2016-01-13,2.11,2.22,2.07,2.14,1.733532,25900
2016-01-14,2.17,2.57,2.17,2.47,2.000852,38900
2016-01-15,2.39,2.4,2.19,2.22,1.798336,24000
2016-01-19,2.23,2.23,2.08,2.12,1.71733,53600
2016-01-20,2.05,2.28,2.01,2.23,1.806437,48100
2016-01-21,2.28,2.41,2.22,2.29,1.855041,26100
2016-01-22,2.31,2.36,2.17,2.22,1.798336,41400
2016-01-25,2.2,2.2,2.01,2.01,1.628224,18900
2016-01-26,2.0,2.18,1.92,1.93,1.563419,25400
2016-01-27,1.98,2.1,1.98,2.01,1.628224,12600
2016-01-28,2.05,2.1,2.02,2.05,1.660626,4200
2016-01-29,2.11,2.16,2.08,2.08,1.684928,27800
2016-02-01,2.05,2.22,2.05,2.16,1.749733,12600
2016-02-02,2.18,2.18,2.05,2.06,1.668727,8400
2016-02-03,2.11,2.14,2.01,2.12,1.71733,16800
2016-02-04,2.12,2.32,2.12,2.32,1.879342,42900
2016-02-05,2.34,2.34,2.23,2.24,1.814538,21400
2016-02-08,2.23,2.23,2.06,2.11,1.70923,24000
2016-02-09,2.1,2.13,2.03,2.04,1.652525,8100
2016-02-10,2.07,2.17,2.03,2.04,1.652525,19800
2016-02-11,2.04,2.09,2.03,2.04,1.652525,15700
2016-02-12,2.06,2.16,2.04,2.15,1.741633,6600
2016-02-16,2.09,2.29,2.09,2.18,1.765934,27600
2016-02-17,2.24,2.38,2.24,2.32,1.879342,13700
2016-02-18,2.38,2.38,2.19,2.24,1.814538,6300
2016-02-19,2.23,2.24,2.17,2.23,1.806437,9300
2016-02-22,2.23,2.44,2.23,2.38,1.927947,35000
2016-02-23,2.41,2.43,2.19,2.21,1.790236,11400
2016-02-24,2.23,2.44,2.23,2.36,1.911745,37800
2016-02-25,2.42,2.42,2.24,2.29,1.855041,21700
2016-02-26,2.31,2.49,2.26,2.38,1.927947,15100
2016-02-29,2.44,2.72,2.44,2.53,2.049455,21000
2016-03-01,2.6,2.8,2.47,2.48,2.008952,42300
2016-03-02,2.54,2.68,2.54,2.6,2.10616,10000
2016-03-03,2.67,2.92,2.67,2.8,2.268172,65800
2016-03-04,2.85,3.08,2.8,2.85,2.308675,104600
2016-03-07,2.91,3.09,2.91,3.04,2.462587,21700
2016-03-08,3.08,3.08,2.75,2.82,2.284373,28400
2016-03-09,2.87,2.9,2.8,2.83,2.292474,5400
2016-03-10,2.93,2.93,2.75,2.76,2.23577,7400
2016-03-11,2.7,2.78,2.66,2.75,2.227669,18400
2016-03-14,2.7,2.75,2.56,2.58,2.089959,11700
2016-03-15,2.64,2.64,2.52,2.54,2.057556,5800
2016-03-16,2.54,2.65,2.52,2.62,2.122361,9600
2016-03-17,2.67,2.79,2.67,2.78,2.251971,5500
2016-03-18,2.82,2.87,2.5,2.54,2.057556,37100
2016-03-21,2.5,2.59,2.44,2.47,2.000852,16000
2016-03-22,2.41,2.44,2.28,2.29,1.855041,23000
2016-03-23,2.32,2.32,2.2,2.21,1.790236,10800
