Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,0.73,0.906,0.61,0.77,0.77,213700
2021-02-01,0.6,0.74,0.4,0.74,0.74,13900
2021-02-02,0.734,0.734,0.45,0.7,0.7,49000
2021-02-03,0.7,0.92,0.6,0.92,0.92,230600
2021-02-04,0.92,0.921,0.65,0.75,0.75,85200
2021-02-05,0.75,0.85,0.75,0.83,0.83,10000
2021-02-08,0.83,0.83,0.69,0.71,0.71,26100
2021-02-09,0.76,0.76,0.7,0.76,0.76,6200
2021-02-10,0.789,0.86,0.72,0.8,0.8,37400
2021-02-11,0.8,1.0,0.8,0.9,0.9,126400
2021-02-12,0.9,1.0,0.8,0.84,0.84,27500
2021-02-16,0.82,1.0,0.82,1.0,1.0,8700
2021-02-17,0.98,0.98,0.861,0.926,0.926,20500
2021-02-18,0.83,0.87,0.82,0.865,0.865,30500
2021-02-19,0.84,0.905,0.83,0.839,0.839,2100
2021-02-22,0.99,1.07,0.81,0.91,0.91,45700
2021-02-23,0.9,0.9,0.8,0.8,0.8,5900
2021-02-24,0.95,0.95,0.79,0.795,0.795,4000
2021-02-25,0.81,0.892,0.81,0.89,0.89,10600
2021-02-26,0.8,1.03,0.8,0.891,0.891,13000
2021-03-01,0.97,1.0,0.88,0.981,0.981,14200
2021-03-02,0.951,0.951,0.95,0.95,0.95,600
2021-03-03,0.95,0.95,0.95,0.95,0.95,0
2021-03-04,0.79,0.867,0.79,0.79,0.79,56700
2021-03-05,0.651,0.651,0.651,0.651,0.651,400
2021-03-08,0.78,0.79,0.78,0.79,0.79,1800
2021-03-09,1.04,1.04,0.991,0.991,0.991,2500
2021-03-10,0.81,0.99,0.81,0.99,0.99,8800
2021-03-11,0.975,1.04,0.83,0.83,0.83,5200
2021-03-12,1.58,2.18,1.36,1.85,1.85,1207500
2021-03-15,1.43,1.62,1.42,1.55,1.55,80800
2021-03-16,1.49,1.49,1.1,1.33,1.33,22400
2021-03-17,1.08,1.33,1.01,1.15,1.15,21200
