Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.72,13.77,13.72,13.73,9.326291,35500
2016-01-05,13.77,13.9,13.77,13.88,9.428177,54400
2016-01-06,13.93,13.96,13.9,13.92,9.455342,42600
2016-01-07,13.92,14.0,13.9,14.0,9.509685,53600
2016-01-08,14.01,14.05,13.99,14.01,9.516479,54700
2016-01-11,14.02,14.03,13.98,13.98,9.4961,56500
2016-01-12,14.0,14.05,14.0,14.05,9.543656,33200
2016-01-13,14.02,14.02,13.9,13.96,9.528631,99800
2016-01-14,13.99,13.99,13.9,13.96,9.528631,73600
2016-01-15,13.99,14.0,13.95,14.0,9.555934,58700
2016-01-19,13.97,14.01,13.92,13.93,9.508157,75800
2016-01-20,13.96,13.96,13.68,13.86,9.460378,110200
2016-01-21,13.83,13.99,13.78,13.95,9.52181,50500
2016-01-22,13.91,14.04,13.9,13.95,9.52181,23200
2016-01-25,13.92,14.02,13.92,14.01,9.562761,19600
2016-01-26,14.0,14.04,13.93,14.03,9.576411,98000
2016-01-27,14.06,14.08,14.0,14.0,9.555934,41800
2016-01-28,14.01,14.04,13.91,14.04,9.583239,45400
2016-01-29,14.03,14.09,14.01,14.07,9.603717,120100
2016-02-01,14.07,14.14,14.06,14.12,9.637845,66800
2016-02-02,14.14,14.18,14.12,14.18,9.678798,68700
2016-02-03,14.21,14.21,14.16,14.2,9.692448,50300
2016-02-04,14.18,14.25,14.18,14.25,9.726582,68900
2016-02-05,14.24,14.34,14.24,14.34,9.788009,54100
2016-02-08,14.34,14.35,14.25,14.3,9.760711,77700
2016-02-09,14.27,14.35,14.26,14.35,9.794833,74600
2016-02-10,14.31,14.31,14.19,14.28,9.793464,29100
2016-02-11,14.3,14.32,14.25,14.3,9.807186,74600
2016-02-12,14.3,14.3,14.15,14.19,9.731739,54900
2016-02-16,14.14,14.17,14.09,14.17,9.718025,94600
2016-02-17,14.18,14.18,14.11,14.11,9.676878,56200
2016-02-18,14.13,14.15,14.11,14.12,9.68373,25100
2016-02-19,14.15,14.27,14.14,14.21,9.745455,74000
2016-02-22,14.24,14.26,14.2,14.22,9.752313,34700
2016-02-23,14.22,14.33,14.21,14.32,9.820896,39400
