Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,83.639999,83.660004,80.900002,81.809998,68.790054,2558100
2016-01-05,81.760002,82.559998,81.400002,82.269997,69.176842,1043500
2016-01-06,81.220001,81.699997,79.010002,79.480003,66.830887,1345400
2016-01-07,78.059998,78.830002,77.550003,78.0,65.586411,1900900
2016-01-08,78.300003,79.0,77.550003,77.790001,65.409836,1417600
2016-01-11,78.019997,78.339996,75.0,75.970001,63.879475,1524400
2016-01-12,76.540001,77.349998,73.599998,75.93,63.845871,1862200
2016-01-13,76.160004,76.489998,70.089996,71.440002,60.070435,1988100
2016-01-14,71.5,73.599998,71.459999,72.150002,60.667423,1916800
2016-01-15,70.230003,72.029999,70.18,71.769997,60.347885,1786600
2016-01-19,72.260002,72.57,70.690002,71.849998,60.415188,1552300
2016-01-20,70.720001,72.339996,67.849998,71.18,59.851814,2123100
2016-01-21,70.949997,71.300003,66.510002,70.07,58.918457,3863900
2016-01-22,71.279999,71.650002,68.580002,68.589996,57.673996,2322100
2016-01-25,68.639999,69.360001,67.510002,67.730003,56.950874,1704200
2016-01-26,68.0,69.349998,67.980003,68.900002,57.934669,1551700
2016-01-27,68.099998,70.760002,67.879997,69.889999,58.76709,1829300
2016-01-28,69.919998,71.400002,69.239998,70.110001,58.952095,1396200
2016-01-29,70.800003,71.470001,70.040001,70.5,59.280025,2058000
2016-02-01,70.160004,70.550003,69.0,70.190002,59.019363,1468600
2016-02-02,69.129997,69.510002,66.459999,66.599998,56.000694,1426000
2016-02-03,66.879997,67.68,64.510002,67.32,57.112076,1876400
2016-02-04,67.519997,69.989998,67.519997,69.370003,58.851223,2092800
2016-02-05,69.129997,70.610001,68.559998,70.139999,59.504456,1514000
2016-02-08,69.349998,71.559998,69.150002,70.489998,59.801384,2735900
2016-02-09,69.699997,73.300003,69.120003,71.419998,60.590359,4331800
2016-02-10,72.169998,73.660004,71.68,73.019997,61.947754,1607300
2016-02-11,71.730003,72.220001,69.989998,71.669998,60.802471,1860100
2016-02-12,71.669998,73.589996,71.059998,72.559998,61.557503,1523200
2016-02-16,72.949997,74.330002,72.559998,73.989998,62.770676,1389400
2016-02-17,74.349998,76.019997,73.629997,75.769997,64.280777,2035100
2016-02-18,75.669998,76.209999,74.089996,74.830002,63.483315,1049200
2016-02-19,74.5,75.5,74.050003,75.0,63.627514,1437200
2016-02-22,75.0,77.150002,75.0,75.959999,64.441963,1846000
2016-02-23,76.120003,76.940002,73.720001,73.870003,62.668892,948700
2016-02-24,72.529999,74.239998,72.010002,73.940002,62.728264,781400
2016-02-25,74.230003,74.970001,72.639999,73.669998,62.499203,977900
2016-02-26,73.949997,76.150002,73.790001,74.699997,63.373009,1333000
2016-02-29,74.690002,75.379997,73.160004,73.169998,62.075005,1536800
2016-03-01,73.690002,75.68,73.309998,75.309998,63.890514,1852600
2016-03-02,76.07,77.43,75.650002,76.400002,64.815247,1730500
2016-03-03,76.470001,78.470001,76.470001,77.0,65.324265,1616500
2016-03-04,77.25,78.690002,77.239998,77.400002,65.663612,1116300
2016-03-07,77.040001,79.989998,76.699997,79.720001,67.631805,3191600
2016-03-08,79.370003,79.720001,75.959999,76.360001,64.781319,5996200
2016-03-09,76.970001,77.5,75.269997,75.75,64.263817,2479000
2016-03-10,76.860001,77.050003,74.699997,75.760002,64.272278,2232000
2016-03-11,76.669998,79.309998,76.209999,79.010002,67.029488,1851400
2016-03-14,78.309998,80.040001,78.239998,78.970001,66.995529,1538100
2016-03-15,78.269997,79.089996,77.300003,79.0,67.020988,987200
2016-03-16,78.599998,81.410004,77.580002,80.989998,68.709236,1461000
2016-03-17,80.970001,82.989998,80.290001,82.800003,70.24482,1670500
2016-03-18,83.110001,84.57,83.110001,84.019997,71.279793,3346500
2016-03-21,83.739998,85.239998,83.230003,84.040001,71.296761,1019800
