Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,0.92,1.7,0.85,1.45,1.45,622400
2021-10-04,1.51,1.51,1.2,1.41,1.41,83400
2021-10-05,1.5,1.68,1.1,1.21,1.21,79100
2021-10-06,1.53,2.0,1.033,1.4,1.4,16700
2021-10-07,1.39,2.0,1.335,1.6,1.6,167500
2021-10-08,1.85,2.3,1.55,1.62,1.62,88000
2021-10-11,1.61,1.82,1.45,1.56,1.56,30000
2021-10-12,3.0,4.28,2.76,2.965,2.965,1073700
2021-10-13,3.0,3.119,2.22,2.63,2.63,54700
2021-10-14,2.275,2.54,1.9,2.17,2.17,22900
2021-10-15,1.95,2.59,1.95,2.34,2.34,6200
2021-10-18,2.3,2.31,2.05,2.08,2.08,5200
2021-10-19,1.95,2.246,1.87,1.9,1.9,6100
2021-10-20,1.8,1.95,1.5,1.67,1.67,16200
2021-10-21,1.33,2.24,1.33,1.95,1.95,37300
2021-10-22,2.07,2.18,1.22,1.946,1.946,19200
2021-10-25,1.6,1.91,1.49,1.49,1.49,7800
2021-10-26,1.5,1.7,1.5,1.55,1.55,9100
2021-10-27,1.51,1.99,1.51,1.55,1.55,15400
2021-10-28,1.96,1.96,1.9,1.9,1.9,800
2021-10-29,1.54,1.99,1.52,1.87,1.87,6600
2021-11-01,1.9,2.55,1.9,2.22,2.22,113300
2021-11-02,2.02,2.46,1.85,1.955,1.955,104000
2021-11-03,1.9,2.16,1.81,1.81,1.81,3600
2021-11-04,1.84,1.91,1.67,1.72,1.72,14800
2021-11-05,2.018,2.018,1.71,1.849,1.849,1600
2021-11-08,1.72,2.03,1.65,1.7,1.7,8500
2021-11-09,1.62,1.69,1.62,1.66,1.66,1000
2021-11-10,1.8,1.93,1.725,1.725,1.725,5500
2021-11-11,1.75,2.08,1.75,2.06,2.06,10800
2021-11-12,2.04,2.16,1.841,2.16,2.16,3400
2021-11-15,2.1,2.23,1.82,1.96,1.96,8000
2021-11-16,2.19,2.19,2.19,2.19,2.19,1300
2021-11-17,2.15,2.24,1.95,2.21,2.21,14800
2021-11-18,2.18,2.23,2.0,2.23,2.23,8800
2021-11-19,2.02,2.27,2.0,2.26,2.26,1800
2021-11-22,1.99,2.155,1.94,2.155,2.155,4000
2021-11-23,2.125,2.125,2.01,2.01,2.01,200
2021-11-24,1.8,2.41,1.8,2.07,2.07,9000
2021-11-26,2.165,2.17,2.14,2.15,2.15,22300
2021-11-29,2.37,2.37,2.18,2.23,2.23,4100
2021-11-30,2.324,2.4,2.2,2.3,2.3,4200
2021-12-01,2.02,2.174,2.0,2.174,2.174,2900
2021-12-02,2.0,2.0,1.79,1.935,1.935,8300
2021-12-03,1.99,2.0,1.73,1.98,1.98,3600
2021-12-06,1.7,1.9,1.7,1.895,1.895,11700
2021-12-07,1.9,1.9,1.9,1.9,1.9,100
2021-12-08,1.66,1.86,1.66,1.86,1.86,900
2021-12-09,1.85,1.89,1.81,1.81,1.81,1000
2021-12-10,1.9,1.9,1.89,1.9,1.9,300
2021-12-13,1.64,1.8,1.64,1.785,1.785,300
2021-12-14,1.66,1.77,1.59,1.77,1.77,9700
2021-12-15,1.86,1.86,1.86,1.86,1.86,200
2021-12-16,1.88,1.88,1.55,1.55,1.55,1400
2021-12-17,1.88,1.89,1.87,1.89,1.89,1000
2021-12-20,1.633,1.633,1.56,1.56,1.56,1700
2021-12-21,1.56,1.56,1.56,1.56,1.56,0
2021-12-22,1.56,1.56,1.56,1.56,1.56,0
2021-12-23,1.56,1.56,1.56,1.56,1.56,0
2021-12-27,1.59,1.59,1.59,1.59,1.59,200
2021-12-28,1.56,1.56,1.55,1.55,1.55,400
2021-12-29,1.55,1.55,1.55,1.55,1.55,0
2021-12-30,1.55,1.55,1.55,1.55,1.55,0
2021-12-31,2.04,4.53,1.81,3.6,3.6,3110900
2022-01-03,2.96,3.22,2.31,2.59,2.59,263900
2022-01-04,2.69,3.233,2.35,2.46,2.46,231100
2022-01-05,2.5,2.5,1.61,1.95,1.95,211300
2022-01-06,1.85,2.0,1.72,1.72,1.72,24400
2022-01-07,1.786,2.02,1.64,1.99,1.99,26200
2022-01-10,1.75,1.95,1.63,1.67,1.67,17700
2022-01-11,1.91,2.73,1.91,2.52,2.52,111700
2022-01-12,2.63,2.63,2.01,2.265,2.265,18400
2022-01-13,2.17,2.185,2.135,2.15,2.15,4100
2022-01-14,2.13,2.25,2.01,2.24,2.24,12400
2022-01-18,1.95,2.3,1.92,2.279,2.279,6700
2022-01-19,2.31,2.37,1.9,2.11,2.11,17000
2022-01-20,2.13,2.59,2.12,2.51,2.51,1700
2022-01-21,2.759,2.759,2.356,2.44,2.44,11900
2022-01-24,3.85,3.86,2.525,2.801,2.801,13900
2022-01-25,2.82,2.93,2.578,2.578,2.578,8900
2022-01-26,2.35,2.61,2.35,2.58,2.58,4400
2022-01-27,2.605,2.629,2.59,2.59,2.59,3300
2022-01-28,2.59,2.59,2.59,2.59,2.59,600
2022-01-31,2.57,2.7,2.57,2.7,2.7,700
2022-02-01,2.79,3.25,2.6,3.25,3.25,19600
2022-02-02,3.25,3.489,2.895,3.4,3.4,9300
2022-02-03,3.39,3.4,3.15,3.35,3.35,10700
2022-02-04,3.25,3.3,2.567,3.28,3.28,4100
2022-02-07,3.28,3.28,3.28,3.28,3.28,0
2022-02-08,3.23,3.23,2.67,3.12,3.12,1300
2022-02-09,3.3,3.3,2.99,3.29,3.29,8900
2022-02-10,3.3,3.3,3.23,3.23,3.23,300
2022-02-11,3.29,3.29,2.99,2.99,2.99,6300
2022-02-14,2.99,2.99,2.99,2.99,2.99,0
2022-02-15,3.01,3.26,2.96,3.11,3.11,10200
2022-02-16,3.23,3.4,3.14,3.38,3.38,25000
2022-02-17,3.35,3.35,2.82,3.1,3.1,9100
2022-02-18,3.1,3.1,2.75,2.955,2.955,14200
2022-02-22,2.82,2.985,2.75,2.87,2.87,2400
2022-02-23,2.98,2.98,2.98,2.98,2.98,100
2022-02-24,2.63,2.755,2.61,2.61,2.61,2000
2022-02-25,2.81,2.82,2.71,2.71,2.71,500
2022-02-28,2.71,2.71,2.01,2.52,2.52,13900
2022-03-01,2.22,2.23,2.09,2.09,2.09,8800
2022-03-02,2.39,2.648,2.3,2.385,2.385,7400
2022-03-03,2.7,2.7,2.68,2.68,2.68,300
2022-03-04,2.85,2.92,2.83,2.83,2.83,2800
2022-03-07,2.75,2.75,2.75,2.75,2.75,200
2022-03-08,2.46,2.5,2.0,2.49,2.49,1600
2022-03-09,2.475,3.38,2.45,3.37,3.37,36100
2022-03-10,3.65,3.65,3.64,3.64,3.64,700
