Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.16,10.21,10.16,10.18,7.452166,290200
2016-01-05,10.17,10.23,10.17,10.2,7.466807,302500
2016-01-06,10.21,10.3,10.2,10.25,7.503404,451400
2016-01-07,10.21,10.28,10.21,10.25,7.503404,343000
2016-01-08,10.25,10.29,10.2,10.25,7.503404,308000
2016-01-11,10.25,10.26,10.17,10.19,7.459481,322800
2016-01-12,10.16,10.2,10.14,10.18,7.452166,292600
2016-01-13,10.16,10.17,10.11,10.11,7.424991,334600
2016-01-14,10.06,10.16,10.05,10.11,7.424991,366000
2016-01-15,10.08,10.2,10.08,10.09,7.410298,443500
2016-01-19,10.13,10.15,10.1,10.11,7.424991,285500
2016-01-20,10.1,10.14,9.96,10.04,7.373578,459900
2016-01-21,10.04,10.12,10.03,10.11,7.424991,284300
2016-01-22,10.08,10.3,10.07,10.2,7.491091,374200
2016-01-25,10.22,10.25,10.17,10.19,7.483741,183300
2016-01-26,10.17,10.2,10.15,10.18,7.476402,220500
2016-01-27,10.2,10.28,10.2,10.22,7.505776,313700
2016-01-28,10.25,10.28,10.22,10.28,7.549845,310100
2016-01-29,10.27,10.29,10.25,10.28,7.549845,292500
2016-02-01,10.28,10.28,10.23,10.27,7.542499,335600
2016-02-02,10.28,10.32,10.27,10.32,7.579219,198400
2016-02-03,10.3,10.33,10.28,10.29,7.55719,241200
2016-02-04,10.29,10.36,10.27,10.36,7.6086,287800
2016-02-05,10.39,10.4,10.33,10.34,7.593909,287500
2016-02-08,10.31,10.34,10.28,10.33,7.586566,271500
2016-02-09,10.29,10.4,10.28,10.4,7.63797,450400
2016-02-10,10.34,10.4,10.33,10.37,7.640184,304300
2016-02-11,10.36,10.39,10.31,10.34,7.618082,276500
2016-02-12,10.34,10.38,10.23,10.25,7.551773,265400
2016-02-16,10.2,10.24,10.14,10.14,7.470726,342600
2016-02-17,10.14,10.19,10.14,10.17,7.492835,249100
2016-02-18,10.16,10.24,10.16,10.21,7.522301,181200
2016-02-19,10.22,10.25,10.19,10.25,7.551773,143700
2016-02-22,10.22,10.28,10.19,10.2,7.514935,340600
2016-02-23,10.22,10.3,10.2,10.27,7.566508,319800
2016-02-24,10.26,10.31,10.26,10.31,7.59598,188000
2016-02-25,10.32,10.33,10.25,10.26,7.55914,300800
2016-02-26,10.26,10.27,10.22,10.25,7.551773,314500
2016-02-29,10.25,10.31,10.25,10.31,7.59598,247900
2016-03-01,10.31,10.33,10.28,10.3,7.588612,290900
2016-03-02,10.28,10.32,10.26,10.29,7.581242,255500
2016-03-03,10.27,10.36,10.25,10.25,7.551773,342100
2016-03-04,10.28,10.32,10.17,10.17,7.492835,401700
2016-03-07,10.18,10.2,10.16,10.19,7.507564,302900
2016-03-08,10.2,10.24,10.19,10.21,7.522301,221700
2016-03-09,10.21,10.24,10.19,10.19,7.507564,200700
2016-03-10,10.18,10.24,10.18,10.23,7.537035,169300
2016-03-11,10.18,10.21,10.16,10.18,7.524472,243500
2016-03-14,10.18,10.2,10.14,10.16,7.509688,314300
2016-03-15,10.15,10.19,10.14,10.17,7.51708,236700
2016-03-16,10.18,10.23,10.16,10.22,7.55404,180400
2016-03-17,10.22,10.28,10.2,10.26,7.583604,249700
2016-03-18,10.26,10.28,10.23,10.23,7.561424,167900
2016-03-21,10.22,10.3,10.21,10.27,7.590997,241400
2016-03-22,10.29,10.34,10.28,10.34,7.642738,273000
2016-03-23,10.33,10.33,10.27,10.31,7.620564,181900
2016-03-24,10.3,10.35,10.28,10.33,7.635345,187200
2016-03-28,10.31,10.33,10.25,10.25,7.576211,263400
2016-03-29,10.27,10.39,10.24,10.39,7.679694,468600
2016-03-30,10.37,10.4,10.33,10.4,7.687082,217600
2016-03-31,10.39,10.5,10.38,10.48,7.746214,362000
2016-04-01,10.5,10.52,10.43,10.44,7.716647,231800
2016-04-04,10.42,10.46,10.35,10.4,7.687082,269400
2016-04-05,10.41,10.49,10.4,10.49,7.753606,209500
2016-04-06,10.49,10.5,10.47,10.48,7.746214,135200
2016-04-07,10.48,10.5,10.45,10.49,7.753606,166400
2016-04-08,10.5,10.5,10.46,10.47,7.738824,185900
2016-04-11,10.47,10.53,10.47,10.51,7.768389,359000
2016-04-12,10.51,10.55,10.49,10.55,7.797955,266800
2016-04-13,10.5,10.51,10.46,10.48,7.770522,279000
2016-04-14,10.48,10.5,10.48,10.49,7.77793,190000
2016-04-15,10.5,10.52,10.45,10.48,7.770522,191800
2016-04-18,10.47,10.52,10.47,10.52,7.800179,167100
2016-04-19,10.5,10.56,10.48,10.55,7.822423,246400
2016-04-20,10.54,10.58,10.51,10.56,7.829842,366000
2016-04-21,10.54,10.57,10.51,10.56,7.829842,263700
2016-04-22,10.54,10.6,10.5,10.57,7.837252,784800
2016-04-25,10.53,10.57,10.48,10.48,7.770522,232200
2016-04-26,10.49,10.51,10.42,10.42,7.726032,231700
2016-04-27,10.42,10.51,10.42,10.5,7.785351,185800
2016-04-28,10.5,10.53,10.46,10.46,7.755692,161000
2016-04-29,10.46,10.52,10.46,10.52,7.800179,185300
2016-05-02,10.52,10.55,10.44,10.45,7.748276,235600
2016-05-03,10.46,10.54,10.46,10.53,7.807595,196400
2016-05-04,10.47,10.51,10.43,10.46,7.755692,503100
2016-05-05,10.44,10.52,10.44,10.52,7.800179,158100
2016-05-06,10.48,10.54,10.46,10.53,7.807595,198700
2016-05-09,10.5,10.55,10.47,10.54,7.815005,141200
2016-05-10,10.54,10.57,10.5,10.5,7.785351,204700
2016-05-11,10.5,10.56,10.48,10.56,7.854525,260100
2016-05-12,10.53,10.58,10.53,10.56,7.854525,203100
2016-05-13,10.54,10.56,10.54,10.56,7.854525,151700
2016-05-16,10.57,10.61,10.56,10.56,7.854525,343700
2016-05-17,10.57,10.59,10.5,10.51,7.817334,269800
2016-05-18,10.5,10.55,10.39,10.4,7.735515,507400
2016-05-19,10.37,10.42,10.31,10.31,7.668576,414700
2016-05-20,10.36,10.39,10.32,10.33,7.683444,258500
