Date,Open,High,Low,Close,Adj Close,Volume
2023-05-19,10.1,10.13,10.1,10.13,10.13,439800
2023-05-22,10.13,10.16,10.13,10.16,10.16,610500
2023-05-23,10.16,10.16,10.15,10.16,10.16,156400
2023-05-24,10.16,10.18,10.16,10.17,10.17,271300
2023-05-25,10.17,10.18,10.17,10.18,10.18,56600
2023-05-26,10.16,10.2,10.16,10.18,10.18,463900
2023-05-30,10.19,10.2,10.19,10.2,10.2,50300
2023-05-31,10.2,10.21,10.2,10.2,10.2,89900
2023-06-01,10.21,10.21,10.2,10.21,10.21,112300
2023-06-02,10.2,10.21,10.17,10.2,10.2,32200
2023-06-05,10.22,10.22,10.2,10.2,10.2,1400
2023-06-06,10.2,10.21,10.2,10.205,10.205,84100
2023-06-07,10.22,10.22,10.21,10.22,10.22,208800
2023-06-08,10.22,10.23,10.215,10.23,10.23,179700
2023-06-09,10.23,10.545,10.21,10.21,10.21,72500
2023-06-12,10.22,10.37,10.22,10.24,10.24,177800
2023-06-13,10.24,10.25,10.24,10.24,10.24,165000
2023-06-14,10.24,10.24,10.24,10.24,10.24,1900
2023-06-15,10.24,10.24,10.24,10.24,10.24,0
2023-06-16,10.24,10.24,10.24,10.24,10.24,0
2023-06-20,10.24,10.24,10.24,10.24,10.24,0
2023-06-21,10.24,10.24,10.24,10.24,10.24,0
2023-06-22,10.24,10.24,10.24,10.24,10.24,25100
2023-06-23,10.24,10.25,10.24,10.24,10.24,9700
2023-06-26,10.25,10.25,10.245,10.25,10.25,22600
2023-06-27,10.26,10.27,10.25,10.25,10.25,5400
2023-06-28,10.25,10.25,10.25,10.25,10.25,0
2023-06-29,10.26,10.26,10.26,10.26,10.26,400
2023-06-30,10.26,10.26,10.26,10.26,10.26,0
2023-07-03,10.26,10.26,10.26,10.26,10.26,0
2023-07-05,10.26,10.26,10.26,10.26,10.26,0
2023-07-06,10.28,10.43,10.28,10.28,10.28,38800
2023-07-07,10.28,10.28,10.28,10.28,10.28,0
2023-07-10,10.28,10.28,10.28,10.28,10.28,230000
2023-07-11,10.28,10.28,10.28,10.28,10.28,0
2023-07-12,10.28,10.28,10.28,10.28,10.28,0
2023-07-13,10.3,10.3,10.3,10.3,10.3,25200
2023-07-14,10.3,10.3,10.3,10.3,10.3,0
2023-07-17,10.284,10.297,10.28,10.28,10.28,800
2023-07-18,10.28,10.28,10.28,10.28,10.28,200
2023-07-19,10.28,10.3,10.28,10.29,10.29,89700
2023-07-20,10.29,10.29,10.29,10.29,10.29,0
2023-07-21,10.29,10.29,10.28,10.28,10.28,9900
2023-07-24,10.28,10.28,10.28,10.28,10.28,0
2023-07-25,10.28,10.28,10.28,10.28,10.28,0
2023-07-26,10.28,10.28,10.28,10.28,10.28,0
2023-07-27,10.28,10.28,10.28,10.28,10.28,0
2023-07-28,10.29,10.29,10.28,10.28,10.28,8600
2023-07-31,10.28,10.28,10.28,10.28,10.28,200
2023-08-01,10.29,10.3,10.29,10.295,10.295,2400
