Date,Open,High,Low,Close,Adj Close,Volume
2024-01-25,15.2,15.25,15.15,15.19,14.848322,32000
2024-01-26,15.23,15.23,14.44,14.64,14.310694,55900
2024-01-29,14.75,14.85,14.68,14.8,14.467094,14400
2024-01-30,14.83,14.9,14.7,14.75,14.41822,19700
2024-01-31,14.8,14.85,14.7,14.73,14.398669,21400
2024-02-01,14.78,14.78,14.65,14.66,14.330244,11900
2024-02-02,14.657,14.657,14.48,14.51,14.183619,25600
2024-02-05,14.6,14.6,14.51,14.52,14.193394,12200
2024-02-06,14.575,14.6,14.43,14.45,14.124968,30600
2024-02-07,14.5,14.55,14.26,14.26,13.939241,27600
2024-02-08,14.23,14.537,14.23,14.46,14.134743,25700
2024-02-09,14.448,14.6,14.27,14.35,14.027217,114000
2024-02-12,14.58,14.6,14.47,14.51,14.183619,102200
2024-02-13,14.55,14.7,14.5,14.59,14.261819,31700
2024-02-14,14.65,14.65,14.55,14.59,14.261819,15600
2024-02-15,14.6,14.81,14.6,14.64,14.310694,44400
2024-02-16,14.61,15.03,14.58,14.76,14.427995,81900
2024-02-20,14.8,14.8,14.69,14.75,14.41822,28300
2024-02-21,14.75,14.75,14.5,14.6,14.271594,43800
2024-02-22,14.6,14.9,14.6,14.89,14.555071,77400
2024-02-23,14.91,14.91,14.8,14.85,14.51597,42900
2024-02-26,14.9,15.0,14.8,15.0,14.662596,43500
2024-02-27,15.25,15.25,14.9,14.95,14.613721,50000
2024-02-28,14.93,14.95,14.9,14.95,14.613721,21300
2024-02-29,15.0,15.0,14.895,14.95,14.613721,42100
2024-03-01,14.95,14.96,14.85,14.9,14.564845,31800
2024-03-04,14.93,14.93,14.8,14.87,14.53552,36400
2024-03-05,14.95,15.02,14.85,15.0,14.662596,173800
2024-03-06,15.0,15.0,14.9,15.0,14.662596,6300
2024-03-07,14.9,15.06,14.9,15.0,14.662596,253700
2024-03-08,15.0,15.01,14.84,14.995,14.657708,14900
2024-03-11,15.0,15.0,14.85,14.95,14.613721,9100
2024-03-12,14.9,15.05,14.8,15.05,14.711472,59000
2024-03-13,15.0,15.25,14.99,15.2,14.858097,84400
2024-03-14,15.0,15.15,14.95,15.1,14.760347,66300
2024-03-15,15.08,15.15,14.97,14.99,14.652821,32100
2024-03-18,15.0,15.15,14.973,15.08,14.740796,48900
2024-03-19,14.9,15.2,14.861,15.04,14.701696,129400
2024-03-20,15.04,15.1,15.03,15.07,14.731021,18500
2024-03-21,15.055,15.1,15.01,15.09,14.750571,63800
2024-03-22,15.09,15.32,15.05,15.32,14.975398,40300
2024-03-25,15.25,15.47,15.25,15.4,15.053598,19500
2024-03-26,15.441,15.56,15.34,15.56,15.21,37000
2024-03-27,15.19,15.29,15.15,15.25,15.25,41300
2024-03-28,15.26,15.35,15.2,15.32,15.32,34500
2024-04-01,15.35,15.36,15.15,15.27,15.27,15600
2024-04-02,15.28,15.31,15.18,15.3,15.3,9300
2024-04-03,15.3,15.54,15.3,15.46,15.46,40600
2024-04-04,15.54,15.54,15.39,15.4,15.4,23600
2024-04-05,15.4,15.424,15.276,15.33,15.33,12900
2024-04-08,15.34,15.42,15.26,15.41,15.41,18000
2024-04-09,15.39,15.45,15.2,15.24,15.24,23800
2024-04-10,15.15,15.225,15.05,15.07,15.07,12200
2024-04-11,15.05,15.21,15.03,15.21,15.21,9500
2024-04-12,15.23,15.5,15.2,15.41,15.41,17000
2024-04-15,15.25,15.54,15.05,15.2,15.2,26700
2024-04-16,15.2,15.235,14.98,15.1,15.1,19000
2024-04-17,15.15,15.19,15.0,15.07,15.07,16500
2024-04-18,15.03,15.15,15.01,15.03,15.03,16100
2024-04-19,15.01,15.14,14.98,15.0,15.0,13000
