Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.29,10.4,10.02,10.05,8.662655,13400
2016-01-05,10.05,10.05,10.0,10.0,8.619556,6100
2016-01-06,10.0,10.0,10.0,10.0,8.619556,0
2016-01-07,9.61,9.62,9.61,9.61,8.283393,1000
2016-01-08,9.61,9.61,9.61,9.61,8.283393,0
2016-01-11,9.61,9.61,9.61,9.61,8.283393,0
2016-01-12,9.7,9.74,9.7,9.73,8.386828,500
2016-01-13,9.73,9.73,9.73,9.73,8.386828,0
2016-01-14,9.73,9.73,9.73,9.73,8.386828,0
2016-01-15,9.65,9.65,9.5,9.52,8.205817,4900
2016-01-19,9.5,9.5,9.37,9.4,8.102384,1900
2016-01-20,9.4,9.4,9.4,9.4,8.102384,0
2016-01-21,9.33,9.41,9.33,9.41,8.111001,1000
2016-01-22,9.49,9.49,9.49,9.49,8.179958,200
2016-01-25,9.41,9.41,9.41,9.41,8.111001,200
2016-01-26,9.37,9.55,9.37,9.54,8.223057,1600
2016-01-27,9.54,9.54,9.54,9.54,8.223057,0
2016-01-28,9.54,9.54,9.54,9.54,8.327808,0
2016-01-29,9.5,9.5,9.36,9.36,8.170682,3100
2016-02-01,9.45,9.45,9.45,9.45,8.249245,500
2016-02-02,9.36,9.36,9.36,9.36,8.170682,100
2016-02-03,9.61,9.61,9.61,9.61,8.388913,1200
2016-02-04,9.61,9.61,9.61,9.61,8.388913,0
2016-02-05,9.61,9.61,9.61,9.61,8.388913,0
2016-02-08,9.59,9.6,9.37,9.6,8.380186,1500
2016-02-09,9.38,9.53,9.37,9.39,8.19687,1700
2016-02-10,9.39,9.39,9.39,9.39,8.19687,0
2016-02-11,9.59,9.85,9.59,9.85,8.598419,6800
2016-02-12,10.0,10.0,9.81,10.0,8.729361,2200
2016-02-16,9.95,9.99,9.95,9.99,8.720631,2100
2016-02-17,9.9,9.9,9.9,9.9,8.642066,200
2016-02-18,9.95,9.95,9.6,9.6,8.380186,2900
2016-02-19,9.6,9.6,9.39,9.39,8.19687,6800
2016-02-22,9.6,9.6,9.6,9.6,8.380186,5800
2016-02-23,9.7,9.7,9.36,9.37,8.179409,4100
2016-02-24,9.36,9.5,9.36,9.37,8.179409,8100
2016-02-25,9.35,9.47,9.35,9.45,8.249245,1400
2016-02-26,9.33,9.4,9.33,9.4,8.205599,200
2016-02-29,9.36,9.45,9.36,9.45,8.249245,1400
2016-03-01,9.45,9.45,9.45,9.45,8.249245,0
2016-03-02,9.37,9.37,9.37,9.37,8.179409,200
2016-03-03,9.27,9.36,9.27,9.36,8.170682,1200
2016-03-04,9.36,9.36,9.36,9.36,8.170682,1900
2016-03-07,9.36,9.36,9.36,9.36,8.170682,0
2016-03-08,9.22,9.22,9.22,9.22,8.04847,200
2016-03-09,9.35,9.39,9.35,9.35,8.161952,900
2016-03-10,9.35,9.35,9.35,9.35,8.161952,0
2016-03-11,9.35,9.61,9.35,9.61,8.388913,1200
2016-03-14,9.61,9.61,9.61,9.61,8.388913,0
2016-03-15,9.61,9.61,9.61,9.61,8.388913,0
2016-03-16,9.61,9.61,9.61,9.61,8.388913,0
2016-03-17,9.61,9.61,9.61,9.61,8.388913,0
2016-03-18,9.61,9.61,9.61,9.61,8.388913,0
2016-03-21,9.89,9.89,9.89,9.89,8.633337,300
2016-03-22,9.38,9.95,9.31,9.95,8.685712,1700
2016-03-23,9.95,9.95,9.95,9.95,8.685712,0
2016-03-24,9.9,9.9,9.36,9.42,8.223058,1000
2016-03-28,9.42,9.42,9.42,9.42,8.223058,0
2016-03-29,9.34,9.34,9.32,9.32,8.135764,2700
2016-03-30,9.32,9.32,9.32,9.32,8.135764,0
2016-03-31,9.4,9.4,9.27,9.27,8.092117,1700
2016-04-01,9.4,9.88,9.35,9.46,8.257975,10700
2016-04-04,9.65,9.96,9.64,9.74,8.502397,15500
2016-04-05,9.58,9.58,9.58,9.58,8.362726,500
2016-04-06,9.59,9.6,9.54,9.54,8.327808,1000
2016-04-07,9.37,9.37,9.36,9.36,8.170682,200
2016-04-08,9.36,9.36,9.36,9.36,8.170682,0
2016-04-11,9.32,9.32,9.32,9.32,8.135764,200
2016-04-12,9.39,9.49,9.37,9.49,8.284163,6000
2016-04-13,9.63,9.63,9.63,9.63,8.406373,300
2016-04-14,9.41,9.41,9.41,9.41,8.214327,1100
2016-04-15,9.37,9.59,9.32,9.36,8.170682,1800
2016-04-18,9.36,9.4,9.35,9.35,8.161952,2500
2016-04-19,9.45,9.45,9.36,9.4,8.205599,4900
2016-04-20,9.45,9.45,9.45,9.45,8.249245,1000
