Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.96,10.01,9.57,9.97,2.27223,68500
2016-01-05,10.06,10.06,9.75,9.94,2.265392,50400
2016-01-06,9.78,10.28,9.78,10.21,2.326927,49800
2016-01-07,10.03,10.15,9.91,9.91,2.258557,53300
2016-01-08,9.99,10.1,9.92,9.93,2.263114,36600
2016-01-11,10.32,10.33,9.91,10.04,2.288184,99700
2016-01-12,10.15,10.15,9.6,9.8,2.233486,110800
2016-01-13,9.88,9.93,9.46,9.48,2.160556,110400
2016-01-14,9.48,9.74,9.26,9.46,2.155998,196100
2016-01-15,9.36,9.46,9.01,9.08,2.069393,238000
2016-01-19,9.1,9.33,8.87,9.11,2.076231,121100
2016-01-20,8.96,9.24,8.85,9.02,2.055719,204300
2016-01-21,8.97,9.38,8.97,9.09,2.071672,85300
2016-01-22,9.11,9.47,9.11,9.31,2.121812,111400
2016-01-25,9.35,9.54,9.25,9.44,2.151439,100000
2016-01-26,9.4,9.52,9.37,9.52,2.169672,47300
2016-01-27,9.54,9.86,9.5,9.68,2.206138,101700
2016-01-28,9.88,9.88,9.66,9.69,2.208416,48100
2016-01-29,9.71,9.76,9.51,9.61,2.190184,51000
2016-02-01,9.56,9.7,9.53,9.59,2.185625,52000
2016-02-02,9.6,9.6,9.4,9.41,2.144602,20200
2016-02-03,9.43,9.46,9.31,9.31,2.121812,30900
2016-02-04,8.85,8.98,7.89,8.34,1.900742,697900
2016-02-05,8.52,9.0,8.38,8.54,1.946324,85700
2016-02-08,8.55,8.64,8.25,8.48,1.932648,58300
2016-02-09,8.36,8.7,8.35,8.5,1.937208,63400
2016-02-10,8.51,8.8,8.51,8.58,1.955439,52200
2016-02-11,8.56,8.57,7.4,7.61,1.734371,141900
2016-02-12,8.0,8.18,7.77,7.78,1.773115,93500
2016-02-16,7.77,7.77,6.97,7.05,1.606743,370500
2016-02-17,7.1,7.17,6.81,7.07,1.611301,260600
2016-02-18,7.13,7.14,7.0,7.08,1.61358,50100
2016-02-19,7.01,7.08,6.86,6.95,1.583952,188900
2016-02-22,7.1,7.1,6.67,6.79,1.547486,154800
2016-02-23,6.82,6.82,5.7,5.95,1.356045,632600
2016-02-24,6.25,6.31,5.86,6.0,1.36744,492900
2016-02-25,6.15,6.43,6.06,6.42,1.463161,123700
2016-02-26,6.4,7.1,6.4,7.08,1.61358,266200
2016-02-29,7.17,7.66,7.06,7.58,1.727533,173000
2016-03-01,7.66,7.92,7.51,7.88,1.795906,196000
2016-03-02,7.93,8.36,7.83,8.29,1.889347,131900
2016-03-03,8.45,8.99,8.35,8.95,2.039766,248700
2016-03-04,8.99,9.16,8.57,9.01,2.053439,201600
2016-03-07,9.08,9.2,8.9,8.94,2.037486,196900
2016-03-08,8.95,9.07,8.61,8.79,2.0033,78600
2016-03-09,8.8,9.01,8.8,8.84,2.014696,245500
2016-03-10,8.85,8.88,8.7,8.79,2.0033,124100
2016-03-11,8.8,9.01,8.75,8.77,1.998743,338100
2016-03-14,8.01,8.13,7.92,8.01,1.959599,271400
2016-03-15,7.93,7.93,7.63,7.74,1.893545,135100
2016-03-16,7.77,7.95,7.77,7.88,1.927796,79400
2016-03-17,7.89,8.09,7.72,7.95,1.94492,69300
2016-03-18,8.01,8.13,7.79,7.83,1.915563,53600
2016-03-21,7.9,7.9,7.53,7.86,1.922902,221900
2016-03-22,7.88,8.0,7.63,7.92,1.937581,112400
2016-03-23,7.97,8.09,7.81,7.84,1.91801,31700
2016-03-24,7.84,8.05,7.84,8.02,1.962045,59400
2016-03-28,8.38,8.49,8.01,8.36,2.045224,168600
2016-03-29,8.41,8.5,8.26,8.44,2.064796,94300
2016-03-30,8.5,8.8,8.4,8.77,2.145529,220100
2016-03-31,8.78,8.8,8.41,8.45,2.067242,99300
2016-04-01,8.37,8.62,8.31,8.56,2.094153,86500
2016-04-04,8.59,8.84,8.56,8.77,2.145529,170300
2016-04-05,8.77,8.81,8.56,8.77,2.145529,84500
2016-04-06,8.8,8.8,8.64,8.8,2.152869,34900
2016-04-07,8.76,8.81,8.5,8.6,2.103939,79100
2016-04-08,8.72,8.87,8.6,8.77,2.145529,120700
2016-04-11,8.76,8.99,8.68,8.88,2.17244,82200
2016-04-12,8.85,8.95,8.79,8.88,2.17244,48300
2016-04-13,8.88,8.96,8.83,8.92,2.182225,23900
2016-04-14,8.88,9.01,8.85,8.99,2.19935,72700
2016-04-15,8.95,9.32,8.95,9.18,2.245833,109400
2016-04-18,9.18,9.37,8.81,8.9,2.177332,82400
2016-04-19,8.89,9.07,8.75,9.04,2.211583,77300
2016-04-20,9.04,9.09,8.9,8.98,2.196904,62000
2016-04-21,8.89,9.08,8.8,8.94,2.187119,44800
2016-04-22,8.99,9.1,8.9,9.08,2.221368,55700
2016-04-25,9.1,9.24,8.96,9.2,2.250726,104900
2016-04-26,9.22,9.3,9.13,9.27,2.267851,45100
2016-04-27,9.3,9.3,9.16,9.22,2.255619,50100
2016-04-28,9.25,9.25,9.11,9.18,2.245833,50100
2016-04-29,9.18,9.24,9.18,9.2,2.250726,30100
2016-05-02,9.26,9.26,9.2,9.2,2.250726,49300
2016-05-03,9.2,9.28,9.14,9.14,2.236047,51500
2016-05-04,9.21,9.3,9.21,9.26,2.265404,58400
2016-05-05,9.37,9.37,9.19,9.21,2.253172,51800
2016-05-06,9.26,9.29,9.12,9.22,2.255619,43400
2016-05-09,9.2,9.24,9.18,9.24,2.260511,53200
2016-05-10,9.25,9.48,9.25,9.41,2.302101,75200
2016-05-11,9.43,9.62,9.38,9.48,2.319227,148800
2016-05-12,9.53,9.61,9.46,9.52,2.329011,89100
2016-05-13,9.5,9.54,9.45,9.5,2.324119,122800
2016-05-16,9.49,9.99,9.49,9.78,2.392619,124600
2016-05-17,9.81,10.11,9.81,9.86,2.41219,163400
2016-05-18,9.85,9.97,9.55,9.55,2.33635,89200
2016-05-19,9.0,9.19,8.45,8.73,2.135743,319700
2016-05-20,8.7,9.02,8.69,8.81,2.155314,178200
2016-05-23,8.9,9.29,8.9,9.12,2.231153,78700
2016-05-24,9.21,9.6,9.21,9.47,2.316779,126800
2016-05-25,9.49,9.49,9.15,9.34,2.284976,104700
2016-05-26,9.15,9.15,8.58,8.86,2.167546,501300
2016-05-27,9.08,9.08,8.86,8.97,2.194457,123900
2016-05-31,8.99,9.1,8.92,8.99,2.19935,235500
2016-06-01,8.91,9.0,8.87,8.94,2.187119,195700
2016-06-02,8.92,8.92,8.76,8.88,2.17244,90600
2016-06-03,8.9,9.07,8.82,9.0,2.201796,127700
2016-06-06,9.05,9.18,8.98,9.1,2.22626,233400
2016-06-07,9.14,9.22,9.1,9.17,2.243386,202400
2016-06-08,9.34,9.34,9.06,9.12,2.231153,155000
2016-06-09,9.1,9.15,9.03,9.12,2.231153,159000
2016-06-10,9.11,9.15,8.91,8.99,2.19935,347700
2016-06-13,9.05,9.28,9.05,9.17,2.243386,379500
2016-06-14,8.48,8.71,8.32,8.63,2.259093,217400
2016-06-15,8.63,8.64,8.39,8.43,2.206738,97200
2016-06-16,8.4,8.4,8.24,8.32,2.177943,63200
2016-06-17,8.35,8.35,8.0,8.16,2.13606,160500
2016-06-20,8.18,8.18,7.76,7.83,2.049675,245300
2016-06-21,7.85,7.93,7.83,7.89,2.065381,64700
2016-06-22,7.87,7.96,7.82,7.88,2.062763,106400
2016-06-23,7.96,8.21,7.9,8.08,2.115118,53100
2016-06-24,7.89,8.04,7.76,7.92,2.073235,64700
2016-06-27,7.81,7.98,7.53,7.64,1.999937,188900
2016-06-28,7.66,8.0,7.66,7.94,2.07847,68900
2016-06-29,8.05,8.22,8.02,8.21,2.149148,84500
2016-06-30,8.23,8.35,8.23,8.29,2.17009,71400
2016-07-01,8.39,8.7,8.32,8.59,2.248621,119100
2016-07-05,8.55,8.9,8.43,8.77,2.295741,80400
2016-07-06,9.0,9.0,8.8,8.85,2.316683,132700
2016-07-07,8.86,9.03,8.86,8.99,2.353331,94300
2016-07-08,9.05,9.19,8.99,9.1,2.382125,106500
2016-07-11,9.12,9.14,8.91,8.92,2.335007,78900
2016-07-12,9.03,9.06,8.72,9.0,2.355947,135700
2016-07-13,9.02,9.03,8.85,9.02,2.361184,34200
2016-07-14,9.05,9.1,9.02,9.02,2.361184,46200
2016-07-15,8.95,9.05,8.95,8.97,2.348095,42800
2016-07-18,8.99,9.15,8.92,9.1,2.382125,145700
2016-07-19,9.12,9.18,9.03,9.11,2.384743,59800
2016-07-20,9.1,9.2,9.1,9.16,2.39783,44600
2016-07-21,9.16,9.16,9.02,9.07,2.374272,21600
2016-07-22,9.08,9.1,9.02,9.07,2.374272,38100
2016-07-25,9.09,9.1,9.0,9.09,2.379508,47300
2016-07-26,9.1,9.16,9.09,9.13,2.389978,76700
2016-07-27,9.14,9.16,9.05,9.1,2.382125,48500
2016-07-28,9.06,9.13,9.01,9.08,2.37689,51600
2016-07-29,9.13,9.24,9.09,9.18,2.403067,111500
2016-08-01,9.23,9.47,9.23,9.43,2.46851,146200
2016-08-02,9.43,9.47,9.31,9.46,2.476364,170300
2016-08-03,9.47,9.8,9.44,9.73,2.547042,111900
2016-08-04,9.75,9.82,9.36,9.49,2.484215,81500
2016-08-05,9.62,9.7,9.5,9.59,2.510394,63000
2016-08-08,9.66,9.73,9.45,9.59,2.510394,74900
2016-08-09,9.63,9.75,9.6,9.7,2.539188,69200
2016-08-10,10.1,10.74,10.1,10.44,2.7329,353000
2016-08-11,10.45,10.9,10.35,10.81,2.829756,165700
2016-08-12,10.82,11.45,10.82,11.21,2.934464,250500
2016-08-15,11.43,11.8,11.17,11.5,3.010379,258700
2016-08-16,11.57,11.64,11.17,11.25,2.944936,168700
2016-08-17,11.3,11.3,10.76,10.95,2.866403,155900
2016-08-18,10.93,11.2,10.82,11.17,2.923993,84500
2016-08-19,11.11,11.5,11.11,11.28,2.952789,147100
2016-08-22,11.31,11.36,11.2,11.31,2.960642,106100
2016-08-23,11.35,11.5,11.32,11.34,2.968496,153500
2016-08-24,11.34,11.35,11.15,11.18,2.926611,149300
2016-08-25,11.25,11.33,11.14,11.18,2.926611,125900
2016-08-26,11.28,11.29,11.2,11.25,2.944936,196000
2016-08-29,11.37,11.4,11.25,11.27,2.950171,134100
2016-08-30,11.35,11.38,11.27,11.3,2.958025,102800
2016-08-31,11.34,11.39,11.18,11.25,2.944936,165200
2016-09-01,11.24,11.29,11.18,11.25,2.944936,99400
2016-09-02,11.37,11.45,11.3,11.43,2.992054,113400
2016-09-06,11.43,11.45,11.36,11.4,2.984201,281200
2016-09-07,11.43,11.43,11.32,11.39,2.981583,209400
2016-09-08,11.39,11.44,11.27,11.28,2.952789,283500
2016-09-09,11.35,11.35,11.15,11.27,2.950171,216100
2016-09-12,11.25,11.29,11.21,11.26,2.947553,331400
2016-09-13,11.25,11.28,11.11,11.14,2.91614,484800
2016-09-14,10.14,10.64,9.72,10.43,2.885708,426400
2016-09-15,10.36,10.5,10.36,10.39,2.87464,125500
2016-09-16,10.32,10.37,10.15,10.16,2.811004,105500
2016-09-19,10.11,10.17,9.74,9.85,2.725236,311900
2016-09-20,9.8,9.8,9.62,9.65,2.669901,179700
2016-09-21,9.69,10.14,9.69,10.1,2.794404,67300
2016-09-22,10.21,10.32,10.15,10.32,2.855272,46600
2016-09-23,10.3,10.3,10.16,10.21,2.824837,24400
2016-09-26,10.15,10.15,10.0,10.0,2.766736,71400
2016-09-27,10.01,10.03,9.86,9.91,2.741838,57400
2016-09-28,10.0,10.05,9.83,10.02,2.772271,99600
2016-09-29,10.05,10.29,10.05,10.2,2.822072,51400
2016-09-30,10.31,10.7,10.25,10.47,2.896772,105500
2016-10-03,10.48,10.61,10.47,10.55,2.918907,103700
2016-10-04,10.55,10.65,10.35,10.65,2.946574,85400
2016-10-05,10.74,10.75,10.5,10.62,2.938274,63000
