Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,24.9,25.0,24.775999,24.91,18.051113,60700
2019-04-05,24.85,24.940001,24.849001,24.92,18.058357,28400
2019-04-08,24.9,24.950001,24.85,24.860001,18.014879,27800
2019-04-09,24.92,24.940001,24.809999,24.879999,18.029371,22800
2019-04-10,24.85,24.870001,24.76,24.799999,17.971401,9700
2019-04-11,24.799999,24.870001,24.799999,24.85,18.007631,34200
2019-04-12,24.870001,24.9,24.85,24.877001,18.027201,11800
2019-04-15,24.9,24.98,24.9,24.940001,18.072849,12900
2019-04-16,25.0,25.030001,24.870001,25.0,18.116331,26500
2019-04-17,24.9,25.030001,24.870001,25.030001,18.138067,13000
2019-04-18,25.0,25.049999,24.950001,25.049999,18.152559,16300
2019-04-22,25.01,25.01,25.0,25.0,18.116331,13300
2019-04-23,25.0,25.0,24.98,25.0,18.116331,8500
2019-04-24,25.0,25.0,24.91,24.99,18.109083,4700
2019-04-25,24.92,24.99,24.74,24.940001,18.072849,8900
2019-04-26,24.959999,25.0,24.950001,25.0,18.116331,5500
2019-04-29,25.030001,25.030001,25.0,25.0,18.116331,1100
2019-04-30,25.040001,25.040001,25.0,25.0,18.116331,3800
2019-05-01,25.040001,25.049999,25.01,25.01,18.123579,3000
2019-05-02,25.049999,25.049999,24.940001,25.0,18.116331,5200
2019-05-03,25.18,25.18,25.002001,25.08,18.174301,7900
2019-05-06,25.209999,25.466,25.200001,25.4,18.406189,6200
2019-05-07,25.59,25.59,25.200001,25.32,18.348221,1300
2019-05-08,25.32,25.32,25.32,25.32,18.348221,0
2019-05-09,25.09,25.268999,25.09,25.200001,18.261261,1600
2019-05-10,25.440001,25.440001,25.35,25.43,18.427931,1500
2019-05-13,25.35,25.35,25.200001,25.200001,18.261261,1600
2019-05-14,25.08,25.200001,24.993999,24.993999,18.111979,4200
2019-05-15,25.200001,25.200001,25.059999,25.153999,18.227924,7400
2019-05-16,25.1,25.200001,25.030001,25.200001,18.261261,2100
2019-05-17,25.200001,25.200001,25.158001,25.200001,18.261261,1000
2019-05-20,25.1,25.142,25.040001,25.1,18.188791,2400
2019-05-21,25.1,25.15,25.094,25.1,18.188791,4600
2019-05-22,25.094999,25.094999,25.040001,25.08,18.174301,2300
2019-05-23,25.0,25.0,24.950001,24.950001,18.080099,1700
2019-05-24,24.98,25.139999,24.98,25.106001,18.193142,1000
2019-05-28,25.129999,25.139999,25.129999,25.139999,18.217779,600
2019-05-29,25.139999,25.190001,25.139999,25.190001,18.254017,4400
2019-05-30,24.969999,25.077999,24.969999,25.049999,18.152559,1700
2019-05-31,25.065001,25.135,25.065001,25.135,18.214157,3900
2019-06-03,24.959999,25.139999,24.959999,25.139999,18.217779,4100
2019-06-04,25.15,25.15,25.15,25.15,18.225027,700
2019-06-05,25.15,25.15,25.15,25.15,18.225027,1200
2019-06-06,25.15,25.15,25.15,25.15,18.225027,0
2019-06-07,25.171,25.280001,25.171,25.280001,18.319231,1100
2019-06-10,25.242001,25.242001,25.235001,25.235001,18.286623,600
2019-06-11,25.280001,25.540001,25.280001,25.540001,18.507645,1200
2019-06-12,25.540001,25.540001,25.540001,25.540001,18.507645,0
2019-06-13,25.299999,25.299999,25.190001,25.190001,18.254017,1300
2019-06-14,25.190001,25.190001,25.190001,25.190001,18.254017,0
2019-06-17,24.969999,25.299999,24.969999,25.299999,18.333721,1100
