Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.65,2.839,2.65,2.69,2.211986,4600
2016-01-05,2.67,2.67,2.65,2.65,2.179093,700
2016-01-06,2.66,2.66,2.65,2.65,2.179093,500
2016-01-07,2.65,2.65,2.65,2.65,2.179093,300
2016-01-08,2.769,2.769,2.65,2.65,2.179093,700
2016-01-11,2.65,2.65,2.57,2.6,2.137978,6000
2016-01-12,2.6,2.6,2.6,2.6,2.137978,0
2016-01-13,2.57,2.65,2.5,2.5,2.055749,9400
2016-01-14,2.56,2.586,2.5,2.5,2.055749,7700
2016-01-15,2.5,2.7,2.5,2.53,2.080418,7000
2016-01-19,2.564,2.564,2.5,2.5,2.055749,400
2016-01-20,2.5,2.52,2.5,2.5,2.055749,1400
2016-01-21,2.46,2.54,2.41,2.41,1.981741,7900
2016-01-22,2.44,2.44,2.41,2.41,1.981741,400
2016-01-25,2.32,2.34,2.32,2.33,1.915958,600
2016-01-26,2.42,2.42,2.33,2.33,1.915958,400
2016-01-27,2.38,2.52,1.89,2.21,1.817282,12300
2016-01-28,2.31,2.31,2.3,2.31,1.899511,1700
2016-01-29,2.31,2.57,2.29,2.34,1.924181,4400
2016-02-01,2.35,2.35,2.35,2.35,1.932403,300
2016-02-02,2.476,2.476,2.35,2.35,1.932403,600
2016-02-03,2.4,2.4,2.4,2.4,1.973519,300
2016-02-04,2.47,2.55,2.45,2.5,2.055749,4600
2016-02-05,2.56,2.81,2.4,2.41,1.981741,2400
2016-02-08,2.41,2.41,2.41,2.41,1.981741,100
2016-02-09,2.44,2.455,2.3,2.39,1.965296,12600
2016-02-10,2.39,2.39,2.39,2.39,1.965296,100
2016-02-11,2.363,2.38,2.28,2.3,1.891288,11700
2016-02-12,2.34,2.34,2.33,2.33,1.915958,200
2016-02-16,2.28,2.32,2.22,2.26,1.858397,12800
2016-02-17,2.27,2.28,2.27,2.28,1.874843,100
2016-02-18,2.3,2.3,2.28,2.28,1.874843,300
2016-02-19,2.28,2.28,2.26,2.26,1.858397,1700
2016-02-22,2.23,2.23,2.23,2.23,1.833727,200
2016-02-23,2.22,2.22,2.16,2.16,1.776167,9700
2016-02-24,2.356,2.356,2.16,2.16,1.776167,600
2016-02-25,2.16,2.16,2.16,2.16,1.776167,200
2016-02-26,2.22,2.22,2.16,2.16,1.776167,200
2016-02-29,2.22,2.23,2.2,2.21,1.817282,4700
2016-03-01,2.21,2.21,2.16,2.16,1.776167,300
2016-03-02,2.16,2.16,2.16,2.16,1.776167,0
2016-03-03,2.16,2.18,2.11,2.12,1.743275,6300
2016-03-04,2.12,2.3,2.08,2.14,1.759721,29200
2016-03-07,2.132,2.21,2.132,2.15,1.767944,8000
2016-03-08,2.16,2.31,2.16,2.3,1.891288,7500
2016-03-09,2.31,2.35,2.24,2.31,1.899511,2800
2016-03-10,2.25,2.25,2.25,2.25,1.850174,100
2016-03-11,2.25,2.25,2.2,2.22,1.825505,8200
2016-03-14,2.238,2.33,2.238,2.33,1.915958,3700
2016-03-15,2.27,2.27,2.27,2.27,1.86662,200
2016-03-16,2.27,2.27,2.27,2.27,1.86662,0
2016-03-17,2.33,2.33,2.33,2.33,1.915958,400
2016-03-18,2.31,2.32,2.31,2.32,1.907735,600
2016-03-21,2.26,2.263,2.22,2.22,1.825505,4200
2016-03-22,2.32,2.339,2.3,2.31,1.899511,3800
2016-03-23,2.34,2.35,2.23,2.32,1.907735,5000
2016-03-24,2.26,2.332,2.26,2.27,1.86662,2500
2016-03-28,2.287,2.287,2.26,2.26,1.858397,500
2016-03-29,2.45,2.45,2.3,2.3,1.891288,1600
2016-03-30,2.3,2.3,2.3,2.3,1.891288,300
2016-03-31,2.3,2.31,2.3,2.3,1.891288,600
2016-04-01,2.29,2.29,2.29,2.29,1.883065,400
2016-04-04,2.29,2.29,2.29,2.29,1.883065,100
2016-04-05,2.35,2.35,2.35,2.35,1.932403,100
2016-04-06,2.44,2.45,2.35,2.395,1.969407,6900
2016-04-07,2.37,2.37,2.37,2.37,1.948849,300
2016-04-08,2.46,2.58,2.35,2.58,2.121532,3600
2016-04-11,2.669,2.669,2.51,2.61,2.146202,6300
2016-04-12,2.56,2.68,2.55,2.68,2.203763,3500
2016-04-13,2.75,2.75,2.7,2.7,2.220209,3500
2016-04-14,2.52,2.52,2.52,2.52,2.072194,300
2016-04-15,2.6,2.6,2.43,2.45,2.014634,4100
2016-04-18,2.59,2.59,2.51,2.52,2.072194,3800
2016-04-19,2.55,2.55,2.47,2.47,2.03108,700
2016-04-20,2.5,2.55,2.5,2.55,2.096864,7800
2016-04-21,2.5,2.5,2.42,2.42,1.989965,300
2016-04-22,2.43,2.43,2.42,2.42,1.989965,400
2016-04-25,2.42,2.45,2.42,2.45,2.014634,900
2016-04-26,2.59,2.71,2.46,2.46,2.022857,7500
2016-04-27,2.6,2.85,2.5,2.63,2.162648,13600
2016-04-28,2.84,2.88,2.77,2.8,2.302438,2600
