Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,3.5,3.69,2.05,2.25,2.25,1868000
2023-11-02,2.3,2.59,1.66,1.85,1.85,729900
2023-11-03,1.82,1.97,1.76,1.86,1.86,183700
2023-11-06,1.82,1.858,1.75,1.78,1.78,97900
2023-11-07,1.8,1.8,1.53,1.54,1.54,134400
2023-11-08,1.54,1.57,1.32,1.44,1.44,151600
2023-11-09,1.44,3.15,1.28,2.13,2.13,7548900
2023-11-10,2.08,2.15,1.7,1.92,1.92,334500
2023-11-13,1.93,2.1,1.79,1.875,1.875,264000
2023-11-14,1.99,2.19,1.9,2.132,2.132,335200
2023-11-15,2.14,4.25,2.14,2.74,2.74,1765900
2023-11-16,2.73,3.089,2.31,2.81,2.81,498500
2023-11-17,2.67,3.13,2.43,2.57,2.57,219200
2023-11-20,2.56,2.98,2.48,2.67,2.67,262200
2023-11-21,2.75,3.0,2.6,2.78,2.78,170500
2023-11-22,2.8,2.91,2.62,2.63,2.63,67800
2023-11-24,2.646,2.82,2.5,2.6,2.6,39600
2023-11-27,2.66,2.73,1.83,1.98,1.98,167200
2023-11-28,2.02,2.15,1.51,1.576,1.576,250800
2023-11-29,1.7,1.75,1.54,1.542,1.542,94800
2023-11-30,1.58,1.62,1.46,1.46,1.46,86300
2023-12-01,1.61,2.34,1.44,2.2,2.2,4737700
2023-12-04,1.91,2.54,1.89,2.45,2.45,419800
2023-12-05,2.48,2.555,2.12,2.31,2.31,162000
2023-12-06,2.31,3.97,2.21,3.31,3.31,1375600
2023-12-07,3.31,3.9,3.31,3.6,3.6,475100
2023-12-08,3.36,3.6,2.95,3.2,3.2,205600
2023-12-11,3.12,3.26,1.9,2.01,2.01,243900
2023-12-12,2.17,2.6,2.05,2.14,2.14,264300
2023-12-13,2.38,2.38,1.755,1.93,1.93,361400
2023-12-14,1.9,2.0,1.46,1.6,1.6,653700
2023-12-15,1.76,1.9,1.636,1.78,1.78,272900
2023-12-18,1.72,1.857,1.71,1.76,1.76,94400
2023-12-19,1.8,1.8,1.62,1.71,1.71,77000
2023-12-20,1.71,1.73,1.61,1.69,1.69,51800
2023-12-21,1.69,2.12,1.69,1.979,1.979,411100
2023-12-22,1.97,1.98,1.76,1.86,1.86,95100
2023-12-26,1.86,1.92,1.803,1.87,1.87,26700
2023-12-27,1.889,1.918,1.76,1.82,1.82,49800
2023-12-28,1.779,1.84,1.7,1.84,1.84,43600
2023-12-29,1.82,1.83,1.71,1.79,1.79,41800
2024-01-02,1.7,1.8,1.62,1.79,1.79,27200
2024-01-03,1.682,1.75,1.65,1.74,1.74,17700
2024-01-04,1.68,1.75,1.625,1.67,1.67,33200
