Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.53,11.76,11.13,11.66,11.66,220300
2016-01-05,11.7,11.87,11.56,11.77,11.77,247100
2016-01-06,11.59,11.86,11.1,11.64,11.64,215600
2016-01-07,11.42,11.8,11.22,11.6,11.6,243500
2016-01-08,11.55,11.77,11.26,11.29,11.29,141800
2016-01-11,11.39,11.53,11.03,11.47,11.47,140600
2016-01-12,11.58,11.66,11.21,11.37,11.37,117300
2016-01-13,11.3,11.65,10.92,10.99,10.99,191500
2016-01-14,11.02,11.32,10.9,11.17,11.17,271200
2016-01-15,11.0,11.25,10.75,11.14,11.14,159900
2016-01-19,11.23,11.33,10.94,11.2,11.2,153600
2016-01-20,11.03,11.42,10.62,11.33,11.33,204800
2016-01-21,11.33,11.41,11.15,11.16,11.16,173200
2016-01-22,11.3,11.5,11.02,11.19,11.19,289200
2016-01-25,11.2,11.22,10.75,10.77,10.77,230800
2016-01-26,10.8,10.94,10.56,10.7,10.7,229400
2016-01-27,10.69,10.74,10.31,10.33,10.33,211700
2016-01-28,10.46,10.66,10.37,10.51,10.51,147700
2016-01-29,10.59,10.72,10.39,10.7,10.7,214400
2016-02-01,10.65,10.77,10.5,10.66,10.66,213900
2016-02-02,10.6,10.68,10.37,10.4,10.4,168200
2016-02-03,10.45,10.6,10.2,10.55,10.55,310000
2016-02-04,10.59,11.06,10.56,11.01,11.01,212600
2016-02-05,10.98,10.98,10.41,10.41,10.41,192400
2016-02-08,10.35,10.39,9.82,10.21,10.21,163000
2016-02-09,10.07,10.58,9.96,10.18,10.18,156500
2016-02-10,10.17,10.4,10.12,10.15,10.15,163600
2016-02-11,10.04,10.3,9.95,10.23,10.23,107400
2016-02-12,10.34,10.69,10.27,10.57,10.57,167900
2016-02-16,10.69,11.52,10.61,11.16,11.16,609300
2016-02-17,12.51,12.74,11.9,12.25,12.25,1303600
2016-02-18,12.28,12.35,12.01,12.16,12.16,386300
2016-02-19,12.13,12.22,11.9,12.1,12.1,253600
2016-02-22,12.22,12.38,11.99,12.31,12.31,322900
2016-02-23,12.15,12.24,11.95,11.95,11.95,243800
2016-02-24,11.8,11.96,11.72,11.82,11.82,337200
2016-02-25,11.85,12.23,11.5,12.19,12.19,526000
2016-02-26,12.2,12.46,12.14,12.3,12.3,387100
2016-02-29,12.3,12.99,12.26,12.55,12.55,392300
2016-03-01,12.6,13.25,12.56,12.92,12.92,443800
2016-03-02,12.92,13.29,12.85,13.23,13.23,255700
2016-03-03,13.59,13.9,13.25,13.31,13.31,499900
2016-03-04,13.39,13.81,13.21,13.73,13.73,695100
2016-03-07,13.68,14.04,13.68,13.95,13.95,822700
2016-03-08,13.91,14.04,13.68,13.7,13.7,279900
2016-03-09,13.73,13.98,13.73,13.78,13.78,188700
2016-03-10,13.92,13.99,13.31,13.53,13.53,229700
2016-03-11,13.58,13.68,13.11,13.47,13.47,304500
2016-03-14,13.46,13.67,13.44,13.52,13.52,188800
2016-03-15,13.5,13.5,13.21,13.26,13.26,159600
2016-03-16,13.14,13.55,13.11,13.36,13.36,187100
2016-03-17,13.28,13.36,13.03,13.3,13.3,256800
2016-03-18,13.36,13.48,13.15,13.36,13.36,342400
2016-03-21,13.31,13.49,13.12,13.31,13.31,260500
2016-03-22,13.17,13.47,13.13,13.15,13.15,246400
2016-03-23,13.1,13.32,12.99,13.01,13.01,332700
2016-03-24,12.99,13.16,12.86,13.07,13.07,373300
2016-03-28,13.06,13.17,12.87,12.94,12.94,184400
2016-03-29,12.94,13.5,12.87,13.24,13.24,280500
2016-03-30,13.34,13.79,13.34,13.73,13.73,269700
2016-03-31,13.78,13.89,13.47,13.61,13.61,485000
2016-04-01,13.49,13.83,13.31,13.71,13.71,133600
2016-04-04,13.69,13.86,13.5,13.58,13.58,250100
2016-04-05,13.5,13.54,13.4,13.47,13.47,229000
2016-04-06,13.45,13.62,13.36,13.46,13.46,117400
2016-04-07,13.38,13.41,13.2,13.3,13.3,104900
2016-04-08,13.35,13.52,13.19,13.37,13.37,156000
2016-04-11,13.45,13.77,13.4,13.73,13.73,299000
2016-04-12,13.72,13.92,13.56,13.84,13.84,360900
2016-04-13,13.88,14.29,13.58,14.26,14.26,244600
2016-04-14,14.29,14.32,14.11,14.19,14.19,351600
2016-04-15,14.15,14.45,14.1,14.35,14.35,181100
2016-04-18,14.44,14.99,14.34,14.87,14.87,403000
2016-04-19,14.78,14.78,14.2,14.33,14.33,302700
2016-04-20,14.3,14.51,14.3,14.35,14.35,107100
2016-04-21,14.39,14.61,14.25,14.3,14.3,117500
2016-04-22,14.19,14.53,14.19,14.47,14.47,179200
2016-04-25,14.38,14.4,13.99,14.17,14.17,151400
2016-04-26,14.24,14.66,13.97,14.42,14.42,229400
2016-04-27,14.37,14.42,13.99,14.03,14.03,247200
2016-04-28,14.03,14.27,13.86,14.05,14.05,204000
2016-04-29,14.04,14.32,13.92,14.25,14.25,209500
2016-05-02,14.24,14.57,14.12,14.46,14.46,168400
2016-05-03,14.33,14.49,14.17,14.35,14.35,171300
