Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.97,5.39,4.97,5.36,3.223849,131700
2016-01-05,5.35,5.45,5.1,5.34,3.21182,49100
2016-01-06,5.32,5.32,5.07,5.17,3.109571,58900
2016-01-07,5.05,5.22,5.02,5.08,3.055439,98700
2016-01-08,5.2,5.25,5.1,5.16,3.103557,119100
2016-01-11,5.26,5.26,5.0,5.03,3.025365,118500
2016-01-12,5.03,5.09,4.85,4.9,2.947176,241500
2016-01-13,4.89,5.0,4.71,4.72,2.838912,135200
2016-01-14,4.75,4.97,4.65,4.93,2.96522,75100
2016-01-15,4.83,4.91,4.68,4.83,2.905074,112200
2016-01-19,4.75,4.81,4.46,4.49,2.700575,192400
2016-01-20,4.46,4.5,4.2,4.32,2.598326,328800
2016-01-21,4.3,4.72,4.26,4.67,2.808838,159800
2016-01-22,4.78,5.05,4.78,5.02,3.019352,162500
2016-01-25,5.0,5.14,4.67,4.69,2.820869,73600
2016-01-26,4.7,4.95,4.61,4.9,2.947176,82800
2016-01-27,4.9,5.18,4.82,5.08,3.064821,131100
2016-01-28,5.32,5.5,5.21,5.42,3.269948,111800
2016-01-29,5.4,5.65,5.36,5.51,3.324244,111500
2016-02-01,5.49,5.49,5.22,5.39,3.251848,91600
2016-02-02,5.3,5.4,5.23,5.27,3.179451,24400
2016-02-03,5.32,5.61,5.25,5.57,3.360443,56700
2016-02-04,5.59,5.67,5.37,5.39,3.251848,40900
2016-02-05,5.38,5.52,5.27,5.43,3.27598,27800
2016-02-08,5.43,5.62,5.35,5.62,3.39061,81300
2016-02-09,5.65,5.65,5.51,5.6,3.378542,61300
2016-02-10,5.6,5.6,5.32,5.33,3.215649,67700
2016-02-11,5.3,5.4,5.07,5.23,3.155317,102700
2016-02-12,5.42,5.5,5.26,5.31,3.203583,43600
2016-02-16,5.58,5.58,5.1,5.14,3.101019,102200
2016-02-17,5.14,5.49,5.14,5.36,3.233748,55900
2016-02-18,5.37,5.38,5.19,5.34,3.221682,63100
2016-02-19,5.34,5.39,5.17,5.35,3.227715,61800
2016-02-22,5.4,5.61,5.37,5.55,3.348378,75100
2016-02-23,5.59,5.6,5.31,5.48,3.306147,116800
2016-02-24,5.3,5.46,5.29,5.44,3.282014,170200
2016-02-25,5.41,5.47,5.26,5.38,3.258995,29900
2016-02-26,5.46,5.64,5.43,5.47,3.313513,46600
2016-02-29,5.56,5.63,5.45,5.54,3.355916,48700
2016-03-01,5.47,5.7,5.44,5.66,3.428607,80500
2016-03-02,5.7,5.95,5.67,5.92,3.586104,92100
2016-03-03,5.9,6.13,5.66,6.06,3.670913,169000
2016-03-04,6.24,6.32,6.07,6.28,3.804179,170600
2016-03-07,6.24,6.55,6.24,6.53,3.95562,169500
2016-03-08,6.53,6.54,6.3,6.44,3.901101,169300
2016-03-09,6.55,6.55,6.25,6.32,3.828411,60800
2016-03-10,6.25,6.33,5.85,6.04,3.658796,106800
2016-03-11,6.05,6.2,5.99,6.03,3.652739,131100
2016-03-14,6.03,6.1,5.82,6.03,3.652739,121800
2016-03-15,5.93,5.96,5.73,5.94,3.598219,68600
2016-03-16,6.01,6.03,5.9,5.92,3.586104,50500
