Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.62,13.72,13.5,13.72,6.810728,133100
2016-01-05,13.7,13.71,13.57,13.7,6.800799,69200
2016-01-06,13.63,13.72,13.55,13.6,6.75116,89700
2016-01-07,13.42,13.61,13.4,13.48,6.691589,102100
2016-01-08,13.48,13.51,13.38,13.4,6.651877,120100
2016-01-11,13.48,13.48,13.21,13.27,6.58734,102800
2016-01-12,13.29,13.38,13.23,13.32,6.612163,84100
2016-01-13,13.28,13.31,13.16,13.2,6.552597,84700
2016-01-14,13.19,13.25,13.12,13.18,6.542667,138600
2016-01-15,13.04,13.2,13.0,13.02,6.463242,129200
2016-01-19,13.05,13.12,12.99,13.01,6.458279,112100
2016-01-20,12.86,12.98,12.45,12.8,6.354032,256800
2016-01-21,12.84,13.13,12.79,13.06,6.483098,141800
2016-01-22,13.15,13.45,13.15,13.37,6.636984,143100
2016-01-25,13.45,13.49,13.3,13.45,6.6767,164400
2016-01-26,13.49,13.6,13.47,13.58,6.741229,85800
2016-01-27,13.53,13.75,13.35,13.66,6.780943,129000
2016-01-28,13.66,13.74,13.53,13.73,6.815694,88000
2016-01-29,13.79,14.0,13.74,14.0,6.949725,139900
2016-02-01,13.99,14.1,13.91,14.07,6.984468,182400
2016-02-02,13.98,14.13,13.92,14.07,6.984468,127700
2016-02-03,14.06,14.2,13.97,14.14,7.019219,112900
2016-02-04,14.14,14.28,14.14,14.23,7.063898,106400
2016-02-05,14.22,14.23,13.9,13.91,6.905045,127200
2016-02-08,13.75,13.92,13.61,13.71,6.805762,188600
2016-02-09,13.48,13.7,13.42,13.64,6.815758,100600
2016-02-10,13.65,13.71,13.47,13.52,6.755792,110700
2016-02-11,13.37,13.68,13.37,13.53,6.76079,144100
2016-02-12,13.62,13.89,13.55,13.58,6.785772,151600
2016-02-16,13.74,13.75,13.56,13.57,6.780783,127200
2016-02-17,13.6,13.96,13.6,13.9,6.945678,135300
2016-02-18,13.85,13.96,13.83,13.9,6.945678,77900
2016-02-19,13.9,13.97,13.8,13.8,6.89571,75100
2016-02-22,13.86,13.97,13.84,13.88,6.935683,134800
2016-02-23,13.86,14.02,13.8,13.9,6.945678,186300
2016-02-24,13.9,14.21,13.84,14.07,7.030622,152800
2016-02-25,14.06,14.2,14.06,14.17,7.080596,92000
