Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.1,8.33,8.05,8.29,3.27164,757600
2016-01-05,8.31,8.43,8.31,8.41,3.318999,539000
2016-01-06,8.26,8.37,8.22,8.3,3.275584,529500
2016-01-07,8.18,8.31,8.1,8.2,3.236119,580500
2016-01-08,8.22,8.25,8.07,8.11,3.2006,473800
2016-01-11,8.11,8.14,7.92,8.04,3.172976,1046000
2016-01-12,8.0,8.08,7.84,7.93,3.170178,587900
2016-01-13,7.9,7.92,7.57,7.59,3.034256,874100
2016-01-14,7.6,7.92,7.41,7.71,3.082228,1825700
2016-01-15,7.57,7.67,7.35,7.38,2.950303,1727400
2016-01-19,7.45,7.57,7.34,7.5,2.998277,690100
2016-01-20,7.32,7.5,7.08,7.48,2.990281,1213400
2016-01-21,7.45,7.64,7.38,7.54,3.014268,424800
2016-01-22,7.62,7.73,7.58,7.63,3.050246,765900
2016-01-25,7.62,7.63,7.5,7.52,3.006271,439000
2016-01-26,7.56,7.71,7.55,7.66,3.06224,447300
2016-01-27,7.67,7.74,7.56,7.61,3.042251,378200
2016-01-28,7.72,7.73,7.62,7.67,3.066237,344500
2016-01-29,7.7,7.97,7.7,7.84,3.134197,624400
2016-02-01,7.85,8.02,7.77,7.95,3.178173,535100
2016-02-02,7.93,8.03,7.86,8.01,3.202159,513800
2016-02-03,8.05,8.11,7.85,8.1,3.238138,502500
2016-02-04,8.07,8.18,8.01,8.04,3.214151,535000
2016-02-05,8.04,8.07,7.95,8.07,3.226145,667700
2016-02-08,7.92,7.96,7.74,7.88,3.15019,761700
2016-02-09,7.7,7.76,7.61,7.66,3.102797,514800
2016-02-10,7.66,7.74,7.64,7.66,3.102797,198300
2016-02-11,7.56,7.65,7.4,7.51,3.042037,745900
2016-02-12,7.61,7.66,7.49,7.51,3.042037,329800
2016-02-16,7.57,7.73,7.51,7.69,3.11495,525500
2016-02-17,7.8,7.94,7.75,7.92,3.208113,539000
2016-02-18,7.94,7.95,7.87,7.93,3.212165,218900
2016-02-19,7.85,7.95,7.71,7.86,3.18381,405500
2016-02-22,7.9,7.95,7.8,7.92,3.208113,327600
2016-02-23,7.85,7.91,7.77,7.88,3.191911,312100
2016-02-24,7.8,7.97,7.8,7.96,3.224316,347800
2016-02-25,7.97,8.03,7.91,7.99,3.236468,357600
2016-02-26,8.04,8.11,7.99,8.08,3.272924,476300
2016-02-29,8.11,8.23,8.1,8.19,3.317481,478500
2016-03-01,8.28,8.35,8.2,8.29,3.357988,689700
2016-03-02,8.15,8.3,8.0,8.24,3.337735,650600
2016-03-03,8.27,8.48,8.21,8.45,3.422798,470400
2016-03-04,8.48,8.62,8.31,8.45,3.422798,771000
2016-03-07,8.41,8.55,8.41,8.53,3.455202,520200
2016-03-08,8.52,8.57,8.45,8.47,3.430899,411000
2016-03-09,8.39,8.58,8.35,8.54,3.501838,434400
2016-03-10,8.6,8.73,8.52,8.59,3.522341,464000
2016-03-11,8.62,8.93,8.6,8.79,3.604351,874600
2016-03-14,8.71,8.75,8.52,8.52,3.493636,802600
2016-03-15,8.51,8.66,8.45,8.6,3.526442,488300
2016-03-16,8.63,8.7,8.51,8.7,3.567444,332000
