Date,Open,High,Low,Close,Adj Close,Volume
2017-06-09,18.360001,18.450001,17.559999,18.389999,11.841527,276100
2017-06-12,18.49,18.52,18.118999,18.299999,11.783578,58400
2017-06-13,18.27,18.389999,18.02,18.23,11.738503,30800
2017-06-14,18.09,18.32,18.0,18.0,11.590402,24200
2017-06-15,18.0,18.190001,18.0,18.1,11.654794,19700
2017-06-16,18.190001,18.476,18.01,18.440001,11.873723,13200
2017-06-19,18.200001,18.450001,18.01,18.049999,11.622594,18900
2017-06-20,18.120001,18.302999,18.02,18.1,11.654794,12900
2017-06-21,18.153,18.190001,18.052,18.052,11.623884,23900
2017-06-22,18.190001,18.190001,18.0,18.02,11.603282,22300
2017-06-23,18.0,18.319,17.98,18.280001,11.7707,36600
2017-06-26,18.34,18.34,17.940001,18.33,11.802894,54300
2017-06-27,18.4,18.4,17.940001,18.0,11.590402,30000
2017-06-28,17.950001,18.24,17.700001,18.24,11.744942,86000
2017-06-29,17.780001,18.1,17.780001,18.049999,11.622594,45400
2017-06-30,18.0,18.75,18.0,18.75,12.073338,33300
2017-07-03,18.549999,18.75,18.33,18.75,12.073338,26800
2017-07-05,18.08,19.0,18.08,19.0,12.276871,24100
2017-07-06,18.43,18.947001,18.43,18.75,12.115335,20900
2017-07-07,18.700001,18.870001,18.551001,18.85,12.17995,17500
2017-07-10,18.870001,18.870001,18.0,18.0,11.630723,17900
2017-07-11,18.0,18.200001,18.0,18.200001,11.759954,3500
2017-07-12,18.105,18.396999,18.0,18.01,11.637185,9700
2017-07-13,18.104,18.104,17.629999,17.9,11.566109,11300
2017-07-14,17.76,18.0,17.639999,18.0,11.630723,9800
2017-07-17,17.82,18.247,17.493999,17.51,11.314108,12200
2017-07-18,17.370001,17.950001,17.0,17.34,11.204263,19300
2017-07-19,17.35,17.35,16.5,17.25,11.146109,20200
2017-07-20,16.940001,17.131001,16.75,16.9,10.919957,27600
2017-07-21,16.85,17.200001,16.799999,17.103001,11.051126,16600
2017-07-24,17.1,17.35,17.1,17.35,11.210725,24300
2017-07-25,17.35,18.450001,17.35,18.450001,11.921492,22400
2017-07-26,18.299999,18.299999,17.35,17.549999,11.339953,17000
2017-07-27,17.5,17.75,17.360001,17.75,11.469184,13200
2017-07-28,17.75,18.243,17.549999,17.700001,11.436878,8600
2017-07-31,17.75,18.389999,17.35,17.549999,11.339953,8500
2017-08-01,17.99,18.200001,17.25,18.200001,11.759954,19200
2017-08-02,18.200001,18.200001,17.360001,17.950001,11.598414,15300
2017-08-03,17.52,18.0,17.319,17.540001,11.333494,17800
2017-08-04,17.9,18.372999,17.040001,17.5,11.307643,10100
2017-08-07,17.360001,17.908001,17.02,17.35,11.210725,14500
2017-08-08,17.25,17.35,16.950001,17.059999,11.023339,14500
2017-08-09,17.049999,17.200001,17.049999,17.15,11.081494,8100
2017-08-10,17.15,17.4,17.049999,17.17,11.094416,10100
2017-08-11,17.049999,17.15,17.049999,17.049999,11.016879,3400
2017-08-14,17.049999,17.459999,17.049999,17.200001,11.113802,9700
2017-08-15,17.200001,18.17,17.139999,17.665001,11.414265,14400
2017-08-16,17.32,17.879999,17.049999,17.84,11.527339,15400
2017-08-17,18.1,18.139999,17.27,17.65,11.404572,19500
2017-08-18,17.629999,18.129999,17.27,18.129999,11.714724,7100
2017-08-21,18.0,18.0,17.27,17.9,11.566109,23300
2017-08-22,17.916,17.916,17.569,17.6,11.372261,18300
2017-08-23,17.5,18.5,17.15,18.5,11.9538,27900
2017-08-24,18.139999,18.139999,17.610001,17.610001,11.378724,9600
2017-08-25,17.889999,18.1,17.66,18.1,11.695337,32600
2017-08-28,18.049999,18.049999,17.6,17.620001,11.385183,22300
2017-08-29,17.549999,18.0,17.549999,18.0,11.630723,19100
2017-08-30,18.0,18.0,17.518,17.610001,11.378724,19500
2017-08-31,17.559999,18.1,17.559999,18.1,11.695337,16000
2017-09-01,17.99,17.99,17.712,17.879999,11.553182,10300
2017-09-05,17.989,17.99,17.57,17.969999,11.61134,25100
2017-09-06,17.780001,18.5,17.780001,18.27,11.805186,10500
2017-09-07,18.25,18.434,17.799999,18.200001,11.759954,20800
2017-09-08,17.75,18.1,17.610001,17.9,11.566109,20300
2017-09-11,18.059999,18.5,17.889999,18.5,11.9538,46300
2017-09-12,18.059999,19.0,18.031,19.0,12.276871,26200
2017-09-13,18.41,18.860001,18.200001,18.200001,11.759954,30200
2017-09-14,18.000999,18.950001,18.000999,18.299999,11.824569,30000
2017-09-15,18.27,18.599001,17.559999,17.559999,11.346416,103100
2017-09-18,17.860001,18.135,17.775999,17.870001,11.546722,34200
2017-09-19,18.17,18.214001,17.665001,17.950001,11.598414,23500
2017-09-20,17.84,18.596001,17.84,18.290001,11.81811,28000
2017-09-21,18.49,18.959999,17.875999,18.450001,11.921492,43900
2017-09-22,17.860001,18.450001,17.639999,18.049999,11.663028,43700
2017-09-25,17.908001,18.639999,17.908001,18.1,11.695337,36300
2017-09-26,18.200001,18.290001,17.799999,18.18,11.747032,55400
2017-09-27,17.870001,18.200001,17.860001,18.18,11.747032,41300
2017-09-28,17.82,18.336,17.73,18.25,12.040623,14800
2017-09-29,18.25,18.35,17.76,18.209999,12.014232,34800
2017-10-02,18.34,18.349001,18.01,18.25,12.040623,7600
2017-10-03,18.129999,18.237,17.950001,18.07,11.921865,21500
2017-10-04,18.15,18.35,18.070999,18.25,12.040623,23800
2017-10-05,18.23,18.33,18.18,18.280001,12.060415,10400
2017-10-06,18.299999,18.299999,18.061001,18.061001,11.915931,16000
2017-10-09,18.09,18.301001,18.09,18.301001,12.074271,36400
2017-10-10,18.219999,18.440001,18.219999,18.360001,12.113197,23000
2017-10-11,18.209999,18.42,18.209999,18.42,12.152783,4300
2017-10-12,18.49,18.49,18.26,18.26,12.047218,3800
2017-10-13,18.4,18.405001,18.15,18.27,12.053818,8800
2017-10-16,18.389999,18.511,18.27,18.49,12.198965,25600
2017-10-17,18.309999,18.5,18.299999,18.400999,12.140245,11400
2017-10-18,18.200001,18.415001,18.01,18.23,12.027429,28800
2017-10-19,18.370001,18.450001,18.17,18.309999,12.080206,9800
2017-10-20,18.209999,18.209999,18.01,18.190001,12.001036,36800
2017-10-23,18.110001,18.120001,17.76,18.0,11.875685,19600
2017-10-24,17.997999,17.997999,17.74,17.933001,11.831479,33200
2017-10-25,17.73,18.24,17.700001,18.24,12.034025,18300
2017-10-26,18.110001,18.389999,18.110001,18.379999,12.126392,16000
2017-10-27,18.329,18.34,17.922001,18.34,12.100004,40500
2017-10-30,18.329,18.329,18.002001,18.1,11.941661,28000
2017-10-31,18.139999,18.15,17.780001,18.1,11.941661,26100
2017-11-01,18.094,18.139,17.905001,18.120001,11.954853,17700
2017-11-02,18.0,18.0,17.711,17.870001,11.789915,12900
2017-11-03,17.870001,17.917999,17.441999,17.85,11.776717,35300
2017-11-06,17.370001,18.25,17.370001,18.25,12.040623,25300
2017-11-07,18.1,18.23,18.062,18.110001,11.948258,4200
2017-11-08,18.02,18.25,18.02,18.23,12.027429,2200
2017-11-09,18.030001,18.27,18.030001,18.27,12.053818,3000
2017-11-10,18.07,18.379999,18.07,18.27,12.053818,31900
2017-11-13,18.18,18.379999,18.110001,18.299,12.072952,16900
2017-11-14,18.299,18.299999,18.18,18.290001,12.067015,9300
2017-11-15,18.25,18.299,18.120001,18.24,12.034025,16700
2017-11-16,18.299999,18.389999,18.139999,18.24,12.034025,15400
2017-11-17,18.440001,18.450001,18.209999,18.4,12.139585,14900
2017-11-20,18.26,18.4,18.26,18.389999,12.132991,9100
2017-11-21,18.27,18.358,18.16,18.200001,12.007635,14300
2017-11-22,18.389999,18.389999,17.860001,17.92,11.822905,17100
2017-11-24,17.870001,18.18,17.870001,18.18,11.994441,5200
2017-11-27,17.77,18.08,17.65,17.799999,11.74373,23100
2017-11-28,18.059999,18.120001,17.809999,17.91,11.816304,47900
2017-11-29,17.85,18.190001,17.799999,17.84,11.770122,31500
2017-11-30,18.040001,18.129999,17.860001,17.93,11.829502,12200
2017-12-01,17.969999,18.02,17.809999,17.99,11.869085,17700
2017-12-04,17.99,18.049999,17.84,17.84,11.770122,33400
2017-12-05,17.82,17.9,17.219999,17.799999,11.74373,40200
2017-12-06,17.75,17.950001,17.459999,17.51,11.552402,30900
2017-12-07,17.66,17.92,17.33,17.804001,11.746369,80500
2017-12-08,17.889999,18.18,17.219999,18.18,11.994441,69200
2017-12-11,18.283001,18.283001,17.549999,17.620001,11.624973,27700
2017-12-12,17.65,18.030001,17.620001,17.77,11.723939,18500
2017-12-13,17.964001,17.99,17.85,17.85,11.776717,1100
2017-12-14,17.950001,18.200001,17.9,18.1,11.941661,11700
2017-12-15,18.120001,18.280001,18.01,18.280001,12.060415,13000
2017-12-18,18.200001,18.478001,18.200001,18.334,12.096043,6700
2017-12-19,18.309999,18.5,18.209999,18.219999,12.020828,11500
2017-12-20,18.673,18.820999,18.16,18.18,11.994441,7700
2017-12-21,18.110001,18.596001,18.110001,18.26,12.047218,5800
2017-12-22,18.41,18.507,18.18,18.49,12.198965,7800
2017-12-26,18.360001,18.58,18.360001,18.41,12.146186,9700
2017-12-27,18.455,18.58,18.360001,18.5,12.205564,32900
2017-12-28,18.280001,18.440001,18.027,18.25,12.289741,9400
2017-12-29,18.983,18.983,18.34,18.48,12.444626,12700
2018-01-02,18.541,18.65,18.309999,18.5,12.458093,20600
2018-01-03,18.52,18.610001,18.459999,18.52,12.471561,38400
2018-01-04,18.459999,18.959999,18.16,18.25,12.289741,44200
2018-01-05,18.200001,18.5,18.200001,18.5,12.458093,20800
2018-01-08,18.35,18.597,17.75,18.23,12.276271,20600
2018-01-09,18.200001,18.75,18.065001,18.35,12.357082,10000
2018-01-10,18.5,18.540001,17.896,18.059999,12.161792,21800
2018-01-11,18.27,18.556,18.059999,18.15,12.222399,34300
2018-01-12,18.486,18.486,18.15,18.27,12.303206,5000
2018-01-16,18.059999,18.41,17.924999,18.41,12.397486,9800
2018-01-17,18.129999,18.309999,17.83,17.92,12.067514,23000
2018-01-18,17.799999,18.032,17.620001,17.940001,12.080984,12900
2018-01-19,17.77,18.200001,17.77,17.98,12.107922,12400
2018-01-22,18.059999,18.296,17.9,18.190001,12.249334,5000
2018-01-23,18.108999,18.190001,17.976999,18.18,12.2426,21300
2018-01-24,18.040001,18.18,17.799999,18.0,12.121387,26100
2018-01-25,18.0,18.0,17.754,17.959999,12.09445,1500
2018-01-26,17.719999,17.93,17.719999,17.721001,11.933506,1300
2018-01-29,17.610001,17.655001,16.870001,17.25,11.616328,29700
2018-01-30,17.07,17.329,16.355,17.24,11.609597,47100
2018-01-31,17.16,18.5,16.516001,17.620001,11.865491,23200
2018-02-01,18.0,18.030001,17.190001,17.23,11.602862,8900
2018-02-02,17.9,17.9,17.299999,17.33,11.670201,1700
2018-02-05,17.6,17.6,16.52,16.790001,11.306561,11400
2018-02-06,16.549999,17.399,16.4,17.200001,11.58266,17100
2018-02-07,17.74,17.74,16.809999,17.59,11.845289,14500
2018-02-08,17.58,17.58,16.719999,17.07,11.495115,29900
2018-02-09,16.757999,17.48,16.530001,16.809999,11.32003,14700
2018-02-12,16.940001,17.280001,16.76,17.01,11.45471,6000
2018-02-13,17.110001,17.42,16.639999,16.92,11.394104,6900
2018-02-14,16.926001,17.32,16.75,16.790001,11.306561,5700
2018-02-15,16.950001,17.32,16.809999,16.940001,11.407571,11100
2018-02-16,16.860001,17.32,16.860001,17.309999,11.656736,5000
2018-02-20,16.968,17.0,16.870001,16.870001,11.360434,2300
2018-02-21,16.889999,16.889999,16.209999,16.25,10.942919,15000
2018-02-22,16.26,16.834,16.25,16.73,11.266157,8600
2018-02-23,16.84,17.014999,16.84,16.940001,11.407571,2700
2018-02-26,16.284,16.74,16.284,16.450001,11.077601,1800
2018-02-27,16.789,16.879999,16.26,16.65,11.212284,15700
2018-02-28,16.535999,16.77,16.535999,16.77,11.293092,2200
2018-03-01,16.84,16.84,16.5,16.74,11.27289,4000
2018-03-02,16.650999,16.93,16.650999,16.870001,11.360434,4000
2018-03-05,16.889999,17.129999,16.719999,17.09,11.508584,1900
2018-03-06,16.73,17.09,16.511,16.700001,11.245953,7800
2018-03-07,16.709999,17.18,16.709999,16.98,11.434507,3700
2018-03-08,17.16,17.16,16.940001,17.110001,11.522053,1700
2018-03-09,16.940001,17.18,16.856001,17.18,11.569191,9900
2018-03-12,17.049999,17.280001,17.0,17.084,11.504543,3600
2018-03-13,17.200001,18.0,16.834,17.5,11.784681,6100
2018-03-14,17.912001,17.912001,17.440001,17.610001,11.858756,3400
2018-03-15,17.610001,17.610001,16.934999,17.59,11.845289,2600
2018-03-16,17.450001,18.09,17.35,18.09,12.181993,14300
2018-03-19,17.903,17.92,17.549999,17.83,12.006907,8500
2018-03-20,17.361,18.000999,17.361,17.809999,11.993441,4700
2018-03-21,17.361,17.799999,17.361,17.799999,11.986704,7200
2018-03-22,17.35,17.799999,17.35,17.638,11.877612,2900
2018-03-23,17.65,18.034,17.6,17.75,11.953034,1400
2018-03-26,17.75,17.75,17.35,17.6,11.852022,6700
2018-03-27,17.389999,17.959999,17.35,17.379999,11.703876,3500
2018-03-28,17.129999,17.26,16.75,16.799999,11.562778,1200
2018-03-29,16.700001,17.18,16.700001,17.18,11.824319,1000
2018-04-02,17.17,17.25,17.129999,17.129999,11.789906,1100
2018-04-03,17.01,17.336,16.711,17.24,11.865616,12900
2018-04-04,17.49,17.5,16.75,16.93,11.652254,11100
2018-04-05,17.09,17.364,16.75,17.364,11.950961,4600
2018-04-06,16.950001,17.4,16.940001,17.242001,11.86699,5500
2018-04-09,17.02,17.183001,17.0,17.1,11.769257,7600
2018-04-10,17.164,17.190001,17.164,17.17,11.817433,800
2018-04-11,16.950001,17.0,16.799999,17.0,11.700431,12700
2018-04-12,16.841,17.148001,16.84,17.148001,11.802294,2100
2018-04-13,16.84,17.084999,16.84,17.084999,11.758933,1100
2018-04-16,16.889999,17.01,16.75,17.0,11.700431,6800
