Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,34.02,35.98,33.57,34.279999,34.279999,1025100
2016-01-05,34.610001,35.25,33.619999,34.330002,34.330002,579100
2016-01-06,33.860001,34.470001,33.700001,33.799999,33.799999,434600
2016-01-07,33.130001,34.110001,32.330002,33.099998,33.099998,790800
2016-01-08,33.400002,33.849998,32.18,32.25,32.25,517100
2016-01-11,32.32,32.759998,31.620001,32.290001,32.290001,645500
2016-01-12,32.689999,32.919998,30.23,30.889999,30.889999,754100
2016-01-13,31.040001,31.33,28.26,29.09,29.09,1223500
2016-01-14,29.16,29.530001,27.49,28.24,28.24,1119700
2016-01-15,27.459999,29.0,27.459999,28.98,28.98,1219400
2016-01-19,29.27,29.98,27.33,27.969999,27.969999,1132000
2016-01-20,27.6,28.120001,26.549999,27.879999,27.879999,1097200
2016-01-21,27.9,31.93,27.879999,30.700001,30.700001,1003800
2016-01-22,31.139999,31.73,30.280001,30.4,30.4,998800
2016-01-25,30.32,31.200001,29.5,30.049999,30.049999,705900
2016-01-26,30.16,31.49,29.92,30.91,30.91,495300
2016-01-27,30.65,31.23,29.809999,30.09,30.09,302100
2016-01-28,30.58,30.83,29.48,30.059999,30.059999,387300
2016-01-29,30.059999,31.08,29.290001,29.75,29.75,1387900
2016-02-01,29.559999,29.77,28.43,29.290001,29.290001,821700
2016-02-02,28.77,28.77,27.1,27.83,27.83,839000
2016-02-03,27.959999,27.959999,26.219999,27.4,27.4,655700
2016-02-04,27.27,28.450001,27.07,28.16,28.16,489100
2016-02-05,28.120001,29.75,27.610001,27.950001,27.950001,530700
2016-02-08,27.49,28.16,26.25,26.629999,26.629999,474500
2016-02-09,26.24,26.559999,25.809999,26.280001,26.280001,339100
2016-02-10,26.530001,27.25,26.190001,26.219999,26.219999,302600
2016-02-11,25.690001,26.24,25.27,25.84,25.84,427500
2016-02-12,26.309999,26.68,25.690001,26.209999,26.209999,557100
2016-02-16,26.57,27.459999,26.120001,27.139999,27.139999,418100
2016-02-17,27.379999,28.290001,26.530001,27.950001,27.950001,494700
2016-02-18,28.1,28.57,27.280001,27.309999,27.309999,360000
2016-02-19,27.040001,28.26,26.74,27.190001,27.190001,390500
2016-02-22,27.530001,27.889999,27.040001,27.41,27.41,379400
2016-02-23,27.389999,27.799999,26.07,26.15,26.15,588700
2016-02-24,26.0,26.99,25.34,26.91,26.91,437500
2016-02-25,27.17,27.17,25.77,26.889999,26.889999,413600
2016-02-26,22.82,23.85,20.0,22.629999,22.629999,4232300
2016-02-29,22.629999,24.950001,22.549999,24.4,24.4,913200
2016-03-01,24.9,25.219999,24.42,24.860001,24.860001,871400
2016-03-02,24.780001,25.98,24.780001,25.790001,25.790001,526700
2016-03-03,25.9,27.459999,25.639999,27.24,27.24,620200
2016-03-04,27.280001,28.370001,27.059999,27.719999,27.719999,592500
2016-03-07,27.5,30.93,27.34,30.889999,30.889999,1234700
2016-03-08,30.77,30.77,28.950001,29.43,29.43,769600
2016-03-09,29.59,30.02,28.950001,29.65,29.65,698400
2016-03-10,29.77,29.99,28.280001,29.16,29.16,656200
2016-03-11,29.540001,30.360001,29.17,30.129999,30.129999,660600
2016-03-14,30.02,30.280001,28.52,29.620001,29.620001,439600
2016-03-15,29.5,29.709999,27.66,28.33,28.33,504400
2016-03-16,28.5,28.959999,28.110001,28.559999,28.559999,312300
2016-03-17,28.549999,30.09,28.299999,29.82,29.82,431400
2016-03-18,30.049999,30.530001,29.35,30.25,30.25,1015300
2016-03-21,30.02,31.07,30.02,30.639999,30.639999,390800
2016-03-22,30.360001,30.879999,29.67,30.75,30.75,492700
2016-03-23,30.469999,30.709999,28.25,28.370001,28.370001,581600
2016-03-24,28.24,28.32,27.24,28.24,28.24,341900
2016-03-28,28.440001,28.969999,27.620001,28.41,28.41,587200
2016-03-29,28.18,29.459999,27.549999,29.32,29.32,341900
2016-03-30,29.370001,30.23,28.440001,28.889999,28.889999,416300
2016-03-31,28.879999,29.719999,28.700001,29.389999,29.389999,397000
2016-04-01,29.139999,29.459999,28.59,28.93,28.93,436600
2016-04-04,28.98,29.559999,28.42,29.280001,29.280001,375700
2016-04-05,29.190001,30.0,28.9,29.57,29.57,413100
2016-04-06,29.66,29.959999,29.35,29.9,29.9,222100
2016-04-07,29.74,30.0,28.59,28.719999,28.719999,286700
2016-04-08,29.01,29.860001,29.0,29.389999,29.389999,275500
