Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.0,3.0,2.9,3.0,3.0,63200
2016-01-05,3.03,3.25,3.03,3.18,3.18,116000
2016-01-06,3.21,3.24,2.92,2.94,2.94,67300
2016-01-07,2.88,3.08,2.8,2.88,2.88,50300
2016-01-08,2.91,2.94,2.77,2.81,2.81,16900
2016-01-11,2.8,2.8,2.59,2.61,2.61,62600
2016-01-12,2.6,2.72,2.56,2.58,2.58,9900
2016-01-13,2.66,2.66,2.45,2.5,2.5,22700
2016-01-14,2.44,2.54,2.35,2.52,2.52,39100
2016-01-15,2.55,2.58,2.4,2.51,2.51,28800
2016-01-19,2.48,2.6,2.48,2.54,2.54,17200
2016-01-20,2.45,2.61,2.43,2.6,2.6,28300
2016-01-21,2.61,2.74,2.59,2.64,2.64,12400
2016-01-22,2.67,2.75,2.67,2.71,2.71,3800
2016-01-25,2.75,2.75,2.65,2.7,2.7,9400
2016-01-26,2.75,2.8,2.7,2.7,2.7,5200
2016-01-27,2.69,2.75,2.58,2.67,2.67,3900
2016-01-28,2.72,2.84,2.65,2.79,2.79,20900
2016-01-29,2.84,2.85,2.67,2.75,2.75,13100
2016-02-01,2.61,2.69,2.49,2.61,2.61,59700
2016-02-02,2.61,2.79,2.61,2.66,2.66,10100
2016-02-03,2.7,2.78,2.58,2.68,2.68,37100
2016-02-04,2.66,2.78,2.65,2.72,2.72,30800
2016-02-05,2.76,2.78,2.54,2.69,2.69,32500
2016-02-08,2.54,2.75,2.54,2.67,2.67,21000
2016-02-09,2.53,2.75,2.53,2.71,2.71,33900
2016-02-10,2.56,2.82,2.56,2.7,2.7,35300
2016-02-11,2.82,2.82,2.73,2.75,2.75,23900
2016-02-12,2.79,2.91,2.71,2.88,2.88,25400
2016-02-16,2.97,2.97,2.78,2.8,2.8,19100
2016-02-17,2.84,2.95,2.84,2.88,2.88,1700
2016-02-18,2.84,2.9,2.72,2.87,2.87,18000
2016-02-19,2.76,2.99,2.74,2.74,2.74,24500
2016-02-22,2.85,2.99,2.72,2.9,2.9,28900
2016-02-23,2.92,2.97,2.84,2.9,2.9,70900
2016-02-24,2.88,2.9,2.77,2.9,2.9,5000
2016-02-25,2.84,2.85,2.74,2.8,2.8,21800
2016-02-26,2.77,2.89,2.75,2.84,2.84,9400
2016-02-29,2.84,2.91,2.75,2.75,2.75,222700
2016-03-01,2.81,2.92,2.79,2.85,2.85,5900
2016-03-02,2.81,2.94,2.8,2.94,2.94,11500
2016-03-03,2.96,3.0,2.91,2.98,2.98,57200
2016-03-04,2.96,3.0,2.96,2.96,2.96,52300
2016-03-07,2.89,2.97,2.89,2.9,2.9,9300
2016-03-08,2.82,2.97,2.82,2.9,2.9,19900
2016-03-09,2.96,3.18,2.87,3.16,3.16,111300
2016-03-10,3.12,3.28,3.02,3.07,3.07,123900
2016-03-11,3.05,3.25,2.92,2.92,2.92,104700
2016-03-14,2.95,3.0,2.92,2.93,2.93,9000
2016-03-15,3.0,3.05,2.92,2.94,2.94,57500
2016-03-16,2.93,3.0,2.93,2.93,2.93,17800
2016-03-17,2.99,3.0,2.93,2.93,2.93,3800
2016-03-18,2.9,2.9,2.72,2.72,2.72,28800
2016-03-21,2.78,2.81,2.73,2.77,2.77,26700
2016-03-22,2.78,2.79,2.63,2.69,2.69,16000
2016-03-23,2.65,2.76,2.55,2.57,2.57,78300
2016-03-24,2.56,2.65,2.41,2.64,2.64,8700
2016-03-28,2.64,2.65,2.48,2.54,2.54,62200
2016-03-29,2.55,2.71,2.54,2.56,2.56,25300
2016-03-30,2.59,2.69,2.57,2.6,2.6,28300
2016-03-31,2.67,2.73,2.56,2.56,2.56,179100
2016-04-01,2.58,2.79,2.58,2.71,2.71,12700
2016-04-04,2.72,2.82,2.58,2.6,2.6,12400
2016-04-05,2.59,2.69,2.59,2.68,2.68,8800
2016-04-06,2.65,2.79,2.65,2.74,2.74,40900
2016-04-07,2.78,2.86,2.72,2.78,2.78,62000
2016-04-08,2.73,2.83,2.73,2.8,2.8,36000
2016-04-11,2.8,2.89,2.79,2.85,2.85,28300
2016-04-12,2.88,2.88,2.85,2.86,2.86,6500
2016-04-13,2.91,3.13,2.87,3.08,3.08,106200
2016-04-14,3.13,3.16,2.99,3.1,3.1,61500
2016-04-15,3.14,3.15,3.08,3.08,3.08,9700
2016-04-18,3.17,3.28,3.04,3.24,3.24,52200
2016-04-19,3.21,3.29,3.21,3.28,3.28,45000
2016-04-20,3.24,3.24,3.14,3.17,3.17,16500
2016-04-21,3.28,3.29,3.16,3.2,3.2,49500
2016-04-22,3.23,3.36,3.2,3.2,3.2,112400
2016-04-25,3.15,3.26,3.15,3.17,3.17,44300
2016-04-26,3.35,3.35,3.21,3.23,3.23,28000
2016-04-27,3.22,3.26,3.2,3.2,3.2,36000
2016-04-28,3.22,3.32,3.2,3.2,3.2,21800
2016-04-29,3.32,3.35,3.2,3.24,3.24,29700
2016-05-02,3.24,3.4,3.2,3.36,3.36,72700
2016-05-03,3.34,3.42,3.32,3.4,3.4,68100
2016-05-04,3.43,3.43,3.31,3.41,3.41,32300
2016-05-05,3.45,3.45,3.25,3.34,3.34,31600
2016-05-06,3.32,3.32,3.2,3.3,3.3,16400
2016-05-09,3.24,3.33,3.2,3.22,3.22,43300
2016-05-10,3.35,3.35,3.12,3.17,3.17,110700
2016-05-11,3.14,3.26,3.12,3.16,3.16,88000
2016-05-12,3.22,3.28,3.15,3.22,3.22,100400
2016-05-13,3.24,3.35,3.15,3.29,3.29,134500
2016-05-16,3.29,3.48,3.28,3.44,3.44,97100
2016-05-17,3.45,3.46,3.36,3.42,3.42,96300
2016-05-18,3.4,3.4,3.32,3.34,3.34,55500
2016-05-19,3.36,3.36,3.25,3.27,3.27,60700
2016-05-20,3.25,3.29,3.25,3.28,3.28,42200
2016-05-23,3.26,3.38,3.23,3.38,3.38,72000
2016-05-24,3.43,3.43,3.37,3.4,3.4,79900
2016-05-25,3.44,3.44,3.33,3.38,3.38,73400
2016-05-26,3.44,3.44,3.38,3.39,3.39,94100
2016-05-27,3.42,3.65,3.39,3.62,3.62,264800
2016-05-31,3.7,4.04,3.64,3.87,3.87,341900
2016-06-01,4.0,4.39,3.91,4.2,4.2,713600
2016-06-02,4.3,4.3,3.91,4.05,4.05,309600
2016-06-03,4.09,4.18,3.93,3.95,3.95,281700
2016-06-06,4.1,4.25,4.07,4.13,4.13,540700
2016-06-07,3.96,4.27,3.96,4.25,4.25,189000
2016-06-08,4.29,4.3,4.12,4.18,4.18,191000
2016-06-09,4.15,4.22,4.12,4.17,4.17,86100
2016-06-10,4.18,4.2,4.02,4.04,4.04,106100
2016-06-13,3.97,4.06,3.81,3.93,3.93,225500
2016-06-14,3.96,4.06,3.83,3.85,3.85,102100
2016-06-15,3.89,3.97,3.75,3.89,3.89,97600
2016-06-16,3.89,3.93,3.76,3.81,3.81,42200
2016-06-17,3.82,3.93,3.72,3.82,3.82,78400
2016-06-20,3.81,4.06,3.75,3.94,3.94,235000
2016-06-21,3.99,4.22,3.92,3.93,3.93,602700
2016-06-22,3.96,4.07,3.86,3.89,3.89,164900
2016-06-23,3.95,4.06,3.83,4.06,4.06,163500
2016-06-24,3.65,3.97,3.44,3.93,3.93,201300
