Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,4.09,4.15,3.01,3.6,3.6,1548800
2023-07-28,2.44,2.739,2.33,2.5,2.5,764700
2023-07-31,2.35,2.45,2.11,2.23,2.23,301900
2023-08-01,2.15,2.19,2.06,2.1,2.1,358200
2023-08-02,2.1,2.33,2.1,2.2,2.2,488900
2023-08-03,2.2,2.233,2.06,2.077,2.077,284700
2023-08-04,1.95,2.0,1.45,1.49,1.49,590900
2023-08-07,2.27,2.38,1.76,2.09,2.09,21161700
2023-08-08,1.78,1.88,1.66,1.85,1.85,686000
2023-08-09,1.72,1.75,1.47,1.56,1.56,462000
2023-08-10,1.53,1.64,1.5,1.53,1.53,156100
2023-08-11,1.52,1.59,1.33,1.42,1.42,204200
2023-08-14,1.4,1.4,1.29,1.33,1.33,130200
2023-08-15,1.28,1.29,1.11,1.14,1.14,279000
2023-08-16,1.12,1.13,0.95,1.02,1.02,256600
2023-08-17,1.3,1.43,1.1,1.17,1.17,9329600
2023-08-18,1.15,1.2,1.11,1.17,1.17,526800
2023-08-21,1.13,1.2,1.11,1.19,1.19,202400
2023-08-22,1.17,1.3,1.12,1.29,1.29,437300
2023-08-23,1.29,1.3,1.21,1.21,1.21,88900
2023-08-24,1.24,1.264,1.1,1.18,1.18,87700
2023-08-25,1.15,1.18,1.111,1.14,1.14,16700
2023-08-28,1.21,1.238,1.11,1.15,1.15,65000
2023-08-29,1.2,1.28,1.16,1.25,1.25,153800
2023-08-30,1.22,1.35,1.22,1.33,1.33,312400
2023-08-31,1.37,1.52,1.3,1.334,1.334,663300
2023-09-01,1.34,1.35,1.22,1.32,1.32,1413700
2023-09-05,1.28,1.29,1.18,1.28,1.28,257100
2023-09-06,1.24,1.3,1.13,1.3,1.3,135500
2023-09-07,1.26,1.3,1.17,1.26,1.26,146500
2023-09-08,1.85,2.05,1.31,1.42,1.42,25020100
2023-09-11,1.27,1.35,1.17,1.31,1.31,641400
2023-09-12,1.24,1.27,1.22,1.23,1.23,142500
2023-09-13,1.19,1.28,1.16,1.22,1.22,354800
2023-09-14,1.19,1.26,1.18,1.2,1.2,77800
2023-09-15,1.17,1.24,1.17,1.18,1.18,261500
2023-09-18,1.18,1.18,1.13,1.15,1.15,57200
2023-09-19,1.15,1.19,1.09,1.11,1.11,145000
2023-09-20,1.1,1.14,1.01,1.055,1.055,153100
2023-09-21,1.04,1.045,1.01,1.04,1.04,52200
2023-09-22,1.0,1.05,0.99,1.0,1.0,28400
2023-09-25,1.0,1.03,1.0,1.0,1.0,56300
2023-09-26,0.99,1.0,0.89,0.92,0.92,142000
2023-09-27,0.902,0.91,0.72,0.8,0.8,264600
2023-09-28,0.8,0.8,0.733,0.76,0.76,61000
2023-09-29,0.747,0.77,0.722,0.762,0.762,46000
2023-10-02,0.773,0.773,0.6,0.71,0.71,224200
2023-10-03,0.7,0.7,0.56,0.688,0.688,114100
2023-10-04,0.667,0.71,0.66,0.685,0.685,10800
2023-10-05,0.66,0.69,0.61,0.648,0.648,35200
