Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24,10.05,10.18,9.6,9.78,9.046556,358000
2020-11-25,9.78,9.914,9.75,9.79,9.055806,184100
2020-11-27,9.9,10.057,9.75,10.0,9.250057,108200
2020-11-30,10.7,11.198,10.46,10.48,9.69406,877500
2020-12-01,10.56,10.58,10.25,10.25,9.481309,262400
2020-12-02,10.27,10.554,10.2,10.33,9.555308,138600
2020-12-03,10.21,10.39,10.2,10.23,9.462808,71800
2020-12-04,10.24,10.38,10.11,10.33,9.555308,73600
2020-12-07,10.33,10.38,10.2,10.25,9.481309,50100
2020-12-08,10.37,10.38,10.217,10.31,9.536809,49100
2020-12-09,10.39,10.49,10.16,10.28,9.50906,57600
2020-12-10,10.26,10.44,10.16,10.25,9.481309,59900
2020-12-11,10.4,10.59,10.3,10.42,9.63856,109700
2020-12-14,10.52,10.55,10.26,10.32,9.546059,73700
2020-12-15,10.33,10.421,10.26,10.293,9.521086,35800
2020-12-16,10.3,10.42,10.238,10.32,9.546059,29600
2020-12-17,10.32,10.45,10.24,10.33,9.555308,19600
2020-12-18,10.43,10.43,10.22,10.3,9.527559,37500
2020-12-21,10.23,10.4,10.21,10.28,9.50906,61200
2020-12-22,10.24,11.0,10.12,10.5,9.71256,173800
2020-12-23,10.69,10.69,10.17,10.64,9.842062,145100
2020-12-24,10.72,11.25,10.64,10.89,10.073311,341500
2020-12-28,10.9,11.079,10.71,10.91,10.091812,194400
2020-12-29,10.9,10.9,10.42,10.845,10.031688,213300
2020-12-30,11.63,12.5,11.08,11.39,10.535815,8527900
2020-12-31,11.08,11.39,11.0,11.3,10.452567,1774100
2021-01-04,11.28,11.28,10.85,10.98,10.156564,1190600
2021-01-05,10.9,10.97,10.6,10.81,9.999312,755700
2021-01-06,10.87,11.18,10.63,11.08,10.249063,1505100
2021-01-07,11.08,11.19,10.99,11.01,10.184313,1117500
2021-01-08,11.01,11.15,10.97,10.97,10.147312,666300
2021-01-11,10.95,10.99,10.76,10.85,10.036314,196200
2021-01-12,10.9,10.92,10.76,10.78,9.971561,401500
2021-01-13,10.8,11.6,10.79,11.48,10.619066,1435200
2021-01-14,11.42,12.32,11.25,12.17,11.257318,1987100
2021-01-15,11.88,12.31,11.85,12.24,11.32207,965600
2021-01-19,12.4,12.4,11.96,12.25,11.331321,467300
2021-01-20,12.25,12.307,11.81,12.22,11.303571,378800
2021-01-21,12.08,12.34,11.98,12.2,11.28507,496600
2021-01-22,12.2,12.5,12.01,12.5,11.562572,274500
2021-01-25,12.79,13.145,12.29,12.33,11.405321,848300
2021-01-26,12.33,12.45,12.012,12.43,11.497822,509600
2021-01-27,11.96,12.39,11.32,12.19,11.275821,791100
2021-01-28,11.75,11.9,11.13,11.58,10.711566,277100
2021-01-29,11.53,11.86,11.33,11.51,10.646815,166300
2021-02-01,11.6,11.83,11.15,11.35,10.498816,638500
2021-02-02,11.34,12.0,11.32,11.75,10.868818,183300
2021-02-03,11.84,12.1,11.77,11.77,10.88732,225600
2021-02-04,11.91,12.0,11.44,11.5,10.637567,199300
2021-02-05,11.5,11.85,11.41,11.45,10.591315,210400
2021-02-08,11.5,11.75,11.39,11.43,10.572815,332100
2021-02-09,11.43,11.49,11.21,11.29,10.443315,114500
2021-02-10,11.29,11.52,11.0,11.34,10.489565,259700
2021-02-11,11.32,11.32,10.98,11.13,10.295314,128600
2021-02-12,11.1,11.33,11.03,11.1,10.267566,145300
2021-02-16,11.04,11.64,11.04,11.35,10.498816,204100
2021-02-17,11.24,11.41,11.0,11.07,10.239814,134000
2021-02-18,11.03,11.07,10.9,11.0,10.175063,203000
2021-02-19,11.09,11.35,11.0,11.24,10.397065,111200
2021-02-22,11.28,11.337,11.06,11.06,10.230564,51600
2021-02-23,11.0,11.29,10.57,11.03,10.202812,310400
2021-02-24,11.0,11.06,10.7,10.9,10.082561,663700
2021-02-25,10.8,10.94,10.7,10.749,9.942887,561400
2021-02-26,10.6,10.67,10.56,10.6,9.80506,423800
2021-03-01,10.81,10.88,10.533,10.62,9.823562,192300
2021-03-02,10.6,10.7,10.43,10.55,9.758811,88000
2021-03-03,10.52,10.53,10.25,10.4,9.620059,593300
2021-03-04,10.32,10.75,10.06,10.12,9.361057,266900
2021-03-05,10.13,10.4,10.12,10.21,9.444308,91200
2021-03-08,10.25,11.075,10.25,10.65,9.851311,411400
2021-03-09,10.65,11.0,10.6,10.78,9.971561,135400
2021-03-10,10.77,11.005,10.76,10.83,10.017811,340500
2021-03-11,10.81,11.02,10.587,11.01,10.184313,399500
2021-03-12,10.84,10.98,10.68,10.97,10.147312,52900
2021-03-15,11.0,11.0,10.8,10.9,10.082561,36200
2021-03-16,11.31,11.59,11.0,11.2,10.360065,323800
2021-03-17,11.32,11.32,10.75,11.14,10.304563,541300
2021-03-18,11.1,11.23,11.01,11.06,10.230564,196400
2021-03-19,11.01,11.18,10.95,11.01,10.184313,427800
2021-03-22,11.1,11.3,11.05,11.2,10.360065,283800
2021-03-23,11.2,11.29,10.9,10.96,10.138062,199500
2021-03-24,10.92,11.09,10.9,11.09,10.258314,73200
2021-03-25,10.91,11.14,10.8,11.05,10.221314,91100
2021-03-26,10.98,11.27,10.96,11.17,10.332314,46400
2021-03-29,11.04,11.33,10.9,11.2,10.360065,82300
2021-03-30,11.17,11.3,11.1,11.12,10.286063,30000
2021-03-31,11.17,11.325,11.11,11.18,10.341564,138100
2021-04-01,11.1,11.25,11.0,11.09,10.258314,46200
2021-04-05,11.18,11.18,10.9,10.9,10.082561,44600
2021-04-06,10.91,11.0,10.74,10.84,10.027063,68500
2021-04-07,10.8,11.19,10.64,11.03,10.202812,87700
2021-04-08,10.93,11.127,10.72,10.94,10.119563,34100
2021-04-09,10.99,11.0,10.805,10.92,10.101064,33900
2021-04-12,10.92,11.128,10.92,11.0,10.175063,109700
2021-04-13,11.03,11.138,10.96,11.0,10.175063,67900
2021-04-14,11.0,11.1,11.0,11.05,10.221314,23700
2021-04-15,11.0,11.04,11.0,11.01,10.184313,6400
2021-04-16,11.0,11.05,11.0,11.0,10.175063,31800
2021-04-19,11.01,11.04,10.95,11.01,10.184313,26000
2021-04-20,11.0,11.05,10.83,10.9,10.082561,288100
