Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,16.809999,17.528999,16.5,16.5,14.398274,597900
2018-12-17,16.5,16.959999,16.200001,16.49,14.389548,199000
2018-12-18,16.35,16.58,16.27,16.5,14.398274,143200
2018-12-19,16.51,16.51,16.299999,16.299999,14.223749,85500
2018-12-20,16.4,16.450001,15.89,16.43,14.337192,158700
2018-12-21,16.5,16.5,15.49,16.34,14.258655,43300
2018-12-24,15.97,15.97,15.021,15.15,13.220234,32600
2018-12-26,15.45,15.45,15.25,15.26,13.316224,8100
2018-12-27,15.95,15.95,15.0,15.02,13.106794,6400
2018-12-28,15.055,15.74,15.055,15.74,13.735082,10700
2018-12-31,15.56,15.67,15.066,15.507,13.53176,11900
2019-01-02,15.5,15.5,14.33,14.78,12.897365,36000
2019-01-03,14.85,15.6,14.52,14.57,12.714112,21000
2019-01-04,14.9,14.9,13.51,14.0,12.216718,30400
2019-01-07,14.15,14.15,13.308,13.786,12.029978,7000
2019-01-08,13.74,14.2,13.03,13.18,11.501168,59200
2019-01-09,13.02,13.19,12.003,12.12,10.576187,67100
2019-01-10,12.0,12.19,11.011,11.27,9.834457,49700
2019-01-11,11.7,11.7,10.68,11.08,9.668659,61100
2019-01-14,11.05,11.05,9.905,10.05,8.769858,84700
2019-01-15,10.3,13.124,10.3,12.3,10.73326,220400
2019-01-16,12.69,13.93,12.063,13.5,11.780408,168200
2019-01-17,14.0,14.8,12.49,12.6,10.995048,162900
2019-01-18,12.65,13.5,12.1,13.34,11.640785,66900
2019-01-22,13.36,13.36,11.821,12.2,10.645996,142500
2019-01-23,12.07,13.58,12.07,12.63,11.021225,37500
2019-01-24,12.9,13.5,12.13,13.5,11.780408,71400
2019-01-25,13.33,13.33,12.572,12.64,11.029952,70600
2019-01-28,12.95,12.95,12.19,12.36,10.785617,45800
2019-01-29,12.58,12.66,12.21,12.56,10.96014,43200
2019-01-30,12.49,12.68,12.15,12.61,11.003771,30200
2019-01-31,12.745,12.75,12.383,12.7,11.082308,38700
2019-02-01,12.7,12.748,12.503,12.56,10.96014,3100
2019-02-04,12.7,13.248,12.6,13.0,11.344094,19300
2019-02-05,13.01,13.35,12.88,13.35,11.649514,14300
2019-02-06,13.35,13.5,12.46,13.0,11.344094,33500
2019-02-07,12.975,12.975,12.4,12.41,10.829248,11100
2019-02-08,12.72,13.09,12.472,12.978,11.324896,20200
2019-02-11,12.69,12.764,12.52,12.535,10.938325,8500
2019-02-12,12.51,12.927,12.51,12.68,11.064855,4500
