Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.2,13.22,12.98,13.18,11.473125,2121700
2016-01-05,13.22,13.35,13.03,13.1,11.403488,1863100
2016-01-06,12.95,13.03,12.87,12.96,11.281619,1721800
2016-01-07,12.78,12.99,12.58,12.61,10.976945,2364000
2016-01-08,12.67,12.71,11.88,11.91,10.367598,4527700
2016-01-11,11.95,12.15,11.64,11.83,10.297959,4537700
2016-01-12,11.93,11.94,11.25,11.37,9.89753,3881200
2016-01-13,11.37,11.89,11.3,11.37,9.89753,4736100
2016-01-14,11.48,11.59,11.03,11.53,10.036809,5292100
2016-01-15,11.14,11.47,11.14,11.4,9.923643,3867600
2016-01-19,11.5,11.52,11.03,11.11,9.671201,2875300
2016-01-20,10.74,11.15,10.41,11.06,9.62768,5950100
2016-01-21,11.03,11.03,10.27,10.29,8.957397,5385600
2016-01-22,10.41,10.5,10.11,10.24,8.913869,3812300
2016-01-25,10.21,10.21,9.31,9.37,8.156542,7168500
2016-01-26,9.43,9.62,9.29,9.5,8.269703,7152500
2016-01-27,9.49,10.04,9.35,9.76,8.496036,7871300
2016-01-28,10.15,10.27,9.92,9.96,8.670134,7355700
2016-01-29,9.95,10.15,9.88,10.06,8.757183,4053800
2016-02-01,10.03,10.54,9.97,10.44,9.087968,4914300
2016-02-02,10.33,10.34,10.0,10.17,8.852935,4703700
2016-02-03,10.25,10.34,9.81,10.22,8.896459,2616300
2016-02-04,10.28,10.91,10.26,10.79,9.392641,4405400
2016-02-05,10.79,10.95,10.64,10.65,9.270775,3597300
2016-02-08,10.51,10.64,10.27,10.43,9.079266,6091000
2016-02-09,10.23,10.76,10.18,10.65,9.270775,6757100
2016-02-10,10.72,10.9,10.55,10.59,9.218545,2726900
2016-02-11,10.42,10.78,10.37,10.65,9.270775,4092000
2016-02-12,10.88,11.36,10.86,11.22,9.766953,4217600
2016-02-16,11.32,11.44,11.0,11.15,9.706022,3275200
2016-02-17,11.22,11.37,11.07,11.23,9.77566,3233400
2016-02-18,11.24,11.24,10.9,11.01,9.586715,2405700
2016-02-19,10.99,11.07,10.72,10.84,9.438689,1950000
2016-02-22,10.96,11.1,10.96,11.0,9.578003,2844800
2016-02-23,10.98,11.0,10.74,10.78,9.386444,2579800
2016-02-24,10.69,10.84,10.52,10.75,9.360326,2610400
2016-02-25,10.78,11.0,10.74,10.88,9.473519,2210500
