Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,9.9,9.95,9.87,9.87,9.87,155100
2022-01-14,9.87,9.87,9.87,9.87,9.87,0
2022-01-18,9.95,9.95,9.9,9.9,9.9,200
2022-01-19,9.9,9.9,9.87,9.87,9.87,528700
2022-01-20,9.9,9.9,9.86,9.86,9.86,500000
2022-01-21,9.89,9.9,9.89,9.89,9.89,502300
2022-01-24,9.89,9.89,9.88,9.88,9.88,50400
2022-01-25,9.933,9.933,9.88,9.88,9.88,1800
2022-01-26,9.87,9.87,9.87,9.87,9.87,1400
2022-01-27,9.85,9.87,9.85,9.87,9.87,84100
2022-01-28,9.87,9.87,9.87,9.87,9.87,0
2022-01-31,9.87,9.87,9.87,9.87,9.87,0
2022-02-01,9.93,9.95,9.93,9.95,9.95,4500
2022-02-02,9.95,9.95,9.95,9.95,9.95,3700
2022-02-03,9.95,9.95,9.95,9.95,9.95,0
2022-02-04,9.95,9.95,9.95,9.95,9.95,0
2022-02-07,9.95,9.95,9.95,9.95,9.95,0
2022-02-08,9.95,9.95,9.95,9.95,9.95,0
2022-02-09,9.95,9.95,9.95,9.95,9.95,0
2022-02-10,9.95,9.95,9.95,9.95,9.95,0
2022-02-11,9.95,9.95,9.95,9.95,9.95,0
2022-02-14,9.95,9.95,9.95,9.95,9.95,0
2022-02-15,9.95,9.95,9.95,9.95,9.95,492000
2022-02-16,9.92,9.92,9.92,9.92,9.92,100000
2022-02-17,9.92,9.92,9.92,9.92,9.92,0
2022-02-18,9.92,9.92,9.92,9.92,9.92,0
2022-02-22,9.89,9.9,9.87,9.9,9.9,127900
2022-02-23,9.9,9.9,9.89,9.89,9.89,73100
2022-02-24,9.9,9.91,9.897,9.91,9.91,68900
2022-02-25,9.91,9.91,9.91,9.91,9.91,0
2022-02-28,9.92,9.94,9.92,9.94,9.94,4100
2022-03-01,9.9,9.91,9.9,9.91,9.91,4600
2022-03-02,9.91,9.91,9.91,9.91,9.91,0
2022-03-03,9.91,9.94,9.91,9.92,9.92,7600
2022-03-04,9.92,9.92,9.92,9.92,9.92,0
2022-03-07,9.93,9.94,9.92,9.92,9.92,100300
2022-03-08,9.94,9.94,9.9,9.92,9.92,1000
2022-03-09,9.92,9.92,9.91,9.92,9.92,900
2022-03-10,9.93,9.93,9.93,9.93,9.93,101100
2022-03-11,9.91,9.92,9.91,9.91,9.91,2200
