Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,70.400002,99.599998,38.080002,38.400002,38.400002,570138
2022-08-15,34.48,36.400002,28.639999,31.92,31.92,118013
2022-08-16,37.200001,41.759998,32.080002,32.799999,32.799999,320038
2022-08-17,30.959999,35.68,30.799999,33.919998,33.919998,81950
2022-08-18,32.16,33.200001,30.16,31.76,31.76,70588
2022-08-19,29.76,32.720001,27.280001,29.200001,29.200001,69375
2022-08-22,33.040001,33.919998,27.6,28.32,28.32,96538
2022-08-23,27.440001,28.959999,25.200001,27.280001,27.280001,47400
2022-08-24,27.200001,28.152,23.360001,26.559999,26.559999,143488
2022-08-25,24.4,26.24,21.76,23.6,23.6,50788
2022-08-26,23.52,25.040001,21.84,22.4,22.4,27088
2022-08-29,22.24,22.639999,19.200001,19.688,19.688,23888
2022-08-30,20.16,20.799999,18.4,18.639999,18.639999,12600
2022-08-31,18.719999,22.007999,18.4,20.983999,20.983999,36525
2022-09-01,20.719999,22.879999,20.08,20.76,20.76,44438
2022-09-02,22.16,22.4,18.799999,19.84,19.84,86300
2022-09-06,19.52,19.976,17.6,18.799999,18.799999,22525
2022-09-07,18.24,19.559999,16.879999,17.92,17.92,11500
2022-09-08,17.6,18.639999,17.440001,18.24,18.24,9113
2022-09-09,18.799999,20.799999,18.0,18.959999,18.959999,45288
2022-09-12,20.719999,24.0,20.08,20.559999,20.559999,48500
2022-09-13,20.0,22.4,18.559999,19.128,19.128,70813
2022-09-14,18.959999,21.6,18.24,19.76,19.76,38713
2022-09-15,19.040001,19.68,17.84,18.16,18.16,19788
2022-09-16,17.84,18.879999,16.879999,16.879999,16.879999,12438
2022-09-19,16.799999,18.32,15.68,16.24,16.24,15625
2022-09-20,17.440001,19.040001,16.368,18.08,18.08,19013
2022-09-21,16.879999,18.4,16.08,16.32,16.32,5975
2022-09-22,16.48,16.799999,15.76,16.32,16.32,4475
2022-09-23,16.32,16.84,15.2,15.36,15.36,7175
2022-09-26,14.984,16.0,14.4,15.384,15.384,2413
2022-09-27,15.6,16.08,14.08,14.56,14.56,8313
2022-09-28,14.432,16.719999,14.4,15.6,15.6,15238
2022-09-29,15.28,17.280001,14.08,14.88,14.88,13263
2022-09-30,14.72,16.191999,14.72,14.72,14.72,2788
2022-10-03,14.8,15.28,13.2,13.44,13.44,4925
2022-10-04,14.32,14.48,13.784,13.92,13.92,3538
2022-10-05,13.6,13.6,12.0,12.4,12.4,5700
2022-10-06,12.88,13.12,12.16,12.44,12.44,4338
2022-10-07,12.08,13.08,12.08,12.88,12.88,3875
2022-10-10,12.56,13.44,12.08,12.688,12.688,3775
2022-10-11,12.24,12.32,8.88,10.24,10.24,9963
2022-10-12,10.4,11.28,9.76,10.16,10.16,6575
2022-10-13,10.72,11.16,10.24,10.72,10.72,9700
2022-10-14,10.24,10.72,9.76,10.0,10.0,3250
2022-10-17,9.76,10.4,9.6,10.4,10.4,5863
2022-10-18,10.72,10.96,9.952,10.24,10.24,2925
2022-10-19,10.48,11.2,10.0,10.4,10.4,12513
2022-10-20,10.4,10.8,9.04,9.6,9.6,5138
2022-10-21,9.44,9.888,9.04,9.12,9.12,5450
2022-10-24,9.2,9.52,8.96,9.12,9.12,7313
2022-10-25,10.0,10.0,9.2,9.68,9.68,3438
2022-10-26,9.12,9.92,9.112,9.92,9.92,2350
2022-10-27,9.84,9.84,8.8,9.2,9.2,2975
2022-10-28,9.28,9.68,8.4,9.0,9.0,9088
2022-10-31,9.584,9.584,8.76,8.88,8.88,5988
2022-11-01,8.88,9.6,8.88,9.44,9.44,4263
2022-11-02,9.52,9.92,9.28,9.6,9.6,18963
2022-11-03,9.84,9.84,8.84,9.04,9.04,5875
2022-11-04,9.28,9.28,8.56,8.88,8.88,3713
2022-11-07,9.12,9.12,8.0,8.32,8.32,6425
2022-11-08,8.08,8.8,8.072,8.08,8.08,4263
2022-11-09,8.32,8.44,7.376,7.6,7.6,13713
2022-11-10,7.4,7.872,7.28,7.744,7.744,5500
2022-11-11,7.512,7.656,7.208,7.6,7.6,19888
2022-11-14,7.6,7.896,7.44,7.68,7.68,14563
2022-11-15,7.856,8.504,7.688,8.24,8.24,8488
2022-11-16,8.0,8.36,7.944,7.968,7.968,2638
2022-11-17,7.976,8.0,7.616,7.832,7.832,2563
2022-11-18,7.896,8.16,7.832,8.0,8.0,7850
2022-11-21,8.0,8.24,7.696,7.856,7.856,3988
2022-11-22,7.624,8.08,7.624,8.08,8.08,2100
2022-11-23,7.84,8.224,7.28,7.84,7.84,5100
2022-11-25,7.912,8.08,7.768,7.92,7.92,5138
2022-11-28,7.824,8.32,7.824,8.24,8.24,3638
2022-11-29,8.16,8.16,7.376,7.688,7.688,7500
2022-11-30,7.52,7.76,7.376,7.376,7.376,3025
2022-12-01,7.384,7.704,6.72,7.248,7.248,9425
2022-12-02,7.28,7.28,6.88,6.888,6.888,2188
2022-12-05,6.888,8.32,6.888,7.84,7.84,16250
2022-12-06,7.92,9.12,7.464,8.16,8.16,42275
2022-12-07,7.848,8.08,7.048,7.52,7.52,24038
2022-12-08,7.64,7.84,6.896,7.16,7.16,9638
2022-12-09,7.2,9.52,7.04,8.712,8.712,122963
2022-12-12,10.88,13.992,10.0,11.2,11.2,617050
2022-12-13,9.84,11.04,8.76,10.72,10.72,106113
2022-12-14,10.32,11.84,9.28,10.2,10.2,56788
2022-12-15,10.4,10.4,8.88,9.04,9.04,17638
2022-12-16,8.856,8.856,7.76,7.92,7.92,22175
2022-12-19,7.96,7.96,6.648,7.032,7.032,43563
2022-12-20,7.736,7.736,6.4,6.888,6.888,10238
2022-12-21,6.88,7.008,6.0,6.72,6.72,20800
2022-12-22,6.72,7.2,6.32,6.808,6.808,3125
2022-12-23,6.496,6.84,6.16,6.24,6.24,6150
2022-12-27,6.352,7.2,6.24,6.8,6.8,9125
2022-12-28,6.88,6.88,6.24,6.336,6.336,5463
2022-12-29,6.696,6.72,5.84,6.32,6.32,5163
2022-12-30,6.36,7.024,6.08,6.56,6.56,16000
2023-01-03,7.12,7.12,6.216,6.64,6.64,18338
2023-01-04,6.896,6.896,6.2,6.56,6.56,6913
2023-01-05,6.416,6.632,6.176,6.4,6.4,8213
2023-01-06,6.776,6.776,6.4,6.408,6.408,5175
2023-01-09,6.416,7.12,6.416,6.808,6.808,7850
2023-01-10,6.808,7.2,6.568,7.12,7.12,11413
2023-01-11,7.2,7.712,7.032,7.56,7.56,16988
