Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,16.4,17.0,15.8,16.49,12.16809,1261900
2021-12-09,16.030001,16.59,16.0,16.0,11.806515,482900
2021-12-10,16.18,16.299999,16.1,16.25,11.990993,97200
2021-12-13,16.540001,16.549999,15.95,16.290001,12.020508,235700
2021-12-14,16.549999,16.549999,15.98,16.059999,11.850789,70700
2021-12-15,16.040001,16.370001,15.84,16.0,11.806515,125100
2021-12-16,16.040001,16.195,15.8,16.0,11.806515,139900
2021-12-17,16.120001,16.15,15.5,16.15,11.917201,93500
2021-12-20,15.88,16.15,15.87,16.01,11.813894,20400
2021-12-21,16.83,17.0,15.95,16.02,11.821273,57100
2021-12-22,16.01,16.1,15.99,16.0,11.806515,41000
2021-12-23,16.01,16.115,15.99,16.025,11.824962,52600
2021-12-27,16.145,16.145,16.0,16.059999,11.850789,7700
2021-12-28,16.02,16.065001,16.02,16.040001,11.836032,20600
2021-12-29,16.030001,16.18,16.0,16.059999,11.850789,127700
2021-12-30,16.094999,16.18,16.049999,16.059999,11.850789,20400
2021-12-31,16.780001,16.780001,16.200001,16.65,12.286158,15600
2022-01-03,17.48,17.48,16.700001,16.950001,12.507526,96900
2022-01-04,17.530001,17.530001,16.799999,17.120001,12.63297,85300
2022-01-05,17.01,17.204,16.91,17.1,12.618213,74000
2022-01-06,17.01,17.49,17.01,17.25,12.728899,60900
2022-01-07,17.27,17.5,17.27,17.33,12.787932,23400
2022-01-10,17.629999,17.83,17.1,17.530001,12.935513,25700
2022-01-11,17.6,17.981001,17.530001,17.83,13.156885,37300
2022-01-12,18.110001,18.152,17.65,17.76,13.105232,133100
2022-01-13,18.0,18.09,17.75,18.030001,13.304469,131400
2022-01-14,18.25,18.5,17.799999,18.280001,13.488944,85800
2022-01-18,18.73,18.73,18.242001,18.450001,13.614387,76600
2022-01-19,20.290001,20.290001,18.5,18.76,13.84314,90000
2022-01-20,19.34,20.215,18.610001,19.51,14.396572,110600
2022-01-21,19.780001,19.879999,18.309999,18.950001,13.983341,78500
2022-01-24,18.950001,19.4,18.32,18.99,14.012856,65500
2022-01-25,18.74,19.0,18.625,18.780001,13.857898,22000
2022-01-26,18.6,19.18,18.6,18.690001,13.791487,12900
2022-01-27,18.610001,18.99,18.309999,18.5,13.651284,24900
2022-01-28,18.844999,18.979,18.5,18.93,13.968582,33500
2022-01-31,18.959999,19.040001,18.629999,19.0,14.020237,19800
2022-02-01,19.049999,19.139999,18.610001,19.0,14.020237,34100
2022-02-02,19.209999,19.5,19.0,19.110001,14.101408,34600
2022-02-03,19.709999,19.799,18.9,19.360001,14.285883,39100
2022-02-04,19.15,19.627001,18.9,19.0,14.020237,30400
2022-02-07,19.129999,19.638,18.799999,19.18,14.153063,42200
2022-02-08,19.08,19.700001,18.799999,18.98,14.005478,37800
2022-02-09,19.040001,19.6,18.76,18.99,14.012856,30700
2022-02-10,18.790001,19.35,18.76,19.15,14.13092,45400
2022-02-11,19.129999,19.4,18.99,19.389999,14.308021,50500
2022-02-14,19.26,19.302,18.52,18.73,13.821002,39800
2022-02-15,18.58,19.290001,18.52,18.84,13.902173,32300
2022-02-16,19.0,19.219999,18.790001,19.129999,14.116163,26300
2022-02-17,19.0,19.27,18.879999,18.99,14.012856,23800
2022-02-18,18.809999,18.969999,18.309999,18.389999,13.570112,22000
2022-02-22,18.24,18.629999,18.0,18.280001,13.488944,34600
2022-02-23,18.35,19.1,18.35,18.790001,13.865276,140500
2022-02-24,18.889999,19.27,18.245001,18.92,13.961205,78000
2022-02-25,18.75,19.4,18.1,19.25,14.204714,133900
