Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.049999,16.139999,15.48,15.81,11.874049,285600
2016-01-05,15.89,16.5,15.77,16.5,12.392276,205300
2016-01-06,16.24,16.5,15.93,15.93,11.964175,246500
2016-01-07,14.21,15.51,13.37,14.15,10.627313,601100
2016-01-08,14.08,14.43,13.72,13.94,10.469592,386900
2016-01-11,13.89,14.29,13.89,14.05,10.552208,224500
2016-01-12,14.15,14.37,13.58,14.26,10.709928,276800
2016-01-13,14.35,14.35,13.75,13.87,10.417017,236600
2016-01-14,14.0,14.65,13.83,14.4,10.815076,168000
2016-01-15,14.02,14.35,13.87,14.29,10.73246,225600
2016-01-19,14.39,14.45,14.17,14.35,10.777522,245300
2016-01-20,14.09,14.55,13.81,14.43,10.837606,196600
2016-01-21,14.47,14.52,14.19,14.31,10.74748,194200
2016-01-22,14.48,14.83,14.38,14.8,11.115494,147500
2016-01-25,14.67,14.75,14.38,14.4,10.815076,131100
2016-01-26,14.42,14.71,14.42,14.6,10.965284,108100
2016-01-27,14.5,14.59,14.19,14.53,10.912714,161200
2016-01-28,14.65,14.82,14.41,14.49,10.882668,78300
2016-01-29,14.52,15.17,14.52,15.11,11.348317,403400
2016-02-01,14.98,15.22,13.67,14.93,11.213132,210700
2016-02-02,14.75,14.89,14.54,14.73,11.06292,133000
2016-02-03,14.88,14.88,14.31,14.68,11.025366,121700
2016-02-04,14.62,14.81,14.5,14.56,10.935242,99200
2016-02-05,14.46,14.57,14.12,14.13,10.612289,178700
2016-02-08,13.99,14.63,13.99,14.53,10.912714,143600
2016-02-09,14.34,14.59,14.26,14.38,10.800056,113800
2016-02-10,14.37,14.61,14.1,14.12,10.60478,138400
2016-02-11,13.84,14.08,13.59,13.98,10.499636,104900
2016-02-12,14.05,14.15,13.75,13.9,10.439553,116500
2016-02-16,13.94,14.14,13.84,13.92,10.53033,132000
2016-02-17,13.97,14.27,13.75,14.13,10.68919,156200
2016-02-18,14.12,14.32,13.87,13.98,10.575718,140900
2016-02-19,13.94,14.03,13.78,13.85,10.477375,113400
2016-02-22,14.02,14.18,13.82,13.89,10.507636,175700
2016-02-23,13.81,14.25,13.8,14.1,10.666498,208000
2016-02-24,13.99,13.99,13.73,13.79,10.431986,168700
2016-02-25,13.85,14.24,13.7,14.22,10.757277,122400
2016-02-26,14.26,14.54,13.83,14.14,10.696758,100000
2016-02-29,14.12,14.19,13.85,13.87,10.492503,132700
